#34_0EXA_0229Kronos_MM1S-No-Treatment-2_p300_hs_i50_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/34_0EXA_0229Kronos_MM1S-No-Treatment-2_p300_hs_i50_ROSE/34_0EXA_0229Kronos_MM1S-No-Treatment-2_p300_hs_i50_peaks_5KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X34_0EXA_0229Kronos_MM1S.No.Treatment.2_p300_hs_i50.bam
#Using cutoff of 3322.6445 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X34_0EXA_0229Kronos_MM1S.No.Treatment.2_p300_hs_i50.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	isStretch
6_MACS_peak_9219_lociStitched	chr3	141091641	141132600	6	31345	39128.1327	10870.5186	1	1
8_MACS_peak_6921_lociStitched	chr2	99062038	99107614	8	30303	43037.4168	11977.3728	2	1
4_MACS_peak_11336_lociStitched	chr6	7893097	7919053	4	23743	26633.4516	8087.8896	3	1
7_MACS_peak_11275_lociStitched	chr6	290185	329889	7	23086	34363.812	14047.2752	4	1
4_MACS_peak_5252_lociStitched	chr17	34611601	34641235	4	22703	26697.2706	8830.932	5	1
4_MACS_peak_5247_lociStitched	chr17	34516150	34539744	4	18728	26177.543	7403.7972	6	1
6_MACS_peak_7810_lociStitched	chr20	30279236	30312154	6	18018	23829.3402	8193.2902	7	1
6_MACS_peak_5221_lociStitched	chr17	32690561	32719172	6	15591	20705.7807	6777.9459	8	1
5_MACS_peak_9365_lociStitched	chr3	171802078	171826714	5	14732	21386.5116	7802.2212	9	1
2_MACS_peak_2410_lociStitched	chr11	65183615	65199695	2	14041	15446.448	5126.304	10	1
4_MACS_peak_3116_lociStitched	chr12	53582336	53601450	4	13852	15881.8226	5097.7038	11	1
5_MACS_peak_12929_lociStitched	chr7	150063791	150084406	5	13782	15518.972	6108.2245	12	1
7_MACS_peak_12467_lociStitched	chr7	55616432	55642471	7	13696	14443.8333	5671.2942	13	1
2_MACS_peak_6028_lociStitched	chr19	2082432	2097945	2	12519	16375.5228	5629.6677	14	1
4_MACS_peak_9730_lociStitched	chr4	40194019	40208049	4	12067	11065.461	3883.504	15	1
6_MACS_peak_2147_lociStitched	chr11	10324200	10345172	6	11982	13285.762	4123.0952	16	1
3_MACS_peak_5431_lociStitched	chr17	56405433	56422685	3	11888	14029.3264	5301.5396	17	1
3_MACS_peak_2416_lociStitched	chr11	65263925	65278868	3	11869	14076.306	3690.921	18	1
5_MACS_peak_199_lociStitched	chr1	31216023	31231098	5	11689	10716.8175	3801.915	19	1
