GENE_ID	locusLine	bin_1_KMS28BM_jia.bam
1_MACS_peak_1_lociStitched	chr1(.):28078-30134	2.1794
1_MACS_peak_2_lociStitched	chr1(.):96454-97058	0.3786
1_MACS_peak_3_lociStitched	chr1(.):578040-578674	0.3488
1_MACS_peak_4_lociStitched	chr1(.):712844-715806	3.6651
1_MACS_peak_5_lociStitched	chr1(.):761742-764071	2.2778
1_MACS_peak_6_lociStitched	chr1(.):839134-840934	1.9577
1_MACS_peak_7_lociStitched	chr1(.):874656-882078	6.9831
2_MACS_peak_8_lociStitched	chr1(.):893466-903200	1.5836
2_MACS_peak_10_lociStitched	chr1(.):911213-918095	0.201
1_MACS_peak_12_lociStitched	chr1(.):936969-937812	0.4467
2_MACS_peak_13_lociStitched	chr1(.):947946-956216	0.8017
3_MACS_peak_15_lociStitched	chr1(.):994233-1004921	0.4031
1_MACS_peak_18_lociStitched	chr1(.):1014306-1016282	1.0886
2_MACS_peak_19_lociStitched	chr1(.):1050548-1058250	0.6072
1_MACS_peak_21_lociStitched	chr1(.):1072014-1073568	0.7908
1_MACS_peak_22_lociStitched	chr1(.):1092626-1094096	1.9922
3_MACS_peak_23_lociStitched	chr1(.):1135469-1151769	1.5234
2_MACS_peak_26_lociStitched	chr1(.):1164749-1168678	3.8567
1_MACS_peak_28_lociStitched	chr1(.):1185146-1185957	0.7134
2_MACS_peak_29_lociStitched	chr1(.):1205885-1210461	2.442
1_MACS_peak_31_lociStitched	chr1(.):1240538-1245111	3.3326
3_MACS_peak_32_lociStitched	chr1(.):1252787-1267305	1.0005
1_MACS_peak_35_lociStitched	chr1(.):1282219-1286961	3.5498
1_MACS_peak_36_lociStitched	chr1(.):1293214-1294919	0.6069
1_MACS_peak_37_lociStitched	chr1(.):1305785-1311810	3.03
3_MACS_peak_38_lociStitched	chr1(.):1332238-1348644	2.0299
1_MACS_peak_41_lociStitched	chr1(.):1361733-1362657	0.3815
2_MACS_peak_42_lociStitched	chr1(.):1405880-1410878	1.7129
2_MACS_peak_44_lociStitched	chr1(.):1439772-1450283	1.6129
1_MACS_peak_46_lociStitched	chr1(.):1508740-1511202	4.9247
1_MACS_peak_47_lociStitched	chr1(.):1537222-1539008	1.1124
1_MACS_peak_48_lociStitched	chr1(.):1549607-1552375	4.8685
1_MACS_peak_49_lociStitched	chr1(.):1588449-1591919	3.1975
1_MACS_peak_50_lociStitched	chr1(.):1605946-1608465	2.3428
1_MACS_peak_51_lociStitched	chr1(.):1622367-1625852	7.1329
1_MACS_peak_52_lociStitched	chr1(.):1653962-1657130	3.0861
2_MACS_peak_53_lociStitched	chr1(.):1668482-1679116	3.3487
1_MACS_peak_55_lociStitched	chr1(.):1706188-1714260	6.2771
1_MACS_peak_56_lociStitched	chr1(.):1736859-1738910	0.6444
1_MACS_peak_57_lociStitched	chr1(.):1774167-1775178	0.4062
1_MACS_peak_58_lociStitched	chr1(.):1820165-1824065	5.1916
1_MACS_peak_59_lociStitched	chr1(.):1836777-1842675	4.2005
1_MACS_peak_60_lociStitched	chr1(.):1849874-1850929	0.7051
1_MACS_peak_61_lociStitched	chr1(.):1873608-1875776	0.5485
1_MACS_peak_62_lociStitched	chr1(.):1890896-1892259	0.671
2_MACS_peak_63_lociStitched	chr1(.):2120312-2127784	2.4438
1_MACS_peak_65_lociStitched	chr1(.):2158031-2162207	2.1883
2_MACS_peak_66_lociStitched	chr1(.):2219927-2234766	3.5445
2_MACS_peak_68_lociStitched	chr1(.):2242715-2247192	0.8771
1_MACS_peak_70_lociStitched	chr1(.):2265950-2267242	0.5816
2_MACS_peak_71_lociStitched	chr1(.):2322006-2325378	2.8987
3_MACS_peak_73_lociStitched	chr1(.):2343079-2347844	1.4697
1_MACS_peak_76_lociStitched	chr1(.):2370258-2372189	0.5963
1_MACS_peak_77_lociStitched	chr1(.):2389821-2390718	0.4079
2_MACS_peak_78_lociStitched	chr1(.):2453339-2461340	3.3919
3_MACS_peak_80_lociStitched	chr1(.):2470845-2489574	2.3401
1_MACS_peak_83_lociStitched	chr1(.):2516400-2518843	3.8554
1_MACS_peak_84_lociStitched	chr1(.):2573392-2574908	3.1573
1_MACS_peak_85_lociStitched	chr1(.):3086924-3088125	0.6264
2_MACS_peak_86_lociStitched	chr1(.):3540212-3542493	1.3612
1_MACS_peak_88_lociStitched	chr1(.):3565546-3566805	1.6793
2_MACS_peak_89_lociStitched	chr1(.):3589293-3594244	0.7064
2_MACS_peak_91_lociStitched	chr1(.):3688033-3693681	1.1256
1_MACS_peak_93_lociStitched	chr1(.):3711773-3713831	1.6428
1_MACS_peak_94_lociStitched	chr1(.):3772491-3775050	2.5106
1_MACS_peak_95_lociStitched	chr1(.):3815718-3818501	6.3405
1_MACS_peak_96_lociStitched	chr1(.):4087009-4088074	0.4929
1_MACS_peak_97_lociStitched	chr1(.):4403063-4405733	3.787
1_MACS_peak_98_lociStitched	chr1(.):4485557-4486679	0.4165
1_MACS_peak_99_lociStitched	chr1(.):4712344-4713468	1.0049
1_MACS_peak_100_lociStitched	chr1(.):4735893-4737123	0.5696
1_MACS_peak_101_lociStitched	chr1(.):4805760-4806270	0.4297
1_MACS_peak_102_lociStitched	chr1(.):4855697-4857781	1.858
2_MACS_peak_103_lociStitched	chr1(.):4997598-5005444	0.3422
1_MACS_peak_105_lociStitched	chr1(.):5279896-5282146	1.02
1_MACS_peak_106_lociStitched	chr1(.):5542152-5542759	0.7815
1_MACS_peak_107_lociStitched	chr1(.):5975243-5976720	1.0357
1_MACS_peak_108_lociStitched	chr1(.):6051021-6055415	2.221
2_MACS_peak_109_lociStitched	chr1(.):6061460-6071612	0.8764
1_MACS_peak_111_lociStitched	chr1(.):6083841-6089054	3.4852
1_MACS_peak_112_lociStitched	chr1(.):6257509-6260742	3.5807
1_MACS_peak_113_lociStitched	chr1(.):6294110-6296976	2.9637
1_MACS_peak_114_lociStitched	chr1(.):6418760-6420771	1.1706
1_MACS_peak_115_lociStitched	chr1(.):6451968-6454766	2.6077
