GENE_ID	locusLine	bin_1_KMS12_jia.bam
NM_032236	chr1(.):21999791-22114688	0.2546
NM_007051	chr1(.):50901934-51430936	0.0484
NR_002188	chr1(.):155178615-155202325	0.3196
NM_021642	chr1(.):161470204-161494360	0.1394
NM_002585	chr1(.):164523801-164826045	0.1776
NM_201569	chr1(.):183436505-183528328	0.227
NM_145214	chr1(.):228576376-228599517	0.2871
NM_001198993	chr1(.):1677670-1715297	0.6156
NM_023018	chr1(.):1677670-1714909	0.6183
NM_001198994	chr1(.):1677670-1716508	0.5998
NM_003820	chr1(.):2482804-2500267	0.3813
NM_152942	chr1(.):12180957-12209264	0.0989
NM_015001	chr1(.):16169358-16271950	0.3578
NM_001013693	chr1(.):22133757-22156714	0.1358
NM_004091	chr1(.):23827921-23862713	0.5192
NM_001135218	chr1(.):28924608-28974604	0.2042
NM_002227	chr1(.):65293905-65437187	0.1354
NM_002600	chr1(.):66253855-66845262	0.0917
NM_001037341	chr1(.):66253192-66845262	0.0917
NM_001037340	chr1(.):66453389-66845262	0.113
NM_024763	chr1(.):67273571-67395570	0.0683
NM_207014	chr1(.):67298281-67395570	0.0746
NM_001010971	chr1(.):84759048-84821481	0.3179
NM_001134663	chr1(.):84762288-84821481	0.3296
NM_001134664	chr1(.):84763333-84821481	0.3338
NM_003567	chr1(.):94022348-94152385	0.1306
NM_001100910	chr1(.):120834004-120860681	0.5712
NR_034178	chr1(.):143910747-144099477	0.2204
NM_207168	chr1(.):150594521-150607098	0.5978
NM_020699	chr1(.):153772202-153900451	0.3656
NM_020524	chr1(.):154911558-154933567	0.6276
NM_181359	chr1(.):154372668-154445188	0.5636
NM_005572	chr1(.):156079460-156112657	0.1543
NM_005973	chr1(.):156732273-156775609	0.3078
NM_005531	chr1(.):158974681-159029945	0.4148
NM_007348	chr1(.):161731083-161933852	0.1522
NM_006182	chr1(.):162597227-162755247	0.201
NM_014412	chr1(.):174963891-174986163	0.89
NM_001007214	chr1(.):174963570-174986163	0.8792
NM_182663	chr1(.):206675878-206767616	0.3263
NM_003193	chr1(.):235525727-235617280	0.083
NM_031371	chr1(.):235325209-235496532	0.152
NR_033883	chr1(.):244075703-244215619	0.1641
NM_022834	chr1(.):1365902-1383262	0.1662
NM_031921	chr1(.):1402163-1436582	0.3502
NM_001145210	chr1(.):1348799-1361650	0.1597
NM_001146685	chr1(.):1356507-1368167	0.1526
NM_001039211	chr1(.):1380068-1410538	0.5167
NM_018188	chr1(.):1442522-1475067	0.373
NM_001170536	chr1(.):1442909-1475067	0.3759
NM_182838	chr1(.):1658680-1682431	0.8783
NM_001198995	chr1(.):1677670-1695081	0.2844
NM_001010926	chr1(.):2455183-2466684	0.6844
NR_026927	chr1(.):2476358-2489284	1.1672
NM_018216	chr1(.):2434974-2463035	0.3994
NM_001195741	chr1(.):2513188-2527908	0.6714
NR_036638	chr1(.):2512898-2527908	0.6592
NM_032315	chr1(.):9594527-9647831	0.189
NM_001066	chr1(.):12222059-12274277	0.1788
NM_001010847	chr1(.):13796444-13845242	0.3701
NM_001089591	chr1(.):16128656-16139194	0.0846
NR_024279	chr1(.):16155709-16179642	2.0552
NM_014675	chr1(.):17243444-17304474	0.11
NM_001032730	chr1(.):22049338-22114688	0.3699
NM_017707	chr1(.):23750055-23815750	0.0837
NM_002167	chr1(.):23879408-23891322	0.5554
NM_020362	chr1(.):24099875-24119722	0.5078
NM_003198	chr1(.):24064855-24093549	0.3131
NM_000975	chr1(.):24013293-24027915	0.3285
NM_007260	chr1(.):24112645-24127029	0.4282
NM_015484	chr1(.):25543766-25564013	0.4994
NM_001127691	chr1(.):25593980-25661936	0.0807
NM_020317	chr1(.):25563739-25578985	0.9384
NR_026685	chr1(.):26432655-26457026	0.8366
NM_152835	chr1(.):26433267-26457026	0.8571
NM_032588	chr1(.):26372797-26399121	0.0402
NR_023345	chr1(.):26498981-26521375	0.0388
NM_024869	chr1(.):26480510-26494119	0.0455
NM_015871	chr1(.):26491387-26502364	0.1011
NM_006314	chr1(.):26498980-26521375	0.0388
NM_006015	chr1(.):27017521-27113601	0.3789
NM_014280	chr1(.):28521789-28564542	0.1649
NM_016311	chr1(.):28557610-28569611	0.387
NM_001164721	chr1(.):28468676-28525447	0.0607
NM_001164722	chr1(.):28468676-28525437	0.0607
NM_031459	chr1(.):28581005-28614002	0.2164
NR_024127	chr1(.):28900049-28913366	0.5415
NM_152304	chr1(.):28913711-28926088	0.4402
NM_001193532	chr1(.):28914006-28926088	0.4304
NR_003035	chr1(.):28902431-28912565	0.6378
NR_002987	chr1(.):28901275-28911405	0.6129
NR_003109	chr1(.):28874528-28910057	0.2953
NR_002976	chr1(.):28901892-28912024	0.6196
NR_003077	chr1(.):28900254-28910334	0.6083
NR_004407	chr1(.):28970111-28980246	0.4682
NM_001198979	chr1(.):40854016-40893998	0.0625
NM_001198978	chr1(.):40835304-40893998	0.2198
NM_001198980	chr1(.):40857471-40893998	0.0595
NM_022733	chr1(.):40834377-40893998	0.2175
NM_006004	chr1(.):46764379-46787447	0.6285
NM_006369	chr1(.):46739071-46774038	0.4042
NM_199044	chr1(.):46801389-46835690	0.1404
NM_001262	chr1(.):51429366-51445306	1.4306
NM_078626	chr1(.):51430641-51445309	1.5507
NM_015696	chr1(.):53063042-53079723	0.3564
NM_001042693	chr1(.):53094065-53127737	0.4431
NM_001037339	chr1(.):66792792-66845262	0.3137
NM_001077702	chr1(.):67385577-67459302	0.163
NM_001077704	chr1(.):67390925-67459302	0.1521
NM_006769	chr1(.):87789150-87819607	0.6076
NM_002959	chr1(.):109847191-109945563	0.3641
NM_002790	chr1(.):109939471-109974037	0.3196
NM_004974	chr1(.):111140775-111153345	0.0705
NM_002232	chr1(.):111209309-111222655	1.2271
NM_017709	chr1(.):118143603-118176011	0.968
NM_207418	chr1(.):143891451-143918143	0.5683
NM_001161334	chr1(.):149749244-149788928	0.3452
NM_001034077	chr1(.):149799220-149809616	1.6618
NM_001005464	chr1(.):149807258-149817765	3.3197
NM_001040874	chr1(.):149808784-149819318	3.5663
NM_001123375	chr1(.):149779779-149790236	0.9695
NM_000566	chr1(.):149749249-149769074	0.1397
NM_016074	chr1(.):149866154-149877348	0.1001
NM_003528	chr1(.):149851009-149863232	1.9121
NM_003517	chr1(.):149853524-149863961	2.205
NM_175065	chr1(.):149854018-149864466	2.198
NR_036461	chr1(.):149816758-149827340	3.7549
NM_001040874	chr1(.):149817627-149828161	3.6081
NM_001005464	chr1(.):149819180-149829687	3.3596
NM_001034077	chr1(.):149827329-149837725	1.6906
NM_019032	chr1(.):150516897-150538412	1.2644
NM_207046	chr1(.):150589598-150606609	0.4805
NR_036211	chr1(.):150519404-150529490	0.1063
NM_001197320	chr1(.):150542026-150557214	1.0226
NM_001178062	chr1(.):151099162-151124140	0.1001
NM_024575	chr1(.):151124104-151137225	0.2245
NM_001136543	chr1(.):151127223-151143424	0.3497
NM_001135636	chr1(.):151166020-151227007	0.2676
NM_013353	chr1(.):151137462-151153547	0.237
NM_212551	chr1(.):151127223-151143370	0.3506
NM_024041	chr1(.):151133516-151146614	0.2752
NM_005997	chr1(.):151143933-151167640	0.2656
NM_005620	chr1(.):151999981-152014511	1.5521
NM_002966	chr1(.):151950385-151971714	0.3741
NM_001008536	chr1(.):152051619-152066540	0.0718
NM_014437	chr1(.):153926587-153945188	1.4663
NM_130898	chr1(.):153935396-153951832	1.7154
NM_181715	chr1(.):153915151-153936043	0.9517
NM_006694	chr1(.):153941744-153955451	0.6854
NM_002870	chr1(.):153949127-153963806	0.9242
NM_014856	chr1(.):153896976-153924154	0.415
NM_001030	chr1(.):153958238-153969631	0.5906
NM_006556	chr1(.):154892207-154914484	0.6684
NM_001130041	chr1(.):154929773-154951959	1.5006
NM_001130040	chr1(.):154929773-154948223	1.5528
NM_201398	chr1(.):154950769-154970587	0.3983
NM_015872	chr1(.):154970111-154995999	1.6183
NM_207196	chr1(.):155018761-155040252	0.4865
NM_001184892	chr1(.):154950769-154966488	0.4419
NM_018655	chr1(.):154961061-154971791	0.3391
NM_001143687	chr1(.):155001281-155028406	0.2675
NR_024163	chr1(.):154942117-154956725	1.8016
NM_144622	chr1(.):154986002-155011257	0.237
NM_138300	chr1(.):154924501-154939258	0.9639
NR_036212	chr1(.):154943168-154953259	1.9555
NM_001018017	chr1(.):155153299-155167700	0.2558
NM_198883	chr1(.):155173489-155188624	0.257
NM_007112	chr1(.):155160378-155182690	0.2883
NR_030281	chr1(.):155159967-155170063	0.289
NM_001005742	chr1(.):155199238-155219653	0.4159
NM_003993	chr1(.):155227658-155248281	0.5822
NM_181871	chr1(.):155254083-155275792	0.1005
NM_198264	chr1(.):155211995-155230274	0.5938
NM_052837	chr1(.):155220771-155237195	0.4297
