GENE_ID	locusLine	bin_1_27_0F2D_0229Kronos_MM1S-KB-6hr-1_H3K27me3_hs-dm_i14.bam
NM_199454	chr1(.):2980741-3360185	1.0487
NM_015215	chr1(.):6840383-7834766	0.5287
NM_001033581	chr1(.):2000085-2121834	0.8596
NM_012405	chr1(.):6276252-6301044	0.213
NM_017891	chr1(.):1012197-1056736	0.3079
NM_001033582	chr1(.):2031154-2121834	0.8031
NM_002744	chr1(.):1976908-2121834	0.8698
NM_017449	chr1(.):23032330-23246823	0.8803
NM_032409	chr1(.):20954947-20983004	0.1266
NR_002188	chr1(.):155178615-155202325	0.2183
NM_001014980	chr1(.):1172832-1187102	1.1317
NM_003820	chr1(.):2482804-2500267	0.3454
NM_003036	chr1(.):2155133-2246652	0.1478
NM_001409	chr1(.):3399505-3533059	1.3278
NM_007274	chr1(.):6319331-6458826	0.0941
NM_001042663	chr1(.):6521151-6562484	0.9808
NM_181864	chr1(.):6319331-6450883	0.0851
NM_198681	chr1(.):6521151-6585069	0.926
NM_001079843	chr1(.):10691665-10861707	1.3116
NM_017766	chr1(.):10702269-10861707	1.3642
NM_020350	chr1(.):11791141-11815828	0.1011
NM_007365	chr1(.):17388255-17450948	0.9679
NM_013358	chr1(.):17526620-17577501	0.9934
NR_026567	chr1(.):17012712-17051652	2.6383
NM_030812	chr1(.):18076807-18158558	0.5342
NM_018125	chr1(.):17861329-18029370	0.9104
NM_001011722	chr1(.):17902047-18029370	0.9408
NM_013945	chr1(.):18952499-19067632	0.8964
NM_001135254	chr1(.):18952499-19080360	0.851
NM_000478	chr1(.):21830857-21909905	0.8311
NM_000831	chr1(.):37256127-37504844	0.5535
NM_004952	chr1(.):155046347-155065014	1.4554
NM_144702	chr1(.):156885423-156907880	1.067
NM_138795	chr1(.):202096976-202118866	0.1229
NM_001017403	chr1(.):202158117-202293889	0.5694
NM_021636	chr1(.):202167904-202293889	0.488
NM_001017404	chr1(.):202178282-202293889	0.4759
NM_015090	chr1(.):204792781-204996950	0.3756
NM_033131	chr1(.):228189751-228253961	0.5982
NM_032129	chr1(.):896876-915484	0.422
NM_152486	chr1(.):856120-884961	1.7244
NM_198317	chr1(.):890966-906099	0.1502
NR_027055	chr1(.):798450-817182	0.4298
NM_015658	chr1(.):874582-899679	0.4957
NR_026874	chr1(.):847952-859817	1.9624
NR_027693	chr1(.):905578-922473	1.2077
NM_001142467	chr1(.):929343-940552	1.382
NM_005101	chr1(.):943846-954919	0.572
NM_021170	chr1(.):929341-940552	1.3819
NM_198576	chr1(.):950502-996492	1.1926
NM_001130045	chr1(.):1104285-1138313	1.3771
NR_029639	chr1(.):1097483-1107578	1.9828
NM_016547	chr1(.):1147287-1172447	0.247
NM_080605	chr1(.):1162628-1175420	0.5136
NM_153254	chr1(.):1110076-1126243	1.5391
NM_003327	chr1(.):1141705-1154512	1.0731
NM_004195	chr1(.):1133887-1147089	1.6115
NR_029834	chr1(.):1098242-1108332	1.9107
NR_029957	chr1(.):1099384-1109467	1.8826
