#LP-1 Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/LP-1.H3K27ac_ROSE/LP-1_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by LP.1.jin.bam
#Using cutoff of 8115.7302 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	LP.1.jin.bam	enhancerRank	isStretch
4_MACS_peak_25239_lociStitched	chr6	290375	333243	4	42651	114410.4052	1	1
3_MACS_peak_9178_lociStitched	chr14	106144120	106177451	3	32681	143476.6226	2	1
4_MACS_peak_21566_lociStitched	chr3	141085104	141113755	4	28082	75684.4816	3	1
3_MACS_peak_9170_lociStitched	chr14	106023696	106051179	3	27451	118418.7504	4	1
12_MACS_peak_22664_lociStitched	chr4	71524275	71549850	12	24479	42922.5225	5	1
15_MACS_peak_8817_lociStitched	chr14	81935404	81957192	15	21111	28890.888	6	1
11_MACS_peak_3202_lociStitched	chr10	22595345	22616812	11	19734	29965.7853	7	1
11_MACS_peak_23953_lociStitched	chr5	55435541	55455172	11	19110	36843.4608	8	1
4_MACS_peak_19625_lociStitched	chr22	23229732	23249091	4	18877	34491.9303	9	1
6_MACS_peak_21850_lociStitched	chr3	171809785	171828638	6	18560	33096.4415	10	1
3_MACS_peak_30147_lociStitched	chr8	126291663	126310799	3	18475	33683.1872	11	1
4_MACS_peak_1777_lociStitched	chr1	156457119	156476082	4	18441	38845.7055	12	1
10_MACS_peak_2980_lociStitched	chr10	5929828	5949359	10	18294	30112.8958	13	1
5_MACS_peak_1374_lociStitched	chr1	118192318	118211155	5	18186	40676.6178	14	1
3_MACS_peak_1371_lociStitched	chr1	118171467	118190110	3	18066	36773.3175	15	1
7_MACS_peak_27914_lociStitched	chr7	81500585	81519420	7	17869	28698.8895	16	1
10_MACS_peak_10021_lociStitched	chr15	75063111	75081795	10	17358	25925.9184	17	1
4_MACS_peak_18943_lociStitched	chr20	52195984	52213673	4	17325	34332.5801	18	1
10_MACS_peak_27903_lociStitched	chr7	81418251	81436004	10	16874	26038.3251	19	1
13_MACS_peak_23740_lociStitched	chr5	26869383	26887160	13	16871	25787.3162	20	1
8_MACS_peak_19633_lociStitched	chr22	23264592	23282195	8	16850	44491.5825	21	1
5_MACS_peak_25364_lociStitched	chr6	7902245	7919504	5	16827	32776.5669	22	1
6_MACS_peak_2213_lociStitched	chr1	184708912	184725619	6	16491	43025.5371	23	1
10_MACS_peak_8175_lociStitched	chr14	23022874	23040202	10	15908	21854.0736	24	1
4_MACS_peak_12939_lociStitched	chr17	56407604	56424096	4	15776	45057.7932	25	1
10_MACS_peak_13907_lociStitched	chr18	46439364	46455926	10	15682	22146.7064	26	1
12_MACS_peak_890_lociStitched	chr1	51432126	51448806	12	15520	27603.732	27	1
8_MACS_peak_10710_lociStitched	chr16	11821566	11837579	8	15018	24701.6538	28	1
3_MACS_peak_12135_lociStitched	chr17	18217377	18232394	3	14911	25037.8441	29	1
10_MACS_peak_4604_lociStitched	chr11	16973425	16990153	10	14825	22617.9288	30	1
6_MACS_peak_19898_lociStitched	chr22	37605983	37621377	6	14727	22849.3142	31	1
7_MACS_peak_13582_lociStitched	chr18	9059203	9074694	7	14689	28941.8353	32	1
5_MACS_peak_17627_lociStitched	chr2	201980009	201994923	5	14523	29286.6218	33	1
11_MACS_peak_31318_lociStitched	chr9	112908621	112924805	11	14482	17223.0128	34	1
18_MACS_peak_26761_lociStitched	chr6	135332304	135349264	18	14165	15796.544	35	1
12_MACS_peak_6099_lociStitched	chr12	9872103	9887820	12	14164	16095.7797	36	1
9_MACS_peak_19942_lociStitched	chr22	38783457	38798487	9	13704	20541.501	37	1
4_MACS_peak_21416_lociStitched	chr3	129023274	129037085	4	13495	27017.0782	38	1
4_MACS_peak_2435_lociStitched	chr1	203264706	203278376	4	13211	27104.876	39	1
5_MACS_peak_13272_lociStitched	chr17	74775540	74788985	5	13157	23856.808	40	1
7_MACS_peak_21340_lociStitched	chr3	124499685	124513675	7	12973	16927.9	41	1
6_MACS_peak_31066_lociStitched	chr9	93676408	93690181	6	12952	22696.5267	42	1
6_MACS_peak_11940_lociStitched	chr17	6914791	6928170	6	12810	20025.6872	43	1
10_MACS_peak_5132_lociStitched	chr11	65261024	65274815	10	12775	21960.7884	44	1
6_MACS_peak_23542_lociStitched	chr4	186272577	186285715	6	12540	20648.9946	45	1
9_MACS_peak_17653_lociStitched	chr2	202112920	202126797	9	12502	20744.7273	46	1
1_MACS_peak_12705_lociStitched	chr17	43296713	43309195	1	12483	32773.9874	47	1
3_MACS_peak_23599_lociStitched	chr5	1311335	1323993	3	12206	28313.4144	48	1
5_MACS_peak_5872_lociStitched	chr11	128585743	128598274	5	12106	17819.082	49	1
1_MACS_peak_1688_lociStitched	chr1	154907271	154919265	1	11995	46175.7006	50	1
8_MACS_peak_6500_lociStitched	chr12	53590801	53603590	8	11634	17939.1303	51	1
2_MACS_peak_1573_lociStitched	chr1	150531533	150543125	2	11577	28178.9928	52	1
1_MACS_peak_24284_lociStitched	chr5	88175337	88186897	1	11561	21083.128	53	1
3_MACS_peak_18773_lociStitched	chr20	43270616	43282299	3	11390	19864.6049	54	1
5_MACS_peak_21657_lociStitched	chr3	151911497	151923359	5	11286	16313.8086	55	1
8_MACS_peak_20667_lociStitched	chr3	45605926	45618471	8	11271	14944.8585	56	1
8_MACS_peak_9895_lociStitched	chr15	67368792	67381131	8	11241	13875.2055	57	1
3_MACS_peak_17961_lociStitched	chr2	231729073	231740315	3	11171	22913.4444	58	1
5_MACS_peak_26541_lociStitched	chr6	106543451	106555125	5	11035	13622.3906	59	1
5_MACS_peak_21880_lociStitched	chr3	177068504	177079956	5	10968	21127.7948	60	1
10_MACS_peak_19208_lociStitched	chr21	19151867	19163847	10	10867	13781.792	61	1
4_MACS_peak_2089_lociStitched	chr1	174931964	174942885	4	10829	21044.767	62	1
4_MACS_peak_14819_lociStitched	chr19	16473781	16485221	4	10616	18146.128	63	1
4_MACS_peak_4979_lociStitched	chr11	62316903	62328079	4	10562	16472.3064	64	1
13_MACS_peak_12313_lociStitched	chr17	29576498	29588947	13	10509	10428.5273	65	1
10_MACS_peak_7894_lociStitched	chr13	65979654	65991361	10	10493	12438.6875	66	1
3_MACS_peak_10747_lociStitched	chr16	14394935	14405511	3	10463	23127.5968	67	1
7_MACS_peak_23763_lociStitched	chr5	27462941	27474382	7	10438	15802.3092	68	1
5_MACS_peak_7071_lociStitched	chr12	109020998	109031676	5	10403	17963.5994	69	1
2_MACS_peak_9785_lociStitched	chr15	60874838	60885436	2	10294	18365.2742	70	1
3_MACS_peak_29736_lociStitched	chr8	95953546	95964012	3	10276	25844.7404	71	1
7_MACS_peak_12534_lociStitched	chr17	38473775	38484536	7	10270	12962.7006	72	1
6_MACS_peak_29643_lociStitched	chr8	85158720	85169757	6	10186	16466.1003	73	1
9_MACS_peak_27184_lociStitched	chr7	11330532	11341744	9	10126	12774.9528	74	1
3_MACS_peak_28633_lociStitched	chr7	141254713	141265025	3	10112	17315.9104	75	1
9_MACS_peak_30047_lociStitched	chr8	120924556	120935885	9	10097	13353.4923	76	1
2_MACS_peak_5116_lociStitched	chr11	65183575	65193714	2	10047	32146.7134	77	1
8_MACS_peak_17076_lociStitched	chr2	112191559	112202499	8	10036	12067.914	78	1
4_MACS_peak_28158_lociStitched	chr7	101382399	101393194	4	10030	20135.9135	79	1
6_MACS_peak_14945_lociStitched	chr19	19054221	19064922	6	10018	11899.512	80	1
