REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	LP.1.jin.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
3_MACS_peak_9178_lociStitched	chr14	106144120	106177451	3	32681	143476.6226	1	1			TMEM121	TMEM121	0.1026	1	1
3_MACS_peak_9170_lociStitched	chr14	106023696	106051179	3	27451	118418.7504	2	1		TMEM121	TMEM121	TMEM121	0.1026	2	1
4_MACS_peak_25239_lociStitched	chr6	290375	333243	4	42651	114410.4052	3	1	DUSP22		DUSP22	DUSP22	1.8041	3	1
4_MACS_peak_21566_lociStitched	chr3	141085104	141113755	4	28082	75684.4816	4	1	ZBTB38		ZBTB38	ZBTB38	0.7494	4	1
1_MACS_peak_1688_lociStitched	chr1	154907271	154919265	1	11995	46175.7006	5	1	PMVK,PBXIP1	CKS1B,MIR4258,FLAD1,LENEP,PYGO2,SHC1	PMVK	PMVK	1.5419	5	1
4_MACS_peak_12939_lociStitched	chr17	56407604	56424096	4	15776	45057.7932	6	1	MIR142,SUPT4H1	MPO,BZRAP1	MIR142	MIR142	2.0031	6	1
8_MACS_peak_19633_lociStitched	chr22	23264592	23282195	8	16850	44491.5825	7	1		IGLL5	IGLL5	IGLL5	1.3872	7	1
6_MACS_peak_2213_lociStitched	chr1	184708912	184725619	6	16491	43025.5371	8	1	EDEM3		EDEM3	EDEM3	0.8038	8	1
12_MACS_peak_22664_lociStitched	chr4	71524275	71549850	12	24479	42922.5225	9	1	IGJ	ENAM,UTP3,RUFY3	IGJ	IGJ	1.204	9	1
5_MACS_peak_1374_lociStitched	chr1	118192318	118211155	5	18186	40676.6178	10	1		FAM46C	FAM46C	FAM46C	0.4439	10	1
4_MACS_peak_1777_lociStitched	chr1	156457119	156476082	4	18441	38845.7055	11	1	MEF2D		MEF2D	MEF2D	0.9572	11	1
11_MACS_peak_23953_lociStitched	chr5	55435541	55455172	11	19110	36843.4608	12	1	ANKRD55		ANKRD55	ANKRD55	0.4905	12	1
3_MACS_peak_1371_lociStitched	chr1	118171467	118190110	3	18066	36773.3175	13	1		FAM46C	FAM46C	FAM46C	0.4439	13	1
4_MACS_peak_19625_lociStitched	chr22	23229732	23249091	4	18877	34491.9303	14	1	IGLL5		IGLL5	IGLL5	1.3872	14	1
4_MACS_peak_18943_lociStitched	chr20	52195984	52213673	4	17325	34332.5801	15	1	ZNF217		ZNF217	ZNF217	0.709	15	1
3_MACS_peak_30147_lociStitched	chr8	126291663	126310799	3	18475	33683.1872	16	1	NSMCE2		TRIB1	TRIB1	1.1541	16	1
6_MACS_peak_21850_lociStitched	chr3	171809785	171828638	6	18560	33096.4415	17	1	FNDC3B		FNDC3B	FNDC3B	0.2952	17	1
5_MACS_peak_25364_lociStitched	chr6	7902245	7919504	5	16827	32776.5669	18	1	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	0.8693	18	1
1_MACS_peak_12705_lociStitched	chr17	43296713	43309195	1	12483	32773.9874	19	1	FMNL1	LOC100133991,C17orf46	FMNL1	FMNL1	1.1366	19	1
2_MACS_peak_5116_lociStitched	chr11	65183575	65193714	2	10047	32146.7134	20	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	2.1532	20	1
10_MACS_peak_2980_lociStitched	chr10	5929828	5949359	10	18294	30112.8958	21	1	FBXO18,ANKRD16		FBXO18	FBXO18	0.651	21	1
11_MACS_peak_3202_lociStitched	chr10	22595345	22616812	11	19734	29965.7853	22	1	COMMD3,BMI1	SPAG6	COMMD3	COMMD3	1.6232	22	1
3_MACS_peak_1550_lociStitched	chr1	149818471	149827684	3	9152	29638.221	23	1	HIST2H2AA4,HIST2H3A,HIST2H2BC	HIST2H4B,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2BC	2.876	23	1
5_MACS_peak_17627_lociStitched	chr2	201980009	201994923	5	14523	29286.6218	24	1	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	0.6377	24	1
7_MACS_peak_13582_lociStitched	chr18	9059203	9074694	7	14689	28941.8353	25	1		NDUFV2	NDUFV2	NDUFV2	0.7063	25	1
15_MACS_peak_8817_lociStitched	chr14	81935404	81957192	15	21111	28890.888	26	1	SEL1L		SEL1L	SEL1L	0.5156	26	1
7_MACS_peak_27914_lociStitched	chr7	81500585	81519420	7	17869	28698.8895	27	1			HGF	HGF	0.1267	27	1
3_MACS_peak_23599_lociStitched	chr5	1311335	1323993	3	12206	28313.4144	28	1	CLPTM1L	TERT	TERT	TERT	0.4886	28	1
