REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	LP.1.jin.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
4_MACS_peak_25239_lociStitched	chr6	290375	333243	4	42651	114410.4052	1	1	DUSP22		DUSP22	1	1
3_MACS_peak_9178_lociStitched	chr14	106144120	106177451	3	32681	143476.6226	2	1			TMEM121	2	1
3_MACS_peak_9170_lociStitched	chr14	106023696	106051179	3	27451	118418.7504	3	1		TMEM121	TMEM121	3	1
4_MACS_peak_21566_lociStitched	chr3	141085104	141113755	4	28082	75684.4816	4	1	ZBTB38		ZBTB38	4	1
12_MACS_peak_22664_lociStitched	chr4	71524275	71549850	12	24479	42922.5225	5	1	IGJ	ENAM,UTP3,RUFY3	IGJ	5	1
15_MACS_peak_8817_lociStitched	chr14	81935404	81957192	15	21111	28890.888	6	1	SEL1L		SEL1L	6	1
11_MACS_peak_23953_lociStitched	chr5	55435541	55455172	11	19110	36843.4608	7	1	ANKRD55		ANKRD55	7	1
5_MACS_peak_1374_lociStitched	chr1	118192318	118211155	5	18186	40676.6178	8	1		FAM46C	FAM46C	8	1
4_MACS_peak_1777_lociStitched	chr1	156457119	156476082	4	18441	38845.7055	9	1	MEF2D		MEF2D	9	1
11_MACS_peak_3202_lociStitched	chr10	22595345	22616812	11	19734	29965.7853	10	1	COMMD3,BMI1	SPAG6	COMMD3	10	1
4_MACS_peak_19625_lociStitched	chr22	23229732	23249091	4	18877	34491.9303	11	1	IGLL5		IGLL5	11	1
8_MACS_peak_19633_lociStitched	chr22	23264592	23282195	8	16850	44491.5825	12	1		IGLL5	IGLL5	12	1
3_MACS_peak_1371_lociStitched	chr1	118171467	118190110	3	18066	36773.3175	13	1		FAM46C	FAM46C	13	1
3_MACS_peak_30147_lociStitched	chr8	126291663	126310799	3	18475	33683.1872	14	1	NSMCE2		TRIB1	14	1
6_MACS_peak_21850_lociStitched	chr3	171809785	171828638	6	18560	33096.4415	15	1	FNDC3B		FNDC3B	15	1
6_MACS_peak_2213_lociStitched	chr1	184708912	184725619	6	16491	43025.5371	16	1	EDEM3		EDEM3	16	1
4_MACS_peak_12939_lociStitched	chr17	56407604	56424096	4	15776	45057.7932	17	1	MIR142,SUPT4H1	MPO,BZRAP1	MIR142	17	1
10_MACS_peak_2980_lociStitched	chr10	5929828	5949359	10	18294	30112.8958	18	1	FBXO18,ANKRD16		FBXO18	18	1
4_MACS_peak_18943_lociStitched	chr20	52195984	52213673	4	17325	34332.5801	19	1	ZNF217		ZNF217	19	1
7_MACS_peak_27914_lociStitched	chr7	81500585	81519420	7	17869	28698.8895	20	1			HGF	20	1
5_MACS_peak_25364_lociStitched	chr6	7902245	7919504	5	16827	32776.5669	21	1	MUTED-TXNDC5,TXNDC5		TXNDC5	21	1
10_MACS_peak_10021_lociStitched	chr15	75063111	75081795	10	17358	25925.9184	22	1	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1	CSK	22	1
10_MACS_peak_27903_lociStitched	chr7	81418251	81436004	10	16874	26038.3251	23	1		HGF	HGF	23	1
13_MACS_peak_23740_lociStitched	chr5	26869383	26887160	13	16871	25787.3162	24	1	CDH9		CDH9	24	1
1_MACS_peak_1688_lociStitched	chr1	154907271	154919265	1	11995	46175.7006	25	1	PMVK,PBXIP1	CKS1B,MIR4258,FLAD1,LENEP,PYGO2,SHC1	PMVK	25	1
12_MACS_peak_890_lociStitched	chr1	51432126	51448806	12	15520	27603.732	26	1	CDKN2C	FAF1	CDKN2C	26	1
10_MACS_peak_8175_lociStitched	chr14	23022874	23040202	10	15908	21854.0736	27	1	DAD1	ABHD4	DAD1	27	1
7_MACS_peak_13582_lociStitched	chr18	9059203	9074694	7	14689	28941.8353	28	1		NDUFV2	NDUFV2	28	1
10_MACS_peak_13907_lociStitched	chr18	46439364	46455926	10	15682	22146.7064	29	1	SMAD7		SMAD7	29	1
5_MACS_peak_17627_lociStitched	chr2	201980009	201994923	5	14523	29286.6218	30	1	CFLAR	NDUFB3,FAM126B	CFLAR	30	1
8_MACS_peak_10710_lociStitched	chr16	11821566	11837579	8	15018	24701.6538	31	1	TXNDC11		TXNDC11	31	1
3_MACS_peak_12135_lociStitched	chr17	18217377	18232394	3	14911	25037.8441	32	1	SMCR8,TOP3A,SHMT1	EVPLL	SMCR8	32	1
10_MACS_peak_4604_lociStitched	chr11	16973425	16990153	10	14825	22617.9288	33	1	PLEKHA7		PLEKHA7	33	1
6_MACS_peak_19898_lociStitched	chr22	37605983	37621377	6	14727	22849.3142	34	1	SSTR3,RAC2	C1QTNF6	SSTR3	34	1
1_MACS_peak_12705_lociStitched	chr17	43296713	43309195	1	12483	32773.9874	35	1	FMNL1	LOC100133991,C17orf46	FMNL1	35	1
4_MACS_peak_21416_lociStitched	chr3	129023274	129037085	4	13495	27017.0782	36	1	C3orf37,C3orf47,H1FX		C3orf47	36	1
4_MACS_peak_2435_lociStitched	chr1	203264706	203278376	4	13211	27104.876	37	1	BTG2,LOC730227	FMOD	LOC730227	37	1
11_MACS_peak_31318_lociStitched	chr9	112908621	112924805	11	14482	17223.0128	38	1	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	38	1
9_MACS_peak_19942_lociStitched	chr22	38783457	38798487	9	13704	20541.501	39	1	LOC400927	KCNJ4	LOC400927	39	1
12_MACS_peak_6099_lociStitched	chr12	9872103	9887820	12	14164	16095.7797	40	1	CLECL1	CLEC2D,CD69	CLECL1	40	1
5_MACS_peak_13272_lociStitched	chr17	74775540	74788985	5	13157	23856.808	41	1		MFSD11,MIR636,SRSF2	MFSD11	41	1
18_MACS_peak_26761_lociStitched	chr6	135332304	135349264	18	14165	15796.544	42	1	HBS1L	MIR3662,HBS1L	HBS1L	42	1
3_MACS_peak_23599_lociStitched	chr5	1311335	1323993	3	12206	28313.4144	43	1	CLPTM1L	TERT	TERT	43	1
6_MACS_peak_31066_lociStitched	chr9	93676408	93690181	6	12952	22696.5267	44	1			SYK	44	1
10_MACS_peak_5132_lociStitched	chr11	65261024	65274815	10	12775	21960.7884	45	1	MALAT1	MIR612,SCYL1	MALAT1	45	1
2_MACS_peak_1573_lociStitched	chr1	150531533	150543125	2	11577	28178.9928	46	1	ADAMTSL4	MIR4257,MCL1	MIR4257	46	1
6_MACS_peak_11940_lociStitched	chr17	6914791	6928170	6	12810	20025.6872	47	1	RNASEK,C17orf49,BCL6B,MIR195,MIR497	ALOX12,SLC16A13,SLC16A11	MIR497	47	1
6_MACS_peak_23542_lociStitched	chr4	186272577	186285715	6	12540	20648.9946	48	1	SNX25,LRP2BP	ANKRD37	LRP2BP	48	1
9_MACS_peak_17653_lociStitched	chr2	202112920	202126797	9	12502	20744.7273	49	1	CASP8		CASP8	49	1
7_MACS_peak_21340_lociStitched	chr3	124499685	124513675	7	12973	16927.9	50	1	ITGB5		UMPS	50	1
2_MACS_peak_5116_lociStitched	chr11	65183575	65193714	2	10047	32146.7134	51	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	51	1
5_MACS_peak_5872_lociStitched	chr11	128585743	128598274	5	12106	17819.082	52	1	FLI1		FLI1	52	1
1_MACS_peak_24284_lociStitched	chr5	88175337	88186897	1	11561	21083.128	53	1	MEF2C		MEF2C	53	1
3_MACS_peak_17961_lociStitched	chr2	231729073	231740315	3	11171	22913.4444	54	1	ITM2C	GPR55	ITM2C	54	1
3_MACS_peak_29736_lociStitched	chr8	95953546	95964012	3	10276	25844.7404	55	1	TP53INP1	CCNE2	TP53INP1	55	1
3_MACS_peak_18773_lociStitched	chr20	43270616	43282299	3	11390	19864.6049	56	1	ADA	LOC79015	ADA	56	1
8_MACS_peak_6500_lociStitched	chr12	53590801	53603590	8	11634	17939.1303	57	1	ITGB7	ZNF740,MFSD5,CSAD,RARG	ITGB7	57	1
3_MACS_peak_1550_lociStitched	chr1	149818471	149827684	3	9152	29638.221	58	1	HIST2H2AA4,HIST2H3A,HIST2H2BC	HIST2H4B,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	58	1
5_MACS_peak_21880_lociStitched	chr3	177068504	177079956	5	10968	21127.7948	59	1			TBL1XR1	59	1
