#LP-1 Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/LP-1.H3K27ac_ROSE/LP-1_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by LP.1.jin.bam
#Using cutoff of 8115.7302 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	LP.1.jin.bam	enhancerRank	isSuper
3_MACS_peak_9178_lociStitched	chr14	106144120	106177451	3	32681	143476.6226	1	1
3_MACS_peak_9170_lociStitched	chr14	106023696	106051179	3	27451	118418.7504	2	1
4_MACS_peak_25239_lociStitched	chr6	290375	333243	4	42651	114410.4052	3	1
4_MACS_peak_21566_lociStitched	chr3	141085104	141113755	4	28082	75684.4816	4	1
1_MACS_peak_1688_lociStitched	chr1	154907271	154919265	1	11995	46175.7006	5	1
4_MACS_peak_12939_lociStitched	chr17	56407604	56424096	4	15776	45057.7932	6	1
8_MACS_peak_19633_lociStitched	chr22	23264592	23282195	8	16850	44491.5825	7	1
6_MACS_peak_2213_lociStitched	chr1	184708912	184725619	6	16491	43025.5371	8	1
12_MACS_peak_22664_lociStitched	chr4	71524275	71549850	12	24479	42922.5225	9	1
5_MACS_peak_1374_lociStitched	chr1	118192318	118211155	5	18186	40676.6178	10	1
4_MACS_peak_1777_lociStitched	chr1	156457119	156476082	4	18441	38845.7055	11	1
11_MACS_peak_23953_lociStitched	chr5	55435541	55455172	11	19110	36843.4608	12	1
3_MACS_peak_1371_lociStitched	chr1	118171467	118190110	3	18066	36773.3175	13	1
4_MACS_peak_19625_lociStitched	chr22	23229732	23249091	4	18877	34491.9303	14	1
4_MACS_peak_18943_lociStitched	chr20	52195984	52213673	4	17325	34332.5801	15	1
3_MACS_peak_30147_lociStitched	chr8	126291663	126310799	3	18475	33683.1872	16	1
6_MACS_peak_21850_lociStitched	chr3	171809785	171828638	6	18560	33096.4415	17	1
5_MACS_peak_25364_lociStitched	chr6	7902245	7919504	5	16827	32776.5669	18	1
1_MACS_peak_12705_lociStitched	chr17	43296713	43309195	1	12483	32773.9874	19	1
2_MACS_peak_5116_lociStitched	chr11	65183575	65193714	2	10047	32146.7134	20	1
10_MACS_peak_2980_lociStitched	chr10	5929828	5949359	10	18294	30112.8958	21	1
11_MACS_peak_3202_lociStitched	chr10	22595345	22616812	11	19734	29965.7853	22	1
3_MACS_peak_1550_lociStitched	chr1	149818471	149827684	3	9152	29638.221	23	1
5_MACS_peak_17627_lociStitched	chr2	201980009	201994923	5	14523	29286.6218	24	1
7_MACS_peak_13582_lociStitched	chr18	9059203	9074694	7	14689	28941.8353	25	1
15_MACS_peak_8817_lociStitched	chr14	81935404	81957192	15	21111	28890.888	26	1
7_MACS_peak_27914_lociStitched	chr7	81500585	81519420	7	17869	28698.8895	27	1
3_MACS_peak_23599_lociStitched	chr5	1311335	1323993	3	12206	28313.4144	28	1
2_MACS_peak_1573_lociStitched	chr1	150531533	150543125	2	11577	28178.9928	29	1
4_MACS_peak_1546_lociStitched	chr1	149809645	149817659	4	7981	27942.4138	30	1
12_MACS_peak_890_lociStitched	chr1	51432126	51448806	12	15520	27603.732	31	1
1_MACS_peak_2000_lociStitched	chr1	167595778	167602409	1	6632	27216.9395	32	1
4_MACS_peak_2435_lociStitched	chr1	203264706	203278376	4	13211	27104.876	33	1
4_MACS_peak_21416_lociStitched	chr3	129023274	129037085	4	13495	27017.0782	34	1
10_MACS_peak_27903_lociStitched	chr7	81418251	81436004	10	16874	26038.3251	35	1
10_MACS_peak_10021_lociStitched	chr15	75063111	75081795	10	17358	25925.9184	36	1
3_MACS_peak_29736_lociStitched	chr8	95953546	95964012	3	10276	25844.7404	37	1
13_MACS_peak_23740_lociStitched	chr5	26869383	26887160	13	16871	25787.3162	38	1
1_MACS_peak_1746_lociStitched	chr1	155943980	155953499	1	9520	25273.8969	39	1
3_MACS_peak_1696_lociStitched	chr1	154969624	154977530	3	7724	25169.5416	40	1
3_MACS_peak_12135_lociStitched	chr17	18217377	18232394	3	14911	25037.8441	41	1
8_MACS_peak_10710_lociStitched	chr16	11821566	11837579	8	15018	24701.6538	42	1
2_MACS_peak_1554_lociStitched	chr1	149855164	149861437	2	6196	24119.685	43	1
5_MACS_peak_13272_lociStitched	chr17	74775540	74788985	5	13157	23856.808	44	1
3_MACS_peak_10747_lociStitched	chr16	14394935	14405511	3	10463	23127.5968	45	1
3_MACS_peak_17961_lociStitched	chr2	231729073	231740315	3	11171	22913.4444	46	1
6_MACS_peak_19898_lociStitched	chr22	37605983	37621377	6	14727	22849.3142	47	1
6_MACS_peak_31066_lociStitched	chr9	93676408	93690181	6	12952	22696.5267	48	1
10_MACS_peak_4604_lociStitched	chr11	16973425	16990153	10	14825	22617.9288	49	1
10_MACS_peak_13907_lociStitched	chr18	46439364	46455926	10	15682	22146.7064	50	1
10_MACS_peak_5132_lociStitched	chr11	65261024	65274815	10	12775	21960.7884	51	1
10_MACS_peak_8175_lociStitched	chr14	23022874	23040202	10	15908	21854.0736	52	1
5_MACS_peak_23469_lociStitched	chr4	185200709	185210726	5	9827	21182.9499	53	1
5_MACS_peak_21880_lociStitched	chr3	177068504	177079956	5	10968	21127.7948	54	1
1_MACS_peak_24284_lociStitched	chr5	88175337	88186897	1	11561	21083.128	55	1
1_MACS_peak_1461_lociStitched	chr1	145208237	145212535	1	4299	21046.8762	56	1
4_MACS_peak_2089_lociStitched	chr1	174931964	174942885	4	10829	21044.767	57	1
3_MACS_peak_23903_lociStitched	chr5	53813487	53823335	3	9360	20930.9392	58	1
4_MACS_peak_17993_lociStitched	chr2	232570140	232577512	4	7077	20884.1388	59	1
1_MACS_peak_21878_lociStitched	chr3	176912348	176921112	1	8765	20873.2188	60	1
3_MACS_peak_7341_lociStitched	chr12	122237164	122244117	3	6791	20763.7439	61	1
9_MACS_peak_17653_lociStitched	chr2	202112920	202126797	9	12502	20744.7273	62	1
6_MACS_peak_23542_lociStitched	chr4	186272577	186285715	6	12540	20648.9946	63	1
9_MACS_peak_19942_lociStitched	chr22	38783457	38798487	9	13704	20541.501	64	1
1_MACS_peak_28712_lociStitched	chr7	150100473	150107143	1	6671	20397.527	65	1
3_MACS_peak_25886_lociStitched	chr6	32934849	32941590	3	6290	20384.1099	66	1
2_MACS_peak_14079_lociStitched	chr18	60822423	60832046	2	9574	20195.7901	67	1
4_MACS_peak_28158_lociStitched	chr7	101382399	101393194	4	10030	20135.9135	68	1
6_MACS_peak_11940_lociStitched	chr17	6914791	6928170	6	12810	20025.6872	69	1
1_MACS_peak_2182_lociStitched	chr1	183808692	183816953	1	8262	19899.9229	70	1
4_MACS_peak_16822_lociStitched	chr2	86219764	86228883	4	8632	19867.5653	71	1
3_MACS_peak_18773_lociStitched	chr20	43270616	43282299	3	11390	19864.6049	72	1
2_MACS_peak_17824_lociStitched	chr2	217079288	217089623	2	9971	19862.8365	73	1
4_MACS_peak_31081_lociStitched	chr9	93732176	93741957	4	9395	19807.5031	74	1
6_MACS_peak_4677_lociStitched	chr11	22684103	22692560	6	8340	19628.697	75	1
2_MACS_peak_2397_lociStitched	chr1	200986185	200992880	2	6668	19369.974	76	1
1_MACS_peak_28012_lociStitched	chr7	92459122	92466899	1	7778	18812.563	77	1
2_MACS_peak_26161_lociStitched	chr6	45386741	45394448	2	7699	18644.0037	78	1
2_MACS_peak_1668_lociStitched	chr1	154296576	154302485	2	5825	18545.9874	79	1
1_MACS_peak_1671_lociStitched	chr1	154374045	154381941	1	7897	18513.7512	80	1
2_MACS_peak_9785_lociStitched	chr15	60874838	60885436	2	10294	18365.2742	81	1
4_MACS_peak_2507_lociStitched	chr1	206285974	206295219	4	8620	18362.419	82	1
4_MACS_peak_14819_lociStitched	chr19	16473781	16485221	4	10616	18146.128	83	1
2_MACS_peak_22524_lociStitched	chr4	40194104	40203269	2	9147	17974.398	84	1
5_MACS_peak_7071_lociStitched	chr12	109020998	109031676	5	10403	17963.5994	85	1
8_MACS_peak_6500_lociStitched	chr12	53590801	53603590	8	11634	17939.1303	86	1
3_MACS_peak_29112_lociStitched	chr8	26428208	26437377	3	8647	17862.1289	87	1
5_MACS_peak_5872_lociStitched	chr11	128585743	128598274	5	12106	17819.082	88	1
1_MACS_peak_2434_lociStitched	chr1	203254941	203261544	1	6604	17803.0086	89	1
2_MACS_peak_28249_lociStitched	chr7	104651443	104657836	2	6323	17770.6221	90	1
3_MACS_peak_30162_lociStitched	chr8	126441062	126447672	3	6385	17685.055	91	1
4_MACS_peak_25243_lociStitched	chr6	389087	397589	4	8289	17513.2698	92	1
4_MACS_peak_19126_lociStitched	chr20	62364511	62373107	4	8476	17478.2468	93	1
2_MACS_peak_29795_lociStitched	chr8	101318162	101323675	2	5509	17472.9022	94	1
8_MACS_peak_31091_lociStitched	chr9	93917328	93928431	8	9393	17442.813	95	1
3_MACS_peak_28633_lociStitched	chr7	141254713	141265025	3	10112	17315.9104	96	1
3_MACS_peak_28190_lociStitched	chr7	102063773	102070608	3	6758	17226.2505	97	1
11_MACS_peak_31318_lociStitched	chr9	112908621	112924805	11	14482	17223.0128	98	1
2_MACS_peak_24713_lociStitched	chr5	138721515	138730427	2	8533	17184.1184	99	1
7_MACS_peak_21340_lociStitched	chr3	124499685	124513675	7	12973	16927.9	100	1
2_MACS_peak_2956_lociStitched	chr10	3823232	3829091	2	5669	16811.2287	101	1
4_MACS_peak_12604_lociStitched	chr17	40825176	40833894	4	8203	16776.0474	102	1
4_MACS_peak_4979_lociStitched	chr11	62316903	62328079	4	10562	16472.3064	103	1
2_MACS_peak_1792_lociStitched	chr1	156716489	156722583	2	6020	16470.2538	104	1
6_MACS_peak_29643_lociStitched	chr8	85158720	85169757	6	10186	16466.1003	105	1
2_MACS_peak_7451_lociStitched	chr12	125398417	125406303	2	7873	16424.1722	106	1
3_MACS_peak_28237_lociStitched	chr7	104578642	104587138	3	8344	16395.5808	107	1
5_MACS_peak_21657_lociStitched	chr3	151911497	151923359	5	11286	16313.8086	108	1
3_MACS_peak_15182_lociStitched	chr19	39892230	39902386	3	9690	16269.912	109	1
3_MACS_peak_2307_lociStitched	chr1	194796344	194802832	3	6140	16232.976	110	1
2_MACS_peak_19728_lociStitched	chr22	29191229	29199002	2	7278	16169.3946	111	1
12_MACS_peak_6099_lociStitched	chr12	9872103	9887820	12	14164	16095.7797	112	1
5_MACS_peak_2354_lociStitched	chr1	198898074	198907465	5	8934	16089.6003	113	1
2_MACS_peak_10041_lociStitched	chr15	75334059	75341612	2	7529	16075.0499	114	1
1_MACS_peak_1545_lociStitched	chr1	149801668	149808309	1	6642	16071.22	115	1
2_MACS_peak_441_lociStitched	chr1	27018559	27025245	2	6616	15931.4008	116	1
3_MACS_peak_2439_lociStitched	chr1	203288605	203298166	3	9360	15876.0405	117	1
4_MACS_peak_28175_lociStitched	chr7	101928551	101938305	4	9611	15821.9634	118	1
7_MACS_peak_23763_lociStitched	chr5	27462941	27474382	7	10438	15802.3092	119	1
18_MACS_peak_26761_lociStitched	chr6	135332304	135349264	18	14165	15796.544	120	1
4_MACS_peak_4529_lociStitched	chr11	10323912	10332936	4	8823	15720.7104	121	1
3_MACS_peak_2500_lociStitched	chr1	206132395	206139829	3	6635	15669.3852	122	1
3_MACS_peak_21665_lociStitched	chr3	151984062	151990920	3	6821	15638.9832	123	1
3_MACS_peak_23596_lociStitched	chr5	1290852	1297716	3	6718	15621.7776	124	1
1_MACS_peak_2396_lociStitched	chr1	200858935	200864790	1	5856	15610.0155	125	1
5_MACS_peak_13433_lociStitched	chr17	79478472	79485251	5	6426	15602.5464	126	1
4_MACS_peak_25644_lociStitched	chr6	27094352	27102869	4	8182	15565.6692	127	1
1_MACS_peak_1553_lociStitched	chr1	149829156	149835065	1	5910	15548.3517	128	1
3_MACS_peak_5773_lociStitched	chr11	120365550	120374955	3	8938	15497.559	129	1
4_MACS_peak_25577_lociStitched	chr6	26025981	26035349	4	9273	15480.62	130	1
4_MACS_peak_3775_lociStitched	chr10	89620179	89628591	4	8097	15456.2088	131	1
6_MACS_peak_21645_lociStitched	chr3	150314344	150322874	6	8392	15431.623	132	1
2_MACS_peak_13095_lociStitched	chr17	65641831	65650244	2	8356	15369.7097	133	1
2_MACS_peak_29888_lociStitched	chr8	103816777	103823090	2	6162	15340.59	134	1
5_MACS_peak_4116_lociStitched	chr10	111967300	111975832	5	8324	15309.8208	135	1
7_MACS_peak_7387_lociStitched	chr12	123370687	123381141	7	9619	15297.3382	136	1
3_MACS_peak_3044_lociStitched	chr10	11216750	11224177	3	7302	15259.5142	137	1
5_MACS_peak_28181_lociStitched	chr7	101945397	101954007	5	8077	15250.032	138	1
1_MACS_peak_9947_lociStitched	chr15	69109105	69114482	1	5378	15245.4081	139	1
3_MACS_peak_3793_lociStitched	chr10	90144014	90152636	3	8372	15243.696	140	1
2_MACS_peak_10063_lociStitched	chr15	75491150	75497177	2	5981	15201.2994	141	1
3_MACS_peak_25798_lociStitched	chr6	31701402	31708992	3	7391	15172.41	142	1
5_MACS_peak_8767_lociStitched	chr14	77487548	77496472	5	8537	15052.1108	143	1
8_MACS_peak_20667_lociStitched	chr3	45605926	45618471	8	11271	14944.8585	144	1
3_MACS_peak_9726_lociStitched	chr15	58749435	58759107	3	9215	14891.9784	145	1
1_MACS_peak_1531_lociStitched	chr1	149222039	149225573	1	3535	14868.9516	146	1
3_MACS_peak_31074_lociStitched	chr9	93701422	93708710	3	7202	14839.0968	147	1
1_MACS_peak_18760_lociStitched	chr20	42695557	42700704	1	5148	14803.2867	148	1
3_MACS_peak_28007_lociStitched	chr7	92437175	92445852	3	8459	14769.1217	149	1
4_MACS_peak_4973_lociStitched	chr11	62223496	62232769	4	9080	14738.5062	150	1
1_MACS_peak_3043_lociStitched	chr10	11203611	11210199	1	6589	14663.5704	151	1
1_MACS_peak_29739_lociStitched	chr8	95970069	95976953	1	6885	14580.312	152	1
3_MACS_peak_18737_lociStitched	chr20	42336571	42345985	3	9367	14445.783	153	1
4_MACS_peak_29926_lociStitched	chr8	105287846	105295105	4	7129	14357.5761	154	1
2_MACS_peak_1838_lociStitched	chr1	160677075	160684842	2	7589	14349.5325	155	1
2_MACS_peak_1862_lociStitched	chr1	161151085	161157730	2	6622	14268.144	156	1
1_MACS_peak_29133_lociStitched	chr8	27230442	27238585	1	8144	14260.0216	157	1
4_MACS_peak_11514_lociStitched	chr16	79629847	79637025	4	6599	14188.7526	158	1
5_MACS_peak_22972_lociStitched	chr4	105407251	105417028	5	9363	14136.5643	159	1
3_MACS_peak_11529_lociStitched	chr16	79908049	79916096	3	7573	14123.2897	160	1
1_MACS_peak_29820_lociStitched	chr8	101962303	101966333	1	4031	14063.894	161	1
1_MACS_peak_30031_lociStitched	chr8	119574209	119580903	1	6695	13914.1484	162	1
2_MACS_peak_13920_lociStitched	chr18	46473475	46480056	2	6534	13904.9949	163	1
1_MACS_peak_4260_lociStitched	chr10	125850107	125856047	1	5941	13894.848	164	1
8_MACS_peak_9895_lociStitched	chr15	67368792	67381131	8	11241	13875.2055	165	1
