REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM10_jia.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
14_MACS_peak_19726_lociStitched	chr3	141079613	141161323	14	71579	288877.534	1	1	ZBTB38	RASA2	ZBTB38	ZBTB38	2.1682	1	1
8_MACS_peak_11870_lociStitched	chr17	62133214	62209832	8	72989	151389.5062	2	1	ERN1	SNORD104,SNORA76,ICAM2	ERN1	ERN1	1.6141	2	1
17_MACS_peak_10083_lociStitched	chr16	11766652	11837847	17	59317	76321.04	3	1	SNN,TXNDC11		TXNDC11	TXNDC11	1.0393	3	1
11_MACS_peak_15258_lociStitched	chr2	99054927	99111686	11	47175	69932.7639	4	1	INPP4A		INPP4A	INPP4A	0.5823	4	1
11_MACS_peak_8635_lociStitched	chr14	91828614	91885530	11	41663	91799.8164	5	1	CCDC88C		CCDC88C	CCDC88C	0.7807	5	1
10_MACS_peak_9802_lociStitched	chr15	93424186	93471193	10	33592	124074.9765	6	1	LOC100507217,CHD2,MIR3175		MIR3175	MIR3175	5.6348	6	1
11_MACS_peak_14455_lociStitched	chr2	37508628	37554167	11	39138	88628.0018	7	1	PRKD3	C2orf56,QPCT,CEBPZ	PRKD3	QPCT	1.6716	7	1
2_MACS_peak_15195_lociStitched	chr2	88889978	88928696	2	38648	85346.0874	8	1	EIF2AK3		EIF2AK3	EIF2AK3	1.1857	8	1
14_MACS_peak_14836_lociStitched	chr2	64318210	64372272	14	40647	61700.9606	9	1	PELI1		PELI1	PELI1	1.0108	9	1
4_MACS_peak_2833_lociStitched	chr1	244996250	245029169	4	30750	118873.8009	10	1	FAM36A,NCRNA00201,HNRNPU		NCRNA00201	NCRNA00201	1.0894	10	1
8_MACS_peak_17479_lociStitched	chr21	19147414	19193148	8	35406	92661.6574	11	1	C21orf91		C21orf91	C21orf91	1.847	11	1
7_MACS_peak_26799_lociStitched	chr7	90337417	90381237	7	29962	117604.116	12	1	CDK14		CDK14	CDK14	0.387	12	1
1_MACS_peak_2731_lociStitched	chr1	234734237	234750812	1	16576	152634.2025	13	1	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	9.9203	13	1
1_MACS_peak_23025_lociStitched	chr5	88162082	88186968	1	24887	128921.923	14	1	MEF2C	MEF2C	MEF2C	MEF2C	0.9828	14	1
6_MACS_peak_15174_lociStitched	chr2	87781972	87823157	6	34305	88782.5045	15	1	NCRNA00152		NCRNA00152	NCRNA00152	1.6386	15	1
11_MACS_peak_24986_lociStitched	chr6	90035740	90086490	11	35142	83341.65	16	1	UBE2J1,RRAGD	GABRR2	UBE2J1	UBE2J1	1.7355	16	1
7_MACS_peak_5514_lociStitched	chr12	9858415	9896524	7	34022	89476.1211	17	1	CLECL1	CLEC2D,CD69	CLECL1	CLECL1	3.416	17	1
1_MACS_peak_1456_lociStitched	chr1	150532097	150553228	1	21132	134970.0363	18	1	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	3.696	18	1
3_MACS_peak_25126_lociStitched	chr6	106530176	106560423	3	29525	100444.2376	19	1	PRDM1		PRDM1	PRDM1	3.0069	19	1
11_MACS_peak_27029_lociStitched	chr7	104643166	104691078	11	26572	103533.0408	20	1	MLL5,LOC100216545		MLL5	MLL5	1.0386	20	1
9_MACS_peak_7002_lociStitched	chr12	123347384	123388254	9	31253	80407.638	21	1	HIP1R,VPS37B		VPS37B	VPS37B	1.9002	21	1
4_MACS_peak_2050_lociStitched	chr1	184693058	184725669	4	28924	92311.9577	22	1	EDEM3		EDEM3	EDEM3	1.4349	22	1
5_MACS_peak_1275_lociStitched	chr1	118147733	118187908	5	34324	47776.11	23	1	FAM46C		FAM46C	FAM46C	1.2904	23	1
7_MACS_peak_23878_lociStitched	chr6	7880507	7919948	7	33789	53300.5674	24	1	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	1.151	24	1
3_MACS_peak_20859_lociStitched	chr4	40191428	40216605	3	24049	100778.4956	25	1	RHOH		RHOH	RHOH	1.8128	25	1
14_MACS_peak_20471_lociStitched	chr4	1900343	1944391	14	32634	37568.5392	26	1	WHSC1	SCARNA22,LETM1,MIR943	WHSC1	WHSC1	0.5679	26	1
1_MACS_peak_5557_lociStitched	chr12	12866145	12880412	1	14268	119687.2897	27	1	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	7.9809	27	1
2_MACS_peak_22094_lociStitched	chr4	177038972	177062967	2	23544	93304.5575	28	1	WDR17		WDR17	WDR17	0.8662	28	1
5_MACS_peak_4583_lociStitched	chr11	65183822	65211408	5	20885	101968.8904	29	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	6.6995	29	1
7_MACS_peak_16137_lociStitched	chr2	197006897	197048545	7	28651	66099.5408	30	1	STK17B		STK17B	STK17B	1.1987	30	1
3_MACS_peak_11322_lociStitched	chr17	29628230	29649562	3	20591	100855.5628	31	1	NF1,EVI2B,EVI2A	OMG	EVI2B	EVI2B	3.5436	31	1
3_MACS_peak_6708_lociStitched	chr12	104321117	104351934	3	26995	71738.8943	32	1	HSP90B1,MIR3652,GNN,C12orf73	TDG	MIR3652	MIR3652	4.607	32	1
5_MACS_peak_23787_lociStitched	chr6	290261	331333	5	27033	68738.0992	33	1	DUSP22		DUSP22	DUSP22	1.0472	33	1
4_MACS_peak_1643_lociStitched	chr1	156447382	156475907	4	23649	85098.6325	34	1	MEF2D	C1orf61	MEF2D	MEF2D	1.8875	34	1
6_MACS_peak_1575_lociStitched	chr1	154927032	154957515	6	20478	96338.4732	35	1	CKS1B,MIR4258,FLAD1,PBXIP1,PYGO2,SHC1	LENEP,ZBTB7B,DCST1,PMVK,DCST2	SHC1	SHC1	3.7784	35	1
6_MACS_peak_18292_lociStitched	chr3	5222793	5251096	6	25989	70751.8394	36	1	EDEM1		EDEM1	EDEM1	1.6802	36	1
7_MACS_peak_8539_lociStitched	chr14	81967804	82001010	7	24274	79063.486	37	1	SEL1L		SEL1L	SEL1L	1.6385	37	1
7_MACS_peak_1738_lociStitched	chr1	161122696	161157833	7	23068	82779.2583	38	1	UFC1,USP21,PPOX,B4GALT3	NIT1,NDUFS2,FCER1G,TOMM40L,PFDN2,DEDD,ADAMTS4,APOA2	PPOX	PPOX	1.2806	38	1
2_MACS_peak_16221_lociStitched	chr2	201979438	202000258	2	20090	92563.638	39	1	CFLAR	NDUFB3,CASP10,FAM126B	CFLAR	CFLAR	1.7462	39	1
10_MACS_peak_18533_lociStitched	chr3	31571983	31617604	10	28810	41273.3187	40	1	STT3B		STT3B	STT3B	0.5261	40	1
1_MACS_peak_11320_lociStitched	chr17	29575587	29590640	1	15054	103368.951	41	1	NF1	OMG	OMG	OMG	0.1568	41	1
3_MACS_peak_25778_lociStitched	chr6	159211667	159240953	3	26398	56106.1188	42	1	EZR	MIR3918,OSTCL	EZR	EZR	0.9915	42	1
3_MACS_peak_1618_lociStitched	chr1	155929062	155954287	3	22738	76974.0875	43	1	ARHGEF2	RXFP4,RIT1,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	ARHGEF2	2.1238	43	1
6_MACS_peak_26243_lociStitched	chr7	29694307	29726387	6	26881	47789.576	44	1	DPY19L2P3,LOC646762,LOC100271874		LOC646762	LOC646762	1.0467	44	1
4_MACS_peak_15369_lociStitched	chr2	112184685	112212643	4	25241	59159.128	45	1	LOC541471		LOC541471	LOC541471	0.6976	45	1
7_MACS_peak_22467_lociStitched	chr5	32571026	32609943	7	25311	57869.579	46	1	SUB1		SUB1	SUB1	1.7538	46	1
5_MACS_peak_17343_lociStitched	chr20	57460001	57485861	5	23199	69643.566	47	1	GNAS	GNAS-AS	GNAS	GNAS	1.0697	47	1
6_MACS_peak_5476_lociStitched	chr12	7045474	7081279	6	25066	53242.035	48	1	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12	LRRC23,ENO2,LPCAT3	PTPN6	PTPN6	1.6081	48	1
2_MACS_peak_5935_lociStitched	chr12	46116154	46137729	2	17735	87417.585	49	1	ARID2,LOC400027		ARID2	ARID2	0.5806	49	1
1_MACS_peak_27444_lociStitched	chr7	137662633	137687621	1	24989	49013.962	50	1	CREB3L2		CREB3L2	CREB3L2	0.6409	50	1
4_MACS_peak_19933_lociStitched	chr3	160116096	160141167	4	22304	64979.0178	51	1	SMC4,MIR15B,MIR16-2,IFT80	IFT80,TRIM59	MIR16-2	MIR16-2	5.0358	51	1
9_MACS_peak_20220_lociStitched	chr3	183220045	183260693	9	25686	40440.6952	52	1	KLHL6		KLHL6	KLHL6	0.9905	52	1
5_MACS_peak_14466_lociStitched	chr2	37559978	37593498	5	24375	50581.68	53	1	QPCT	PRKD3	QPCT	QPCT	1.6716	53	1
3_MACS_peak_21804_lociStitched	chr4	144256633	144284820	3	22675	60737.3476	54	1	GAB1		GAB1	GAB1	0.6943	54	1
8_MACS_peak_18866_lociStitched	chr3	52718154	52755822	8	23610	52234.2156	55	1	GNL3,SNORD19,SNORD19B,SNORD69,SPCS1,PBRM1,GLT8D1,NEK4	PBRM1	GLT8D1	GLT8D1	1.4093	55	1
5_MACS_peak_18402_lociStitched	chr3	15832751	15860606	5	17546	80105.409	56	1	ANKRD28	ANKRD28	ANKRD28	ANKRD28	0.5694	56	1
4_MACS_peak_23792_lociStitched	chr6	388995	413327	4	23152	48707.7976	57	1	IRF4		IRF4	IRF4	1.6734	57	1
3_MACS_peak_20044_lociStitched	chr3	171800804	171826865	3	22932	49023.3471	58	1	FNDC3B		FNDC3B	FNDC3B	0.4107	58	1
3_MACS_peak_1433_lociStitched	chr1	149810870	149833878	3	15551	82232.8928	59	1	HIST2H2AA4,HIST2H3A,HIST2H2BC,HIST2H4B	HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2AC	5.6639	59	1
4_MACS_peak_8535_lociStitched	chr14	81930705	81961293	4	24221	36739.2468	60	1	SEL1L		SEL1L	SEL1L	1.6385	60	1
5_MACS_peak_24327_lociStitched	chr6	32934678	32952759	5	13667	84819.7791	61	1	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	BRD2	3.7333	61	1
3_MACS_peak_27147_lociStitched	chr7	114555877	114583755	3	21165	53422.6114	62	1	MDFIC		MDFIC	MDFIC	1.839	62	1
6_MACS_peak_7307_lociStitched	chr13	41542987	41570516	6	22817	40682.3562	63	1	ELF1	SUGT1P3	ELF1	ELF1	0.687	63	1
4_MACS_peak_28492_lociStitched	chr8	98654757	98677938	4	20458	56431.8264	64	1	MTDH		MTDH	MTDH	0.7303	64	1
3_MACS_peak_24869_lociStitched	chr6	79771836	79794543	3	18105	67308.0894	65	1	PHIP		PHIP	PHIP	0.6139	65	1
5_MACS_peak_29453_lociStitched	chr9	37185205	37213586	5	22706	37315.3388	66	1	ZCCHC7		ZCCHC7	ZCCHC7	0.6097	66	1
7_MACS_peak_17145_lociStitched	chr20	43587570	43622397	7	21283	48590.6304	67	1	STK4,TOMM34	PABPC1L	STK4	STK4	0.538	67	1
2_MACS_peak_7043_lociStitched	chr12	125394247	125413618	2	14840	76410.8466	68	1	UBC	SCARB1	UBC	UBC	4.6253	68	1
