#MM10_jia_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/MM10_jia_ROSE/MM10_jia_peaks_5KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by MM10_jia.bam
#Using cutoff of 18600.4404 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM10_jia.bam	enhancerRank	isSuper
14_MACS_peak_19726_lociStitched	chr3	141079613	141161323	14	71579	288877.534	1	1
1_MACS_peak_2731_lociStitched	chr1	234734237	234750812	1	16576	152634.2025	2	1
8_MACS_peak_11870_lociStitched	chr17	62133214	62209832	8	72989	151389.5062	3	1
1_MACS_peak_1456_lociStitched	chr1	150532097	150553228	1	21132	134970.0363	4	1
1_MACS_peak_23025_lociStitched	chr5	88162082	88186968	1	24887	128921.923	5	1
10_MACS_peak_9802_lociStitched	chr15	93424186	93471193	10	33592	124074.9765	6	1
1_MACS_peak_5557_lociStitched	chr12	12866145	12880412	1	14268	119687.2897	7	1
4_MACS_peak_2833_lociStitched	chr1	244996250	245029169	4	30750	118873.8009	8	1
7_MACS_peak_26799_lociStitched	chr7	90337417	90381237	7	29962	117604.116	9	1
11_MACS_peak_27029_lociStitched	chr7	104643166	104691078	11	26572	103533.0408	10	1
1_MACS_peak_11320_lociStitched	chr17	29575587	29590640	1	15054	103368.951	11	1
5_MACS_peak_4583_lociStitched	chr11	65183822	65211408	5	20885	101968.8904	12	1
3_MACS_peak_11322_lociStitched	chr17	29628230	29649562	3	20591	100855.5628	13	1
3_MACS_peak_20859_lociStitched	chr4	40191428	40216605	3	24049	100778.4956	14	1
3_MACS_peak_25126_lociStitched	chr6	106530176	106560423	3	29525	100444.2376	15	1
6_MACS_peak_1575_lociStitched	chr1	154927032	154957515	6	20478	96338.4732	16	1
2_MACS_peak_22094_lociStitched	chr4	177038972	177062967	2	23544	93304.5575	17	1
8_MACS_peak_17479_lociStitched	chr21	19147414	19193148	8	35406	92661.6574	18	1
