REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM10_jia.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
8_MACS_peak_11870_lociStitched	chr17	62133214	62209832	8	72989	151389.5062	1	1	ERN1	SNORD104,SNORA76,ICAM2	ERN1	1	1
14_MACS_peak_19726_lociStitched	chr3	141079613	141161323	14	71579	288877.534	2	1	ZBTB38	RASA2	ZBTB38	2	1
17_MACS_peak_10083_lociStitched	chr16	11766652	11837847	17	59317	76321.04	3	1	SNN,TXNDC11		TXNDC11	3	1
11_MACS_peak_15258_lociStitched	chr2	99054927	99111686	11	47175	69932.7639	4	1	INPP4A		INPP4A	4	1
11_MACS_peak_8635_lociStitched	chr14	91828614	91885530	11	41663	91799.8164	5	1	CCDC88C		CCDC88C	5	1
14_MACS_peak_14836_lociStitched	chr2	64318210	64372272	14	40647	61700.9606	6	1	PELI1		PELI1	6	1
11_MACS_peak_14455_lociStitched	chr2	37508628	37554167	11	39138	88628.0018	7	1	PRKD3	C2orf56,QPCT,CEBPZ	PRKD3	7	1
2_MACS_peak_15195_lociStitched	chr2	88889978	88928696	2	38648	85346.0874	8	1	EIF2AK3		EIF2AK3	8	1
8_MACS_peak_17479_lociStitched	chr21	19147414	19193148	8	35406	92661.6574	9	1	C21orf91		C21orf91	9	1
11_MACS_peak_24986_lociStitched	chr6	90035740	90086490	11	35142	83341.65	10	1	UBE2J1,RRAGD	GABRR2	UBE2J1	10	1
5_MACS_peak_1275_lociStitched	chr1	118147733	118187908	5	34324	47776.11	11	1	FAM46C		FAM46C	11	1
6_MACS_peak_15174_lociStitched	chr2	87781972	87823157	6	34305	88782.5045	12	1	NCRNA00152		NCRNA00152	12	1
7_MACS_peak_5514_lociStitched	chr12	9858415	9896524	7	34022	89476.1211	13	1	CLECL1	CLEC2D,CD69	CLECL1	13	1
7_MACS_peak_23878_lociStitched	chr6	7880507	7919948	7	33789	53300.5674	14	1	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	14	1
10_MACS_peak_9802_lociStitched	chr15	93424186	93471193	10	33592	124074.9765	15	1	LOC100507217,CHD2,MIR3175		MIR3175	15	1
14_MACS_peak_20471_lociStitched	chr4	1900343	1944391	14	32634	37568.5392	16	1	WHSC1	SCARNA22,LETM1,MIR943	WHSC1	16	1
9_MACS_peak_7002_lociStitched	chr12	123347384	123388254	9	31253	80407.638	17	1	HIP1R,VPS37B		VPS37B	17	1
4_MACS_peak_2833_lociStitched	chr1	244996250	245029169	4	30750	118873.8009	18	1	FAM36A,NCRNA00201,HNRNPU		NCRNA00201	18	1
7_MACS_peak_26799_lociStitched	chr7	90337417	90381237	7	29962	117604.116	19	1	CDK14		CDK14	19	1
3_MACS_peak_25126_lociStitched	chr6	106530176	106560423	3	29525	100444.2376	20	1	PRDM1		PRDM1	20	1
4_MACS_peak_2050_lociStitched	chr1	184693058	184725669	4	28924	92311.9577	21	1	EDEM3		EDEM3	21	1
10_MACS_peak_18533_lociStitched	chr3	31571983	31617604	10	28810	41273.3187	22	1	STT3B		STT3B	22	1
7_MACS_peak_16137_lociStitched	chr2	197006897	197048545	7	28651	66099.5408	23	1	STK17B		STK17B	23	1
5_MACS_peak_23787_lociStitched	chr6	290261	331333	5	27033	68738.0992	24	1	DUSP22		DUSP22	24	1
3_MACS_peak_6708_lociStitched	chr12	104321117	104351934	3	26995	71738.8943	25	1	HSP90B1,MIR3652,GNN,C12orf73	TDG	MIR3652	25	1
6_MACS_peak_26243_lociStitched	chr7	29694307	29726387	6	26881	47789.576	26	1	DPY19L2P3,LOC646762,LOC100271874		LOC646762	26	1
11_MACS_peak_27029_lociStitched	chr7	104643166	104691078	11	26572	103533.0408	27	1	MLL5,LOC100216545		MLL5	27	1
3_MACS_peak_25778_lociStitched	chr6	159211667	159240953	3	26398	56106.1188	28	1	EZR	MIR3918,OSTCL	EZR	28	1
