#MM10_jia_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/MM10_jia_ROSE/MM10_jia_peaks_5KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by MM10_jia.bam
#Using cutoff of 18600.4404 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM10_jia.bam	enhancerRank	isSuperStretch
14_MACS_peak_19726_lociStitched	chr3	141079613	141161323	14	71579	288877.534	1	1
8_MACS_peak_11870_lociStitched	chr17	62133214	62209832	8	72989	151389.5062	2	1
17_MACS_peak_10083_lociStitched	chr16	11766652	11837847	17	59317	76321.04	3	1
11_MACS_peak_15258_lociStitched	chr2	99054927	99111686	11	47175	69932.7639	4	1
11_MACS_peak_8635_lociStitched	chr14	91828614	91885530	11	41663	91799.8164	5	1
10_MACS_peak_9802_lociStitched	chr15	93424186	93471193	10	33592	124074.9765	6	1
11_MACS_peak_14455_lociStitched	chr2	37508628	37554167	11	39138	88628.0018	7	1
2_MACS_peak_15195_lociStitched	chr2	88889978	88928696	2	38648	85346.0874	8	1
14_MACS_peak_14836_lociStitched	chr2	64318210	64372272	14	40647	61700.9606	9	1
4_MACS_peak_2833_lociStitched	chr1	244996250	245029169	4	30750	118873.8009	10	1
8_MACS_peak_17479_lociStitched	chr21	19147414	19193148	8	35406	92661.6574	11	1
7_MACS_peak_26799_lociStitched	chr7	90337417	90381237	7	29962	117604.116	12	1
1_MACS_peak_2731_lociStitched	chr1	234734237	234750812	1	16576	152634.2025	13	1
1_MACS_peak_23025_lociStitched	chr5	88162082	88186968	1	24887	128921.923	14	1
6_MACS_peak_15174_lociStitched	chr2	87781972	87823157	6	34305	88782.5045	15	1
11_MACS_peak_24986_lociStitched	chr6	90035740	90086490	11	35142	83341.65	16	1
7_MACS_peak_5514_lociStitched	chr12	9858415	9896524	7	34022	89476.1211	17	1
1_MACS_peak_1456_lociStitched	chr1	150532097	150553228	1	21132	134970.0363	18	1
3_MACS_peak_25126_lociStitched	chr6	106530176	106560423	3	29525	100444.2376	19	1
11_MACS_peak_27029_lociStitched	chr7	104643166	104691078	11	26572	103533.0408	20	1
9_MACS_peak_7002_lociStitched	chr12	123347384	123388254	9	31253	80407.638	21	1
4_MACS_peak_2050_lociStitched	chr1	184693058	184725669	4	28924	92311.9577	22	1
5_MACS_peak_1275_lociStitched	chr1	118147733	118187908	5	34324	47776.11	23	1
7_MACS_peak_23878_lociStitched	chr6	7880507	7919948	7	33789	53300.5674	24	1
3_MACS_peak_20859_lociStitched	chr4	40191428	40216605	3	24049	100778.4956	25	1
14_MACS_peak_20471_lociStitched	chr4	1900343	1944391	14	32634	37568.5392	26	1
1_MACS_peak_5557_lociStitched	chr12	12866145	12880412	1	14268	119687.2897	27	1
2_MACS_peak_22094_lociStitched	chr4	177038972	177062967	2	23544	93304.5575	28	1
5_MACS_peak_4583_lociStitched	chr11	65183822	65211408	5	20885	101968.8904	29	1
7_MACS_peak_16137_lociStitched	chr2	197006897	197048545	7	28651	66099.5408	30	1
3_MACS_peak_11322_lociStitched	chr17	29628230	29649562	3	20591	100855.5628	31	1
3_MACS_peak_6708_lociStitched	chr12	104321117	104351934	3	26995	71738.8943	32	1
5_MACS_peak_23787_lociStitched	chr6	290261	331333	5	27033	68738.0992	33	1
4_MACS_peak_1643_lociStitched	chr1	156447382	156475907	4	23649	85098.6325	34	1
6_MACS_peak_1575_lociStitched	chr1	154927032	154957515	6	20478	96338.4732	35	1
6_MACS_peak_18292_lociStitched	chr3	5222793	5251096	6	25989	70751.8394	36	1
7_MACS_peak_8539_lociStitched	chr14	81967804	82001010	7	24274	79063.486	37	1
7_MACS_peak_1738_lociStitched	chr1	161122696	161157833	7	23068	82779.2583	38	1
2_MACS_peak_16221_lociStitched	chr2	201979438	202000258	2	20090	92563.638	39	1
10_MACS_peak_18533_lociStitched	chr3	31571983	31617604	10	28810	41273.3187	40	1
1_MACS_peak_11320_lociStitched	chr17	29575587	29590640	1	15054	103368.951	41	1
3_MACS_peak_25778_lociStitched	chr6	159211667	159240953	3	26398	56106.1188	42	1
3_MACS_peak_1618_lociStitched	chr1	155929062	155954287	3	22738	76974.0875	43	1
6_MACS_peak_26243_lociStitched	chr7	29694307	29726387	6	26881	47789.576	44	1
4_MACS_peak_15369_lociStitched	chr2	112184685	112212643	4	25241	59159.128	45	1
7_MACS_peak_22467_lociStitched	chr5	32571026	32609943	7	25311	57869.579	46	1
5_MACS_peak_17343_lociStitched	chr20	57460001	57485861	5	23199	69643.566	47	1
6_MACS_peak_5476_lociStitched	chr12	7045474	7081279	6	25066	53242.035	48	1
2_MACS_peak_5935_lociStitched	chr12	46116154	46137729	2	17735	87417.585	49	1
