GENE_ID	locusLine	bin_1_MM8.jin.bam
NM_032236	chr1(.):21999791-22114688	0.2269
NM_001006605	chr1(.):93302720-93432079	0.2566
NM_001198993	chr1(.):1677670-1715297	0.4271
NM_023018	chr1(.):1677670-1714909	0.4307
NM_001198994	chr1(.):1677670-1716508	0.4153
NM_001013693	chr1(.):22133757-22156714	0.1395
NM_002379	chr1(.):31179123-31201432	0.3237
NR_034182	chr1(.):31186618-31204593	0.4126
NM_002600	chr1(.):66253855-66845262	0.1575
NM_001037341	chr1(.):66253192-66845262	0.1574
NM_001037340	chr1(.):66453389-66845262	0.2051
NM_207168	chr1(.):150594521-150607098	0.5016
NM_014935	chr1(.):204182980-204334044	0.0507
NM_182838	chr1(.):1658680-1682431	0.4654
NM_001198995	chr1(.):1677670-1695081	0.2393
NM_177540	chr1(.):6610337-6644817	0.2205
NM_005341	chr1(.):6635062-6654340	0.2474
NM_014851	chr1(.):6645783-6667929	0.5865
NM_153812	chr1(.):6668755-6689093	0.3611
NM_024654	chr1(.):6576406-6619658	0.1209
NM_001195752	chr1(.):6680209-6698642	0.2247
NM_001195753	chr1(.):6679924-6698642	0.2232
NM_015866	chr1(.):14026349-14119574	0.3321
NM_001007257	chr1(.):14070875-14119574	0.1688
NM_001135610	chr1(.):14021734-14156574	0.2612
NM_001032730	chr1(.):22049338-22114688	0.3398
NR_026685	chr1(.):26432655-26457026	0.7197
NM_152835	chr1(.):26433267-26457026	0.7381
NM_032588	chr1(.):26372797-26399121	0.0503
NM_024869	chr1(.):26480510-26494119	0.0584
NM_002713	chr1(.):28152292-28183183	0.1276
NR_002997	chr1(.):28155911-28166077	0.2761
NM_001039477	chr1(.):28194054-28218193	0.8053
NM_002946	chr1(.):28213048-28246236	0.3259
NM_006762	chr1(.):31200314-31235683	0.8437
NM_001198979	chr1(.):40854016-40893998	0.3401
NM_001198978	chr1(.):40835304-40893998	0.7185
NM_001198980	chr1(.):40857471-40893998	0.287
NM_022733	chr1(.):40834377-40893998	0.7076
NM_002228	chr1(.):59241462-59254785	1.3843
NR_034015	chr1(.):59245822-59370384	0.2419
NM_001037339	chr1(.):66792792-66845262	0.7064
NM_017709	chr1(.):118143603-118176011	0.7095
NM_019032	chr1(.):150516897-150538412	0.5182
NM_207046	chr1(.):150589598-150606609	0.4304
NR_036211	chr1(.):150519404-150529490	0.07
NM_001197320	chr1(.):150542026-150557214	1.5016
NM_002923	chr1(.):192773168-192786407	0.8683
NR_034150	chr1(.):203262885-203279453	1.1868
NM_006763	chr1(.):203269663-203283729	1.2741
NM_002023	chr1(.):203304751-203325289	0.0759
NR_027022	chr1(.):204332557-204343847	0.0656
NM_032833	chr1(.):204367491-204385944	0.8453
NR_026817	chr1(.):207986723-208000941	1.8326
NR_029832	chr1(.):207970196-207980284	0.1655
NR_029518	chr1(.):207970787-207980868	0.225
NM_182972	chr1(.):234735014-234750271	1.3301
NR_033927	chr1(.):234760056-234775526	0.0449
NM_031844	chr1(.):245008601-245032827	0.7011
NM_198076	chr1(.):244993638-245013359	0.4998
NR_026778	chr1(.):244998939-245015243	0.1312
NR_033872	chr2(.):70184394-70319147	0.2352
NM_001012514	chr2(.):231724620-231748963	0.9972
NM_145693	chr2(.):11881739-11972533	0.3333
NM_170672	chr2(.):33656415-33794798	0.3813
NM_012249	chr2(.):46764866-46816827	0.5243
NM_020651	chr2(.):64314785-64376605	0.3572
NR_024204	chr2(.):87749973-87826030	0.904
NM_004836	chr2(.):88851258-88932094	0.6129
NM_001142807	chr2(.):111485149-111880799	0.1683
NM_006164	chr2(.):178090032-178134859	0.4212
NM_001145413	chr2(.):178090032-178133617	0.4315
NM_014905	chr2(.):191740546-191834776	0.2101
NR_024415	chr2(.):192537797-192558248	0.8968
NM_001031716	chr2(.):192537860-192558248	0.8995
NM_003879	chr2(.):201975889-202034003	0.9476
NM_001127184	chr2(.):201975815-202011323	1.3619
NM_001162407	chr2(.):201712731-201734284	1.1857
NM_004071	chr2(.):201712731-201734467	1.1758
NM_173822	chr2(.):201833440-201941392	0.0725
NM_004379	chr2(.):208389615-208475284	0.2432
NM_016061	chr2(.):30364749-30388399	0.9038
NM_015376	chr2(.):33733941-33794798	0.1725
NM_001139488	chr2(.):33696320-33794798	0.5125
NM_006887	chr2(.):43444540-43458745	1.6404
NR_027251	chr2(.):43449349-43460994	1.4635
NM_080653	chr2(.):46733985-46752096	0.0495
NM_006196	chr2(.):70309584-70321334	1.7358
NR_024444	chr2(.):70346167-70357448	0.6795
NR_015424	chr2(.):89060418-89111109	0.2816
NR_003070	chr2(.):101884397-101894511	0.0615
NM_173647	chr2(.):101887062-101930178	0.383
NM_006538	chr2(.):111873490-111931022	0.5558
NM_207002	chr2(.):111873490-111891423	1.2834
NM_003467	chr2(.):136866918-136880725	1.4416
NM_001008540	chr2(.):136866918-136878813	1.6617
NM_006186	chr2(.):157175943-157194287	0.7986
NM_004288	chr2(.):158266130-158305604	1.1119
NM_001172712	chr2(.):174766186-174835430	0.2208
NM_001017371	chr2(.):174766186-174833947	0.2252
NR_036075	chr2(.):178115672-178125738	0.0731
NM_014670	chr2(.):201671646-201693560	0.3268
NM_001142355	chr2(.):201749049-201773655	0.2472
NM_130906	chr2(.):201730678-201758849	0.2209
NM_021824	chr2(.):201749107-201773655	0.2475
NM_001142356	chr2(.):201751640-201773655	0.2731
NM_002491	chr2(.):201931461-201955473	0.1551
NM_001127183	chr2(.):201978386-202033841	0.987
NM_006000	chr2(.):220110000-220123638	0.9883
NM_001042410	chr2(.):220089609-220106391	0.317
NR_026909	chr2(.):220105200-220120059	0.9271
NM_018089	chr2(.):220089478-220106391	0.3153
NR_003063	chr2(.):220112964-220141910	0.3957
NM_024085	chr2(.):220079101-220099361	0.39
NM_006736	chr2(.):220139039-220156622	0.8851
NM_002846	chr2(.):220149344-220179143	0.0861
NM_024506	chr2(.):220096502-220115131	0.3343
NM_001008910	chr2(.):220105191-220120059	0.9265
NR_029688	chr2(.):220153832-220163922	0.1583
NM_005683	chr2(.):231767042-231794941	0.173
NM_001099285	chr2(.):232568234-232583250	1.9243
NR_036052	chr2(.):232573023-232583105	1.029
NM_003549	chr3(.):50325261-50341899	0.571
NM_014674	chr3(.):5224358-5266650	1.0274
NR_027007	chr3(.):9425536-9444174	1.0025
NM_001195099	chr3(.):15703743-15803058	0.0986
NM_001195098	chr3(.):15703743-15844691	0.2019
NM_015199	chr3(.):15703743-15906053	0.2241
NM_001135095	chr3(.):171753343-172123492	0.446
NM_022763	chr3(.):171752417-172123492	0.4455
NM_032732	chr3(.):9953763-9980314	0.5669
NM_001134382	chr3(.):12933718-13119617	0.4147
NM_014869	chr3(.):12933718-13013960	0.1054
NM_001068	chr3(.):25634474-25710788	0.2614
NM_033027	chr3(.):39178341-39200102	1.2931
NM_153273	chr3(.):49756727-49828973	0.4668
NM_006254	chr3(.):53190222-53231733	0.9218
NM_012234	chr3(.):72418743-72500774	0.2782
NM_001627	chr3(.):105080712-105300744	0.1524
NM_001142568	chr3(.):107236782-107535049	0.1387
NM_001009899	chr3(.):113362232-113420493	0.2112
NM_001690	chr3(.):113460865-113535905	0.277
