GENE_ID	locusLine	bin_1_18_0EX4_0229Kronos_MM1S-KB-6hr-2_H3K27Ac_hs-dm_i37.bam
NM_013943	chr1(.):25066759-25175815	0.2616
NM_002867	chr1(.):52368627-52461436	0.2664
NM_001006605	chr1(.):93302720-93432079	0.3804
NM_001010935	chr1(.):112157404-112261101	0.1233
NR_002188	chr1(.):155178615-155202325	0.5892
NM_201569	chr1(.):183436505-183528328	0.4611
NM_003820	chr1(.):2482804-2500267	0.7672
NM_001113348	chr1(.):21538739-21677034	0.3262
NM_004091	chr1(.):23827921-23862713	2.1881
NM_020448	chr1(.):24737244-24804473	0.142
NM_173065	chr1(.):24475646-24518751	2.5046
NM_001048199	chr1(.):28827454-28870708	0.6154
NR_002909	chr1(.):28827454-28842404	1.2334
NM_002379	chr1(.):31179123-31201432	0.1642
NR_034182	chr1(.):31186618-31204593	0.1992
NM_174964	chr1(.):44168217-44401831	0.2326
NM_002600	chr1(.):66253855-66845262	0.18
NM_001037341	chr1(.):66253192-66845262	0.1798
NM_001037340	chr1(.):66453389-66845262	0.2455
NM_024763	chr1(.):67273571-67395570	0.1238
NM_207014	chr1(.):67298281-67395570	0.1453
NM_001081976	chr1(.):112020969-112111597	0.141
NM_198459	chr1(.):115122195-115217732	0.1228
NR_034178	chr1(.):143910747-144099477	0.2813
NM_153713	chr1(.):145472084-145504091	0.2167
NM_207168	chr1(.):150594521-150607098	1.1669
NM_020699	chr1(.):153772202-153900451	0.2075
NM_020524	chr1(.):154911558-154933567	4.1469
NM_181359	chr1(.):154372668-154445188	1.584
NM_002249	chr1(.):154674914-154847754	0.6744
NM_170782	chr1(.):154674914-154837338	0.7041
NM_005572	chr1(.):156079460-156112657	0.3347
NM_005973	chr1(.):156732273-156775609	0.4377
NM_012394	chr1(.):161065345-161092866	0.4584
NM_007348	chr1(.):161731083-161933852	0.2058
NM_014412	chr1(.):174963891-174986163	1.5903
NM_014857	chr1(.):174123633-174932327	0.0992
NM_001035230	chr1(.):174839683-174932327	0.1277
NM_001007214	chr1(.):174963570-174986163	1.568
NM_015149	chr1(.):183600207-183902666	0.6832
NM_025191	chr1(.):184654624-184729041	0.5045
NM_144977	chr1(.):197516384-197749623	0.3491
NM_001195215	chr1(.):197468878-197749623	0.3031
NM_014875	chr1(.):200515624-200594862	0.2239
NM_015375	chr1(.):205106630-205185727	0.2088
NM_182663	chr1(.):206675878-206767616	0.8914
NM_006147	chr1(.):209956261-209984479	0.322
NM_022735	chr1(.):226327379-226379423	0.3215
NM_002221	chr1(.):226814390-226931876	1.0106
NM_004481	chr1(.):230197955-230422875	0.5606
NM_001010926	chr1(.):2455183-2466684	0.2401
NR_026927	chr1(.):2476358-2489284	2.2388
NM_018216	chr1(.):2434974-2463035	0.1236
NM_001195741	chr1(.):2513188-2527908	0.3369
NR_036638	chr1(.):2512898-2527908	0.3315
NM_014675	chr1(.):17243444-17304474	0.1366
NM_001397	chr1(.):21538739-21621982	0.4265
NM_001113347	chr1(.):21538739-21611183	0.069
NM_001113349	chr1(.):21538739-21621766	0.4221
NM_017707	chr1(.):23750055-23815750	0.0617
NM_002167	chr1(.):23879408-23891322	0.5365
NR_027042	chr1(.):23948823-23972056	0.2054
NM_021258	chr1(.):24441260-24474611	0.1281
NR_027087	chr1(.):24521729-24543180	1.088
NM_001199013	chr1(.):24678488-24745262	0.4586
NM_001199012	chr1(.):24678488-24746587	0.4504
NM_015484	chr1(.):25543766-25564013	0.2965
NM_001127691	chr1(.):25593980-25661936	0.162
NM_020317	chr1(.):25563739-25578985	1.1901
NM_015627	chr1(.):25865075-25900377	1.1237
NR_026685	chr1(.):26432655-26457026	0.7214
NM_152835	chr1(.):26433267-26457026	0.7396
NM_032588	chr1(.):26372797-26399121	0.0657
NM_024869	chr1(.):26480510-26494119	0.0974
NM_015871	chr1(.):26491387-26502364	0.1965
NM_017837	chr1(.):27109485-27129887	1.4621
NM_006015	chr1(.):27017521-27113601	0.79
NM_018066	chr1(.):27200872-27221869	0.3135
NM_032283	chr1(.):27148200-27187211	0.4952
NM_006142	chr1(.):27184632-27195947	1.8575
NR_024127	chr1(.):28900049-28913366	1.289
NM_152304	chr1(.):28913711-28926088	0.5207
NM_001193532	chr1(.):28914006-28926088	0.5007
NR_003035	chr1(.):28902431-28912565	1.6202
NR_002987	chr1(.):28901275-28911405	1.6297
NR_003109	chr1(.):28874528-28910057	0.8301
NM_001269	chr1(.):28839744-28870708	0.2914
NR_002976	chr1(.):28901892-28912024	1.6204
NR_003077	chr1(.):28900254-28910334	1.6437
NM_006762	chr1(.):31200314-31235683	3.7589
NM_005202	chr1(.):36555843-36570850	0.0963
NM_018067	chr1(.):36616802-36651441	0.5261
NM_014408	chr1(.):36597172-36620067	0.5614
NM_022756	chr1(.):37953175-37985364	0.1806
NM_025079	chr1(.):37935118-37954978	1.7491
NR_002983	chr1(.):40028045-40038182	1.5531
NR_003929	chr1(.):39982951-40030370	0.513
NM_001135653	chr1(.):40021484-40047521	1.1012
NM_001198979	chr1(.):40854016-40893998	0.2062
NM_001198978	chr1(.):40835304-40893998	0.7433
NM_001198980	chr1(.):40857471-40893998	0.1013
NM_022733	chr1(.):40834377-40893998	0.7328
NM_006004	chr1(.):46764379-46787447	0.777
NM_006369	chr1(.):46739071-46774038	0.5386
NM_199044	chr1(.):46801389-46835690	0.2767
NM_001037339	chr1(.):66792792-66845262	0.6068
NM_001077702	chr1(.):67385577-67459302	0.2606
NM_001077704	chr1(.):67390925-67459302	0.2042
NM_001001933	chr1(.):75589118-75632218	1.1792
NM_006769	chr1(.):87789150-87819607	1.0333
NM_004974	chr1(.):111140775-111153345	0.0543
NM_002232	chr1(.):111209309-111222655	1.1336
NM_001025199	chr1(.):111767332-111791062	0.0352
NM_001025197	chr1(.):111765280-111791062	0.0434
NM_024901	chr1(.):111724800-111748281	0.1086
NR_034126	chr1(.):112136628-112155940	1.3697
