GENE_ID	locusLine	bin_1_KMS-12-BM.jin.bam
NM_013943	chr1(.):25066759-25175815	0.3428
NM_021222	chr1(.):150975972-151013189	0.2539
NM_017891	chr1(.):1012197-1056736	0.1602
NM_032236	chr1(.):21999791-22114688	0.4247
NM_032409	chr1(.):20954947-20983004	0.1679
NM_001010935	chr1(.):112157404-112261101	0.1906
NM_001198993	chr1(.):1677670-1715297	1.0966
NM_023018	chr1(.):1677670-1714909	1.1
NM_033487	chr1(.):1566099-1660775	0.5961
NM_001198994	chr1(.):1677670-1716508	1.0663
NM_024980	chr1(.):9159475-9194229	0.1624
NM_015001	chr1(.):16169358-16271950	0.3373
NM_001113348	chr1(.):21538739-21677034	0.4814
NM_005529	chr1(.):22143736-22268750	0.4128
NM_001013693	chr1(.):22133757-22156714	0.5415
NM_173065	chr1(.):24475646-24518751	0.4703
NM_001048199	chr1(.):28827454-28870708	0.5421
NR_002909	chr1(.):28827454-28842404	1.003
NM_002600	chr1(.):66253855-66845262	0.1321
NM_001037341	chr1(.):66253192-66845262	0.1319
NM_001037340	chr1(.):66453389-66845262	0.1895
NM_001081976	chr1(.):112020969-112111597	0.1442
NM_001100910	chr1(.):120834004-120860681	0.4357
NR_034178	chr1(.):143910747-144099477	0.1987
NM_020524	chr1(.):154911558-154933567	0.9189
NM_181359	chr1(.):154372668-154445188	0.5079
NM_005572	chr1(.):156079460-156112657	0.1886
NM_005531	chr1(.):158974681-159029945	0.4095
NM_001135050	chr1(.):159891828-159920386	0.9058
NM_052862	chr1(.):167594473-167680486	0.3992
NM_002697	chr1(.):167185065-167401582	0.1878
NR_037163	chr1(.):167185122-167401582	0.1878
NM_014875	chr1(.):200515624-200594862	0.1863
NM_182663	chr1(.):206675878-206767616	0.5135
NM_001193338	chr1(.):207071630-207100235	1.7855
NM_005449	chr1(.):207071630-207100378	1.7776
NM_004481	chr1(.):230197955-230422875	0.2694
NM_181690	chr1(.):243646534-244011553	0.0835
NM_005465	chr1(.):243661483-244011553	0.0828
NM_001130045	chr1(.):1104285-1138313	0.3978
NR_029639	chr1(.):1097483-1107578	1.0004
NM_153254	chr1(.):1110076-1126243	0.2591
NR_029834	chr1(.):1098242-1108332	1.0601
NR_029957	chr1(.):1099384-1109467	1.0677
NM_006983	chr1(.):1562559-1575030	0.1761
NR_002946	chr1(.):1563158-1575027	0.1828
NM_182838	chr1(.):1658680-1682431	1.0154
NM_001110781	chr1(.):1587938-1629243	0.9818
NM_024011	chr1(.):1629169-1660791	0.421
NR_002946	chr1(.):1626377-1638247	0.0902
NM_001198995	chr1(.):1677670-1695081	0.437
NM_002074	chr1(.):1711728-1827495	0.3513
NM_138705	chr1(.):1841265-1853733	0.9182
NM_178545	chr1(.):1844028-1855740	0.5461
NM_207420	chr1(.):9058358-9091404	0.1362
NM_003039	chr1(.):9092004-9134887	0.1944
NR_024180	chr1(.):9092004-9153510	0.3883
NM_001010847	chr1(.):13796444-13845242	1.1577
NM_001089591	chr1(.):16128656-16139194	0.0992
NR_024279	chr1(.):16155709-16179642	2.1244
NM_001136204	chr1(.):17728250-17770057	0.5488
NM_018715	chr1(.):17728250-17771220	0.5436
NM_001785	chr1(.):20910443-20950400	0.8112
NM_207334	chr1(.):20873931-20886513	0.0854
NM_001397	chr1(.):21538739-21621982	0.4895
NM_001113347	chr1(.):21538739-21611183	0.0882
NM_001113349	chr1(.):21538739-21621766	0.4816
NM_001032730	chr1(.):22049338-22114688	0.6937
NR_027042	chr1(.):23948823-23972056	0.4237
NM_021258	chr1(.):24441260-24474611	0.0816
NR_027087	chr1(.):24521729-24543180	0.2203
NM_015627	chr1(.):25865075-25900377	0.696
NM_014280	chr1(.):28521789-28564542	0.2069
NM_016311	chr1(.):28557610-28569611	0.5711
NM_031459	chr1(.):28581005-28614002	0.1046
NR_003109	chr1(.):28874528-28910057	0.4204
NM_001269	chr1(.):28839744-28870708	0.2796
NM_001198979	chr1(.):40854016-40893998	0.1209
NM_001198978	chr1(.):40835304-40893998	0.5422
NM_001198980	chr1(.):40857471-40893998	0.0872
NM_022733	chr1(.):40834377-40893998	0.5338
NM_001037339	chr1(.):66792792-66845262	0.5633
NM_004974	chr1(.):111140775-111153345	0.1022
NM_002232	chr1(.):111209309-111222655	0.7777
NM_001040033	chr1(.):111408820-111447558	0.3734
NM_000560	chr1(.):111410721-111447558	0.3898
NR_034126	chr1(.):112136628-112155940	1.488
NM_017709	chr1(.):118143603-118176011	1.8321
NM_207418	chr1(.):143891451-143918143	0.478
NM_001161334	chr1(.):149749244-149788928	0.2796
NM_001034077	chr1(.):149799220-149809616	1.6264
NM_001005464	chr1(.):149807258-149817765	3.6015
NM_001040874	chr1(.):149808784-149819318	3.694
NM_001123375	chr1(.):149779779-149790236	0.8753
NM_000566	chr1(.):149749249-149769074	0.0748
NM_005850	chr1(.):149890210-149904702	0.5681
NM_016074	chr1(.):149866154-149877348	0.2987
NM_003528	chr1(.):149851009-149863232	2.9658
NM_003517	chr1(.):149853524-149863961	3.4404
NM_175065	chr1(.):149854018-149864466	3.4059
NM_014849	chr1(.):149869871-149894434	0.2373
NM_181873	chr1(.):149895542-149913266	0.5135
NM_001145862	chr1(.):149895542-149913791	0.4998
NR_036461	chr1(.):149816758-149827340	4.0174
NM_001040874	chr1(.):149817627-149828161	3.9729
NM_001005464	chr1(.):149819180-149829687	3.8741
NM_001034077	chr1(.):149827329-149837725	1.559
NM_019032	chr1(.):150516897-150538412	2.0888
NR_036211	chr1(.):150519404-150529490	0.2108
NM_001197320	chr1(.):150542026-150557214	1.2165
NM_012432	chr1(.):150893814-150942220	0.1895
NM_001163258	chr1(.):150964300-150985854	0.4068
NM_181746	chr1(.):150932648-150952440	1.0791
NR_026977	chr1(.):150893824-150922797	0.2674
NM_003568	chr1(.):150949498-150973114	0.4983
NM_001163260	chr1(.):150964300-150984273	0.4276
NM_001040217	chr1(.):150964300-150984385	0.4274
NM_006556	chr1(.):154892207-154914484	1.1973
NM_001130041	chr1(.):154929773-154951959	1.4422
NM_001130040	chr1(.):154929773-154948223	1.5733
NM_201398	chr1(.):154950769-154970587	0.4093
NM_018655	chr1(.):154961061-154971791	0.2553
NR_024163	chr1(.):154942117-154956725	1.8341
NM_138300	chr1(.):154924501-154939258	1.0099
NR_036212	chr1(.):154943168-154953259	2.1146
NM_006912	chr1(.):155862600-155886177	0.1921
NM_001162384	chr1(.):155911629-155953336	0.6459
NM_181885	chr1(.):155906479-155917625	1.4485
