REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	02_0EWO_0229Kronos_MM1S-No-Treatment-2_H3K18Ac_hs-dm_i04.bam	36_0EXO_0229Kronos_MM1S-No-Treatment-2_Input_hs_i78.bam
9_MACS_peak_18123_lociStitched	chr22	23191771	23298620	9	92994	244577.361	18463.5072
10_MACS_peak_14687_lociStitched	chr2	37529749	37624738	10	72876	182312.3877	19624.7274
8_MACS_peak_24930_lociStitched	chr6	108878016	108958379	8	74137	110515.1976	14023.343499999999
13_MACS_peak_17117_lociStitched	chr20	32398757	32477978	13	61378	103042.75469999999	15939.2652
7_MACS_peak_15391_lociStitched	chr2	99054527	99133597	7	69790	205479.209	18075.402
5_MACS_peak_1441_lociStitched	chr1	118141635	118219473	5	68549	143058.4602	10041.102
8_MACS_peak_8639_lociStitched	chr14	91813027	91885965	8	56233	105461.0542	8628.5654
7_MACS_peak_20013_lociStitched	chr3	141079060	141149862	7	58272	186287.1422	16638.469999999998
9_MACS_peak_11898_lociStitched	chr17	46506190	46571453	9	46154	76749.288	12452.1804
4_MACS_peak_2386_lociStitched	chr1	203236422	203298138	4	54570	174323.0136	19360.3092
6_MACS_peak_11607_lociStitched	chr17	34596591	34651540	6	46501	117634.8192	14061.449100000002
8_MACS_peak_2480_lociStitched	chr1	206955393	207008829	8	43617	57449.0436	13695.646799999999
10_MACS_peak_25256_lociStitched	chr6	138246221	138298230	10	34170	49965.0463	9564.455100000001
7_MACS_peak_10783_lociStitched	chr16	68269850	68320962	7	31817	54751.174399999996	9680.6128
8_MACS_peak_24520_lociStitched	chr6	52392292	52443055	8	39955	72037.7733	10908.968700000001
6_MACS_peak_17068_lociStitched	chr20	30261914	30312225	6	46743	97065.0123	11164.0109
6_MACS_peak_17875_lociStitched	chr21	41295615	41345237	6	34752	61903.445	13889.1978
7_MACS_peak_16344_lociStitched	chr2	204536564	204585743	7	33400	56024.7168	10848.8874
4_MACS_peak_23713_lociStitched	chr6	290008	338070	4	42623	137024.762	16153.638200000001
6_MACS_peak_26599_lociStitched	chr7	104562477	104608469	6	38223	83259.3176	8940.844799999999
7_MACS_peak_8963_lociStitched	chr15	31616688	31660725	7	36171	57763.3329	7257.2976
6_MACS_peak_12881_lociStitched	chr18	46439135	46483078	6	38215	50714.616299999994	8283.2555
7_MACS_peak_27451_lociStitched	chr8	27208557	27252431	7	28288	45958.01500000001	8511.556
7_MACS_peak_13260_lociStitched	chr19	2594362	2638131	7	32736	94020.1889	12176.5358
5_MACS_peak_4137_lociStitched	chr10	112146578	112190285	5	39931	65656.6554	8042.088
10_MACS_peak_18441_lociStitched	chr22	39630931	39674589	10	26010	37842.7544	6435.1892
5_MACS_peak_26973_lociStitched	chr7	137683896	137727146	5	22049	37047.950000000004	10085.9
