REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X02_0EWO_0229Kronos_MM1S.No.Treatment.2_H3K18Ac_hs.dm_i04.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
9_MACS_peak_18123_lociStitched	chr22	23191771	23298620	9	92994	244577.361	18463.5072	1	IGLL5	MIR650	IGLL5	IGLL5	3.7384000000000004	1	1
8_MACS_peak_24930_lociStitched	chr6	108878016	108958379	8	74137	110515.1976	14023.3435	2	FOXO3		FOXO3	FOXO3	0.9162999999999999	2	1
10_MACS_peak_14687_lociStitched	chr2	37529749	37624738	10	72876	182312.3877	19624.7274	3	QPCT,PRKD3		QPCT	QPCT	1.6985999999999999	3	1
7_MACS_peak_15391_lociStitched	chr2	99054527	99133597	7	69790	205479.209	18075.402	4	INPP4A		INPP4A	INPP4A	1.2192	4	1
5_MACS_peak_1441_lociStitched	chr1	118141635	118219473	5	68549	143058.4602	10041.102	5	FAM46C		FAM46C	FAM46C	1.9299000000000002	5	1
13_MACS_peak_17117_lociStitched	chr20	32398757	32477978	13	61378	103042.7547	15939.2652	6	CHMP4B		CHMP4B	CHMP4B	0.8296000000000001	6	1
7_MACS_peak_20013_lociStitched	chr3	141079060	141149862	7	58272	186287.1422	16638.47	7	ZBTB38		ZBTB38	ZBTB38	1.2791	7	1
8_MACS_peak_8639_lociStitched	chr14	91813027	91885965	8	56233	105461.0542	8628.5654	8	CCDC88C		CCDC88C	CCDC88C	0.6971	8	1
4_MACS_peak_2386_lociStitched	chr1	203236422	203298138	4	54570	174323.0136	19360.3092	9	BTG2,LOC730227	CHIT1,FMOD	LOC730227	LOC730227	2.7621	9	1
6_MACS_peak_17068_lociStitched	chr20	30261914	30312225	6	46743	97065.0123	11164.0109	10	BCL2L1	COX4I2,TPX2	BCL2L1	BCL2L1	1.2917999999999998	10	1
6_MACS_peak_11607_lociStitched	chr17	34596591	34651540	6	46501	117634.8192	14061.4491	11	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	TBC1D3C	0.012199999999999989	11	1
9_MACS_peak_11898_lociStitched	chr17	46506190	46571453	9	46154	76749.288	12452.1804	12	SKAP1	HOXB1	SKAP1	HOXB1	0.04820000000000001	12	1
8_MACS_peak_2480_lociStitched	chr1	206955393	207008829	8	43617	57449.0436	13695.6468	13	IL19	IL20,IL10	IL19	IL10	0.5789	13	1
4_MACS_peak_23713_lociStitched	chr6	290008	338070	4	42623	137024.762	16153.6382	14	DUSP22		DUSP22	DUSP22	1.7553	14	1
8_MACS_peak_24520_lociStitched	chr6	52392292	52443055	8	39955	72037.7733	10908.9687	15	TRAM2		TRAM2	TRAM2	0.8674	15	1
5_MACS_peak_4137_lociStitched	chr10	112146578	112190285	5	39931	65656.6554	8042.088	16			DUSP5	DUSP5	1.1052	16	1
3_MACS_peak_11555_lociStitched	chr17	32688360	32729284	3	38829	93294.4428	8991.0028	17	CCL1	CCL8,CCL13	CCL1	CCL1	1.2922	17	1
6_MACS_peak_26599_lociStitched	chr7	104562477	104608469	6	38223	83259.3176	8940.8448	18	LOC723809	MLL5,LOC100216545	LOC723809	LOC100216545	2.523	18	1
6_MACS_peak_12881_lociStitched	chr18	46439135	46483078	6	38215	50714.6163	8283.2555	19	SMAD7		SMAD7	SMAD7	0.9708	19	1
4_MACS_peak_11602_lociStitched	chr17	34508014	34550181	4	37493	105130.7644	11595.925	20	CCL4L1,CCL3L1,CCL3L3	TBC1D3B,TBC1D3C	CCL3L1	CCL3L1	3.1189999999999998	20	1
7_MACS_peak_8963_lociStitched	chr15	31616688	31660725	7	36171	57763.3329	7257.2976	21	KLF13		KLF13	KLF13	0.8371	21	1
6_MACS_peak_17875_lociStitched	chr21	41295615	41345237	6	34752	61903.445	13889.1978	22	PCP4		PCP4	PCP4	0.135	22	1
4_MACS_peak_12130_lociStitched	chr17	62150029	62187277	4	34270	59224.32	8391.9744	23	ERN1	SNORD104,SNORA76	ERN1	ERN1	0.8231	23	1
10_MACS_peak_25256_lociStitched	chr6	138246221	138298230	10	34170	49965.0463	9564.4551	24			TNFAIP3	TNFAIP3	NONE	24	1
5_MACS_peak_28174_lociStitched	chr8	120914282	120950007	5	33997	55480.925	7141.4275	25	DEPDC6	DSCC1	DEPDC6	DEPDC6	0.3571	25	1
4_MACS_peak_20435_lociStitched	chr3	183223917	183260991	4	33535	72450.0108	12067.587	26	KLHL6		KLHL6	KLHL6	1.0695000000000001	26	1
2_MACS_peak_8813_lociStitched	chr14	106024455	106058184	2	33496	102428.2272	5693.4552	27		TMEM121	TMEM121	TMEM121	0.056700000000000014	27	1
7_MACS_peak_16344_lociStitched	chr2	204536564	204585743	7	33400	56024.7168	10848.8874	28	CD28		CD28	CD28	0.7028	28	1
7_MACS_peak_13260_lociStitched	chr19	2594362	2638131	7	32736	94020.1889	12176.5358	29	GNG7		GNG7	GNG7	0.47819999999999996	29	1
2_MACS_peak_23832_lociStitched	chr6	7888864	7922283	2	32628	143781.9056	9765.0318	30	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	2.8513	30	1
7_MACS_peak_10783_lociStitched	chr16	68269850	68320962	7	31817	54751.1744	9680.6128	31	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	SLC7A6	0.4346	31	1
6_MACS_peak_29064_lociStitched	chr9	93670432	93709132	6	31484	54029.07	7093.71	32			SYK	SYK	NONE	32	1
4_MACS_peak_8817_lociStitched	chr14	106145117	106176591	4	30477	68068.8198	3732.8164	33			TMEM121	TMEM121	0.056700000000000014	33	1
6_MACS_peak_6006_lociStitched	chr12	7045245	7085870	6	30201	67876.25	7718.75	34	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	LRRC23,ENO2	PTPN6	PTPN6	1.9157	34	1
3_MACS_peak_1809_lociStitched	chr1	156449622	156479008	3	28885	72556.9726	8903.958	35	MEF2D		MEF2D	MEF2D	1.2566	35	1
6_MACS_peak_19136_lociStitched	chr3	46317710	46347536	6	28812	38922.93	5833.9656	36		CCR3,CCR2	CCR3	CCR2	0.886	36	1
2_MACS_peak_6571_lociStitched	chr12	53845963	53874826	2	28710	36627.147	6000.6177	37	PCBP2,MAP3K12	AMHR2,PRR13,TARBP2,NPFF	PCBP2	PCBP2	0.7801	37	1
1_MACS_peak_26129_lociStitched	chr7	55614744	55643077	1	28334	49953.9123	5958.4299	38	VOPP1		VOPP1	VOPP1	0.9367000000000001	38	1
7_MACS_peak_27451_lociStitched	chr8	27208557	27252431	7	28288	45958.015	8511.556	39	PTK2B	TRIM35	PTK2B	PTK2B	0.38989999999999997	39	1
6_MACS_peak_19149_lociStitched	chr3	46419751	46459949	6	27495	42043.0882	7038.6698	40	CCRL2	CCR2,CCR5,LTF	CCRL2	CCR2	0.886	40	1
4_MACS_peak_12401_lociStitched	chr17	76711050	76747488	4	27459	62024.7636	7579.104	41	CYTH1		CYTH1	CYTH1	0.7778999999999999	41	1
6_MACS_peak_28239_lociStitched	chr8	126284249	126322774	6	27066	39757.8	7404.505	42	NSMCE2		TRIB1	TRIB1	1.0565	42	1
5_MACS_peak_11314_lociStitched	chr17	16859049	16895626	5	27049	73984.2979	7867.7127	43	TNFRSF13B		TNFRSF13B	TNFRSF13B	0.8765999999999999	43	1
4_MACS_peak_4268_lociStitched	chr10	125821815	125854847	4	26975	49105.3712	6424.724	44	CHST15		CHST15	CHST15	0.4745	44	1
6_MACS_peak_5866_lociStitched	chr11	130669370	130705984	6	26945	46067.7348	7033.5494	45			SNX19	SNX19	NONE	45	1
6_MACS_peak_17044_lociStitched	chr20	25261503	25302636	6	26888	72653.2179	7029.6297	46	PYGB,ABHD12		PYGB	PYGB	0.6692	46	1
3_MACS_peak_13954_lociStitched	chr19	42027220	42062674	3	26807	46196.562	7296.4332	47		CEACAM21	CEACAM21	NONE	NONE	47	1
5_MACS_peak_2455_lociStitched	chr1	206271464	206311641	5	26487	55765.676	10807.613	48	C1orf186	AVPR1B,CTSE	C1orf186	C1orf186	0.5413	48	1
3_MACS_peak_10221_lociStitched	chr16	11808328	11837999	3	26421	44776.5061	6355.5282	49	TXNDC11	SNN	TXNDC11	TXNDC11	1.153	49	1
3_MACS_peak_7367_lociStitched	chr12	123354995	123387387	3	26380	43259.516	4424.7472	50	VPS37B	HIP1R	VPS37B	VPS37B	0.9007000000000001	50	1
