#02_0EWO_0229Kronos_MM1S-No-Treatment-2_H3K18Ac_hs-dm_i04_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/02_0EWO_0229Kronos_MM1S-No-Treatment-2_H3K18Ac_hs-dm_i04_ROSE/02_0EWO_0229Kronos_MM1S-No-Treatment-2_H3K18Ac_hs-dm_i04_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X02_0EWO_0229Kronos_MM1S.No.Treatment.2_H3K18Ac_hs.dm_i04.bam
#Using cutoff of 14943.2417 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X02_0EWO_0229Kronos_MM1S.No.Treatment.2_H3K18Ac_hs.dm_i04.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	isSuperStretch
9_MACS_peak_18123_lociStitched	chr22	23191771	23298620	9	92994	244577.361	18463.5072	1	1
7_MACS_peak_15391_lociStitched	chr2	99054527	99133597	7	69790	205479.209	18075.402	2	1
10_MACS_peak_14687_lociStitched	chr2	37529749	37624738	10	72876	182312.3877	19624.7274	3	1
7_MACS_peak_20013_lociStitched	chr3	141079060	141149862	7	58272	186287.1422	16638.47	4	1
5_MACS_peak_1441_lociStitched	chr1	118141635	118219473	5	68549	143058.4602	10041.102	5	1
8_MACS_peak_24930_lociStitched	chr6	108878016	108958379	8	74137	110515.1976	14023.3435	6	1
4_MACS_peak_2386_lociStitched	chr1	203236422	203298138	4	54570	174323.0136	19360.3092	7	1
13_MACS_peak_17117_lociStitched	chr20	32398757	32477978	13	61378	103042.7547	15939.2652	8	1
8_MACS_peak_8639_lociStitched	chr14	91813027	91885965	8	56233	105461.0542	8628.5654	9	1
4_MACS_peak_23713_lociStitched	chr6	290008	338070	4	42623	137024.762	16153.6382	10	1
2_MACS_peak_23832_lociStitched	chr6	7888864	7922283	2	32628	143781.9056	9765.0318	11	1
6_MACS_peak_11607_lociStitched	chr17	34596591	34651540	6	46501	117634.8192	14061.4491	12	1
6_MACS_peak_17068_lociStitched	chr20	30261914	30312225	6	46743	97065.0123	11164.0109	13	1
4_MACS_peak_11602_lociStitched	chr17	34508014	34550181	4	37493	105130.7644	11595.925	14	1
9_MACS_peak_11898_lociStitched	chr17	46506190	46571453	9	46154	76749.288	12452.1804	15	1
3_MACS_peak_11555_lociStitched	chr17	32688360	32729284	3	38829	93294.4428	8991.0028	16	1
2_MACS_peak_8813_lociStitched	chr14	106024455	106058184	2	33496	102428.2272	5693.4552	17	1
6_MACS_peak_26599_lociStitched	chr7	104562477	104608469	6	38223	83259.3176	8940.8448	18	1
8_MACS_peak_24520_lociStitched	chr6	52392292	52443055	8	39955	72037.7733	10908.9687	19	1
8_MACS_peak_2480_lociStitched	chr1	206955393	207008829	8	43617	57449.0436	13695.6468	20	1
7_MACS_peak_13260_lociStitched	chr19	2594362	2638131	7	32736	94020.1889	12176.5358	21	1
5_MACS_peak_4137_lociStitched	chr10	112146578	112190285	5	39931	65656.6554	8042.088	22	1
3_MACS_peak_1740_lociStitched	chr1	154907932	154935667	3	24810	94770.495	9069.345	23	1
6_MACS_peak_12881_lociStitched	chr18	46439135	46483078	6	38215	50714.6163	8283.2555	24	1
4_MACS_peak_20435_lociStitched	chr3	183223917	183260991	4	33535	72450.0108	12067.587	25	1
7_MACS_peak_8963_lociStitched	chr15	31616688	31660725	7	36171	57763.3329	7257.2976	26	1
4_MACS_peak_8817_lociStitched	chr14	106145117	106176591	4	30477	68068.8198	3732.8164	27	1
4_MACS_peak_12130_lociStitched	chr17	62150029	62187277	4	34270	59224.32	8391.9744	28	1
1_MACS_peak_3105_lociStitched	chr10	11202496	11224610	1	22115	87003.1102	5776.1768	29	1
6_MACS_peak_17875_lociStitched	chr21	41295615	41345237	6	34752	61903.445	13889.1978	30	1
5_MACS_peak_28174_lociStitched	chr8	120914282	120950007	5	33997	55480.925	7141.4275	31	1
6_MACS_peak_6006_lociStitched	chr12	7045245	7085870	6	30201	67876.25	7718.75	32	1
3_MACS_peak_1809_lociStitched	chr1	156449622	156479008	3	28885	72556.9726	8903.958	33	1
5_MACS_peak_11314_lociStitched	chr17	16859049	16895626	5	27049	73984.2979	7867.7127	34	1
7_MACS_peak_16344_lociStitched	chr2	204536564	204585743	7	33400	56024.7168	10848.8874	35	1
6_MACS_peak_17044_lociStitched	chr20	25261503	25302636	6	26888	72653.2179	7029.6297	36	1
10_MACS_peak_25256_lociStitched	chr6	138246221	138298230	10	34170	49965.0463	9564.4551	37	1
6_MACS_peak_29064_lociStitched	chr9	93670432	93709132	6	31484	54029.07	7093.71	38	1
7_MACS_peak_10783_lociStitched	chr16	68269850	68320962	7	31817	54751.1744	9680.6128	39	1
5_MACS_peak_17961_lociStitched	chr21	45552564	45581380	5	22590	77610.1328	7457.5808	40	1
5_MACS_peak_20565_lociStitched	chr3	193787488	193825295	5	25630	71961.8438	10188.9865	41	1
5_MACS_peak_7157_lociStitched	chr12	109006766	109035907	5	23678	72703.8809	6923.9016	42	1
2_MACS_peak_21396_lociStitched	chr4	90204547	90230415	2	25080	68105.2704	6084.1536	43	1
4_MACS_peak_12401_lociStitched	chr17	76711050	76747488	4	27459	62024.7636	7579.104	44	1
3_MACS_peak_14484_lociStitched	chr2	20392330	20426636	3	26312	62941.2182	6483.834	45	1
1_MACS_peak_5071_lociStitched	chr11	65183261	65200152	1	16892	79306.6232	5256.4792	46	1
4_MACS_peak_18710_lociStitched	chr3	5222384	5257084	4	26336	62564.1	7529.9	47	1
