#02_0EWO_0229Kronos_MM1S-No-Treatment-2_H3K18Ac_hs-dm_i04_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/02_0EWO_0229Kronos_MM1S-No-Treatment-2_H3K18Ac_hs-dm_i04_ROSE/02_0EWO_0229Kronos_MM1S-No-Treatment-2_H3K18Ac_hs-dm_i04_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X02_0EWO_0229Kronos_MM1S.No.Treatment.2_H3K18Ac_hs.dm_i04.bam
#Using cutoff of 14943.2417 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X02_0EWO_0229Kronos_MM1S.No.Treatment.2_H3K18Ac_hs.dm_i04.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	isSuper
9_MACS_peak_18123_lociStitched	chr22	23191771	23298620	9	92994	244577.361	18463.5072	1	1
7_MACS_peak_15391_lociStitched	chr2	99054527	99133597	7	69790	205479.209	18075.402	2	1
7_MACS_peak_20013_lociStitched	chr3	141079060	141149862	7	58272	186287.1422	16638.47	3	1
10_MACS_peak_14687_lociStitched	chr2	37529749	37624738	10	72876	182312.3877	19624.7274	4	1
4_MACS_peak_2386_lociStitched	chr1	203236422	203298138	4	54570	174323.0136	19360.3092	5	1
2_MACS_peak_23832_lociStitched	chr6	7888864	7922283	2	32628	143781.9056	9765.0318	6	1
5_MACS_peak_1441_lociStitched	chr1	118141635	118219473	5	68549	143058.4602	10041.102	7	1
4_MACS_peak_23713_lociStitched	chr6	290008	338070	4	42623	137024.762	16153.6382	8	1
6_MACS_peak_11607_lociStitched	chr17	34596591	34651540	6	46501	117634.8192	14061.4491	9	1
8_MACS_peak_8639_lociStitched	chr14	91813027	91885965	8	56233	105461.0542	8628.5654	10	1
2_MACS_peak_8813_lociStitched	chr14	106024455	106058184	2	33496	102428.2272	5693.4552	11	1
8_MACS_peak_24930_lociStitched	chr6	108878016	108958379	8	74137	110515.1976	14023.3435	12	1
4_MACS_peak_11602_lociStitched	chr17	34508014	34550181	4	37493	105130.7644	11595.925	13	1
13_MACS_peak_17117_lociStitched	chr20	32398757	32477978	13	61378	103042.7547	15939.2652	14	1
6_MACS_peak_17068_lociStitched	chr20	30261914	30312225	6	46743	97065.0123	11164.0109	15	1
3_MACS_peak_1740_lociStitched	chr1	154907932	154935667	3	24810	94770.495	9069.345	16	1
3_MACS_peak_11555_lociStitched	chr17	32688360	32729284	3	38829	93294.4428	8991.0028	17	1
7_MACS_peak_13260_lociStitched	chr19	2594362	2638131	7	32736	94020.1889	12176.5358	18	1
1_MACS_peak_3105_lociStitched	chr10	11202496	11224610	1	22115	87003.1102	5776.1768	19	1
6_MACS_peak_26599_lociStitched	chr7	104562477	104608469	6	38223	83259.3176	8940.8448	20	1
1_MACS_peak_5071_lociStitched	chr11	65183261	65200152	1	16892	79306.6232	5256.4792	21	1
5_MACS_peak_17961_lociStitched	chr21	45552564	45581380	5	22590	77610.1328	7457.5808	22	1
2_MACS_peak_13238_lociStitched	chr19	2081515	2098656	2	15767	73433.7581	6105.6242	23	1
5_MACS_peak_11314_lociStitched	chr17	16859049	16895626	5	27049	73984.2979	7867.7127	24	1
5_MACS_peak_7157_lociStitched	chr12	109006766	109035907	5	23678	72703.8809	6923.9016	25	1
6_MACS_peak_17044_lociStitched	chr20	25261503	25302636	6	26888	72653.2179	7029.6297	26	1
2_MACS_peak_27110_lociStitched	chr7	150062265	150084769	2	21901	71159.8984	6499.1552	27	1
4_MACS_peak_8817_lociStitched	chr14	106145117	106176591	4	30477	68068.8198	3732.8164	28	1
9_MACS_peak_11898_lociStitched	chr17	46506190	46571453	9	46154	76749.288	12452.1804	29	1
2_MACS_peak_1797_lociStitched	chr1	156115343	156136897	2	21118	71300.632	7188.259	30	1
3_MACS_peak_1809_lociStitched	chr1	156449622	156479008	3	28885	72556.9726	8903.958	31	1
3_MACS_peak_23092_lociStitched	chr5	131744658	131774348	3	23421	69020.343	6831.669	32	1
2_MACS_peak_21396_lociStitched	chr4	90204547	90230415	2	25080	68105.2704	6084.1536	33	1
5_MACS_peak_20565_lociStitched	chr3	193787488	193825295	5	25630	71961.8438	10188.9865	34	1
3_MACS_peak_12056_lociStitched	chr17	56404441	56431148	3	21024	68554.1983	7058.6601	35	1
8_MACS_peak_24520_lociStitched	chr6	52392292	52443055	8	39955	72037.7733	10908.9687	36	1
4_MACS_peak_20435_lociStitched	chr3	183223917	183260991	4	33535	72450.0108	12067.587	37	1
6_MACS_peak_6006_lociStitched	chr12	7045245	7085870	6	30201	67876.25	7718.75	38	1
2_MACS_peak_6557_lociStitched	chr12	53583253	53604384	2	20750	64576.336	5631.4115	39	1
3_MACS_peak_26572_lociStitched	chr7	102063619	102093258	3	22975	65093.1718	6286.4319	40	1
4_MACS_peak_13623_lociStitched	chr19	16693428	16717242	4	20378	63452.403	5093.8146	41	1
5_MACS_peak_4137_lociStitched	chr10	112146578	112190285	5	39931	65656.6554	8042.088	42	1
3_MACS_peak_18784_lociStitched	chr3	13035452	13061957	3	20645	63299.241	5902.6635	43	1
4_MACS_peak_1603_lociStitched	chr1	149802609	149834570	4	19316	65785.3263	9022.5903	44	1
5_MACS_peak_4132_lociStitched	chr10	112103319	112130601	5	21154	62011.986	5527.3332	45	1
3_MACS_peak_14484_lociStitched	chr2	20392330	20426636	3	26312	62941.2182	6483.834	46	1
2_MACS_peak_6113_lociStitched	chr12	12866045	12881802	2	15723	59104.507	3740.7118	47	1
