REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X02_0EWO_0229Kronos_MM1S.No.Treatment.2_H3K18Ac_hs.dm_i04.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
9_MACS_peak_18123_lociStitched	chr22	23191771	23298620	9	92994	244577.361	18463.5072	1	IGLL5	MIR650	IGLL5	1	1
7_MACS_peak_15391_lociStitched	chr2	99054527	99133597	7	69790	205479.209	18075.402	2	INPP4A		INPP4A	2	1
7_MACS_peak_20013_lociStitched	chr3	141079060	141149862	7	58272	186287.1422	16638.47	3	ZBTB38		ZBTB38	3	1
10_MACS_peak_14687_lociStitched	chr2	37529749	37624738	10	72876	182312.3877	19624.7274	4	QPCT,PRKD3		QPCT	4	1
4_MACS_peak_2386_lociStitched	chr1	203236422	203298138	4	54570	174323.0136	19360.3092	5	BTG2,LOC730227	CHIT1,FMOD	LOC730227	5	1
2_MACS_peak_23832_lociStitched	chr6	7888864	7922283	2	32628	143781.9056	9765.0318	6	MUTED-TXNDC5,TXNDC5		TXNDC5	6	1
5_MACS_peak_1441_lociStitched	chr1	118141635	118219473	5	68549	143058.4602	10041.102	7	FAM46C		FAM46C	7	1
4_MACS_peak_23713_lociStitched	chr6	290008	338070	4	42623	137024.762	16153.6382	8	DUSP22		DUSP22	8	1
6_MACS_peak_11607_lociStitched	chr17	34596591	34651540	6	46501	117634.8192	14061.4491	9	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	9	1
8_MACS_peak_8639_lociStitched	chr14	91813027	91885965	8	56233	105461.0542	8628.5654	10	CCDC88C		CCDC88C	10	1
2_MACS_peak_8813_lociStitched	chr14	106024455	106058184	2	33496	102428.2272	5693.4552	11		TMEM121	TMEM121	11	1
8_MACS_peak_24930_lociStitched	chr6	108878016	108958379	8	74137	110515.1976	14023.3435	12	FOXO3		FOXO3	12	1
4_MACS_peak_11602_lociStitched	chr17	34508014	34550181	4	37493	105130.7644	11595.925	13	CCL4L1,CCL3L1,CCL3L3	TBC1D3B,TBC1D3C	CCL3L1	13	1
13_MACS_peak_17117_lociStitched	chr20	32398757	32477978	13	61378	103042.7547	15939.2652	14	CHMP4B		CHMP4B	14	1
6_MACS_peak_17068_lociStitched	chr20	30261914	30312225	6	46743	97065.0123	11164.0109	15	BCL2L1	COX4I2,TPX2	BCL2L1	15	1
3_MACS_peak_1740_lociStitched	chr1	154907932	154935667	3	24810	94770.495	9069.345	16	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	16	1
3_MACS_peak_11555_lociStitched	chr17	32688360	32729284	3	38829	93294.4428	8991.0028	17	CCL1	CCL8,CCL13	CCL1	17	1
7_MACS_peak_13260_lociStitched	chr19	2594362	2638131	7	32736	94020.1889	12176.5358	18	GNG7		GNG7	18	1
1_MACS_peak_3105_lociStitched	chr10	11202496	11224610	1	22115	87003.1102	5776.1768	19	CELF2		CELF2	19	1
6_MACS_peak_26599_lociStitched	chr7	104562477	104608469	6	38223	83259.3176	8940.8448	20	LOC723809	MLL5,LOC100216545	LOC723809	20	1
1_MACS_peak_5071_lociStitched	chr11	65183261	65200152	1	16892	79306.6232	5256.4792	21	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	21	1
5_MACS_peak_17961_lociStitched	chr21	45552564	45581380	5	22590	77610.1328	7457.5808	22	C21orf33	PWP2	C21orf33	22	1
2_MACS_peak_13238_lociStitched	chr19	2081515	2098656	2	15767	73433.7581	6105.6242	23	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	23	1
5_MACS_peak_11314_lociStitched	chr17	16859049	16895626	5	27049	73984.2979	7867.7127	24	TNFRSF13B		TNFRSF13B	24	1
5_MACS_peak_7157_lociStitched	chr12	109006766	109035907	5	23678	72703.8809	6923.9016	25	SELPLG	TMEM119	SELPLG	25	1
6_MACS_peak_17044_lociStitched	chr20	25261503	25302636	6	26888	72653.2179	7029.6297	26	PYGB,ABHD12		PYGB	26	1
2_MACS_peak_27110_lociStitched	chr7	150062265	150084769	2	21901	71159.8984	6499.1552	27	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	27	1
4_MACS_peak_8817_lociStitched	chr14	106145117	106176591	4	30477	68068.8198	3732.8164	28			TMEM121	28	1
9_MACS_peak_11898_lociStitched	chr17	46506190	46571453	9	46154	76749.288	12452.1804	29	SKAP1	HOXB1	SKAP1	29	1
2_MACS_peak_1797_lociStitched	chr1	156115343	156136897	2	21118	71300.632	7188.259	30	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	30	1
3_MACS_peak_1809_lociStitched	chr1	156449622	156479008	3	28885	72556.9726	8903.958	31	MEF2D		MEF2D	31	1
3_MACS_peak_23092_lociStitched	chr5	131744658	131774348	3	23421	69020.343	6831.669	32	C5orf56	SLC22A5,MIR3936	C5orf56	32	1
2_MACS_peak_21396_lociStitched	chr4	90204547	90230415	2	25080	68105.2704	6084.1536	33	GPRIN3		GPRIN3	33	1
5_MACS_peak_20565_lociStitched	chr3	193787488	193825295	5	25630	71961.8438	10188.9865	34		HES1	HES1	34	1
3_MACS_peak_12056_lociStitched	chr17	56404441	56431148	3	21024	68554.1983	7058.6601	35	BZRAP1,MIR142,SUPT4H1,RNF43	MPO	MIR142	35	1
8_MACS_peak_24520_lociStitched	chr6	52392292	52443055	8	39955	72037.7733	10908.9687	36	TRAM2		TRAM2	36	1
4_MACS_peak_20435_lociStitched	chr3	183223917	183260991	4	33535	72450.0108	12067.587	37	KLHL6		KLHL6	37	1
6_MACS_peak_6006_lociStitched	chr12	7045245	7085870	6	30201	67876.25	7718.75	38	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	LRRC23,ENO2	PTPN6	38	1
2_MACS_peak_6557_lociStitched	chr12	53583253	53604384	2	20750	64576.336	5631.4115	39	ZNF740,ITGB7,RARG	MFSD5,CSAD	ITGB7	39	1
3_MACS_peak_26572_lociStitched	chr7	102063619	102093258	3	22975	65093.1718	6286.4319	40	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	40	1
4_MACS_peak_13623_lociStitched	chr19	16693428	16717242	4	20378	63452.403	5093.8146	41	MED26	CHERP,SLC35E1	SLC35E1	41	1
5_MACS_peak_4137_lociStitched	chr10	112146578	112190285	5	39931	65656.6554	8042.088	42			DUSP5	42	1
3_MACS_peak_18784_lociStitched	chr3	13035452	13061957	3	20645	63299.241	5902.6635	43	IQSEC1	IQSEC1	IQSEC1	43	1
4_MACS_peak_1603_lociStitched	chr1	149802609	149834570	4	19316	65785.3263	9022.5903	44	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	44	1
5_MACS_peak_4132_lociStitched	chr10	112103319	112130601	5	21154	62011.986	5527.3332	45		SMNDC1	SMNDC1	45	1
3_MACS_peak_14484_lociStitched	chr2	20392330	20426636	3	26312	62941.2182	6483.834	46	SDC1		SDC1	46	1
2_MACS_peak_6113_lociStitched	chr12	12866045	12881802	2	15723	59104.507	3740.7118	47	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	47	1
4_MACS_peak_18710_lociStitched	chr3	5222384	5257084	4	26336	62564.1	7529.9	48	ARL8B,EDEM1		EDEM1	48	1
1_MACS_peak_11596_lociStitched	chr17	34408339	34433323	1	24985	60836.04	6285.9744	49	CCL4,CCL3	CCL18	CCL3	49	1
4_MACS_peak_12401_lociStitched	chr17	76711050	76747488	4	27459	62024.7636	7579.104	50	CYTH1		CYTH1	50	1
2_MACS_peak_27217_lociStitched	chr8	2027008	2051016	2	19702	59090.8904	4873.624	51	MYOM2		MYOM2	51	1
2_MACS_peak_24029_lociStitched	chr6	25402779	25418096	2	15136	57524.5252	3990.0785	52	LRRC16A		LRRC16A	52	1
4_MACS_peak_2415_lociStitched	chr1	204474591	204501114	4	19992	59870.3679	7163.8623	53	MDM4	PIK3C2B	MDM4	53	1
2_MACS_peak_20290_lociStitched	chr3	171801507	171828416	2	25481	60827.7945	8180.336	54	FNDC3B		FNDC3B	54	1
1_MACS_peak_16300_lociStitched	chr2	201979862	201995129	1	15268	56486.3733	3943.4661	55	CFLAR	NDUFB3,FAM126B	CFLAR	55	1
3_MACS_peak_15364_lociStitched	chr2	97187984	97212879	3	22318	57096.6825	4767.3925	56	ARID5A	NEURL3	ARID5A	56	1
3_MACS_peak_13895_lociStitched	chr19	39880479	39904310	3	19537	56832.1688	4851.9916	57	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	57	1
4_MACS_peak_17240_lociStitched	chr20	37498498	37523405	4	17426	55642.238	4719.8765	58	PPP1R16B	FAM83D	FAM83D	58	1
4_MACS_peak_12130_lociStitched	chr17	62150029	62187277	4	34270	59224.32	8391.9744	59	ERN1	SNORD104,SNORA76	ERN1	59	1
7_MACS_peak_8963_lociStitched	chr15	31616688	31660725	7	36171	57763.3329	7257.2976	60	KLF13		KLF13	60	1
2_MACS_peak_16487_lociStitched	chr2	219741169	219763549	2	19796	55652.346	5158.59	61	WNT10A	WNT6,PRKAG3	WNT10A	61	1
1_MACS_peak_14426_lociStitched	chr2	11883193	11898720	1	15528	54125.5693	3650.3977	62	LPIN1		LPIN1	62	1
1_MACS_peak_24897_lociStitched	chr6	106531146	106555781	1	24636	56116.0665	6033.1115	63	PRDM1		PRDM1	63	1
1_MACS_peak_5829_lociStitched	chr11	128585312	128609897	1	24586	56004.63	6033.159	64	FLI1		FLI1	64	1
4_MACS_peak_4078_lociStitched	chr10	105244491	105276221	4	24086	56120.851	6253.983	65	NEURL	CALHM2,CALHM1,CALHM3	NEURL	65	1
5_MACS_peak_20150_lociStitched	chr3	156795240	156826012	5	22542	59122.2436	9256.2176	66	LOC100498859,LOC339894		LOC100498859	66	1
1_MACS_peak_484_lociStitched	chr1	31213996	31236376	1	22381	54685.53	5136.21	67	LAPTM5	LOC100129196,MATN1	LAPTM5	67	1
3_MACS_peak_5078_lociStitched	chr11	65253659	65279033	3	22697	54480.5154	5488.3962	68	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	68	1
5_MACS_peak_24898_lociStitched	chr6	106585014	106619048	5	24084	55621.7662	7000.7938	69		PRDM1	PRDM1	69	1
3_MACS_peak_2853_lociStitched	chr1	234733181	234750411	3	13141	54172.843	5591.135	70	IRF2BP2	NCRNA00184	IRF2BP2	70	1
5_MACS_peak_28174_lociStitched	chr8	120914282	120950007	5	33997	55480.925	7141.4275	71	DEPDC6	DSCC1	DEPDC6	71	1
6_MACS_peak_17875_lociStitched	chr21	41295615	41345237	6	34752	61903.445	13889.1978	72	PCP4		PCP4	72	1
3_MACS_peak_1625_lociStitched	chr1	150531676	150553454	3	18122	54976.3832	7476.3874	73	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	73	1
6_MACS_peak_29064_lociStitched	chr9	93670432	93709132	6	31484	54029.07	7093.71	74			SYK	74	1
1_MACS_peak_11708_lociStitched	chr17	38465499	38484259	1	18761	51263.576	4333.56	75	RARA	CDC6,RARA,GJD3	RARA	75	1
4_MACS_peak_2795_lociStitched	chr1	230256057	230287831	4	22080	54241.3954	7387.455	76	GALNT2		GALNT2	76	1
1_MACS_peak_18150_lociStitched	chr22	24178929	24192243	1	13315	50008.7154	3261.93	77	DERL3	SMARCB1,SLC2A11,MIF	DERL3	77	1
2_MACS_peak_10729_lociStitched	chr16	66548866	66562782	2	13828	49444.9396	3257.7356	78	TK2	CKLF,CMTM1	TK2	78	1
4_MACS_peak_12597_lociStitched	chr18	9054846	9084947	4	20003	51930.2452	6092.4424	79		NDUFV2	NDUFV2	79	1
3_MACS_peak_1719_lociStitched	chr1	154370261	154394524	3	19032	52978.2605	7259.4896	80	IL6R		IL6R	80	1
7_MACS_peak_16344_lociStitched	chr2	204536564	204585743	7	33400	56024.7168	10848.8874	81	CD28		CD28	81	1
7_MACS_peak_10783_lociStitched	chr16	68269850	68320962	7	31817	54751.1744	9680.6128	82	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	82	1
5_MACS_peak_2455_lociStitched	chr1	206271464	206311641	5	26487	55765.676	10807.613	83	C1orf186	AVPR1B,CTSE	C1orf186	83	1
1_MACS_peak_23879_lociStitched	chr6	11826560	11839882	1	13323	47877.9358	2952.1552	84		C6orf105	C6orf105	84	1
