REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X02_0EWO_0229Kronos_MM1S.No.Treatment.2_H3K18Ac_hs.dm_i04.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
9_MACS_peak_18123_lociStitched	chr22	23191771	23298620	9	92994	244577.361	18463.5072	1	IGLL5	MIR650	IGLL5	IGLL5	3.7384000000000004	1	1
7_MACS_peak_15391_lociStitched	chr2	99054527	99133597	7	69790	205479.209	18075.402	2	INPP4A		INPP4A	INPP4A	1.2192	2	1
10_MACS_peak_14687_lociStitched	chr2	37529749	37624738	10	72876	182312.3877	19624.7274	3	QPCT,PRKD3		QPCT	QPCT	1.6985999999999999	3	1
7_MACS_peak_20013_lociStitched	chr3	141079060	141149862	7	58272	186287.1422	16638.47	4	ZBTB38		ZBTB38	ZBTB38	1.2791	4	1
5_MACS_peak_1441_lociStitched	chr1	118141635	118219473	5	68549	143058.4602	10041.102	5	FAM46C		FAM46C	FAM46C	1.9299000000000002	5	1
8_MACS_peak_24930_lociStitched	chr6	108878016	108958379	8	74137	110515.1976	14023.3435	6	FOXO3		FOXO3	FOXO3	0.9162999999999999	6	1
4_MACS_peak_2386_lociStitched	chr1	203236422	203298138	4	54570	174323.0136	19360.3092	7	BTG2,LOC730227	CHIT1,FMOD	LOC730227	LOC730227	2.7621	7	1
13_MACS_peak_17117_lociStitched	chr20	32398757	32477978	13	61378	103042.7547	15939.2652	8	CHMP4B		CHMP4B	CHMP4B	0.8296000000000001	8	1
8_MACS_peak_8639_lociStitched	chr14	91813027	91885965	8	56233	105461.0542	8628.5654	9	CCDC88C		CCDC88C	CCDC88C	0.6971	9	1
4_MACS_peak_23713_lociStitched	chr6	290008	338070	4	42623	137024.762	16153.6382	10	DUSP22		DUSP22	DUSP22	1.7553	10	1
2_MACS_peak_23832_lociStitched	chr6	7888864	7922283	2	32628	143781.9056	9765.0318	11	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	2.8513	11	1
6_MACS_peak_11607_lociStitched	chr17	34596591	34651540	6	46501	117634.8192	14061.4491	12	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	TBC1D3C	0.012199999999999989	12	1
6_MACS_peak_17068_lociStitched	chr20	30261914	30312225	6	46743	97065.0123	11164.0109	13	BCL2L1	COX4I2,TPX2	BCL2L1	BCL2L1	1.2917999999999998	13	1
4_MACS_peak_11602_lociStitched	chr17	34508014	34550181	4	37493	105130.7644	11595.925	14	CCL4L1,CCL3L1,CCL3L3	TBC1D3B,TBC1D3C	CCL3L1	CCL3L1	3.1189999999999998	14	1
9_MACS_peak_11898_lociStitched	chr17	46506190	46571453	9	46154	76749.288	12452.1804	15	SKAP1	HOXB1	SKAP1	HOXB1	0.04820000000000001	15	1
3_MACS_peak_11555_lociStitched	chr17	32688360	32729284	3	38829	93294.4428	8991.0028	16	CCL1	CCL8,CCL13	CCL1	CCL1	1.2922	16	1
2_MACS_peak_8813_lociStitched	chr14	106024455	106058184	2	33496	102428.2272	5693.4552	17		TMEM121	TMEM121	TMEM121	0.056700000000000014	17	1
