GENE	H3k18ac_2_DMSO_compare_TSS_SIGNAL	H3k18ac_2_DMSO_compare_DISTAL_SIGNAL	ENHANCER_PROMOTER_DIFFERENCE	ENHANCER_CONTRIBUTION	ENHANCER_PROMOTER_RATIO
BRD2	29980.4362	9501.2096	-20479.2266	0.240648772549396	-1.65783827400572
UBE2D3	19432.7093	4261.3932	-15171.3161	0.179850374159561	-2.18908997420513
PTPN7	16949.1368	1791.7653	-15157.3715	0.0956072066562901	-3.24175822149003
GART	14609.5979	707.7359	-13901.862	0.0462049015344955	-4.36756155910604
LPXN	22057.0238	8597.8622	-13459.1616	0.280472815981113	-1.35918824502567
NCRNA00167	13885.5896	1037.8941	-12847.6955	0.0695477088905186	-3.74185728409667
PRDM10	13780.0772	1037.8941	-12742.1831	0.0700429282110973	-3.73085281741369
BRP44	12858.5883	340.2937	-12518.2946	0.025782009415646	-5.23980801029674
FLJ43663	22085.6827	9691.635	-12394.0477	0.304985936556879	-1.18829945174109
C7orf55	15476	3085.9487	-12390.0513	0.166251332221385	-2.32624664965627
LUC7L2	14785.2	3085.9487	-11699.2513	0.17267769138981	-2.26036777474705
BCLAF1	12939.6	1316.2762	-11623.3238	0.0923321850957151	-3.29725886722416
SON	12122.664	707.7359	-11414.9281	0.0551608605745796	-4.09835185890985
DCAF6	11669.4811	340.2937	-11329.1874	0.0283347278085514	-5.09981615843678
WRAP53	11286.7465	40.2781	-11246.4684	0.00355592941856946	-8
RAB40C	14596.7984	3377.3222	-11219.4762	0.187899162087518	-2.1117002435674
HNRNPK	10704.1236	284.6007	-10419.5229	0.0258993393800953	-5.23308365939131
ZNF335	11268.4	1006.7395	-10261.6605	0.0820145058229277	-3.4845203512126
RMI1	10235.5337	284.6007	-9950.933	0.0270529528596137	-5.16850330863143
PJA2	13502	3709.4886	-9792.5114	0.215523984369371	-1.86388091216608
NUP205	10030.68	258.3354	-9772.3446	0.0251078835006895	-5.27903025106278
MZF1	11212.3252	1575.7944	-9636.5308	0.12322330798345	-2.83093427554877
CBLL1	9869.8	329.6989	-9540.1011	0.0323250096139527	-4.90379987168976
C11orf10	11610.9252	2116.5068	-9494.4184	0.154180825663533	-2.45572590695247
FEN1	11595.4692	2116.5068	-9478.9624	0.154354616723366	-2.4538041695671
MIR611	11593.7992	2116.5068	-9477.2924	0.154373418069589	-2.45359637510969
FAM53C	10001.0752	546.3606	-9454.7146	0.051800324776568	-4.19415785048236
SMC4	13954.0265	4598.1007	-9355.9258	0.247847626874831	-1.60157151153362
THAP5	10423.8461	1097.5194	-9326.3267	0.0952594898582117	-3.24756934240201
MSL2	16444.7672	7176.544	-9268.2232	0.303816496012296	-1.19626742542551
DNAJB9	10355.5091	1097.5194	-9257.9897	0.0958278764433355	-3.23808013491747
YY1AP1	11104.942	1907.1759	-9197.7661	0.14656921453194	-2.54169204230682
IQCG	10842.4954	1755.6647	-9086.8307	0.139358817959457	-2.62660758332724
FARSB	14295.6	5215.6268	-9079.9732	0.267314139365137	-1.45465862504383
ADK	11800.5418	2757.6149	-9042.9269	0.189420608448321	-2.09736019562577
C1orf9	9337.4367	575.4618	-8761.9749	0.0580518200605	-4.02023448923944
DAP3	10659.2346	1907.1759	-8752.0587	0.151767754204751	-2.48259403170406
DHX36	9114.4	365.1472	-8749.2528	0.0385194769640474	-4.64159761398691
HNRNPL	15529.8	6820.5702	-8709.2298	0.305165871480733	-1.18707499136661
LOC100129387	8727.4414	35.739	-8691.7024	0.00407831385052851	-7.93191568725909
CLTC	10145	1468.7491	-8676.2509	0.126466405236876	-2.78810899233898
FLJ10038	8559.8747	35.739	-8524.1357	0.00415781830679524	-7.90394660087498
MYNN	11361.212	2845.1766	-8516.0354	0.200274445540649	-1.99752663952099
SMEK2	9709.2	1257.5033	-8451.6967	0.114665571375493	-2.94879024210372
SETD7	10622.4	2204.502	-8417.898	0.171865505793995	-2.26858507115593
CALM3	8440.6	130.0655	-8310.5345	0.0151756593464066	-6.02003531489251
FBXL17	9769.2	1504.6337	-8264.5663	0.133462470712159	-2.69882811613244
USP1	8829.7016	627.426	-8202.2756	0.0663442460055207	-3.81484746319157
RPRD2	11416.8	3245.8112	-8170.9888	0.22136651894582	-1.81450734645018
EIF4A2	13057.5248	4932.486	-8125.0388	0.274179157246531	-1.40449458257674
STK35	9905.2492	1809.4354	-8095.8138	0.154458738052581	-2.4526536695376
ZNF687	9694.4	1647.8116	-8046.5884	0.145281331199993	-2.55660030704182
RTP4	8929.4	969.7592	-7959.6408	0.097963794743295	-3.20286477586743
TSEN34	8621.368	670.7776	-7950.5904	0.072187590345119	-3.6840103905082
NCOR1	7950.002	14.9226	-7935.0794	0.00187353939295295	-8
KIAA1712	9539.6066	1620.3858	-7919.2208	0.145195959094022	-2.55759242537908
GPBP1L1	10541.9552	2636.8821	-7905.0731	0.200084578022676	-1.99923749406656
ANKRD13C	8828.82	939.7301	-7889.0899	0.0961995475664295	-3.23190226518529
HHLA3	8800.3425	939.7301	-7860.6124	0.0964808106255799	-3.22724130823261
UBE2M	9476.3364	1621.5414	-7854.795	0.146112745988247	-2.54696355555702
PRPF40A	8726.3563	946.2873	-7780.069	0.0978313002248941	-3.20502921229316
TPR	7926.9904	157.3419	-7769.6485	0.0194625720667123	-5.65479841385421
STK19	7977.6532	247.6139	-7730.0393	0.0301040558306003	-5.00980020001755
SND1	8550.8	853.2203	-7697.5797	0.090729312866328	-3.32506920658466
DOM3Z	7899.7456	247.6139	-7652.1317	0.0303919202288791	-4.99564198535612
ARL6IP6	8590.6024	946.2873	-7644.3151	0.099223890573045	-3.18240913287757
DDX5	7840.1047	207.3656	-7632.7391	0.025767799354289	-5.2406244312219
CLN3	9036.56	1451.252	-7585.308	0.13837509673133	-2.63847562271208
