GENE_ID	locusLine	bin_1_33_0EX9_0229Kronos_MM1S-No-Treatment-1_p300_hs_i49.bam
1_MACS_peak_1_lociStitched	chr1(.):9913-10753	2.9929
1_MACS_peak_2_lociStitched	chr1(.):28954-29818	0.669
1_MACS_peak_3_lociStitched	chr1(.):713393-714627	0.7156
1_MACS_peak_4_lociStitched	chr1(.):1353204-1353836	0.5016
1_MACS_peak_5_lociStitched	chr1(.):1544977-1545962	0.6797
1_MACS_peak_6_lociStitched	chr1(.):1565629-1566196	0.5493
1_MACS_peak_7_lociStitched	chr1(.):1590168-1591374	0.6346
1_MACS_peak_8_lociStitched	chr1(.):1606500-1607484	0.5458
1_MACS_peak_9_lociStitched	chr1(.):1623627-1625474	0.6888
1_MACS_peak_10_lociStitched	chr1(.):1655415-1656608	0.6645
1_MACS_peak_11_lociStitched	chr1(.):1669126-1670812	0.7443
1_MACS_peak_12_lociStitched	chr1(.):1676311-1678759	0.6299
1_MACS_peak_13_lociStitched	chr1(.):1709915-1712546	1.0486
1_MACS_peak_14_lociStitched	chr1(.):1828387-1829204	0.5559
2_MACS_peak_15_lociStitched	chr1(.):1838566-1841143	0.4918
1_MACS_peak_17_lociStitched	chr1(.):2221824-2223038	0.6761
1_MACS_peak_18_lociStitched	chr1(.):2231539-2233040	0.8494
1_MACS_peak_19_lociStitched	chr1(.):2479114-2480266	0.7668
1_MACS_peak_20_lociStitched	chr1(.):2486975-2487925	0.6238
1_MACS_peak_21_lociStitched	chr1(.):2516865-2517552	0.5562
1_MACS_peak_22_lociStitched	chr1(.):6085884-6086656	0.7206
1_MACS_peak_23_lociStitched	chr1(.):6259423-6260238	0.8001
1_MACS_peak_24_lociStitched	chr1(.):6662960-6664450	0.5387
1_MACS_peak_25_lociStitched	chr1(.):7889319-7890065	0.6913
1_MACS_peak_26_lociStitched	chr1(.):7902370-7903135	0.6316
1_MACS_peak_27_lociStitched	chr1(.):8487335-8488291	0.87
1_MACS_peak_28_lociStitched	chr1(.):8537101-8537968	1.0048
1_MACS_peak_29_lociStitched	chr1(.):8703348-8704314	0.8434
2_MACS_peak_30_lociStitched	chr1(.):8760879-8763968	0.5666
1_MACS_peak_32_lociStitched	chr1(.):8889318-8890278	1.2077
1_MACS_peak_33_lociStitched	chr1(.):8907674-8908638	0.863
1_MACS_peak_34_lociStitched	chr1(.):8937721-8939626	0.7722
2_MACS_peak_35_lociStitched	chr1(.):9137914-9141199	0.8881
1_MACS_peak_37_lociStitched	chr1(.):9222792-9224576	0.8768
1_MACS_peak_38_lociStitched	chr1(.):9486167-9487137	0.8867
1_MACS_peak_39_lociStitched	chr1(.):9686098-9686807	0.7273
1_MACS_peak_40_lociStitched	chr1(.):9777262-9778277	0.8035
1_MACS_peak_41_lociStitched	chr1(.):9847321-9848283	0.814
1_MACS_peak_42_lociStitched	chr1(.):10002906-10003796	0.7585
2_MACS_peak_43_lociStitched	chr1(.):10311506-10314652	0.7597
1_MACS_peak_45_lociStitched	chr1(.):10458664-10459677	0.6425
1_MACS_peak_46_lociStitched	chr1(.):10490132-10491447	0.5889
1_MACS_peak_47_lociStitched	chr1(.):11333187-11333776	0.6972
1_MACS_peak_48_lociStitched	chr1(.):11627239-11629585	1.2665
1_MACS_peak_49_lociStitched	chr1(.):11740657-11741301	0.5349
1_MACS_peak_50_lociStitched	chr1(.):11865322-11866849	0.7337
1_MACS_peak_51_lociStitched	chr1(.):11967713-11969328	0.9031
