GENE_ID	locusLine	bin_1_43_0EXV_0229Kronos_MM1S-KB-24hr-1_Input_hs_i87.bam
NM_199454	chr1(.):2980741-3360185	0.0683
NM_015215	chr1(.):6840383-7834766	0.0861
NM_001033581	chr1(.):2000085-2121834	0.0769
NM_012405	chr1(.):6276252-6301044	0.0981
NM_017891	chr1(.):1012197-1056736	0.0894
NM_001033582	chr1(.):2031154-2121834	0.0788
NM_002744	chr1(.):1976908-2121834	0.078
NM_017449	chr1(.):23032330-23246823	0.0923
NM_032409	chr1(.):20954947-20983004	0.1063
NM_017900	chr1(.):1304109-1315818	0.1073
NM_001014980	chr1(.):1172832-1187102	0.0749
NM_003820	chr1(.):2482804-2500267	0.0986
NM_003036	chr1(.):2155133-2246652	0.0854
NM_152492	chr1(.):3663964-3693209	0.1038
NM_001409	chr1(.):3399505-3533059	0.0789
NM_007274	chr1(.):6319331-6458826	0.0876
NM_001042663	chr1(.):6521151-6562484	0.0953
NM_181864	chr1(.):6319331-6450883	0.0853
NM_198681	chr1(.):6521151-6585069	0.0927
NM_001079843	chr1(.):10691665-10861707	0.0867
NM_017766	chr1(.):10702269-10861707	0.0876
NM_004958	chr1(.):11161587-11327608	0.0967
NM_020350	chr1(.):11791141-11815828	0.1089
NM_007365	chr1(.):17388255-17450948	0.092
NM_013358	chr1(.):17526620-17577501	0.0906
NR_026567	chr1(.):17012712-17051652	0.2146
NM_018125	chr1(.):17861329-18029370	0.0831
NM_001011722	chr1(.):17902047-18029370	0.0831
NM_013945	chr1(.):18952499-19067632	0.0819
NM_001135254	chr1(.):18952499-19080360	0.0825
NR_033887	chr1(.):20681293-20760287	0.0897
NM_000478	chr1(.):21830857-21909905	0.0936
NM_014870	chr1(.):22773343-22862650	0.1109
NM_005704	chr1(.):29558027-29658325	0.0924
NM_002379	chr1(.):31179123-31201432	0.127
NR_034182	chr1(.):31186618-31204593	0.1276
NM_000831	chr1(.):37256127-37504844	0.0851
NM_004952	chr1(.):155046347-155065014	0.2164
NM_178229	chr1(.):156490196-156547396	0.1636
NM_144702	chr1(.):156885423-156907880	0.1339
NM_138795	chr1(.):202096976-202118866	0.1673
NM_001017403	chr1(.):202158117-202293889	0.1499
NM_021636	chr1(.):202167904-202293889	0.1477
NM_001017404	chr1(.):202178282-202293889	0.149
NM_015090	chr1(.):204792781-204996950	0.1395
NM_032129	chr1(.):896876-915484	0.0759
NM_152486	chr1(.):856120-884961	0.0954
NM_198317	chr1(.):890966-906099	0.1051
NR_027055	chr1(.):798450-817182	0.0971
NM_015658	chr1(.):874582-899679	0.1057
NR_026874	chr1(.):847952-859817	0.1056
NR_027693	chr1(.):905578-922473	0.0835
NM_001142467	chr1(.):929343-940552	0.0848
NM_005101	chr1(.):943846-954919	0.1209
NM_021170	chr1(.):929341-940552	0.0848
NM_198576	chr1(.):950502-996492	0.0842
NM_001130045	chr1(.):1104285-1138313	0.0794
NR_029639	chr1(.):1097483-1107578	0.0676
NM_016547	chr1(.):1147287-1172447	0.0853
NM_080605	chr1(.):1162628-1175420	0.1057
NM_153254	chr1(.):1110076-1126243	0.0832
NM_003327	chr1(.):1141705-1154512	0.0614
NM_004195	chr1(.):1133887-1147089	0.0702
NR_029834	chr1(.):1098242-1108332	0.0671
NR_029957	chr1(.):1099384-1109467	0.0672
NM_001127230	chr1(.):1304110-1315562	0.1074
NM_001127229	chr1(.):1304109-1315580	0.1073
NM_022834	chr1(.):1365902-1383262	0.0816
NM_030937	chr1(.):1316090-1339718	0.1152
NM_031921	chr1(.):1402163-1436582	0.0782
NR_015434	chr1(.):1329909-1342426	0.1485
NM_001145210	chr1(.):1348799-1361650	0.089
NM_001146685	chr1(.):1356507-1368167	0.067
NM_017971	chr1(.):1332275-1347693	0.1565
NM_001039211	chr1(.):1380068-1410538	0.0883
NM_080875	chr1(.):1545794-1570990	0.0861
NM_006983	chr1(.):1562559-1575030	0.0757
NM_014188	chr1(.):1472052-1515262	0.0882
NR_002946	chr1(.):1563158-1575027	0.0796
NM_001114748	chr1(.):1465157-1480740	0.0677
NM_001170689	chr1(.):1546244-1570990	0.0871
NR_002946	chr1(.):1626377-1638247	0.0705
NM_002074	chr1(.):1711728-1827495	0.111
NM_138705	chr1(.):1841265-1853733	0.1134
NM_178545	chr1(.):1844028-1855740	0.1015
NM_000815	chr1(.):1945767-1967192	0.0785
NM_001080484	chr1(.):1879751-1940276	0.0807
NM_001146310	chr1(.):2110898-2144172	0.0889
NM_182533	chr1(.):2115987-2131214	0.1063
NR_024445	chr1(.):2115481-2130024	0.1032
NM_007033	chr1(.):2318213-2341885	0.0999
NM_002617	chr1(.):2331240-2349010	0.1188
NR_024489	chr1(.):2276852-2289100	0.0699
NM_024848	chr1(.):2247695-2327993	0.0857
NM_014638	chr1(.):2402753-2441964	0.0622
NM_001010926	chr1(.):2455183-2466684	0.1011
NR_026927	chr1(.):2476358-2489284	0.1662
NM_018216	chr1(.):2434974-2463035	0.0724
NM_001195741	chr1(.):2513188-2527908	0.0909
NR_036638	chr1(.):2512898-2527908	0.0899
NR_024371	chr1(.):2975635-2989289	0.0566
NR_015440	chr1(.):2971180-2989289	0.0659
NM_080431	chr1(.):2933045-2944467	0.0806
NR_036215	chr1(.):3039538-3049599	0.0658
NM_014448	chr1(.):3366146-3402677	0.0697
NR_030277	chr1(.):3472259-3482354	0.0841
NM_182752	chr1(.):3536555-3551694	0.1181
NR_033712	chr1(.):3647547-3668335	0.0785
NR_033708	chr1(.):3647547-3668937	0.0781
NM_005427	chr1(.):3564128-3655467	0.0767
NM_017818	chr1(.):3542330-3571671	0.0948
NM_020710	chr1(.):3691783-3718068	0.0915
NM_001163724	chr1(.):3684351-3697546	0.0951
NM_015557	chr1(.):6156846-6245194	0.0844
NM_207396	chr1(.):6261188-6286359	0.079
NM_000983	chr1(.):6240079-6264679	0.1098
NM_181865	chr1(.):6319331-6425764	0.0854
NM_207370	chr1(.):6302405-6326035	0.0941
NM_001024598	chr1(.):6299251-6310638	0.0883
NM_020631	chr1(.):6521151-6556760	0.0947
NM_003790	chr1(.):6516213-6531255	0.0779
NM_001039664	chr1(.):6519170-6531255	0.0836
NM_019089	chr1(.):6470293-6484979	0.0896
NM_031475	chr1(.):6479847-6526004	0.0896
NM_001042665	chr1(.):6521151-6551014	0.0939
NM_001042664	chr1(.):6521151-6555640	0.0929
NR_036218	chr1(.):6484893-6494956	0.069
NM_177540	chr1(.):6610337-6644817	0.1116
NM_024654	chr1(.):6576406-6619658	0.1031
NM_001010866	chr1(.):9643931-9670020	0.0854
NM_005026	chr1(.):9706789-9794172	0.0987
NR_027045	chr1(.):9707667-9719644	0.0895
NM_013319	chr1(.):11328254-11353491	0.1002
NM_020780	chr1(.):11534294-11602640	0.0875
NM_001127325	chr1(.):11729536-11756678	0.1119
NM_006341	chr1(.):11729536-11746271	0.1174
NM_018438	chr1(.):11719149-11739409	0.1003
NM_183412	chr1(.):11709431-11728384	0.1188
NM_012168	chr1(.):11703447-11719739	0.1139
NM_033182	chr1(.):11709913-11728384	0.1195
NM_198545	chr1(.):11746780-11785336	0.0947
NM_021736	chr1(.):11861206-11894360	0.1171
NM_005957	chr1(.):11840786-11871160	0.1292
NM_006172	chr1(.):11900766-11912840	0.0837
NM_002521	chr1(.):11912520-11923992	0.106
NM_000302	chr1(.):11989745-12040594	0.0885
NM_138346	chr1(.):11975122-11991480	0.1144
NM_003443	chr1(.):16263363-16307627	0.1002
NM_001165945	chr1(.):16370283-16388803	0.1029
NM_001042704	chr1(.):16343485-16365545	0.0842
NM_178840	chr1(.):16325730-16338184	0.1087
NM_000085	chr1(.):16365246-16388803	0.1034
NM_014424	chr1(.):16335522-16350285	0.1062
NM_182623	chr1(.):16379263-16405127	0.0982
NM_004431	chr1(.):16445831-16487582	0.0907
NM_030907	chr1(.):16553181-16568659	0.1126
NM_153213	chr1(.):16519598-16544104	0.0979
NR_037446	chr1(.):16870408-16880482	0.2394
NR_023386	chr1(.):16788930-16824196	0.1141
NR_037446	chr1(.):17002749-17012823	0.1994
NR_027504	chr1(.):16967068-16981915	0.4137
NR_002729	chr1(.):17076400-17095975	0.2572
NR_037446	chr1(.):17180443-17190516	0.1709
NM_014675	chr1(.):17243444-17304474	0.1195
NM_003000	chr1(.):17340224-17385665	0.113
NM_012387	chr1(.):17629689-17695495	0.0878
NM_016233	chr1(.):17570592-17615727	0.0837
NM_207421	chr1(.):17693740-17733195	0.093
NM_001136204	chr1(.):17728250-17770057	0.1042
NM_018715	chr1(.):17728250-17771220	0.1032
NM_001161504	chr1(.):19192923-19222385	0.0928
NM_170726	chr1(.):19192923-19234293	0.1036
