#27_0F2D_0229Kronos_MM1S-KB-6hr-1_H3K27me3_hs-dm_i14_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/27_0F2D_0229Kronos_MM1S-KB-6hr-1_H3K27me3_hs-dm_i14_ROSE/27_0F2D_0229Kronos_MM1S-KB-6hr-1_H3K27me3_hs-dm_i14_peaks_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X27_0F2D_0229Kronos_MM1S.KB.6hr.1_H3K27me3_hs.dm_i14.bam
#Using cutoff of 11276.0776 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X27_0F2D_0229Kronos_MM1S.KB.6hr.1_H3K27me3_hs.dm_i14.bam	X41_0EXT_0229Kronos_MM1S.KB.6hr.1_Input_hs_i85.bam	enhancerRank	isSuperStretch
31_MACS_peak_15797_lociStitched	chr17	77084510	77228183	31	138072	198671.0244	11594.4111	1	1
19_MACS_peak_29285_lociStitched	chr4	9211676	9274612	19	61364	178178.1096	18868.2128	2	1
15_MACS_peak_23817_lociStitched	chr20	60984439	61072120	15	85737	138290.4732	7023.2481	3	1
2_MACS_peak_18035_lociStitched	chr19	8851028	8900870	2	49350	181375.038	24751.5372	4	1
7_MACS_peak_6872_lociStitched	chr11	1982285	2063745	7	80532	134995.512	6223.544	5	1
14_MACS_peak_17148_lociStitched	chr19	3798494	3882930	14	82638	127506.8036	10470.064	6	1
12_MACS_peak_701_lociStitched	chr1	3408583	3488396	12	78106	114826.9631	5586.91	7	1
5_MACS_peak_16286_lociStitched	chr17	79009457	79075045	5	64927	118845.456	5358.5396	8	1
9_MACS_peak_36306_lociStitched	chr9	139525924	139596965	9	69363	112038.7611	5853.7784	9	1
5_MACS_peak_16756_lociStitched	chr19	1286368	1343729	5	57038	123228.6363	7107.0279	10	1
5_MACS_peak_2188_lociStitched	chr1	17012917	17066239	5	52804	128538.0132	12520.0056	11	1
10_MACS_peak_24484_lociStitched	chr21	44155094	44219926	10	63155	114849.888	8907.9168	12	1
10_MACS_peak_16711_lociStitched	chr19	681389	745189	10	62505	108810.9	7388.04	13	1
16_MACS_peak_15874_lociStitched	chr17	77356374	77430433	16	72314	92721.868	5998.779	14	1
11_MACS_peak_29304_lociStitched	chr4	9324626	9370930	11	45498	127081.328	13270.7264	15	1
12_MACS_peak_14698_lociStitched	chr17	47966550	48031573	12	64085	85674.3048	5663.5033	16	1
5_MACS_peak_20665_lociStitched	chr19	48406606	48462924	5	56207	108676.8446	19531.0824	17	1
11_MACS_peak_17237_lociStitched	chr19	4557655	4616219	11	56995	88935.2904	7835.8632	18	1
11_MACS_peak_16797_lociStitched	chr19	1703692	1753544	11	48540	94055.7684	6111.8552	19	1
14_MACS_peak_1760_lociStitched	chr1	10792405	10851990	14	57839	77245.994	4909.804	20	1
10_MACS_peak_1211_lociStitched	chr1	6475519	6530224	10	52961	83151.6	4452.987	21	1
18_MACS_peak_25912_lociStitched	chr22	37771848	37832345	18	57788	77914.0863	5753.2647	22	1
7_MACS_peak_16339_lociStitched	chr17	79399993	79451503	7	50622	82204.809	3816.891	23	1
11_MACS_peak_283_lociStitched	chr1	2244473	2294371	11	49225	82037.3018	4011.7992	24	1
11_MACS_peak_23858_lociStitched	chr20	61317094	61371332	11	52406	75293.1916	4279.3782	25	1
10_MACS_peak_23982_lociStitched	chr20	61850369	61900948	10	50003	76713.1693	4192.9991	26	1
2_MACS_peak_24712_lociStitched	chr21	46301434	46342405	2	40926	86993.7243	5408.172	27	1
19_MACS_peak_25027_lociStitched	chr22	19694355	19747735	19	50653	73322.768	4345.132	28	1
4_MACS_peak_21045_lociStitched	chr19	50594088	50643832	4	49514	84893.1104	14749.096	29	1
7_MACS_peak_24779_lociStitched	chr21	46709972	46755051	7	44257	80159.4778	6045.0939	30	1
12_MACS_peak_1172_lociStitched	chr1	6180737	6233905	12	50938	68661.1552	4769.1696	31	1
7_MACS_peak_26962_lociStitched	chr22	46325732	46374709	7	48103	69885.2813	3923.0577	32	1
5_MACS_peak_24467_lociStitched	chr21	44074192	44120964	5	46034	73165.4396	5636.026	33	1
17_MACS_peak_23905_lociStitched	chr20	61590502	61640746	17	48546	67698.7656	4476.7404	34	1
9_MACS_peak_36297_lociStitched	chr9	139477211	139524592	9	46666	68432.3783	3449.3368	35	1
18_MACS_peak_575_lociStitched	chr1	3099592	3153338	18	50476	62436.7282	3525.7376	36	1
10_MACS_peak_25898_lociStitched	chr22	37712348	37761779	10	48385	64492.6257	4592.1399	37	1
16_MACS_peak_24190_lociStitched	chr20	62815114	62864270	16	48053	65067.7972	4753.3852	38	1
4_MACS_peak_33428_lociStitched	chr8	142012894	142058604	4	45247	69739.747	5933.158	39	1
9_MACS_peak_11273_lociStitched	chr16	1153022	1197394	9	43403	67303.4496	3114.9144	40	1
13_MACS_peak_16323_lociStitched	chr17	79328009	79373184	13	42959	63913.59	3826.3225	41	1
6_MACS_peak_30291_lociStitched	chr6	31990990	32030619	6	39097	67817.1077	3974.7887	42	1
14_MACS_peak_9512_lociStitched	chr12	54342681	54389666	14	44367	59943.463	3993.725	43	1
4_MACS_peak_24806_lociStitched	chr21	46883063	46919953	4	36022	67674.705	4264.484	44	1
4_MACS_peak_36278_lociStitched	chr9	139216977	139252747	4	35261	64453.963	2439.514	45	1
6_MACS_peak_34568_lociStitched	chr9	129376633	129417814	6	40697	59082.3807	3525.0936	46	1
10_MACS_peak_191_lociStitched	chr1	1938459	1981797	10	42355	56738.1096	3666.3948	47	1
10_MACS_peak_34956_lociStitched	chr9	133785235	133825503	10	38946	61187.226	3591.9056	48	1
5_MACS_peak_24038_lociStitched	chr20	62081967	62122510	5	39640	59063.0424	2769.0869	49	1
17_MACS_peak_17494_lociStitched	chr19	5842290	5888485	17	43794	56454.9095	6388.7685	50	1
5_MACS_peak_16808_lociStitched	chr19	1754548	1790006	5	34925	65544.113	4184.044	51	1
6_MACS_peak_24716_lociStitched	chr21	46404310	46438503	6	33194	66655.8342	3891.1634	52	1
9_MACS_peak_17083_lociStitched	chr19	3391387	3434109	9	41173	57320.1074	4874.5802	53	1
14_MACS_peak_14710_lociStitched	chr17	48033185	48075781	14	40745	56358.7676	4242.5616	54	1
6_MACS_peak_24023_lociStitched	chr20	62023033	62062757	6	38492	57345.5664	2931.6312	55	1
9_MACS_peak_16721_lociStitched	chr19	745743	785375	9	37170	60541.8432	4755.84	56	1
8_MACS_peak_23842_lociStitched	chr20	61169818	61209459	8	38969	55263.5181	3373.4491	57	1
5_MACS_peak_305_lociStitched	chr1	2371458	2410571	5	37899	54996.7893	2601.0145	58	1
5_MACS_peak_31942_lociStitched	chr7	149498342	149531163	5	32049	62455.0809	3780.9792	59	1
7_MACS_peak_11303_lociStitched	chr16	1305247	1340850	7	34615	57958.1237	3150.8655	60	1
12_MACS_peak_35108_lociStitched	chr9	135053569	135094711	12	39703	51657.8952	3673.9806	61	1
2_MACS_peak_16795_lociStitched	chr19	1672258	1703083	2	30497	63459.4275	4491.2025	62	1
8_MACS_peak_35409_lociStitched	chr9	136377524	136416903	8	37950	52858.4317	2669.8962	63	1
6_MACS_peak_11294_lociStitched	chr16	1249566	1285416	6	35228	55764.675	2409.12	64	1
5_MACS_peak_24639_lociStitched	chr21	45907883	45943457	5	35426	56793.891	4756.2438	65	1
2_MACS_peak_24799_lociStitched	chr21	46825718	46856406	2	30428	58098.5216	2786.4704	66	1
6_MACS_peak_70_lociStitched	chr1	1089548	1122111	6	31801	55738.0871	2425.9435	67	1
17_MACS_peak_34974_lociStitched	chr9	133841985	133881085	17	37498	48906.28	3515.09	68	1
7_MACS_peak_1753_lociStitched	chr1	10755047	10791200	7	35502	51308.3376	3130.8498	69	1
4_MACS_peak_24789_lociStitched	chr21	46762548	46795171	4	32013	56013.691	3702.7105	70	1
4_MACS_peak_16295_lociStitched	chr17	79112626	79147456	4	34168	51691.203	2838.645	71	1
5_MACS_peak_9600_lociStitched	chr12	57585849	57620036	5	33781	52131.7563	3384.513	72	1
4_MACS_peak_28_lociStitched	chr1	840296	869479	4	28242	55970.0757	2495.1465	73	1
8_MACS_peak_33463_lociStitched	chr8	142359195	142395520	8	35686	46318.0075	2826.085	74	1
8_MACS_peak_17225_lociStitched	chr19	4509779	4542025	8	31231	51667.7658	3869.52	75	1
5_MACS_peak_6758_lociStitched	chr11	1663526	1697380	5	32981	48472.1572	3530.9722	76	1
7_MACS_peak_16783_lociStitched	chr19	1518077	1549491	7	30830	51588.0708	4011.5678	77	1
4_MACS_peak_17213_lociStitched	chr19	4275726	4309486	4	33126	48448.976	4415.808	78	1
8_MACS_peak_13046_lociStitched	chr17	1041392	1075776	8	33108	47498.0576	3455.592	79	1
17_MACS_peak_1912_lociStitched	chr1	11487234	11525836	17	36047	42751.715	3292.7506	80	1
