GENE_ID	locusLine	bin_1_MM8_jia.bam
NM_021222	chr1(.):150975972-151013189	0.2726
NM_032236	chr1(.):21999791-22114688	0.1391
NM_201569	chr1(.):183436505-183528328	0.2409
NM_133494	chr1(.):198121107-198296548	0.1711
NM_001198993	chr1(.):1677670-1715297	0.1965
NM_023018	chr1(.):1677670-1714909	0.1972
NM_001198994	chr1(.):1677670-1716508	0.1937
NM_015001	chr1(.):16169358-16271950	0.1237
NM_001013693	chr1(.):22133757-22156714	0.0945
NM_001100910	chr1(.):120834004-120860681	0.2333
NR_034178	chr1(.):143910747-144099477	0.2864
NM_001002812	chr1(.):144885590-145000022	0.3113
NM_014644	chr1(.):144846426-145000022	0.2946
NM_001198834	chr1(.):144846423-145000033	0.2946
NM_001198832	chr1(.):144846423-145044992	0.3306
NM_207168	chr1(.):150594521-150607098	0.4308
NM_015203	chr1(.):150331989-150454041	0.1928
NM_020524	chr1(.):154911558-154933567	0.3422
NM_181359	chr1(.):154372668-154445188	0.2377
NM_018489	chr1(.):155300051-155537324	0.199
NM_018116	chr1(.):155575006-155589758	0.2255
NM_005973	chr1(.):156732273-156775609	0.3288
NM_002697	chr1(.):167185065-167401582	0.203
NM_001198783	chr1(.):167293280-167401582	0.1963
NR_037163	chr1(.):167185122-167401582	0.203
NM_018442	chr1(.):167900796-168050083	0.1821
NR_026550	chr1(.):167882309-167910380	0.3487
NM_001143674	chr1(.):167882309-167911278	0.3446
NM_015415	chr1(.):167882309-167910233	0.3498
NM_152663	chr1(.):178689299-178894237	0.2145
NM_145034	chr1(.):179804101-179851941	0.2531
NM_015149	chr1(.):183600207-183902666	0.1844
NM_017673	chr1(.):185121290-185265913	0.177
NM_001105518	chr1(.):185121191-185265913	0.177
NM_024420	chr1(.):186793031-186963113	0.1674
NM_016066	chr1(.):193060600-193080244	0.2283
NM_197962	chr1(.):193060599-193079556	0.2278
NM_144977	chr1(.):197516384-197749623	0.1945
NM_001195215	chr1(.):197468878-197749623	0.186
NM_003822	chr1(.):199991769-200151550	0.2007
NM_001193570	chr1(.):201447657-201481387	0.3162
NM_001167738	chr1(.):201703962-201801102	0.2433
NM_001193571	chr1(.):201447657-201480967	0.3136
NM_020443	chr1(.):201612449-201801102	0.2128
NM_001193572	chr1(.):201447657-201470701	0.252
NM_014935	chr1(.):204182980-204334044	0.1614
NM_001684	chr1(.):203590927-203718209	0.2278
NM_201630	chr1(.):204581302-204659597	0.1839
NM_006338	chr1(.):204581302-204659481	0.1838
NM_182663	chr1(.):206675878-206767616	0.2568
NM_022735	chr1(.):226327379-226379423	0.324
NM_020247	chr1(.):227122937-227180246	0.249
NM_053052	chr1(.):227917696-227973932	0.3406
NM_004481	chr1(.):230197955-230422875	0.3378
NM_003193	chr1(.):235525727-235617280	0.1585
NM_031371	chr1(.):235325209-235496532	0.1776
NM_152490	chr1(.):235605532-235672781	0.2153
NM_001042405	chr1(.):243282729-243423708	0.1611
NM_006642	chr1(.):243414306-243668393	0.1783
NM_032328	chr1(.):245128170-245256148	0.2073
NR_026588	chr1(.):245128630-245256148	0.2073
NR_026587	chr1(.):245128630-245293530	0.194
NR_026586	chr1(.):245128283-245293530	0.194
NM_182838	chr1(.):1658680-1682431	0.2091
NM_001198995	chr1(.):1677670-1695081	0.1381
NM_001089591	chr1(.):16128656-16139194	0.0778
NR_024279	chr1(.):16155709-16179642	0.3091
NM_001032730	chr1(.):22049338-22114688	0.1631
NM_006015	chr1(.):27017521-27113601	0.1867
NM_014280	chr1(.):28521789-28564542	0.1205
NM_016311	chr1(.):28557610-28569611	0.1869
NM_031459	chr1(.):28581005-28614002	0.1106
NM_017709	chr1(.):118143603-118176011	0.5787
NM_207418	chr1(.):143891451-143918143	0.2816
NM_001002811	chr1(.):144885590-144937032	0.2856
NM_001161334	chr1(.):149749244-149788928	0.1783
NM_001034077	chr1(.):149799220-149809616	0.3538
NM_001005464	chr1(.):149807258-149817765	0.5463
NM_001040874	chr1(.):149808784-149819318	0.5541
NM_001123375	chr1(.):149779779-149790236	0.246
NM_005850	chr1(.):149890210-149904702	0.2852
NM_016074	chr1(.):149866154-149877348	0.2114
NM_003528	chr1(.):149851009-149863232	0.5595
NM_003517	chr1(.):149853524-149863961	0.6278
NM_175065	chr1(.):149854018-149864466	0.6207
NM_014849	chr1(.):149869871-149894434	0.2068
NM_181873	chr1(.):149895542-149913266	0.3067
NM_001145862	chr1(.):149895542-149913791	0.3025
NR_036461	chr1(.):149816758-149827340	0.5136
NM_001040874	chr1(.):149817627-149828161	0.5062
NM_001005464	chr1(.):149819180-149829687	0.5022
NM_001034077	chr1(.):149827329-149837725	0.3671
NM_004698	chr1(.):150288927-150330704	0.178
NM_019032	chr1(.):150516897-150538412	0.5889
NM_207046	chr1(.):150589598-150606609	0.4249
NR_036211	chr1(.):150519404-150529490	0.218
NM_001197320	chr1(.):150542026-150557214	0.8875
NM_001163258	chr1(.):150964300-150985854	0.3853
NM_181746	chr1(.):150932648-150952440	0.341
NM_003568	chr1(.):150949498-150973114	0.2381
NM_001163260	chr1(.):150964300-150984273	0.4002
NM_001040217	chr1(.):150964300-150984385	0.3995
NM_138278	chr1(.):151004028-151025076	0.2023
NM_017860	chr1(.):151015258-151028871	0.2808
NM_020452	chr1(.):154295275-154328780	0.3351
NM_001005855	chr1(.):154293035-154315322	0.385
NM_080429	chr1(.):154288591-154302801	0.4411
NM_006556	chr1(.):154892207-154914484	0.4951
NM_001130041	chr1(.):154929773-154951959	0.4889
NM_001130040	chr1(.):154929773-154948223	0.5105
NM_201398	chr1(.):154950769-154970587	0.23
NM_015872	chr1(.):154970111-154995999	0.3881
NM_207196	chr1(.):155018761-155040252	0.2423
NM_018655	chr1(.):154961061-154971791	0.2474
NM_001143687	chr1(.):155001281-155028406	0.1894
NR_024163	chr1(.):154942117-154956725	0.5318
NM_144622	chr1(.):154986002-155011257	0.1871
NM_138300	chr1(.):154924501-154939258	0.3882
NR_036212	chr1(.):154943168-154953259	0.6055
NR_027023	chr1(.):155526771-155538735	0.4489
NM_006912	chr1(.):155862600-155886177	0.1926
