REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	OPM.2.jin.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
4_MACS_peak_30303_lociStitched	chrX	58215636	58243316	4	27506	79607.68	1	1			ZXDA	1	1
2_MACS_peak_23925_lociStitched	chr6	7894881	7922201	2	27234	192029.548	2	1	MUTED-TXNDC5,TXNDC5		TXNDC5	2	1
2_MACS_peak_9105_lociStitched	chr14	106025643	106053156	2	27089	164161.8171	3	1		TMEM121	TMEM121	3	1
4_MACS_peak_20151_lociStitched	chr3	141085199	141111668	4	26375	128882.8548	4	1	ZBTB38		ZBTB38	4	1
5_MACS_peak_24964_lociStitched	chr6	106531645	106556394	5	24345	76907.5175	5	1	PRDM1		PRDM1	5	1
3_MACS_peak_1666_lociStitched	chr1	156457508	156479667	3	22123	126507.9469	6	1	MEF2D		MEF2D	6	1
8_MACS_peak_18362_lociStitched	chr22	23264510	23287169	8	21767	150976.917	7	1		IGLL5	IGLL5	7	1
2_MACS_peak_14965_lociStitched	chr2	20403924	20425666	2	21727	77614.5916	8	1	SDC1		SDC1	8	1
4_MACS_peak_3244_lociStitched	chr10	22595358	22615631	4	20128	98924.1308	9	1	COMMD3,BMI1	SPAG6	COMMD3	9	1
5_MACS_peak_21331_lociStitched	chr4	77117233	77137674	5	20042	79145.5079	10	1	SCARB2	FAM47E,NUP54	SCARB2	10	1
7_MACS_peak_3029_lociStitched	chr10	5929972	5950170	7	19892	76869.5484	11	1	FBXO18,ANKRD16		FBXO18	11	1
7_MACS_peak_27892_lociStitched	chr8	71501652	71521146	7	18848	62105.9346	12	1	TRAM1		TRAM1	12	1
3_MACS_peak_2095_lociStitched	chr1	184707366	184724958	3	17082	102040.6368	13	1	EDEM3		EDEM3	13	1
3_MACS_peak_10461_lociStitched	chr16	11820571	11837872	3	16915	50873.5905	14	1	TXNDC11		TXNDC11	14	1
2_MACS_peak_7247_lociStitched	chr12	123370519	123387213	2	16645	69310.1492	15	1	VPS37B		VPS37B	15	1
5_MACS_peak_22680_lociStitched	chr5	53813407	53830533	5	16100	55702.315	16	1	SNX18		SNX18	16	1
3_MACS_peak_21260_lociStitched	chr4	71521962	71538325	3	15942	91339.9023	17	1	IGJ	ENAM,UTP3,RUFY3	IGJ	17	1
6_MACS_peak_6249_lociStitched	chr12	33044424	33060374	6	15867	42058.555	18	1	PKP2		PKP2	18	1
2_MACS_peak_21502_lociStitched	chr4	90214216	90229984	2	15707	73163.52	19	1	GPRIN3		GPRIN3	19	1
5_MACS_peak_18350_lociStitched	chr22	23224603	23239958	5	14782	38567.1535	20	1	IGLL5		IGLL5	20	1
3_MACS_peak_5052_lociStitched	chr11	65183646	65198367	3	14606	124003.8156	21	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	21	1
3_MACS_peak_15778_lociStitched	chr2	99092632	99107340	3	14482	71507.3544	22	1	INPP4A		INPP4A	22	1
4_MACS_peak_20155_lociStitched	chr3	141117748	141132313	4	14466	52002.876	23	1	ZBTB38		RASA2	23	1
2_MACS_peak_6076_lociStitched	chr12	12866220	12880071	2	13804	91301.6367	24	1	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	24	1
1_MACS_peak_18466_lociStitched	chr22	29186083	29199672	1	13590	67087.5341	25	1	XBP1	HSCB,CCDC117,CHEK2	XBP1	25	1
6_MACS_peak_29147_lociStitched	chr9	93676231	93690196	6	13527	40768.0245	26	1			SYK	26	1
4_MACS_peak_17810_lociStitched	chr20	61272982	61286537	4	13390	58641.641	27	1	SLCO4A1	LOC100127888	SLCO4A1	27	1
4_MACS_peak_30314_lociStitched	chrX	58265031	58278797	4	13382	32209.6868	28	1			ZXDA	28	1
3_MACS_peak_1594_lociStitched	chr1	154907538	154920952	3	13227	130162.749	29	1	PMVK,PBXIP1	CKS1B,MIR4258,FLAD1,LENEP,PYGO2,SHC1	PMVK	29	1
9_MACS_peak_22468_lociStitched	chr5	26872336	26886138	9	13124	26025.0512	30	1	CDH9		CDH9	30	1
3_MACS_peak_4102_lociStitched	chr10	111643537	111656790	3	13005	50379.9542	31	1	XPNPEP1		XPNPEP1	31	1
2_MACS_peak_438_lociStitched	chr1	27018587	27031488	2	12889	52936.6733	32	1	ARID1A		ARID1A	32	1
3_MACS_peak_8940_lociStitched	chr14	94436435	94449465	3	12881	88699.119	33	1		C14orf48,OTUB2,C14orf86,ASB2	ASB2	33	1
5_MACS_peak_7242_lociStitched	chr12	123355475	123369003	5	12862	30847.8984	34	1	VPS37B	HIP1R	VPS37B	34	1
5_MACS_peak_18034_lociStitched	chr21	34599399	34613083	5	12717	41733.4632	35	1	IFNAR2	IL10RB	IFNAR2	35	1
3_MACS_peak_5064_lociStitched	chr11	65263537	65276364	3	12692	55453.6864	36	1	MALAT1	SCYL1,LTBP3	MALAT1	36	1
5_MACS_peak_27660_lociStitched	chr8	42741394	42754431	5	12651	50368.4495	37	1	HOOK3,RNF170	THAP1	RNF170	37	1
1_MACS_peak_30296_lociStitched	chrX	58147215	58159822	1	12608	31989.0018	38	1			ZXDA	38	1
1_MACS_peak_30291_lociStitched	chrX	58123453	58135977	1	12525	37010.9248	39	1			ZXDA	39	1
5_MACS_peak_27079_lociStitched	chr7	148394754	148407711	5	12491	37040.1759	40	1	CUL1		CUL1	40	1
4_MACS_peak_29392_lociStitched	chr9	112903421	112916122	4	12252	31102.2088	41	1	PALM2-AKAP2,AKAP2		AKAP2	41	1
4_MACS_peak_11609_lociStitched	chr17	16872172	16884722	4	12211	48822.01	42	1	TNFRSF13B		TNFRSF13B	42	1
6_MACS_peak_26479_lociStitched	chr7	92454061	92466708	6	12123	32147.4093	43	1	CDK6		CDK6	43	1
3_MACS_peak_19952_lociStitched	chr3	124500414	124513137	3	12103	38891.6664	44	1	ITGB5		UMPS	44	1
1_MACS_peak_22990_lociStitched	chr5	88175258	88187032	1	11775	71799.0294	45	1	MEF2C		MEF2C	45	1
4_MACS_peak_22525_lociStitched	chr5	32580167	32592245	4	11734	64044.8028	46	1	SUB1		SUB1	46	1
4_MACS_peak_9198_lociStitched	chr15	23658094	23670111	4	11629	48165.3377	47	1			MKRN3	47	1
1_MACS_peak_23826_lociStitched	chr6	389069	400596	1	11528	37717.4967	48	1	IRF4		IRF4	48	1
5_MACS_peak_7209_lociStitched	chr12	122231705	122243592	5	11505	48012.7817	49	1	SETD1B,LOC338799	RHOF	LOC338799	49	1
4_MACS_peak_26654_lociStitched	chr7	104575830	104587301	4	11271	49957.3521	50	1		LOC723809	LOC723809	50	1
4_MACS_peak_21263_lociStitched	chr4	71539166	71551153	4	11131	56005.6614	51	1		ENAM,UTP3,RUFY3,IGJ	UTP3	51	1
