#OPM-2 Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/OPM-2.H3K27ac_ROSE/OPM-2_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by OPM.2.jin.bam
#Using cutoff of 15890.0778 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	OPM.2.jin.bam	enhancerRank	isSuper
2_MACS_peak_23925_lociStitched	chr6	7894881	7922201	2	27234	192029.548	1	1
2_MACS_peak_9105_lociStitched	chr14	106025643	106053156	2	27089	164161.8171	2	1
8_MACS_peak_18362_lociStitched	chr22	23264510	23287169	8	21767	150976.917	3	1
3_MACS_peak_1594_lociStitched	chr1	154907538	154920952	3	13227	130162.749	4	1
4_MACS_peak_20151_lociStitched	chr3	141085199	141111668	4	26375	128882.8548	5	1
3_MACS_peak_1666_lociStitched	chr1	156457508	156479667	3	22123	126507.9469	6	1
3_MACS_peak_5052_lociStitched	chr11	65183646	65198367	3	14606	124003.8156	7	1
1_MACS_peak_22322_lociStitched	chr5	1311090	1320329	1	9240	110744.1974	8	1
3_MACS_peak_2095_lociStitched	chr1	184707366	184724958	3	17082	102040.6368	9	1
4_MACS_peak_3244_lociStitched	chr10	22595358	22615631	4	20128	98924.1308	10	1
1_MACS_peak_22288_lociStitched	chr5	9943	11858	1	1916	92796.1125	11	1
3_MACS_peak_21260_lociStitched	chr4	71521962	71538325	3	15942	91339.9023	12	1
2_MACS_peak_6076_lociStitched	chr12	12866220	12880071	2	13804	91301.6367	13	1
3_MACS_peak_8940_lociStitched	chr14	94436435	94449465	3	12881	88699.119	14	1
4_MACS_peak_30303_lociStitched	chrX	58215636	58243316	4	27506	79607.68	15	1
5_MACS_peak_21331_lociStitched	chr4	77117233	77137674	5	20042	79145.5079	16	1
2_MACS_peak_14965_lociStitched	chr2	20403924	20425666	2	21727	77614.5916	17	1
5_MACS_peak_24964_lociStitched	chr6	106531645	106556394	5	24345	76907.5175	18	1
7_MACS_peak_3029_lociStitched	chr10	5929972	5950170	7	19892	76869.5484	19	1
2_MACS_peak_11614_lociStitched	chr17	16887889	16895893	2	7952	76594.278	20	1
1_MACS_peak_1588_lociStitched	chr1	154755656	154766034	1	10379	76475.482	21	1
2_MACS_peak_21502_lociStitched	chr4	90214216	90229984	2	15707	73163.52	22	1
1_MACS_peak_22990_lociStitched	chr5	88175258	88187032	1	11775	71799.0294	23	1
3_MACS_peak_15778_lociStitched	chr2	99092632	99107340	3	14482	71507.3544	24	1
2_MACS_peak_29171_lociStitched	chr9	93920258	93929311	2	8647	71506.0258	25	1
1_MACS_peak_5950_lociStitched	chr12	4377812	4388355	1	10544	69830.5062	26	1
2_MACS_peak_7247_lociStitched	chr12	123370519	123387213	2	16645	69310.1492	27	1
1_MACS_peak_8132_lociStitched	chr13	114829189	114836024	1	6836	68571.454	28	1
1_MACS_peak_12324_lociStitched	chr17	56407870	56417779	1	9910	67895.4771	29	1
1_MACS_peak_18466_lociStitched	chr22	29186083	29199672	1	13590	67087.5341	30	1
1_MACS_peak_1466_lociStitched	chr1	149855063	149861129	1	6067	66130.9254	31	1
1_MACS_peak_1638_lociStitched	chr1	155944122	155952030	1	7909	64587.7992	32	1
4_MACS_peak_22525_lociStitched	chr5	32580167	32592245	4	11734	64044.8028	33	1
1_MACS_peak_1463_lociStitched	chr1	149810665	149817389	1	6725	62204.3964	34	1
7_MACS_peak_27892_lociStitched	chr8	71501652	71521146	7	18848	62105.9346	35	1
1_MACS_peak_26665_lociStitched	chr7	104649632	104656929	1	7298	62060.985	36	1
1_MACS_peak_5946_lociStitched	chr12	4224846	4231266	1	6421	60552.156	37	1
2_MACS_peak_17555_lociStitched	chr20	42693688	42702050	2	8269	60158.7366	38	1
3_MACS_peak_5992_lociStitched	chr12	7059710	7070683	3	10873	59882.9529	39	1
1_MACS_peak_8769_lociStitched	chr14	77487531	77495982	1	8452	59801.8113	40	1
1_MACS_peak_1464_lociStitched	chr1	149820440	149826386	1	5947	59159.1324	41	1
4_MACS_peak_17810_lociStitched	chr20	61272982	61286537	4	13390	58641.641	42	1
4_MACS_peak_21263_lociStitched	chr4	71539166	71551153	4	11131	56005.6614	43	1
5_MACS_peak_22680_lociStitched	chr5	53813407	53830533	5	16100	55702.315	44	1
3_MACS_peak_5064_lociStitched	chr11	65263537	65276364	3	12692	55453.6864	45	1
2_MACS_peak_12127_lociStitched	chr17	43298278	43309020	2	10722	55183.8024	46	1
1_MACS_peak_24298_lociStitched	chr6	31701588	31709355	1	7768	54993.4668	47	1
2_MACS_peak_23817_lociStitched	chr6	291076	301307	2	10220	54644.7941	48	1
2_MACS_peak_1754_lociStitched	chr1	161149045	161157598	2	8549	53924.0991	49	1
1_MACS_peak_24330_lociStitched	chr6	32935150	32941193	1	6044	53186.8602	50	1
2_MACS_peak_438_lociStitched	chr1	27018587	27031488	2	12889	52936.6733	51	1
4_MACS_peak_20155_lociStitched	chr3	141117748	141132313	4	14466	52002.876	52	1
1_MACS_peak_23819_lociStitched	chr6	302141	310305	1	8165	51027.4492	53	1
3_MACS_peak_10461_lociStitched	chr16	11820571	11837872	3	16915	50873.5905	54	1
2_MACS_peak_1483_lociStitched	chr1	150533193	150541804	2	8607	50630.0967	55	1
1_MACS_peak_11295_lociStitched	chr16	87805742	87814713	1	8972	50512.1126	56	1
3_MACS_peak_4102_lociStitched	chr10	111643537	111656790	3	13005	50379.9542	57	1
5_MACS_peak_27660_lociStitched	chr8	42741394	42754431	5	12651	50368.4495	58	1
1_MACS_peak_28326_lociStitched	chr8	126440721	126448813	1	8093	50146.124	59	1
4_MACS_peak_26654_lociStitched	chr7	104575830	104587301	4	11271	49957.3521	60	1
2_MACS_peak_1657_lociStitched	chr1	156192205	156200635	2	8228	49758.075	61	1
2_MACS_peak_10556_lociStitched	chr16	17433988	17443562	2	9389	49705.3358	62	1
3_MACS_peak_2552_lociStitched	chr1	218336102	218343844	3	7662	49479.8962	63	1
1_MACS_peak_2070_lociStitched	chr1	183808791	183816687	1	7897	49251.3	64	1
4_MACS_peak_11609_lociStitched	chr17	16872172	16884722	4	12211	48822.01	65	1
1_MACS_peak_22292_lociStitched	chr5	188153	194255	1	6103	48184.443	66	1
4_MACS_peak_9198_lociStitched	chr15	23658094	23670111	4	11629	48165.3377	67	1
1_MACS_peak_1569_lociStitched	chr1	154297208	154302247	1	5040	48066.5171	68	1
5_MACS_peak_7209_lociStitched	chr12	122231705	122243592	5	11505	48012.7817	69	1
3_MACS_peak_15773_lociStitched	chr2	99074508	99085032	3	10095	47871.5712	70	1
6_MACS_peak_10182_lociStitched	chr15	101736535	101745278	6	7808	47784.8665	71	1
5_MACS_peak_5732_lociStitched	chr11	120365374	120375011	5	9255	47495.9545	72	1
1_MACS_peak_9085_lociStitched	chr14	105390619	105395408	1	4790	46942.2569	73	1
1_MACS_peak_27112_lociStitched	chr7	150100650	150107140	1	6491	46605.988	74	1
3_MACS_peak_16933_lociStitched	chr2	232570561	232577624	3	6901	46479.4841	75	1
2_MACS_peak_339_lociStitched	chr1	23850607	23858526	2	7912	46091.7476	76	1
2_MACS_peak_5268_lociStitched	chr11	72979842	72986908	2	7066	45681.69	77	1
2_MACS_peak_7287_lociStitched	chr12	125398322	125406874	2	8484	45213.5688	78	1
1_MACS_peak_13893_lociStitched	chr19	13260668	13266451	1	5784	45088.8944	79	1
2_MACS_peak_13965_lociStitched	chr19	16185361	16191642	2	6264	44531.0338	80	1
1_MACS_peak_27509_lociStitched	chr8	29629724	29634574	1	4851	44310.085	81	1
4_MACS_peak_12524_lociStitched	chr17	70591919	70603093	4	10358	44288.149	82	1
2_MACS_peak_24850_lociStitched	chr6	90059349	90069930	2	10446	43979.9265	83	1
1_MACS_peak_30097_lociStitched	chrX	40030068	40036952	1	6885	43925.4272	84	1
1_MACS_peak_1603_lociStitched	chr1	154970773	154977707	1	6935	43710.5492	85	1
1_MACS_peak_2304_lociStitched	chr1	200985664	200992815	1	7152	43468.7837	86	1
3_MACS_peak_2808_lociStitched	chr1	234741626	234749600	3	7857	43451.1234	87	1
2_MACS_peak_3005_lociStitched	chr10	3824137	3828589	2	4408	43014.3336	88	1
2_MACS_peak_11728_lociStitched	chr17	21246941	21254018	2	6861	42991.3596	89	1
3_MACS_peak_12060_lociStitched	chr17	40825737	40833875	3	7756	42977.5918	90	1
4_MACS_peak_5829_lociStitched	chr11	128587329	128598290	4	10507	42797.2245	91	1
3_MACS_peak_21338_lociStitched	chr4	77220864	77230272	3	9060	42714.2016	92	1
1_MACS_peak_24971_lociStitched	chr6	106610765	106618060	1	7296	42499.9405	93	1
6_MACS_peak_6249_lociStitched	chr12	33044424	33060374	6	15867	42058.555	94	1
5_MACS_peak_18034_lociStitched	chr21	34599399	34613083	5	12717	41733.4632	95	1
1_MACS_peak_18688_lociStitched	chr22	39837460	39846111	1	8652	41671.0019	96	1
2_MACS_peak_27485_lociStitched	chr8	29202015	29209479	2	7410	41246.064	97	1
5_MACS_peak_2463_lociStitched	chr1	209275239	209285071	5	9024	41217.7104	98	1
2_MACS_peak_2263_lociStitched	chr1	197739262	197748004	2	8425	41006.0994	99	1
4_MACS_peak_9116_lociStitched	chr14	106161428	106168265	4	6386	40852.4424	100	1
3_MACS_peak_13803_lociStitched	chr19	10521811	10532511	3	10230	40851.53	101	1
1_MACS_peak_14352_lociStitched	chr19	42051628	42060754	1	9127	40814.2098	102	1
6_MACS_peak_29147_lociStitched	chr9	93676231	93690196	6	13527	40768.0245	103	1
1_MACS_peak_2915_lociStitched	chr1	245025583	245028855	1	3273	40693.5368	104	1
1_MACS_peak_2914_lociStitched	chr1	244996778	245000013	1	3236	40534.8735	105	1
1_MACS_peak_6480_lociStitched	chr12	53591589	53601353	1	9765	40318.4852	106	1
2_MACS_peak_14124_lociStitched	chr19	29092582	29102191	2	9515	40283.8107	107	1
1_MACS_peak_2649_lociStitched	chr1	226127734	226133532	1	5799	40234.0614	108	1
3_MACS_peak_20455_lociStitched	chr3	178228699	178239406	3	10386	40216.5627	109	1
2_MACS_peak_22212_lociStitched	chr4	185301762	185307966	2	6196	40102.0356	110	1
1_MACS_peak_1969_lociStitched	chr1	174967185	174971727	1	4543	40090.4172	111	1
2_MACS_peak_3248_lociStitched	chr10	22623889	22634271	2	10359	40011.1898	112	1
1_MACS_peak_5227_lociStitched	chr11	70501400	70509903	1	8504	39791.4891	113	1
1_MACS_peak_15653_lociStitched	chr2	86220413	86228610	1	8198	39633.3147	114	1
1_MACS_peak_23822_lociStitched	chr6	314381	324726	1	10346	39559.28	115	1
1_MACS_peak_3082_lociStitched	chr10	11217350	11223312	1	5963	39234.7296	116	1
3_MACS_peak_19952_lociStitched	chr3	124500414	124513137	3	12103	38891.6664	117	1
1_MACS_peak_2918_lociStitched	chr1	245132788	245135842	1	3055	38768.0868	118	1
3_MACS_peak_18166_lociStitched	chr21	43941911	43949874	3	7431	38731.2357	119	1
5_MACS_peak_18350_lociStitched	chr22	23224603	23239958	5	14782	38567.1535	120	1
1_MACS_peak_14479_lociStitched	chr19	47613767	47617706	1	3940	38391.0696	121	1
3_MACS_peak_27041_lociStitched	chr7	141254837	141265121	3	9666	38123.8164	122	1
3_MACS_peak_4748_lociStitched	chr11	34803787	34814117	3	10223	38073.281	123	1
2_MACS_peak_29536_lociStitched	chr9	126098699	126104043	2	5332	37921.024	124	1
1_MACS_peak_3175_lociStitched	chr10	17268853	17273756	1	4904	37866.3593	125	1
1_MACS_peak_23826_lociStitched	chr6	389069	400596	1	11528	37717.4967	126	1
1_MACS_peak_9280_lociStitched	chr15	31554408	31560644	1	6237	37695.3728	127	1
1_MACS_peak_10471_lociStitched	chr16	12056566	12063457	1	6892	37569.0429	128	1
2_MACS_peak_4412_lociStitched	chr11	2795457	2802282	2	6668	37500.645	129	1
2_MACS_peak_24563_lociStitched	chr6	45673859	45683580	2	9440	37360.7193	130	1
1_MACS_peak_22972_lociStitched	chr5	87969709	87972828	1	3120	37226.8245	131	1
5_MACS_peak_27079_lociStitched	chr7	148394754	148407711	5	12491	37040.1759	132	1
1_MACS_peak_1450_lociStitched	chr1	149222313	149225695	1	3383	37011.9316	133	1
1_MACS_peak_30291_lociStitched	chrX	58123453	58135977	1	12525	37010.9248	134	1
1_MACS_peak_29173_lociStitched	chr9	93952906	93957497	1	4592	36944.2361	135	1
1_MACS_peak_26930_lociStitched	chr7	129588616	129592893	1	4278	36680.8351	136	1
3_MACS_peak_17567_lociStitched	chr20	43270535	43281081	3	10029	36547.163	137	1
2_MACS_peak_14333_lociStitched	chr19	41768235	41772790	2	4550	36527.9115	138	1
2_MACS_peak_21512_lociStitched	chr4	91047856	91051672	2	3784	36487.8288	139	1
1_MACS_peak_1567_lociStitched	chr1	154190830	154194903	1	4074	36439.0945	140	1
1_MACS_peak_5024_lociStitched	chr11	64630128	64634550	1	4423	36371.8344	141	1
3_MACS_peak_21087_lociStitched	chr4	40191739	40203288	3	10878	36016.7114	142	1
3_MACS_peak_6562_lociStitched	chr12	57075995	57083990	3	7959	35826.3945	143	1
2_MACS_peak_17548_lociStitched	chr20	42576255	42585687	2	9408	35641.6416	144	1
