GENE_ID	locusLine	bin_1_07_0EWT_0229Kronos_MM1S-KB-6hr-1_H3K18Ac_hs-dm_i14.bam
NM_013943	chr1(.):25066759-25175815	0.191
NM_030806	chr1(.):184351149-184603155	0.216
NM_001990	chr1(.):28295818-28420131	0.1985
NM_012090	chr1(.):39542117-39957789	0.1623
NM_002867	chr1(.):52368627-52461436	0.2713
NM_001006605	chr1(.):93302720-93432079	0.2981
NM_001113228	chr1(.):107677628-108029475	0.1495
NM_014917	chr1(.):107677744-108029475	0.1496
NM_001010935	chr1(.):112157404-112261101	0.1185
NM_024408	chr1(.):120449175-120617276	0.1631
NR_002188	chr1(.):155178615-155202325	0.592
NM_201569	chr1(.):183436505-183528328	0.3099
NM_002481	chr1(.):202312829-202562697	0.2502
NM_018664	chr1(.):212854758-212878327	0.1245
NM_003820	chr1(.):2482804-2500267	0.5982
NM_001113348	chr1(.):21538739-21677034	0.2473
NM_004091	chr1(.):23827921-23862713	1.4144
NM_020448	chr1(.):24737244-24804473	0.1124
NM_173065	chr1(.):24475646-24518751	1.7659
NM_001048199	chr1(.):28827454-28870708	0.454
NR_002909	chr1(.):28827454-28842404	0.9634
NM_002379	chr1(.):31179123-31201432	0.2046
NR_034182	chr1(.):31186618-31204593	0.2312
NM_001127714	chr1(.):41970683-42389496	0.2522
NM_174964	chr1(.):44168217-44401831	0.2352
NM_148906	chr1(.):52077545-52259891	0.1443
NM_001981	chr1(.):51814934-51989995	0.0936
NM_002600	chr1(.):66253855-66845262	0.1948
NM_001037341	chr1(.):66253192-66845262	0.1946
NM_001037340	chr1(.):66453389-66845262	0.2562
NM_018841	chr1(.):68162148-68304155	0.2285
NM_001002292	chr1(.):68559141-68703229	0.1845
NM_024911	chr1(.):68586040-68703284	0.2114
NM_001193334	chr1(.):68586040-68703229	0.2115
NM_001081976	chr1(.):112020969-112111597	0.1236
NM_198459	chr1(.):115122195-115217732	0.0866
NM_001100910	chr1(.):120834004-120860681	0.4383
NR_034178	chr1(.):143910747-144099477	0.281
NM_203458	chr1(.):145204110-145290912	0.5261
NM_001195260	chr1(.):144946760-145002111	0.647
NM_153713	chr1(.):145472084-145504091	0.2327
NM_022359	chr1(.):144946760-145081186	0.4565
NM_001002812	chr1(.):144885590-145000022	0.6844
NM_014644	chr1(.):144846426-145000022	0.5446
NM_001195261	chr1(.):144946760-145000082	0.6543
NM_001198834	chr1(.):144846423-145000033	0.5446
NM_001002810	chr1(.):144946760-145000033	0.6542
NM_001198832	chr1(.):144846423-145044992	0.5084
NM_207168	chr1(.):150594521-150607098	0.7691
NM_020699	chr1(.):153772202-153900451	0.1853
NM_020524	chr1(.):154911558-154933567	2.4849
NM_181359	chr1(.):154372668-154445188	1.0969
NM_002249	chr1(.):154674914-154847754	0.6208
NM_170782	chr1(.):154674914-154837338	0.636
NM_005572	chr1(.):156079460-156112657	0.4635
NM_170708	chr1(.):156079460-156114878	0.445
NM_005973	chr1(.):156732273-156775609	0.2963
NM_005531	chr1(.):158974681-159029945	0.3673
NM_012394	chr1(.):161065345-161092866	0.3267
NM_007348	chr1(.):161731083-161933852	0.1896
NM_014970	chr1(.):169885469-170048879	0.1138
NM_014412	chr1(.):174963891-174986163	0.8545
NM_014857	chr1(.):174123633-174932327	0.1209
NM_001035230	chr1(.):174839683-174932327	0.1747
NM_001007214	chr1(.):174963570-174986163	0.8443
NM_015149	chr1(.):183600207-183902666	0.5964
NM_017673	chr1(.):185121290-185265913	0.1823
NM_001105518	chr1(.):185121191-185265913	0.1822
NM_025191	chr1(.):184654624-184729041	0.4174
NM_144977	chr1(.):197516384-197749623	0.2748
NM_001195215	chr1(.):197468878-197749623	0.2407
NM_014875	chr1(.):200515624-200594862	0.2004
NM_032103	chr1(.):202426870-202562697	0.3023
NM_015375	chr1(.):205106630-205185727	0.1713
NM_182663	chr1(.):206675878-206767616	0.6262
NM_001193338	chr1(.):207071630-207100235	1.4219
NM_005449	chr1(.):207071630-207100378	1.4153
NM_006147	chr1(.):209956261-209984479	0.2927
NM_172362	chr1(.):210846656-211312457	0.0988
NM_006243	chr1(.):212453878-212540205	0.2061
NM_001143962	chr1(.):223709971-223858436	0.0502
NM_002221	chr1(.):226814390-226931876	0.8091
NM_004481	chr1(.):230197955-230422875	0.4743
NM_003431	chr1(.):247314202-247340318	0.1122
NM_001010926	chr1(.):2455183-2466684	0.2002
NR_026927	chr1(.):2476358-2489284	1.6064
NM_018216	chr1(.):2434974-2463035	0.1063
NM_001195741	chr1(.):2513188-2527908	0.2825
NR_036638	chr1(.):2512898-2527908	0.2776
NM_014675	chr1(.):17243444-17304474	0.1097
NM_001397	chr1(.):21538739-21621982	0.3015
NM_001113347	chr1(.):21538739-21611183	0.0738
NM_001113349	chr1(.):21538739-21621766	0.2984
NM_017707	chr1(.):23750055-23815750	0.0756
NM_002167	chr1(.):23879408-23891322	0.6955
NR_027042	chr1(.):23948823-23972056	0.2537
NM_021258	chr1(.):24441260-24474611	0.1292
NR_027087	chr1(.):24521729-24543180	1.172
NM_001199013	chr1(.):24678488-24745262	0.3467
NM_001199012	chr1(.):24678488-24746587	0.3408
NM_015484	chr1(.):25543766-25564013	0.2145
NM_001127691	chr1(.):25593980-25661936	0.1284
NM_020317	chr1(.):25563739-25578985	0.5522
NM_015627	chr1(.):25865075-25900377	0.7837
NM_017837	chr1(.):27109485-27129887	0.9463
NM_006015	chr1(.):27017521-27113601	0.5395
NM_018066	chr1(.):27200872-27221869	0.1676
NM_032283	chr1(.):27148200-27187211	0.2999
NM_006142	chr1(.):27184632-27195947	1.0726
NM_014280	chr1(.):28521789-28564542	0.2158
NM_016311	chr1(.):28557610-28569611	0.6062
NM_001164721	chr1(.):28468676-28525447	0.1316
NM_001164722	chr1(.):28468676-28525437	0.1316
NM_031459	chr1(.):28581005-28614002	0.1266
NR_003109	chr1(.):28874528-28910057	0.5297
NM_001269	chr1(.):28839744-28870708	0.1825
NM_006762	chr1(.):31200314-31235683	2.4072
NR_034112	chr1(.):31966838-31979167	0.3468
NR_027085	chr1(.):31979035-31994846	0.0877
NM_005202	chr1(.):36555843-36570850	0.0866
NM_018067	chr1(.):36616802-36651441	0.4175
NM_014408	chr1(.):36597172-36620067	0.385
NM_022756	chr1(.):37953175-37985364	0.1428
NM_025079	chr1(.):37935118-37954978	1.0974
NR_002983	chr1(.):40028045-40038182	0.8866
NR_003929	chr1(.):39982951-40030370	0.3342
NM_014571	chr1(.):40084102-40110348	0.1118
NM_001135653	chr1(.):40021484-40047521	0.641
NM_001198979	chr1(.):40854016-40893998	0.188
NM_001198978	chr1(.):40835304-40893998	0.4865
NM_001198980	chr1(.):40857471-40893998	0.1112
NM_022733	chr1(.):40834377-40893998	0.4804
NM_006516	chr1(.):43386045-43429847	0.344
NR_033967	chr1(.):43419719-43454029	0.1919
NM_006004	chr1(.):46764379-46787447	0.4815
NM_006369	chr1(.):46739071-46774038	0.3443
NM_199044	chr1(.):46801389-46835690	0.207
NM_001037339	chr1(.):66792792-66845262	0.5555
NR_031664	chr1(.):68644200-68654293	0.7702
NM_001001933	chr1(.):75589118-75632218	0.803
NM_006769	chr1(.):87789150-87819607	0.5823
NM_004974	chr1(.):111140775-111153345	0.0533
NM_002232	chr1(.):111209309-111222655	1.0728
NM_001025199	chr1(.):111767332-111791062	0.0443
NM_001025197	chr1(.):111765280-111791062	0.0587
NM_024901	chr1(.):111724800-111748281	0.2182
NR_034126	chr1(.):112136628-112155940	1.1467
NM_007158	chr1(.):115254536-115305624	0.2172
NM_002524	chr1(.):115242077-115264515	0.7683
NM_001172626	chr1(.):115210719-115243239	0.537
NM_001130523	chr1(.):115254537-115305671	0.217
NM_001779	chr1(.):117052155-117118715	0.2786
NM_001144822	chr1(.):117056321-117118715	0.284
NM_017709	chr1(.):118143603-118176011	2.2382
NM_207418	chr1(.):143891451-143918143	0.5811
NM_001002811	chr1(.):144885590-144937032	0.8136
NM_032305	chr1(.):145451235-145475387	2.005
NM_202004	chr1(.):145408190-145422545	0.1094
NM_006472	chr1(.):145433461-145447628	2.5876
NM_001039888	chr1(.):145465507-145480647	0.386
NM_003846	chr1(.):145511164-145528732	0.5818
NM_005105	chr1(.):145502637-145516444	1.0917
NM_001184795	chr1(.):145511559-145528732	0.5938
NM_003637	chr1(.):145519989-145548868	0.1097
NM_144698	chr1(.):145544208-145573526	0.1568
NR_002328	chr1(.):145504819-145521076	1.0285
NR_024442	chr1(.):146485894-146519599	0.621
NM_001161334	chr1(.):149749244-149788928	0.3827
NM_001034077	chr1(.):149799220-149809616	1.0427
NM_001005464	chr1(.):149807258-149817765	2.6909
NM_001040874	chr1(.):149808784-149819318	2.6816
NM_001123375	chr1(.):149779779-149790236	0.9462
NM_000566	chr1(.):149749249-149769074	0.2316
NM_005850	chr1(.):149890210-149904702	0.7944
NM_016074	chr1(.):149866154-149877348	0.4256
NM_003528	chr1(.):149851009-149863232	2.5471
NM_003517	chr1(.):149853524-149863961	2.9642
NM_175065	chr1(.):149854018-149864466	2.9492
NM_014849	chr1(.):149869871-149894434	0.2413
NM_181873	chr1(.):149895542-149913266	0.8914
NM_001145862	chr1(.):149895542-149913791	0.8686
NR_036461	chr1(.):149816758-149827340	2.5799
NM_001040874	chr1(.):149817627-149828161	2.5891
NM_001005464	chr1(.):149819180-149829687	2.598
NM_001034077	chr1(.):149827329-149837725	1.0665
NM_016274	chr1(.):150117169-150136825	1.2417
NM_019032	chr1(.):150516897-150538412	3.5092
NM_207046	chr1(.):150589598-150606609	0.6321
NR_036211	chr1(.):150519404-150529490	0.1538
NM_001197320	chr1(.):150542026-150557214	1.2096
NM_023015	chr1(.):153695566-153751555	0.2773
NM_024330	chr1(.):153742767-153757633	0.7732
NM_014437	chr1(.):153926587-153945188	1.0937
NM_130898	chr1(.):153935396-153951832	1.1222
NM_181715	chr1(.):153915151-153936043	0.8856
NM_006694	chr1(.):153941744-153955451	0.3844
NM_002870	chr1(.):153949127-153963806	0.5986
NM_014856	chr1(.):153896976-153924154	0.3982
NM_001030	chr1(.):153958238-153969631	0.4381
NM_006556	chr1(.):154892207-154914484	1.4891
NM_001130041	chr1(.):154929773-154951959	1.4282
NM_001130040	chr1(.):154929773-154948223	1.5812
NM_201398	chr1(.):154950769-154970587	0.2906
NM_015872	chr1(.):154970111-154995999	1.0073
NM_207196	chr1(.):155018761-155040252	0.4587
NM_001184892	chr1(.):154950769-154966488	0.2964
NM_018655	chr1(.):154961061-154971791	0.2665
NM_001143687	chr1(.):155001281-155028406	0.3692
NR_024163	chr1(.):154942117-154956725	1.4828
NM_144622	chr1(.):154986002-155011257	0.3577
