GENE_ID	locusLine	bin_1_MM1.jin.bam
NM_032236	chr1(.):21999791-22114688	0.4405
NM_004437	chr1(.):29208602-29451558	0.1375
NM_001166006	chr1(.):29236087-29396733	0.0955
NM_021639	chr1(.):46087975-46157302	0.2635
NM_007051	chr1(.):50901934-51430936	0.0748
NM_001006605	chr1(.):93302720-93432079	0.3797
NM_001037675	chr1(.):144609958-144833810	0.1254
NM_206595	chr1(.):216671587-217267976	0.1323
NM_001134285	chr1(.):216671595-217316097	0.1254
NR_028400	chr1(.):231659398-231891365	0.1704
NR_028393	chr1(.):231659398-232182019	0.1055
NR_034037	chr1(.):231722037-231752836	0.4122
NR_028395	chr1(.):231659398-231959990	0.1491
NR_028399	chr1(.):231659398-231843307	0.179
NM_001198993	chr1(.):1677670-1715297	0.6031
NM_023018	chr1(.):1677670-1714909	0.6049
NM_001198994	chr1(.):1677670-1716508	0.5879
NM_003820	chr1(.):2482804-2500267	0.5058
NM_003036	chr1(.):2155133-2246652	0.3558
NM_018836	chr1(.):4710104-4848851	0.396
NM_001042478	chr1(.):4710104-4842854	0.4075
NM_024980	chr1(.):9159475-9194229	0.1367
NM_012102	chr1(.):8407463-8882699	0.2378
NM_015001	chr1(.):16169358-16271950	0.236
NM_001113348	chr1(.):21538739-21677034	0.2724
NM_005529	chr1(.):22143736-22268750	0.2104
NM_001013693	chr1(.):22133757-22156714	0.3738
NM_004091	chr1(.):23827921-23862713	0.4493
NM_001048199	chr1(.):28827454-28870708	0.3289
NR_002909	chr1(.):28827454-28842404	0.6783
NM_032017	chr1(.):36800224-36856485	0.4385
NM_181809	chr1(.):39952317-40000541	0.5603
NM_001720	chr1(.):40218902-40259533	0.4362
NM_174964	chr1(.):44168217-44401831	0.2527
NM_148906	chr1(.):52077545-52259891	0.1619
NM_001981	chr1(.):51814934-51989995	0.1583
NM_017522	chr1(.):53706216-53798726	0.1786
NM_033300	chr1(.):53706211-53798821	0.1784
NM_002227	chr1(.):65293905-65437187	0.2826
NM_002600	chr1(.):66253855-66845262	0.2603
NM_001037341	chr1(.):66253192-66845262	0.26
NM_001037340	chr1(.):66453389-66845262	0.3028
NM_033055	chr1(.):100498788-100553929	0.3917
NM_001079874	chr1(.):108108781-108236126	0.1516
NM_006113	chr1(.):108108781-108512545	0.1767
NM_006699	chr1(.):117905084-118073320	0.2006
NM_016527	chr1(.):119906401-119941751	0.2805
NM_153713	chr1(.):145472084-145504091	0.229
NM_001002812	chr1(.):144885590-145000022	0.5162
NM_014644	chr1(.):144846426-145000022	0.4246
NM_001198834	chr1(.):144846423-145000033	0.4246
NM_001198832	chr1(.):144846423-145044992	0.4012
NM_207168	chr1(.):150594521-150607098	0.4805
NM_020524	chr1(.):154911558-154933567	0.5676
NM_181359	chr1(.):154372668-154445188	0.593
NM_002249	chr1(.):154674914-154847754	0.3148
NM_170782	chr1(.):154674914-154837338	0.3278
NM_005973	chr1(.):156732273-156775609	0.2527
NM_005531	chr1(.):158974681-159029945	0.3219
NM_052862	chr1(.):167594473-167680486	0.4324
NM_002697	chr1(.):167185065-167401582	0.2195
NM_001198783	chr1(.):167293280-167401582	0.2303
NR_037163	chr1(.):167185122-167401582	0.2196
NM_152663	chr1(.):178689299-178894237	0.1156
NM_002293	chr1(.):182987594-183119727	0.3664
NM_024420	chr1(.):186793031-186963113	0.0841
NM_144977	chr1(.):197516384-197749623	0.1732
NM_001195215	chr1(.):197468878-197749623	0.1554
NM_001167738	chr1(.):201703962-201801102	0.2869
NM_020443	chr1(.):201612449-201801102	0.1917
NM_014935	chr1(.):204182980-204334044	0.0438
NM_201630	chr1(.):204581302-204659597	0.3778
NM_006338	chr1(.):204581302-204659481	0.3781
NM_182663	chr1(.):206675878-206767616	0.6061
NR_024099	chr1(.):216671595-216901795	0.1936
NM_001438	chr1(.):216671587-216901807	0.1936
NM_002221	chr1(.):226814390-226931876	0.7078
NM_004481	chr1(.):230197955-230422875	0.4413
NM_001164537	chr1(.):231757560-232182019	0.0757
NM_182838	chr1(.):1658680-1682431	0.7122
NM_001198995	chr1(.):1677670-1695081	0.3352
NM_001010926	chr1(.):2455183-2466684	0.4001
NR_026927	chr1(.):2476358-2489284	1.4077
NM_018216	chr1(.):2434974-2463035	0.1794
NM_001195741	chr1(.):2513188-2527908	0.3997
NR_036638	chr1(.):2512898-2527908	0.3936
NM_177540	chr1(.):6610337-6644817	0.239
NM_005341	chr1(.):6635062-6654340	0.2356
NM_014851	chr1(.):6645783-6667929	0.8177
NM_153812	chr1(.):6668755-6689093	0.4834
NM_024654	chr1(.):6576406-6619658	0.1509
NM_001195752	chr1(.):6680209-6698642	0.3143
NM_001195753	chr1(.):6679924-6698642	0.3104
NM_001042682	chr1(.):8407463-8488747	0.3573
NM_003039	chr1(.):9092004-9134887	0.3871
NR_024180	chr1(.):9092004-9153510	0.4452
NM_001089591	chr1(.):16128656-16139194	0.0644
NR_024279	chr1(.):16155709-16179642	0.8959
NM_001397	chr1(.):21538739-21621982	0.2594
NM_001113347	chr1(.):21538739-21611183	0.1365
NM_001113349	chr1(.):21538739-21621766	0.2532
NM_001032730	chr1(.):22049338-22114688	0.6612
NM_017707	chr1(.):23750055-23815750	0.0474
