GENE_ID	locusLine	bin_1_KMS11_jia.bam
NM_030806	chr1(.):184351149-184603155	0.4278
NM_021222	chr1(.):150975972-151013189	0.3418
NM_015215	chr1(.):6840383-7834766	0.1168
NM_006559	chr1(.):32474490-32514472	0.409
NM_002867	chr1(.):52368627-52461436	0.4496
NM_007051	chr1(.):50901934-51430936	0.0403
NM_024408	chr1(.):120449175-120617276	0.246
NR_002188	chr1(.):155178615-155202325	0.7436
NM_021642	chr1(.):161470204-161494360	0.3501
NM_004285	chr1(.):9289862-9336394	0.3056
NM_004091	chr1(.):23827921-23862713	1.4269
NM_020379	chr1(.):25938958-26116258	0.2481
NM_001048199	chr1(.):28827454-28870708	0.556
NR_002909	chr1(.):28827454-28842404	1.0645
NM_002379	chr1(.):31179123-31201432	0.1466
NR_034182	chr1(.):31186618-31204593	0.1788
NM_004964	chr1(.):32752707-32804224	0.2353
NM_001127714	chr1(.):41970683-42389496	0.2758
NM_174964	chr1(.):44168217-44401831	0.2075
NM_152665	chr1(.):67213139-67249730	0.712
NM_203458	chr1(.):145204110-145290912	0.5915
NM_004892	chr1(.):145091406-145121922	0.3192
NM_153713	chr1(.):145472084-145504091	0.31
NM_207168	chr1(.):150594521-150607098	0.8822
NM_207042	chr1(.):150589598-150607098	0.7801
NM_207044	chr1(.):150590753-150607098	0.8226
NM_020699	chr1(.):153772202-153900451	0.2763
NM_020524	chr1(.):154911558-154933567	3.1837
NM_181359	chr1(.):154372668-154445188	0.4103
NM_002249	chr1(.):154674914-154847754	0.873
NM_004952	chr1(.):155046347-155065014	1.0048
NM_170782	chr1(.):154674914-154837338	0.8824
NM_005572	chr1(.):156079460-156112657	1.1837
NM_170708	chr1(.):156079460-156114878	1.1216
NM_005973	chr1(.):156732273-156775609	0.9772
NM_001135050	chr1(.):159891828-159920386	0.5003
NM_007348	chr1(.):161731083-161933852	0.4133
NM_006182	chr1(.):162597227-162755247	0.1152
NM_052862	chr1(.):167594473-167680486	0.7174
NM_018122	chr1(.):173788796-173832682	0.4488
NM_014412	chr1(.):174963891-174986163	0.9505
NM_001007214	chr1(.):174963570-174986163	0.9381
NM_014810	chr1(.):179918907-180089015	0.376
NM_015149	chr1(.):183600207-183902666	0.5774
NM_025191	chr1(.):184654624-184729041	1.1286
NM_144977	chr1(.):197516384-197749623	0.2085
NM_001195215	chr1(.):197468878-197749623	0.1852
NM_015375	chr1(.):205106630-205185727	0.1531
NM_182663	chr1(.):206675878-206767616	1.0661
NM_002221	chr1(.):226814390-226931876	0.7069
NM_177540	chr1(.):6610337-6644817	0.1972
NM_005341	chr1(.):6635062-6654340	0.2582
NM_014851	chr1(.):6645783-6667929	0.5995
NM_153812	chr1(.):6668755-6689093	0.657
NM_024654	chr1(.):6576406-6619658	0.1144
NM_001195752	chr1(.):6680209-6698642	0.2194
NM_001195753	chr1(.):6679924-6698642	0.2168
NM_025106	chr1(.):9347940-9434590	0.3034
NM_014675	chr1(.):17243444-17304474	0.0724
NM_017707	chr1(.):23750055-23815750	0.078
NM_002167	chr1(.):23879408-23891322	0.4806
NM_001031680	chr1(.):25221001-25296501	0.4711
NM_004350	chr1(.):25221001-25261770	0.6578
NM_015484	chr1(.):25543766-25564013	0.4822
NM_001127691	chr1(.):25593980-25661936	0.0958
NM_020317	chr1(.):25563739-25578985	0.8867
NM_015627	chr1(.):25865075-25900377	1.5021
NR_026685	chr1(.):26432655-26457026	0.9659
NM_152835	chr1(.):26433267-26457026	0.9892
NM_032588	chr1(.):26372797-26399121	0.1284
NM_024869	chr1(.):26480510-26494119	0.0764
NM_015871	chr1(.):26491387-26502364	0.2158
NM_017837	chr1(.):27109485-27129887	0.429
NM_006015	chr1(.):27017521-27113601	0.5213
NM_018066	chr1(.):27200872-27221869	0.1753
NM_032283	chr1(.):27148200-27187211	0.5204
NM_006142	chr1(.):27184632-27195947	1.323
NR_003109	chr1(.):28874528-28910057	0.4611
NM_001269	chr1(.):28839744-28870708	0.2874
NM_006762	chr1(.):31200314-31235683	0.6584
NR_026850	chr1(.):32692260-32712311	0.0937
NM_019118	chr1(.):32676797-32692926	0.2041
NM_032648	chr1(.):32707817-32719461	0.859
NM_001042771	chr1(.):32734711-32756766	0.1247
NM_001099434	chr1(.):32669694-32686797	0.1547
NM_003757	chr1(.):32682970-32702205	0.1757
NM_005356	chr1(.):32711839-32756766	0.4825
NM_001160042	chr1(.):32666235-32679288	0.3417
NM_024296	chr1(.):32661201-32675991	0.3533
NM_005202	chr1(.):36555843-36570850	0.0792
NM_018067	chr1(.):36616802-36651441	0.8519
NM_014408	chr1(.):36597172-36620067	0.5601
NM_022756	chr1(.):37953175-37985364	0.1822
NM_025079	chr1(.):37935118-37954978	1.3127
NM_004073	chr1(.):45261035-45276667	0.7799
NM_001013632	chr1(.):45266585-45277957	0.7357
NM_001136537	chr1(.):45269153-45284801	0.6026
NR_001456	chr1(.):45238513-45248584	0.9595
NR_001457	chr1(.):45239061-45249130	0.962
NM_153274	chr1(.):45244256-45258426	0.2597
NM_003738	chr1(.):45282937-45313616	0.1751
NM_001012	chr1(.):45236245-45249412	0.7556
NR_000024	chr1(.):45237163-45247261	0.9577
NR_000015	chr1(.):45236536-45246610	0.958
NM_001166292	chr1(.):45280515-45313616	0.1667
NM_001262	chr1(.):51429366-51445306	1.5773
NM_078626	chr1(.):51430641-51445309	1.7132
NM_005478	chr1(.):67258423-67271939	0.0611
NM_004974	chr1(.):111140775-111153345	0.0614
NM_002232	chr1(.):111209309-111222655	0.2703
NM_017709	chr1(.):118143603-118176011	0.5876
NM_032305	chr1(.):145451235-145475387	1.3867
NM_202004	chr1(.):145408190-145422545	0.1208
NM_006472	chr1(.):145433461-145447628	2.2002
NM_001039888	chr1(.):145465507-145480647	0.6649
NM_005105	chr1(.):145502637-145516444	1.2419
NM_001161334	chr1(.):149749244-149788928	0.5105
NM_001034077	chr1(.):149799220-149809616	2.3622
