REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	26_0F2C_0229Kronos_MM1S-KB-3hr-2_H3K27me3_hs-dm_i13.bam	40_0EXS_0229Kronos_MM1S-KB-3hr-2_Input_hs_i84.bam
31_MACS_peak_16614_lociStitched	chr17	77078373	77298211	31	212612	389113.26	18972.0194
33_MACS_peak_17667_lociStitched	chr19	3773167	3953641	33	174094	318356.136	23100.672000000002
23_MACS_peak_16942_lociStitched	chr17	78991249	79160327	23	164242	356686.9488	14337.8144
26_MACS_peak_16658_lociStitched	chr17	77345858	77493841	26	143701	223691.10280000002	12667.344799999999
41_MACS_peak_35994_lociStitched	chr9	132405595	132552162	41	135986	212404.8964	13645.387700000001
19_MACS_peak_496_lociStitched	chr1	3393889	3536409	19	137693	263405.46400000004	10689.0
23_MACS_peak_15575_lociStitched	chr17	47937756	48079733	23	138023	237598.5095	13573.0012
16_MACS_peak_17394_lociStitched	chr19	1670438	1812373	16	138376	344575.5995	18465.7435
20_MACS_peak_11822_lociStitched	chr16	1204187	1341566	20	132572	266089.3851	10976.5821
14_MACS_peak_37254_lociStitched	chr9	139477045	139614251	14	135136	280846.9614	11415.5392
19_MACS_peak_16976_lociStitched	chr17	79316943	79451467	19	130938	261783.704	11004.0632
28_MACS_peak_27046_lociStitched	chr22	37711773	37845373	28	126866	217661.12	11850.32
15_MACS_peak_17317_lociStitched	chr19	681373	793179	15	108517	232187.52020000003	14109.9172
14_MACS_peak_25872_lociStitched	chr21	46813796	46920191	14	103222	229845.11849999998	12352.459499999999
29_MACS_peak_2408_lociStitched	chr1	17916042	18015979	29	94831	130277.87320000002	7875.035599999999
39_MACS_peak_13777_lociStitched	chr17	784446	882354	39	90369	126085.92240000001	8890.046400000001
11_MACS_peak_1756_lociStitched	chr1	10755015	10852144	11	96313	178639.6568	8663.9068
23_MACS_peak_36597_lociStitched	chr9	136492015	136588806	23	91593	142969.9861	7327.0787
17_MACS_peak_36299_lociStitched	chr9	135020773	135116534	17	93442	159432.4889	9106.8711
19_MACS_peak_6941_lociStitched	chr11	2148815	2241091	19	87927	153344.2568	7086.796799999999
20_MACS_peak_25307_lociStitched	chr20	62777393	62866189	20	84019	137243.0976	7965.001200000001
8_MACS_peak_25048_lociStitched	chr20	60984746	61072266	8	86621	189358.27200000003	7325.424
28_MACS_peak_3504_lociStitched	chr1	23160829	23247825	28	79273	108544.90920000001	7629.5492
13_MACS_peak_27976_lociStitched	chr22	46287804	46374796	13	85100	158629.91199999998	7350.8240000000005
19_MACS_peak_6826_lociStitched	chr11	1613639	1700482	19	82247	143447.26739999998	8910.0918
12_MACS_peak_25566_lociStitched	chr21	44049998	44136747	12	83906	163625.9638	11893.2879
4_MACS_peak_25867_lociStitched	chr21	46709510	46795437	4	84990	191660.1735	10629.1699
13_MACS_peak_25580_lociStitched	chr21	44147610	44231265	13	80934	173751.435	11527.659
31_MACS_peak_29673_lociStitched	chr4	7234059	7317181	31	74995	97784.7208	6857.5650000000005
2_MACS_peak_6920_lociStitched	chr11	1982561	2064817	2	82047	182452.03360000002	6564.0288
20_MACS_peak_15622_lociStitched	chr17	48633985	48714754	20	77143	127025.4063	7568.055300000001
30_MACS_peak_3474_lociStitched	chr1	23079712	23158899	30	72537	95634.1399	6786.3259
30_MACS_peak_25928_lociStitched	chr21	47347490	47425752	30	70037	131761.9032	9219.2636
35_MACS_peak_16829_lociStitched	chr17	77998947	78074423	35	68007	99145.2736	6755.102
8_MACS_peak_17621_lociStitched	chr19	3360426	3434920	8	73560	129247.09000000001	9118.0656
