#26_0F2C_0229Kronos_MM1S-KB-3hr-2_H3K27me3_hs-dm_i13_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/26_0F2C_0229Kronos_MM1S-KB-3hr-2_H3K27me3_hs-dm_i13_ROSE/26_0F2C_0229Kronos_MM1S-KB-3hr-2_H3K27me3_hs-dm_i13_peaks_1KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X26_0F2C_0229Kronos_MM1S.KB.3hr.2_H3K27me3_hs.dm_i13.bam
#Using cutoff of 22166.066 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X26_0F2C_0229Kronos_MM1S.KB.3hr.2_H3K27me3_hs.dm_i13.bam	X40_0EXS_0229Kronos_MM1S.KB.3hr.2_Input_hs_i84.bam	enhancerRank	isStretch
31_MACS_peak_16614_lociStitched	chr17	77078373	77298211	31	212612	389113.26	18972.0194	1	1
33_MACS_peak_17667_lociStitched	chr19	3773167	3953641	33	174094	318356.136	23100.672	2	1
23_MACS_peak_16942_lociStitched	chr17	78991249	79160327	23	164242	356686.9488	14337.8144	3	1
26_MACS_peak_16658_lociStitched	chr17	77345858	77493841	26	143701	223691.1028	12667.3448	4	1
16_MACS_peak_17394_lociStitched	chr19	1670438	1812373	16	138376	344575.5995	18465.7435	5	1
23_MACS_peak_15575_lociStitched	chr17	47937756	48079733	23	138023	237598.5095	13573.0012	6	1
19_MACS_peak_496_lociStitched	chr1	3393889	3536409	19	137693	263405.464	10689	7	1
41_MACS_peak_35994_lociStitched	chr9	132405595	132552162	41	135986	212404.8964	13645.3877	8	1
14_MACS_peak_37254_lociStitched	chr9	139477045	139614251	14	135136	280846.9614	11415.5392	9	1
20_MACS_peak_11822_lociStitched	chr16	1204187	1341566	20	132572	266089.3851	10976.5821	10	1
19_MACS_peak_16976_lociStitched	chr17	79316943	79451467	19	130938	261783.704	11004.0632	11	1
28_MACS_peak_27046_lociStitched	chr22	37711773	37845373	28	126866	217661.12	11850.32	12	1
15_MACS_peak_17317_lociStitched	chr19	681373	793179	15	108517	232187.5202	14109.9172	13	1
14_MACS_peak_25872_lociStitched	chr21	46813796	46920191	14	103222	229845.1185	12352.4595	14	1
11_MACS_peak_1756_lociStitched	chr1	10755015	10852144	11	96313	178639.6568	8663.9068	15	1
29_MACS_peak_2408_lociStitched	chr1	17916042	18015979	29	94831	130277.8732	7875.0356	16	1
17_MACS_peak_36299_lociStitched	chr9	135020773	135116534	17	93442	159432.4889	9106.8711	17	1
23_MACS_peak_36597_lociStitched	chr9	136492015	136588806	23	91593	142969.9861	7327.0787	18	1
39_MACS_peak_13777_lociStitched	chr17	784446	882354	39	90369	126085.9224	8890.0464	19	1
19_MACS_peak_6941_lociStitched	chr11	2148815	2241091	19	87927	153344.2568	7086.7968	20	1
8_MACS_peak_25048_lociStitched	chr20	60984746	61072266	8	86621	189358.272	7325.424	21	1
13_MACS_peak_27976_lociStitched	chr22	46287804	46374796	13	85100	158629.912	7350.824	22	1
4_MACS_peak_25867_lociStitched	chr21	46709510	46795437	4	84990	191660.1735	10629.1699	23	1
20_MACS_peak_25307_lociStitched	chr20	62777393	62866189	20	84019	137243.0976	7965.0012	24	1
12_MACS_peak_25566_lociStitched	chr21	44049998	44136747	12	83906	163625.9638	11893.2879	25	1
19_MACS_peak_6826_lociStitched	chr11	1613639	1700482	19	82247	143447.2674	8910.0918	26	1
2_MACS_peak_6920_lociStitched	chr11	1982561	2064817	2	82047	182452.0336	6564.0288	27	1
13_MACS_peak_25580_lociStitched	chr21	44147610	44231265	13	80934	173751.435	11527.659	28	1
28_MACS_peak_3504_lociStitched	chr1	23160829	23247825	28	79273	108544.9092	7629.5492	29	1
20_MACS_peak_15622_lociStitched	chr17	48633985	48714754	20	77143	127025.4063	7568.0553	30	1
31_MACS_peak_29673_lociStitched	chr4	7234059	7317181	31	74995	97784.7208	6857.565	31	1
8_MACS_peak_17621_lociStitched	chr19	3360426	3434920	8	73560	129247.09	9118.0656	32	1
30_MACS_peak_3474_lociStitched	chr1	23079712	23158899	30	72537	95634.1399	6786.3259	33	1
13_MACS_peak_9758_lociStitched	chr12	54337720	54411732	13	72395	130897.6232	7519.6192	34	1
15_MACS_peak_26094_lociStitched	chr22	19689550	19763952	15	72073	130203.5	6145.6052	35	1
11_MACS_peak_25800_lociStitched	chr21	46404167	46477533	11	71306	159079.4978	9090.0474	36	1
6_MACS_peak_25060_lociStitched	chr20	61141432	61213391	6	71003	147487.1664	6123.7109	37	1
30_MACS_peak_25928_lociStitched	chr21	47347490	47425752	30	70037	131761.9032	9219.2636	38	1
19_MACS_peak_30169_lociStitched	chr4	8586018	8659488	19	69943	103247.391	5392.698	39	1
11_MACS_peak_36042_lociStitched	chr9	132911577	132983477	11	69567	110452.78	6614.8	40	1
10_MACS_peak_435_lociStitched	chr1	3099157	3169736	10	69201	109672.7081	4848.7773	41	1
9_MACS_peak_13894_lociStitched	chr17	1828303	1899839	9	69113	109056.632	6216.4784	42	1
20_MACS_peak_19501_lociStitched	chr19	18059293	18132367	20	68797	115347.309	6759.345	43	1
35_MACS_peak_16829_lociStitched	chr17	77998947	78074423	35	68007	99145.2736	6755.102	44	1
23_MACS_peak_2101_lociStitched	chr1	16410007	16483445	23	67879	103253.828	6631.4514	45	1
24_MACS_peak_1779_lociStitched	chr1	10907197	10980570	24	67659	102626.8151	6816.3517	46	1
14_MACS_peak_168_lociStitched	chr1	1915774	1986131	14	67204	110045.3837	5881.8452	47	1
