REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X26_0F2C_0229Kronos_MM1S.KB.3hr.2_H3K27me3_hs.dm_i13.bam	X40_0EXS_0229Kronos_MM1S.KB.3hr.2_Input_hs_i84.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
31_MACS_peak_16614_lociStitched	chr17	77078373	77298211	31	212612	389113.26	18972.0194	1	ENGASE,RBFOX3	C1QTNF1	ENGASE	C1QTNF1	1.4214	1	1
23_MACS_peak_16942_lociStitched	chr17	78991249	79160327	23	164242	356686.9488	14337.8144	2	BAIAP2,MIR3065,LOC388428,FLJ90757,AATK,MIR657,MIR338,MIR1250	CHMP6,AZI1	MIR657	MIR657	1.6375	2	1
33_MACS_peak_17667_lociStitched	chr19	3773167	3953641	33	174094	318356.136	23100.672	3	ATCAY,ITGB1BP3,MATK,ZFR2	TJP3,MRPL54,APBA3,RAX2,MIR637,DAPK3,SNORD37,EEF2	ZFR2	ZFR2	1.9271	3	1
16_MACS_peak_17394_lociStitched	chr19	1670438	1812373	16	138376	344575.5995	18465.7435	4	ONECUT3,ATP8B3	LOC100288123,TCF3,MIR1909,REXO1	ONECUT3	ONECUT3	2.2807999999999997	4	1
14_MACS_peak_37254_lociStitched	chr9	139477045	139614251	14	135136	280846.9614	11415.5392	5	EGFL7,MIR126,FAM69B,AGPAT2	LOC100128593,NOTCH1,SNORA43,SNORA17,SNHG7,LCN10,LCN6,LCN8,LCN15	EGFL7	EGFL7	2.289	5	1
19_MACS_peak_496_lociStitched	chr1	3393889	3536409	19	137693	263405.464	10689	6	ARHGEF16,MEGF6,MIR551A	TPRG1L,TP73,WDR8	MIR551A	MIR551A	1.7573	6	1
20_MACS_peak_11822_lociStitched	chr16	1204187	1341566	20	132572	266089.3851	10976.5821	7	CACNA1H,TPSAB1,TPSD1,TPSG1,TPSB2	UBE2I,BAIAP3	TPSG1	TPSG1	2.3709000000000002	7	1
19_MACS_peak_16976_lociStitched	chr17	79316943	79451467	19	130938	261783.704	11004.0632	8	BAHCC1,MIR3186	FSCN2,SLC38A10,C17orf55,TMEM105,ACTG1	BAHCC1	BAHCC1	2.0025999999999997	8	1
23_MACS_peak_15575_lociStitched	chr17	47937756	48079733	23	138023	237598.5095	13573.0012	9	DLX4,DLX3	TAC4	DLX4	DLX4	1.8027	9	1
26_MACS_peak_16658_lociStitched	chr17	77345858	77493841	26	143701	223691.1028	12667.3448	10	RBFOX3		RBFOX3	RBFOX3	1.4936	10	1
41_MACS_peak_35994_lociStitched	chr9	132405595	132552162	41	135986	212404.8964	13645.3877	11	PRRX2,PTGES	METTL11A,TOR1B,USP20,C9orf50,ASB6,TOR1A,C9orf78	PTGES	PTGES	1.4935999999999998	11	1
28_MACS_peak_27046_lociStitched	chr22	37711773	37845373	28	126866	217661.12	11850.32	12	ELFN2	CYTH4,MFNG	ELFN2	ELFN2	1.5526	12	1
15_MACS_peak_17317_lociStitched	chr19	681373	793179	15	108517	232187.5202	14109.9172	13	FSTL3,PALM,C19orf21,PRSSL1	FGF22,PTBP1,MIR3187,AZU1,PRTN3,POLRMT,RNF126,LPPR3	C19orf21	PRTN3	2.0095	13	1
14_MACS_peak_25872_lociStitched	chr21	46813796	46920191	14	103222	229845.1185	12352.4595	14	COL18A1,NCRNA00175	SLC19A1	COL18A1	COL18A1	1.8454000000000002	14	1
11_MACS_peak_1756_lociStitched	chr1	10755015	10852144	11	96313	178639.6568	8663.9068	15	CASZ1		CASZ1	CASZ1	1.7052	15	1
8_MACS_peak_25048_lociStitched	chr20	60984746	61072266	8	86621	189358.272	7325.424	16	C20orf151,GATA5	RPS21,LAMA5,CABLES2	GATA5	GATA5	2.05	16	1
