#26_0F2C_0229Kronos_MM1S-KB-3hr-2_H3K27me3_hs-dm_i13_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/26_0F2C_0229Kronos_MM1S-KB-3hr-2_H3K27me3_hs-dm_i13_ROSE/26_0F2C_0229Kronos_MM1S-KB-3hr-2_H3K27me3_hs-dm_i13_peaks_1KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X26_0F2C_0229Kronos_MM1S.KB.3hr.2_H3K27me3_hs.dm_i13.bam
#Using cutoff of 22166.066 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X26_0F2C_0229Kronos_MM1S.KB.3hr.2_H3K27me3_hs.dm_i13.bam	X40_0EXS_0229Kronos_MM1S.KB.3hr.2_Input_hs_i84.bam	enhancerRank	isSuperStretch
31_MACS_peak_16614_lociStitched	chr17	77078373	77298211	31	212612	389113.26	18972.0194	1	1
23_MACS_peak_16942_lociStitched	chr17	78991249	79160327	23	164242	356686.9488	14337.8144	2	1
33_MACS_peak_17667_lociStitched	chr19	3773167	3953641	33	174094	318356.136	23100.672	3	1
16_MACS_peak_17394_lociStitched	chr19	1670438	1812373	16	138376	344575.5995	18465.7435	4	1
14_MACS_peak_37254_lociStitched	chr9	139477045	139614251	14	135136	280846.9614	11415.5392	5	1
19_MACS_peak_496_lociStitched	chr1	3393889	3536409	19	137693	263405.464	10689	6	1
20_MACS_peak_11822_lociStitched	chr16	1204187	1341566	20	132572	266089.3851	10976.5821	7	1
19_MACS_peak_16976_lociStitched	chr17	79316943	79451467	19	130938	261783.704	11004.0632	8	1
23_MACS_peak_15575_lociStitched	chr17	47937756	48079733	23	138023	237598.5095	13573.0012	9	1
26_MACS_peak_16658_lociStitched	chr17	77345858	77493841	26	143701	223691.1028	12667.3448	10	1
41_MACS_peak_35994_lociStitched	chr9	132405595	132552162	41	135986	212404.8964	13645.3877	11	1
28_MACS_peak_27046_lociStitched	chr22	37711773	37845373	28	126866	217661.12	11850.32	12	1
15_MACS_peak_17317_lociStitched	chr19	681373	793179	15	108517	232187.5202	14109.9172	13	1
14_MACS_peak_25872_lociStitched	chr21	46813796	46920191	14	103222	229845.1185	12352.4595	14	1
11_MACS_peak_1756_lociStitched	chr1	10755015	10852144	11	96313	178639.6568	8663.9068	15	1
8_MACS_peak_25048_lociStitched	chr20	60984746	61072266	8	86621	189358.272	7325.424	16	1
4_MACS_peak_25867_lociStitched	chr21	46709510	46795437	4	84990	191660.1735	10629.1699	17	1
10_MACS_peak_30283_lociStitched	chr4	9211665	9274631	10	61753	227590.607	20419.8738	18	1
2_MACS_peak_6920_lociStitched	chr11	1982561	2064817	2	82047	182452.0336	6564.0288	19	1
2_MACS_peak_18441_lociStitched	chr19	8850840	8900860	2	49791	229086.598	24254.698	20	1
17_MACS_peak_36299_lociStitched	chr9	135020773	135116534	17	93442	159432.4889	9106.8711	21	1
13_MACS_peak_25580_lociStitched	chr21	44147610	44231265	13	80934	173751.435	11527.659	22	1
13_MACS_peak_27976_lociStitched	chr22	46287804	46374796	13	85100	158629.912	7350.824	23	1
19_MACS_peak_6941_lociStitched	chr11	2148815	2241091	19	87927	153344.2568	7086.7968	24	1
12_MACS_peak_25566_lociStitched	chr21	44049998	44136747	12	83906	163625.9638	11893.2879	25	1
23_MACS_peak_36597_lociStitched	chr9	136492015	136588806	23	91593	142969.9861	7327.0787	26	1
29_MACS_peak_2408_lociStitched	chr1	17916042	18015979	29	94831	130277.8732	7875.0356	27	1
7_MACS_peak_17355_lociStitched	chr19	1282669	1345883	7	62211	173484.5016	7794.2862	28	1
19_MACS_peak_6826_lociStitched	chr11	1613639	1700482	19	82247	143447.2674	8910.0918	29	1
39_MACS_peak_13777_lociStitched	chr17	784446	882354	39	90369	126085.9224	8890.0464	30	1
20_MACS_peak_25307_lociStitched	chr20	62777393	62866189	20	84019	137243.0976	7965.0012	31	1
11_MACS_peak_25800_lociStitched	chr21	46404167	46477533	11	71306	159079.4978	9090.0474	32	1
6_MACS_peak_25060_lociStitched	chr20	61141432	61213391	6	71003	147487.1664	6123.7109	33	1
5_MACS_peak_2181_lociStitched	chr1	17011875	17066329	5	53659	168469.7852	14103.586	34	1
20_MACS_peak_15622_lociStitched	chr17	48633985	48714754	20	77143	127025.4063	7568.0553	35	1
5_MACS_peak_25795_lociStitched	chr21	46301113	46358440	5	56777	157431.4074	7762.0758	36	1
15_MACS_peak_26094_lociStitched	chr22	19689550	19763952	15	72073	130203.5	6145.6052	37	1
13_MACS_peak_9758_lociStitched	chr12	54337720	54411732	13	72395	130897.6232	7519.6192	38	1
8_MACS_peak_17621_lociStitched	chr19	3360426	3434920	8	73560	129247.09	9118.0656	39	1
30_MACS_peak_25928_lociStitched	chr21	47347490	47425752	30	70037	131761.9032	9219.2636	40	1
5_MACS_peak_17737_lociStitched	chr19	4557407	4624068	5	65787	138214.9174	9459.1959	41	1
28_MACS_peak_3504_lociStitched	chr1	23160829	23247825	28	79273	108544.9092	7629.5492	42	1
10_MACS_peak_30293_lociStitched	chr4	9324620	9370921	10	45762	162484.0993	13515.2619	43	1
20_MACS_peak_19501_lociStitched	chr19	18059293	18132367	20	68797	115347.309	6759.345	44	1
10_MACS_peak_435_lociStitched	chr1	3099157	3169736	10	69201	109672.7081	4848.7773	45	1
11_MACS_peak_36042_lociStitched	chr9	132911577	132983477	11	69567	110452.78	6614.8	46	1
31_MACS_peak_29673_lociStitched	chr4	7234059	7317181	31	74995	97784.7208	6857.565	47	1
9_MACS_peak_13894_lociStitched	chr17	1828303	1899839	9	69113	109056.632	6216.4784	48	1
8_MACS_peak_236_lociStitched	chr1	2347924	2412246	8	62917	117033.879	4502.54	49	1
9_MACS_peak_13825_lociStitched	chr17	1041239	1106179	9	63453	118262.234	6883.64	50	1
14_MACS_peak_168_lociStitched	chr1	1915774	1986131	14	67204	110045.3837	5881.8452	51	1
21_MACS_peak_6874_lociStitched	chr11	1787005	1859169	21	66956	110829.4712	6761.7668	52	1
19_MACS_peak_30169_lociStitched	chr4	8586018	8659488	19	69943	103247.391	5392.698	53	1
30_MACS_peak_3474_lociStitched	chr1	23079712	23158899	30	72537	95634.1399	6786.3259	54	1
23_MACS_peak_2101_lociStitched	chr1	16410007	16483445	23	67879	103253.828	6631.4514	55	1
24_MACS_peak_1779_lociStitched	chr1	10907197	10980570	24	67659	102626.8151	6816.3517	56	1
35_MACS_peak_16829_lociStitched	chr17	77998947	78074423	35	68007	99145.2736	6755.102	57	1
20_MACS_peak_27217_lociStitched	chr22	40036633	40108031	20	66190	99435.9946	6618.5946	58	1
6_MACS_peak_1102_lociStitched	chr1	6473538	6530493	6	55785	117241.8675	5997.3615	59	1
12_MACS_peak_476_lociStitched	chr1	3296826	3362080	12	63589	102174.7132	4482.9498	60	1
11_MACS_peak_11811_lociStitched	chr16	1144548	1202597	11	56979	113212.9647	3883.4781	61	1
8_MACS_peak_29285_lociStitched	chr4	1751814	1808564	8	54646	117370.35	4619.45	62	1
18_MACS_peak_417_lociStitched	chr1	3031257	3097107	18	61927	99308.385	4464.63	63	1
8_MACS_peak_25071_lociStitched	chr20	61313399	61371654	8	56688	107841.656	4998.279	64	1
20_MACS_peak_29370_lociStitched	chr4	3625783	3693883	20	62761	93753.27	5822.55	65	1
17_MACS_peak_36829_lociStitched	chr9	137653302	137717068	17	60086	97657.629	4890.8522	66	1
12_MACS_peak_60_lociStitched	chr1	955525	1016778	12	56665	104074.9723	5145.252	67	1
5_MACS_peak_1751_lociStitched	chr1	10699809	10753554	5	52843	109672.047	4842.4245	68	1
8_MACS_peak_36191_lociStitched	chr9	133770057	133825230	8	54099	106561.1322	4314.5286	69	1
19_MACS_peak_3307_lociStitched	chr1	22542421	22609904	19	62564	92289.7508	6451.3748	70	1
18_MACS_peak_36104_lociStitched	chr9	133249623	133314650	18	61254	93482.8152	5169.6465	71	1
3_MACS_peak_25157_lociStitched	chr20	61850194	61902805	3	51890	109620.2796	4813.9065	72	1
23_MACS_peak_8080_lociStitched	chr11	69969134	70036846	23	62527	90564.8	5396.6464	73	1
33_MACS_peak_2232_lociStitched	chr1	17407880	17478559	33	63270	89635.1078	6551.9433	74	1
26_MACS_peak_7503_lociStitched	chr11	64386436	64455655	26	62897	89257.9005	6388.9137	75	1
8_MACS_peak_33_lociStitched	chr1	829605	879438	8	47627	114222.2193	4818.8511	76	1
12_MACS_peak_17962_lociStitched	chr19	5828100	5890982	12	61392	94819.7678	8778.3272	77	1
11_MACS_peak_36561_lociStitched	chr9	136368609	136426557	11	56207	95961.888	4363.4844	78	1
6_MACS_peak_7335_lociStitched	chr11	61442177	61499686	6	56713	95654.7197	5250.5717	79	1
15_MACS_peak_37181_lociStitched	chr9	138860257	138919559	15	56508	92866.932	4589.9748	80	1
5_MACS_peak_228_lociStitched	chr1	2243692	2294334	5	48900	104722.5918	4228.607	81	1
19_MACS_peak_7270_lociStitched	chr11	61272481	61332808	19	56221	92414.9313	5344.9722	82	1
28_MACS_peak_6845_lociStitched	chr11	1702242	1770087	28	58123	88829.4585	6553.827	83	1
10_MACS_peak_11800_lociStitched	chr16	1084598	1140873	10	54412	92831.24	3764.7975	84	1
8_MACS_peak_25105_lociStitched	chr20	61585804	61640598	8	53727	95379.9158	5090.3626	85	1
10_MACS_peak_17710_lociStitched	chr19	4183547	4240450	10	54973	95403.5698	8421.644	86	1
19_MACS_peak_36350_lociStitched	chr9	135335810	135400955	19	59456	82545.2295	5784.876	87	1
9_MACS_peak_1067_lociStitched	chr1	6180857	6234632	9	52028	95966.865	4882.77	88	1
6_MACS_peak_25714_lociStitched	chr21	45900395	45954051	6	52101	97707.576	6937.7208	89	1
21_MACS_peak_29390_lociStitched	chr4	3701023	3763406	21	58524	81503.3895	4828.4442	90	1
2_MACS_peak_21722_lociStitched	chr19	50594116	50643885	2	49743	104992.6824	15139.7298	91	1
11_MACS_peak_450_lociStitched	chr1	3178022	3235624	11	54157	85250.96	3778.6912	92	1
17_MACS_peak_400_lociStitched	chr1	2969869	3029906	17	55089	81308.1091	3386.0868	93	1
21_MACS_peak_146_lociStitched	chr1	1851136	1910650	21	53915	83093.4468	5427.6768	94	1
6_MACS_peak_35811_lociStitched	chr9	129370375	129420476	6	47391	92862.2035	4474.0193	95	1
20_MACS_peak_30915_lociStitched	chr5	176117203	176176880	20	54905	76816.2344	5263.5114	96	1
8_MACS_peak_21551_lociStitched	chr19	49521170	49575050	8	51861	83303.868	5291.016	97	1
4_MACS_peak_31408_lociStitched	chr6	31990125	32033185	4	42742	97991.642	4792.578	98	1
17_MACS_peak_13760_lociStitched	chr17	724905	783159	17	55082	76405.9464	5802.0984	99	1
6_MACS_peak_25194_lociStitched	chr20	62074808	62122554	6	46675	90440.4732	3910.3974	100	1
9_MACS_peak_34693_lociStitched	chr8	142359940	142412834	9	51407	81906.359	4501.2794	101	1
11_MACS_peak_25079_lociStitched	chr20	61373027	61422165	11	46053	87514.778	4117.7644	102	1
