GENE_ID	locusLine	bin_1_43_0EXV_0229Kronos_MM1S-KB-24hr-1_Input_hs_i87.bam
NM_001990	chr1(.):28295818-28420131	0.1187
NM_012090	chr1(.):39542117-39957789	0.1162
NM_002867	chr1(.):52368627-52461436	0.116
NM_001006605	chr1(.):93302720-93432079	0.0749
NM_001113228	chr1(.):107677628-108029475	0.054
NM_014917	chr1(.):107677744-108029475	0.054
NM_001010935	chr1(.):112157404-112261101	0.0693
NM_024408	chr1(.):120449175-120617276	0.1498
NM_001037675	chr1(.):144609958-144833810	0.0639
NR_002188	chr1(.):155178615-155202325	0.2091
NM_201569	chr1(.):183436505-183528328	0.1866
NM_003820	chr1(.):2482804-2500267	0.0986
NM_012102	chr1(.):8407463-8882699	0.105
NM_015291	chr1(.):15848351-15903228	0.1135
NM_004091	chr1(.):23827921-23862713	0.1469
NM_020448	chr1(.):24737244-24804473	0.1227
NM_173065	chr1(.):24475646-24518751	0.1653
NM_002953	chr1(.):26851248-26906520	0.1215
NM_002379	chr1(.):31179123-31201432	0.127
NR_034182	chr1(.):31186618-31204593	0.1276
NM_001127714	chr1(.):41970683-42389496	0.1131
NM_174964	chr1(.):44168217-44401831	0.1116
NM_002600	chr1(.):66253855-66845262	0.1057
NM_001037341	chr1(.):66253192-66845262	0.1058
NM_001037340	chr1(.):66453389-66845262	0.1114
NM_018841	chr1(.):68162148-68304155	0.1124
NM_001081976	chr1(.):112020969-112111597	0.0593
NM_198459	chr1(.):115122195-115217732	0.0561
NM_203458	chr1(.):145204110-145290912	0.4038
NM_001195260	chr1(.):144946760-145002111	0.3004
NM_004892	chr1(.):145091406-145121922	0.3571
NM_153713	chr1(.):145472084-145504091	0.1911
NM_022359	chr1(.):144946760-145081186	0.3308
NM_001002812	chr1(.):144885590-145000022	0.2733
NM_014644	chr1(.):144846426-145000022	0.2588
NM_001195261	chr1(.):144946760-145000082	0.2963
NM_001198834	chr1(.):144846423-145000033	0.2588
NM_001002810	chr1(.):144946760-145000033	0.2962
NM_001198832	chr1(.):144846423-145044992	0.2839
NM_207168	chr1(.):150594521-150607098	0.2413
NM_020699	chr1(.):153772202-153900451	0.1736
NM_020524	chr1(.):154911558-154933567	0.2714
NM_181359	chr1(.):154372668-154445188	0.2022
