GENE_ID	locusLine	bin_1_36_0EXO_0229Kronos_MM1S-No-Treatment-2_Input_hs_i78.bam
NM_032236	chr1(.):21999791-22114688	0.1115
NM_201569	chr1(.):183436505-183528328	0.188
NM_001013693	chr1(.):22133757-22156714	0.0904
NM_004091	chr1(.):23827921-23862713	0.151
NM_173065	chr1(.):24475646-24518751	0.1477
NM_001048199	chr1(.):28827454-28870708	0.146
NR_002909	chr1(.):28827454-28842404	0.1893
NM_002379	chr1(.):31179123-31201432	0.1421
NR_034182	chr1(.):31186618-31204593	0.1454
NM_001101662	chr1(.):52249865-52349609	0.1245
NM_002600	chr1(.):66253855-66845262	0.1151
NM_001037341	chr1(.):66253192-66845262	0.1151
NM_001037340	chr1(.):66453389-66845262	0.1228
NM_153713	chr1(.):145472084-145504091	0.1895
NM_207168	chr1(.):150594521-150607098	0.2378
NM_020524	chr1(.):154911558-154933567	0.3052
NM_181359	chr1(.):154372668-154445188	0.213
NM_005572	chr1(.):156079460-156112657	0.2008
NM_005973	chr1(.):156732273-156775609	0.1883
NM_015149	chr1(.):183600207-183902666	0.1933
NM_025191	chr1(.):184654624-184729041	0.2054
NM_144977	chr1(.):197516384-197749623	0.1777
NM_001195215	chr1(.):197468878-197749623	0.1776
NM_182663	chr1(.):206675878-206767616	0.2172
NM_002221	chr1(.):226814390-226931876	0.2011
NM_004481	chr1(.):230197955-230422875	0.1754
NM_014675	chr1(.):17243444-17304474	0.1368
NM_001032730	chr1(.):22049338-22114688	0.1159
NM_017707	chr1(.):23750055-23815750	0.0953
NM_002167	chr1(.):23879408-23891322	0.1688
NM_021258	chr1(.):24441260-24474611	0.1165
NR_027087	chr1(.):24521729-24543180	0.159
NM_015627	chr1(.):25865075-25900377	0.1606
NM_006015	chr1(.):27017521-27113601	0.1573
NM_014280	chr1(.):28521789-28564542	0.1312
NM_016311	chr1(.):28557610-28569611	0.1687
NM_001164721	chr1(.):28468676-28525447	0.1182
NM_001164722	chr1(.):28468676-28525437	0.1182
NM_031459	chr1(.):28581005-28614002	0.1192
NR_003109	chr1(.):28874528-28910057	0.1501
NM_001269	chr1(.):28839744-28870708	0.1274
NM_006762	chr1(.):31200314-31235683	0.191
NM_005202	chr1(.):36555843-36570850	0.1052
NM_018067	chr1(.):36616802-36651441	0.1272
NM_014408	chr1(.):36597172-36620067	0.1425
NR_002983	chr1(.):40028045-40038182	0.22
NR_003929	chr1(.):39982951-40030370	0.1328
NM_001135653	chr1(.):40021484-40047521	0.1914
NM_001198979	chr1(.):40854016-40893998	0.1278
