#06_0EWS_0229Kronos_MM1S-KB-3hr-2_H3K18Ac_hs-dm_i13_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/06_0EWS_0229Kronos_MM1S-KB-3hr-2_H3K18Ac_hs-dm_i13_ROSE/06_0EWS_0229Kronos_MM1S-KB-3hr-2_H3K18Ac_hs-dm_i13_peaks_7KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X06_0EWS_0229Kronos_MM1S.KB.3hr.2_H3K18Ac_hs.dm_i13.bam
#Using cutoff of 16485.7032 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X06_0EWS_0229Kronos_MM1S.KB.3hr.2_H3K18Ac_hs.dm_i13.bam	X40_0EXS_0229Kronos_MM1S.KB.3hr.2_Input_hs_i84.bam	enhancerRank	isStretch
7_MACS_peak_14550_lociStitched	chr2	37525971	37624685	7	76095	229095.4512	17906.7196	1	1
10_MACS_peak_17973_lociStitched	chr22	23189563	23286899	10	72865	329316.8888	13247.4296	2	1
7_MACS_peak_24761_lociStitched	chr6	108878322	108954257	7	68905	105109.227	11268.754	3	1
4_MACS_peak_1402_lociStitched	chr1	118147562	118219644	4	63463	186598.6734	7929.02	4	1
8_MACS_peak_19827_lociStitched	chr3	141079040	141150042	8	59776	311499.9744	13866.6906	5	1
7_MACS_peak_8601_lociStitched	chr14	91812807	91886083	7	56381	116479.5296	7928.4632	6	1
2_MACS_peak_15246_lociStitched	chr2	99060377	99108252	2	46464	130765.775	10192.5875	7	1
6_MACS_peak_2335_lociStitched	chr1	203236091	203298489	6	45256	210992.5972	16129.883	8	1
3_MACS_peak_16924_lociStitched	chr20	30262032	30312413	3	40753	123740.7741	10333.1431	9	1
5_MACS_peak_11470_lociStitched	chr17	34596918	34642090	5	40019	81187.6356	9201.5364	10	1
5_MACS_peak_16971_lociStitched	chr20	32398669	32452441	5	39325	94794.6588	10044.6096	11	1
4_MACS_peak_23538_lociStitched	chr6	289715	338529	4	38751	158460.0068	16289.2318	12	1
8_MACS_peak_24348_lociStitched	chr6	52392243	52443084	8	38566	79505.1558	8927.6796	13	1
5_MACS_peak_12761_lociStitched	chr18	46439185	46480129	5	38280	56768.856	7439.5248	14	1
5_MACS_peak_21221_lociStitched	chr4	90204935	90253424	5	36482	147653.8539	8597.0997	15	1
2_MACS_peak_11422_lociStitched	chr17	32688281	32726962	2	36031	111335.5223	6954.8438	16	1
5_MACS_peak_11188_lociStitched	chr17	16847792	16895771	5	34454	123046.9434	8703.3906	17	1
3_MACS_peak_23653_lociStitched	chr6	7887155	7921307	3	33855	146471.0976	7223.148	18	1
5_MACS_peak_10106_lociStitched	chr16	11796531	11843262	5	33223	82354.0413	7855.4811	19	1
4_MACS_peak_8759_lociStitched	chr14	106023277	106056632	4	32195	156535.015	5303.445	20	1
7_MACS_peak_20262_lociStitched	chr3	183219559	183261138	7	32064	75519.9377	10465.4343	21	1
5_MACS_peak_12012_lociStitched	chr17	62149855	62187023	5	31661	55874.6544	6976.4336	22	1
6_MACS_peak_1706_lociStitched	chr1	154907803	154957922	6	31610	135982.8708	13271.5112	23	1
5_MACS_peak_4073_lociStitched	chr10	112146543	112186735	5	29593	60010.6752	5868.032	24	1
3_MACS_peak_6498_lociStitched	chr12	53845144	53874897	3	29549	27503.6732	5075.8618	25	1
8_MACS_peak_8903_lociStitched	chr15	31616583	31660423	8	29492	54975.36	6527.776	26	1
4_MACS_peak_4208_lociStitched	chr10	125821654	125854898	4	29387	75257.7672	6000.542	27	1
11_MACS_peak_25086_lociStitched	chr6	138246188	138297590	11	29008	38351.0322	7725.7206	28	1
7_MACS_peak_27249_lociStitched	chr8	27208363	27253552	7	28976	48261.852	7867.4049	29	1
3_MACS_peak_9430_lociStitched	chr15	68568579	68599573	3	28377	58535.2684	5597.5164	30	1
5_MACS_peak_23420_lociStitched	chr5	173310016	173344017	5	28221	38274.9257	5701.9677	31	1
3_MACS_peak_8768_lociStitched	chr14	106145069	106173343	3	27848	106768.2788	2960.2878	32	1
4_MACS_peak_2407_lociStitched	chr1	206271559	206311407	4	27344	105848.2424	9276.6144	33	1
7_MACS_peak_10781_lociStitched	chr16	78768872	78805124	7	27138	24415.722	3498.318	34	1
