REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X06_0EWS_0229Kronos_MM1S.KB.3hr.2_H3K18Ac_hs.dm_i13.bam	X40_0EXS_0229Kronos_MM1S.KB.3hr.2_Input_hs_i84.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
10_MACS_peak_17973_lociStitched	chr22	23189563	23286899	10	72865	329316.8888	13247.4296	1	IGLL5	MIR650	IGLL5	IGLL5	6.1069	1	1
8_MACS_peak_19827_lociStitched	chr3	141079040	141150042	8	59776	311499.9744	13866.6906	2	ZBTB38		ZBTB38	ZBTB38	2.2291	2	1
7_MACS_peak_14550_lociStitched	chr2	37525971	37624685	7	76095	229095.4512	17906.7196	3	QPCT,PRKD3		QPCT	QPCT	2.5667	3	1
4_MACS_peak_1402_lociStitched	chr1	118147562	118219644	4	63463	186598.6734	7929.02	4	FAM46C		FAM46C	FAM46C	2.4486	4	1
7_MACS_peak_24761_lociStitched	chr6	108878322	108954257	7	68905	105109.227	11268.754	5	FOXO3		FOXO3	FOXO3	0.9219	5	1
6_MACS_peak_2335_lociStitched	chr1	203236091	203298489	6	45256	210992.5972	16129.883	6	BTG2,LOC730227	CHIT1,FMOD	LOC730227	LOC730227	3.215	6	1
7_MACS_peak_8601_lociStitched	chr14	91812807	91886083	7	56381	116479.5296	7928.4632	7	CCDC88C		CCDC88C	CCDC88C	0.7774	7	1
2_MACS_peak_15246_lociStitched	chr2	99060377	99108252	2	46464	130765.775	10192.5875	8	INPP4A		INPP4A	INPP4A	0.8366	8	1
4_MACS_peak_23538_lociStitched	chr6	289715	338529	4	38751	158460.0068	16289.2318	9	DUSP22		DUSP22	DUSP22	2.0533	9	1
5_MACS_peak_21221_lociStitched	chr4	90204935	90253424	5	36482	147653.8539	8597.0997	10	GPRIN3		GPRIN3	GPRIN3	1.7484	10	1
3_MACS_peak_16924_lociStitched	chr20	30262032	30312413	3	40753	123740.7741	10333.1431	11	BCL2L1	COX4I2,TPX2	BCL2L1	BCL2L1	1.6812	11	1
4_MACS_peak_8759_lociStitched	chr14	106023277	106056632	4	32195	156535.015	5303.445	12		TMEM121	TMEM121	TMEM121	0.15040000000000003	12	1
3_MACS_peak_23653_lociStitched	chr6	7887155	7921307	3	33855	146471.0976	7223.148	13	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	3.0046	13	1
5_MACS_peak_16971_lociStitched	chr20	32398669	32452441	5	39325	94794.6588	10044.6096	14	CHMP4B		CHMP4B	CHMP4B	1.3824999999999998	14	1
5_MACS_peak_11188_lociStitched	chr17	16847792	16895771	5	34454	123046.9434	8703.3906	15	TNFRSF13B		TNFRSF13B	TNFRSF13B	1.4653	15	1
2_MACS_peak_11422_lociStitched	chr17	32688281	32726962	2	36031	111335.5223	6954.8438	16	CCL1	CCL8,CCL13	CCL1	CCL1	1.2548000000000001	16	1
5_MACS_peak_11470_lociStitched	chr17	34596918	34642090	5	40019	81187.6356	9201.5364	17	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	NONE	NONE	17	1
6_MACS_peak_1706_lociStitched	chr1	154907803	154957922	6	31610	135982.8708	13271.5112	18	CKS1B,MIR4258,FLAD1,PMVK,PBXIP1,PYGO2,SHC1	LENEP,ZBTB7B,DCST1,DCST2	PYGO2	PYGO2	1.8677000000000001	18	1
8_MACS_peak_24348_lociStitched	chr6	52392243	52443084	8	38566	79505.1558	8927.6796	19	TRAM2		TRAM2	TRAM2	0.9744	19	1
5_MACS_peak_12761_lociStitched	chr18	46439185	46480129	5	38280	56768.856	7439.5248	20	SMAD7		SMAD7	SMAD7	1.1638	20	1
1_MACS_peak_24723_lociStitched	chr6	106530366	106557211	1	26846	117546.2015	5444.166	21	PRDM1		PRDM1	PRDM1	3.3579999999999997	21	1
5_MACS_peak_10106_lociStitched	chr16	11796531	11843262	5	33223	82354.0413	7855.4811	22	TXNDC11	SNN,ZC3H7A	TXNDC11	TXNDC11	1.7348999999999999	22	1
3_MACS_peak_8768_lociStitched	chr14	106145069	106173343	3	27848	106768.2788	2960.2878	23			TMEM121	TMEM121	0.15040000000000003	23	1
7_MACS_peak_13130_lociStitched	chr19	2594321	2637981	7	27003	115092.126	9683.788	24	GNG7		GNG7	GNG7	0.57	24	1
4_MACS_peak_2407_lociStitched	chr1	206271559	206311407	4	27344	105848.2424	9276.6144	25	C1orf186	AVPR1B,CTSE	C1orf186	C1orf186	1.2322	25	1
7_MACS_peak_20262_lociStitched	chr3	183219559	183261138	7	32064	75519.9377	10465.4343	26	KLHL6		KLHL6	KLHL6	1.1551	26	1
2_MACS_peak_5013_lociStitched	chr11	65183106	65210671	2	20755	126785.2175	6364.7585	27	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	7.694599999999999	27	1
4_MACS_peak_26379_lociStitched	chr7	102063403	102093390	4	23700	110109.2653	4929.8628	28	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	1.8165	28	1
3_MACS_peak_18062_lociStitched	chr22	29185846	29221782	3	26604	96118.0192	6551.1328	29	XBP1	HSCB,CCDC117,CHEK2	XBP1	XBP1	2.9853	29	1
4_MACS_peak_26902_lociStitched	chr7	150052760	150084950	4	25674	100526.151	7622.592	30	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	REPIN1	REPIN1	3.4236	30	1
4_MACS_peak_4208_lociStitched	chr10	125821654	125854898	4	29387	75257.7672	6000.542	31	CHST15		CHST15	CHST15	0.7904	31	1
5_MACS_peak_12012_lociStitched	chr17	62149855	62187023	5	31661	55874.6544	6976.4336	32	ERN1	SNORD104,SNORA76	ERN1	ERN1	0.7398	32	1
1_MACS_peak_3049_lociStitched	chr10	11202034	11223841	1	21808	110352.1428	4982.8995	33	CELF2		CELF2	CELF2	0.48319999999999996	33	1
4_MACS_peak_12488_lociStitched	chr18	9053465	9085297	4	23924	101333.9888	5261.8296	34		NDUFV2	NDUFV2	NDUFV2	2.0706	34	1
2_MACS_peak_4610_lociStitched	chr11	22676362	22704326	2	24123	97818.072	4270.1028	35	GAS2	FANCF	GAS2	GAS2	0.6003000000000001	35	1
5_MACS_peak_4073_lociStitched	chr10	112146543	112186735	5	29593	60010.6752	5868.032	36			DUSP5	DUSP5	0.9367	36	1
3_MACS_peak_7094_lociStitched	chr12	109007125	109036180	3	20929	107300.115	5593.0875	37	SELPLG	TMEM119	SELPLG	SELPLG	4.2319	37	1
8_MACS_peak_8903_lociStitched	chr15	31616583	31660423	8	29492	54975.36	6527.776	38	KLF13		KLF13	KLF13	0.7949	38	1
4_MACS_peak_11465_lociStitched	chr17	34509746	34541185	4	27043	72089.627	6900.8605	39	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	CCL3L1	2.482	39	1
3_MACS_peak_9430_lociStitched	chr15	68568579	68599573	3	28377	58535.2684	5597.5164	40	FEM1B,ITGA11	CLN6	FEM1B	FEM1B	1.491	40	1
2_MACS_peak_6482_lociStitched	chr12	53583585	53605162	2	21156	99021.1684	4587.2702	41	ZNF740,ITGB7,RARG	MFSD5,CSAD	ITGB7	ITGB7	3.6517	41	1
6_MACS_peak_16899_lociStitched	chr20	25261610	25302983	6	24143	85534.5402	6160.4397	42	PYGB,ABHD12		PYGB	PYGB	0.7435999999999999	42	1
7_MACS_peak_27249_lociStitched	chr8	27208363	27253552	7	28976	48261.852	7867.4049	43	PTK2B	TRIM35	PTK2B	PTK2B	0.39260000000000006	43	1
3_MACS_peak_6498_lociStitched	chr12	53845144	53874897	3	29549	27503.6732	5075.8618	44	PCBP2,MAP3K12	AMHR2,PRR13,TARBP2,NPFF	PCBP2	PCBP2	0.5712999999999999	44	1
11_MACS_peak_25086_lociStitched	chr6	138246188	138297590	11	29008	38351.0322	7725.7206	45			TNFAIP3	TNFAIP3	0.8521000000000001	45	1
4_MACS_peak_4092_lociStitched	chr10	112599075	112633306	4	24995	70690.4381	6041.7715	46	RBM20,PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	LOC282997	1.688	46	1
5_MACS_peak_17087_lociStitched	chr20	37486776	37523545	5	20852	91915.1462	5614.6263	47	PPP1R16B	FAM83D	FAM83D	NONE	NONE	47	1
2_MACS_peak_25947_lociStitched	chr7	55615909	55643161	2	26903	52956.0864	4660.092	48	VOPP1		VOPP1	VOPP1	1.3842	48	1
5_MACS_peak_23420_lociStitched	chr5	173310016	173344017	5	28221	38274.9257	5701.9677	49	CPEB4		CPEB4	CPEB4	0.43029999999999996	49	1
2_MACS_peak_5764_lociStitched	chr11	128585330	128618597	2	26596	55323.021	5648.7366	50	FLI1		FLI1	FLI1	0.521	50	1
2_MACS_peak_12492_lociStitched	chr18	9094667	9123212	2	23608	73357.7955	5046.756	51	NDUFV2	ANKRD12	NDUFV2	NDUFV2	2.0706	51	1
4_MACS_peak_24724_lociStitched	chr6	106585412	106618418	4	21885	82907.7714	5719.9398	52		PRDM1	PRDM1	PRDM1	3.3579999999999997	52	1
2_MACS_peak_1762_lociStitched	chr1	156115214	156137215	2	21941	83099.9771	6752.1069	53	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	SEMA4A	2.0094000000000003	53	1
5_MACS_peak_27942_lociStitched	chr8	120917814	120949074	5	26092	50187.93	5117.262	54	DEPDC6	DSCC1	DEPDC6	DEPDC6	0.33109999999999995	54	1
3_MACS_peak_19765_lociStitched	chr3	133178761	133213361	3	24914	61190.1	5864.7	55	BFSP2		BFSP2	BFSP2	0.6802999999999999	55	1
7_MACS_peak_10669_lociStitched	chr16	68269754	68320257	7	26814	43619.4411	7625.953	56	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	SLC7A6	0.321	56	1
3_MACS_peak_5199_lociStitched	chr11	72850503	72871277	3	20232	84643.663	4183.8836	57	FCHSD2		FCHSD2	FCHSD2	0.056499999999999995	57	1
3_MACS_peak_11930_lociStitched	chr17	56404436	56431309	3	20358	84905.2435	5718.5744	58	BZRAP1,MIR142,SUPT4H1,RNF43	MPO	MIR142	MIR142	3.1367	58	1
5_MACS_peak_3053_lociStitched	chr10	11278648	11313057	5	24937	56764.5273	6018.1341	59	CELF2		CELF2	CELF2	0.48319999999999996	59	1
1_MACS_peak_16184_lociStitched	chr2	201979529	201995139	1	15611	98547.491	3451.371	60	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	1.6892	60	1
4_MACS_peak_4069_lociStitched	chr10	112103726	112130142	4	17783	93092.6256	4913.376	61		SMNDC1	SMNDC1	SMNDC1	0.0791	61	1
5_MACS_peak_18969_lociStitched	chr3	46317815	46347617	5	26520	37619.0646	4854.7458	62		CCR3,CCR2	CCR3	CCR2	0.6678	62	1
4_MACS_peak_21831_lociStitched	chr4	185317606	185350292	4	24125	60972.4644	5053.2556	63	IRF2		IRF2	IRF2	1.4214	63	1
7_MACS_peak_10781_lociStitched	chr16	78768872	78805124	7	27138	24415.722	3498.318	64	WWOX		WWOX	WWOX	0.019299999999999998	64	1
6_MACS_peak_16225_lociStitched	chr2	204547925	204585806	6	24817	55060.0335	6648.1155	65	CD28		CD28	CD28	1.0618999999999998	65	1
2_MACS_peak_16494_lociStitched	chr2	232687086	232714787	2	26670	28158.0665	3105.2821	66		COPS7B,PDE6D,MIR1471	COPS7B	COPS7B	0.0363	66	1
6_MACS_peak_11782_lociStitched	chr17	46516076	46556882	6	26602	31343.0886	6157.6254	67		SKAP1	SKAP1	NONE	NONE	67	1
3_MACS_peak_13106_lociStitched	chr19	2073562	2098369	3	17779	91093.7847	6625.9497	68	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	2.3954	68	1
3_MACS_peak_22939_lociStitched	chr5	131744765	131774401	3	22890	64559.0624	5328.5528	69	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	1.4356	69	1
2_MACS_peak_12494_lociStitched	chr18	9132825	9157506	2	24457	48651.1872	4723.9434	70	NDUFV2,ANKRD12		ANKRD12	ANKRD12	0.2612	70	1
5_MACS_peak_10101_lociStitched	chr16	11754430	11786868	5	22869	60834.2252	5699.3566	71	SNN,TXNDC11		SNN	SNN	1.2847	71	1
