GENE_ID	locusLine	bin_1_25_0F2B_0229Kronos_MM1S-KB-3hr-1_H3K27me3_hs-dm_i07.bam
4_MACS_peak_1_lociStitched	chr1(.):30028-36329	0.8316
3_MACS_peak_5_lociStitched	chr1(.):37582-40692	0.7123
4_MACS_peak_8_lociStitched	chr1(.):87611-91412	0.7314
2_MACS_peak_12_lociStitched	chr1(.):131432-133906	0.6635
1_MACS_peak_14_lociStitched	chr1(.):135190-135976	0.7182
1_MACS_peak_15_lociStitched	chr1(.):238763-239128	0.6434
1_MACS_peak_16_lociStitched	chr1(.):327487-328029	0.4908
1_MACS_peak_17_lociStitched	chr1(.):330299-331146	0.611
1_MACS_peak_18_lociStitched	chr1(.):425122-425463	0.3543
2_MACS_peak_19_lociStitched	chr1(.):537195-538238	0.4601
2_MACS_peak_21_lociStitched	chr1(.):542267-543951	0.4272
1_MACS_peak_23_lociStitched	chr1(.):658669-659182	0.5662
1_MACS_peak_24_lociStitched	chr1(.):661606-662561	0.6427
4_MACS_peak_25_lociStitched	chr1(.):798723-802603	0.8731
1_MACS_peak_29_lociStitched	chr1(.):804728-805174	0.7479
1_MACS_peak_30_lociStitched	chr1(.):808876-809189	0.8388
1_MACS_peak_31_lociStitched	chr1(.):810443-810909	0.9141
1_MACS_peak_32_lociStitched	chr1(.):821609-822500	0.7235
1_MACS_peak_33_lociStitched	chr1(.):823905-824365	0.9223
9_MACS_peak_35_lociStitched	chr1(.):829330-879347	2.5192
1_MACS_peak_44_lociStitched	chr1(.):894722-895489	1.2901
3_MACS_peak_45_lociStitched	chr1(.):909252-911967	0.992
10_MACS_peak_48_lociStitched	chr1(.):913444-946962	1.9582
2_MACS_peak_58_lociStitched	chr1(.):952250-954214	0.673
14_MACS_peak_60_lociStitched	chr1(.):955488-1016209	1.8981
16_MACS_peak_74_lociStitched	chr1(.):1052549-1123647	1.9962
8_MACS_peak_90_lociStitched	chr1(.):1124772-1150250	1.805
5_MACS_peak_98_lociStitched	chr1(.):1171721-1185047	1.9214
5_MACS_peak_103_lociStitched	chr1(.):1214335-1227140	1.4613
1_MACS_peak_108_lociStitched	chr1(.):1286778-1290449	2.0821
3_MACS_peak_109_lociStitched	chr1(.):1292120-1300225	1.6544
12_MACS_peak_112_lociStitched	chr1(.):1355980-1396525	1.4624
1_MACS_peak_124_lociStitched	chr1(.):1422223-1422613	0.8851
1_MACS_peak_125_lociStitched	chr1(.):1432610-1433054	0.7
2_MACS_peak_126_lociStitched	chr1(.):1458275-1459923	0.4818
1_MACS_peak_128_lociStitched	chr1(.):1462041-1462567	0.5583
11_MACS_peak_129_lociStitched	chr1(.):1512496-1539626	1.2621
2_MACS_peak_140_lociStitched	chr1(.):1565879-1569117	1.3862
1_MACS_peak_142_lociStitched	chr1(.):1630956-1632375	1.251
4_MACS_peak_143_lociStitched	chr1(.):1842741-1849666	1.1588
6_MACS_peak_147_lociStitched	chr1(.):1851250-1865048	1.2827
10_MACS_peak_153_lociStitched	chr1(.):1867177-1910919	1.5751
4_MACS_peak_163_lociStitched	chr1(.):1914135-1921622	1.4231
8_MACS_peak_167_lociStitched	chr1(.):1922627-1933377	1.1868
12_MACS_peak_175_lociStitched	chr1(.):1934475-1996276	1.6735
