GENE_ID	locusLine	bin_1_34_0EXA_0229Kronos_MM1S-No-Treatment-2_p300_hs_i50.bam
NM_024408	chr1(.):120449175-120617276	0.1616
NM_002585	chr1(.):164523801-164826045	0.1842
NM_024980	chr1(.):9159475-9194229	0.106
NR_026567	chr1(.):17012712-17051652	0.2117
NM_001113348	chr1(.):21538739-21677034	0.1372
NM_004091	chr1(.):23827921-23862713	0.2856
NM_002379	chr1(.):31179123-31201432	0.149
NR_034182	chr1(.):31186618-31204593	0.1668
NM_002600	chr1(.):66253855-66845262	0.1387
NM_001037341	chr1(.):66253192-66845262	0.1387
NM_001037340	chr1(.):66453389-66845262	0.1603
NR_034178	chr1(.):143910747-144099477	0.2437
NM_203458	chr1(.):145204110-145290912	0.4432
NM_153713	chr1(.):145472084-145504091	0.2315
NM_207168	chr1(.):150594521-150607098	0.3666
NM_020524	chr1(.):154911558-154933567	0.5895
NM_181359	chr1(.):154372668-154445188	0.3032
NM_002249	chr1(.):154674914-154847754	0.2742
NM_170782	chr1(.):154674914-154837338	0.2775
NM_004736	chr1(.):180596145-180864415	0.1594
NM_015149	chr1(.):183600207-183902666	0.2545
NM_025191	chr1(.):184654624-184729041	0.2735
NM_144977	chr1(.):197516384-197749623	0.1971
NM_001195215	chr1(.):197468878-197749623	0.1922
NM_177402	chr1(.):202554724-202684551	0.1804
NM_182663	chr1(.):206675878-206767616	0.2966
NM_144729	chr1(.):221869765-221920461	0.1875
NM_144728	chr1(.):221869765-221915802	0.157
NM_001037175	chr1(.):223403251-223542544	0.1671
NM_017982	chr1(.):223389160-223542544	0.1612
NM_002221	chr1(.):226814390-226931876	0.2803
NM_004481	chr1(.):230197955-230422875	0.2472
NM_014765	chr1(.):235267657-235297256	0.2809
NM_003039	chr1(.):9092004-9134887	0.0826
NR_024180	chr1(.):9092004-9153510	0.1506
NR_026752	chr1(.):16939750-16962401	0.4202
NR_027504	chr1(.):16967068-16981915	0.4834
NR_002729	chr1(.):17076400-17095975	0.2281
NM_014675	chr1(.):17243444-17304474	0.1185
NM_001397	chr1(.):21538739-21621982	0.1472
NM_001113347	chr1(.):21538739-21611183	0.0906
NM_001113349	chr1(.):21538739-21621766	0.1458
NM_017707	chr1(.):23750055-23815750	0.0909
NM_002167	chr1(.):23879408-23891322	0.2365
NM_006015	chr1(.):27017521-27113601	0.2497
NM_006762	chr1(.):31200314-31235683	0.402
NM_001198979	chr1(.):40854016-40893998	0.172
NM_001198978	chr1(.):40835304-40893998	0.2616
NM_001198980	chr1(.):40857471-40893998	0.1468
NM_022733	chr1(.):40834377-40893998	0.2582
NM_001037339	chr1(.):66792792-66845262	0.2798
NM_017709	chr1(.):118143603-118176011	0.4126
NM_001123068	chr1(.):143762143-143772881	0.1355
NR_027469	chr1(.):143713512-143749587	0.3038
NR_027468	chr1(.):143713512-143749457	0.3043
NM_032305	chr1(.):145451235-145475387	0.4575
NM_202004	chr1(.):145408190-145422545	0.1924
NM_006472	chr1(.):145433461-145447628	0.4501
NM_001039888	chr1(.):145465507-145480647	0.2646
NR_027468	chr1(.):147901021-147936980	0.2371
NM_001161334	chr1(.):149749244-149788928	0.2182
NM_001034077	chr1(.):149799220-149809616	0.4374
NM_001005464	chr1(.):149807258-149817765	0.5757
NM_001040874	chr1(.):149808784-149819318	0.568
NM_001123375	chr1(.):149779779-149790236	0.411
NM_000566	chr1(.):149749249-149769074	0.1541
NM_005850	chr1(.):149890210-149904702	0.2762
NM_016074	chr1(.):149866154-149877348	0.209
NM_003528	chr1(.):149851009-149863232	0.6381
NM_003517	chr1(.):149853524-149863961	0.7031
NM_175065	chr1(.):149854018-149864466	0.6983
NM_014849	chr1(.):149869871-149894434	0.1671
NM_181873	chr1(.):149895542-149913266	0.3305
NM_001145862	chr1(.):149895542-149913791	0.3292
NR_036461	chr1(.):149816758-149827340	0.5502
NM_001040874	chr1(.):149817627-149828161	0.5427
NM_001005464	chr1(.):149819180-149829687	0.5403
NM_001034077	chr1(.):149827329-149837725	0.4867
NM_019032	chr1(.):150516897-150538412	0.5355
NM_207046	chr1(.):150589598-150606609	0.3378
NR_036211	chr1(.):150519404-150529490	0.165
NM_001197320	chr1(.):150542026-150557214	0.4223
NM_006556	chr1(.):154892207-154914484	0.3578
NM_001130041	chr1(.):154929773-154951959	0.3429
NM_001130040	chr1(.):154929773-154948223	0.3544
NM_201398	chr1(.):154950769-154970587	0.2471
NM_018655	chr1(.):154961061-154971791	0.2334
NR_024163	chr1(.):154942117-154956725	0.4167
NM_138300	chr1(.):154924501-154939258	0.4938
NR_036212	chr1(.):154943168-154953259	0.4309
NM_198406	chr1(.):156208208-156222792	0.1554
NM_014655	chr1(.):156158729-156187587	0.2709
NM_007221	chr1(.):156177783-156214833	0.3569
NM_199173	chr1(.):156206950-156218112	0.1726
NM_024897	chr1(.):156208206-156222843	0.1554
NM_005920	chr1(.):156428518-156475529	0.4171
NM_001778	chr1(.):160643535-160686585	0.4021
NM_003037	chr1(.):160574890-160622081	0.2031
NM_001039711	chr1(.):161085768-161107478	0.2698
NM_016406	chr1(.):161118533-161133646	0.3503
NM_004550	chr1(.):161164104-161189184	0.2993
NM_000309	chr1(.):161131180-161146010	0.3465
NM_001643	chr1(.):161187082-161198418	0.3779
NM_003779	chr1(.):161136100-161152314	0.45
NM_012475	chr1(.):161124253-161140516	0.3506
NM_001039712	chr1(.):161085768-161107256	0.272
NM_032174	chr1(.):161190832-161205407	0.2563
NM_001166159	chr1(.):161166936-161189184	0.3105
NM_005099	chr1(.):161154537-161173845	0.3695
NM_004106	chr1(.):161180086-161194038	0.2879
NR_033186	chr1(.):178506930-178523024	0.1925
NM_022371	chr1(.):179046111-179070129	0.4732
NM_016545	chr1(.):181052637-181064979	0.3052
NM_002927	chr1(.):192600281-192634389	0.1503
NM_002922	chr1(.):192539856-192554159	0.8387
NM_002923	chr1(.):192773168-192786407	0.6064
NM_001195216	chr1(.):197698138-197749623	0.302
NM_001136504	chr1(.):202554724-202617581	0.2201
NR_034150	chr1(.):203262885-203279453	0.6917
NM_006763	chr1(.):203269663-203283729	0.5151
NM_002023	chr1(.):203304751-203325289	0.1866
NM_002646	chr1(.):204386757-204464474	0.1651
NM_002393	chr1(.):204480510-204532248	0.4779
NM_030952	chr1(.):205266190-205295883	0.2382
NM_001007544	chr1(.):206233871-206293647	0.4073
NM_148964	chr1(.):206312458-206337104	0.1446
NM_006893	chr1(.):206759973-206790904	0.2168
NM_182665	chr1(.):206725491-206767616	0.4153
NR_026817	chr1(.):207986723-208000941	0.5029
NR_029832	chr1(.):207970196-207980284	0.2937
NR_029518	chr1(.):207970787-207980868	0.3168
NM_153606	chr1(.):212792788-212805120	0.1835
NM_001030287	chr1(.):212733696-212799116	0.3126
NM_001674	chr1(.):212776993-212799116	0.429
NR_002834	chr1(.):228775656-228793159	0.2912
NM_182972	chr1(.):234735014-234750271	0.8943
NR_033927	chr1(.):234760056-234775526	0.1581
NR_002956	chr1(.):235286117-235296252	0.318
NM_134421	chr2(.):10438825-10572743	0.1734
NM_002149	chr2(.):10438039-10572743	0.1734
NM_001099289	chr2(.):109740996-110267207	0.1109
NM_145693	chr2(.):11881739-11972533	0.2358
NM_170672	chr2(.):33656415-33794798	0.2179
NM_005813	chr2(.):37472645-37549222	0.2832
NM_019063	chr2(.):42391489-42564688	0.1258
NR_036586	chr2(.):65123973-65164581	0.3091
NM_004027	chr2(.):99056320-99212496	0.408
NM_001566	chr2(.):99056320-99203284	0.4252
NM_001142807	chr2(.):111485149-111880799	0.163
NM_001077269	chr2(.):175419301-175552627	0.1819
NM_006287	chr2(.):188323957-188424219	0.1122
NR_024415	chr2(.):192537797-192558248	0.3979
NM_001031716	chr2(.):192537860-192558248	0.399
NM_004226	chr2(.):196993306-197041336	0.3769
NM_001228	chr2(.):202093165-202157434	0.3119
NM_003879	chr2(.):201975889-202034003	0.3202
NM_001127184	chr2(.):201975815-202011323	0.4132
NM_173822	chr2(.):201833440-201941392	0.1439
NM_033358	chr2(.):202093165-202151638	0.3288
NM_002539	chr2(.):10575507-10593453	0.3485
NR_028374	chr2(.):10581839-10591975	0.4555
NM_002997	chr2(.):20395557-20429927	0.4139
NM_001006946	chr2(.):20395557-20430194	0.4123
NM_015376	chr2(.):33733941-33794798	0.1494
NM_001139488	chr2(.):33696320-33794798	0.2625
NM_012413	chr2(.):37566752-37605465	0.5856
NM_006887	chr2(.):43444540-43458745	0.561
NR_027251	chr2(.):43449349-43460994	0.3571
NR_033837	chr2(.):64407212-64437619	0.2296
NM_001193493	chr2(.):65210578-65256000	0.2156
NM_003038	chr2(.):65211494-65256000	0.2161
NM_181784	chr2(.):65532984-65664656	0.2087
NM_001128210	chr2(.):65532984-65598931	0.1237
NM_015425	chr2(.):86248450-86338278	0.2289
NR_026984	chr2(.):86242338-86255991	0.1108
NR_015424	chr2(.):89060418-89111109	0.1652
NR_026875	chr2(.):97158382-97178846	0.1363
NM_212481	chr2(.):97197463-97223371	0.4112
NR_027244	chr2(.):111127685-111147113	0.3179
NM_006922	chr2(.):165939029-166065577	0.1696
NM_003387	chr2(.):175419301-175504307	0.2325
NM_002491	chr2(.):201931461-201955473	0.1912
