REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM12.jin.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
11_MACS_peak_8943_lociStitched	chr14	106025287	106049423	11	22683	58710.82	1	1		TMEM121	TMEM121	1	1
1_MACS_peak_24005_lociStitched	chr6	388942	405813	1	16872	61815.344	2	1	IRF4		IRF4	2	1
4_MACS_peak_23992_lociStitched	chr6	315982	331032	4	14982	48417.355	3	1	DUSP22		DUSP22	3	1
8_MACS_peak_18370_lociStitched	chr22	23222747	23238838	8	14570	36290.0323	4	1	IGLL5		IGLL5	4	1
3_MACS_peak_8709_lociStitched	chr14	91829926	91844764	3	14467	40311.8784	5	1	CCDC88C		CCDC88C	5	1
4_MACS_peak_4793_lociStitched	chr11	65183589	65198970	4	14260	95134.5612	6	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	6	1
4_MACS_peak_20473_lociStitched	chr3	141097354	141112438	4	14134	38034.306	7	1	ZBTB38		ZBTB38	7	1
8_MACS_peak_9811_lociStitched	chr15	81583689	81598334	8	14044	30498.2125	8	1	IL16	STARD5	IL16	8	1
8_MACS_peak_24140_lociStitched	chr6	7905276	7918676	8	12437	37171.6	9	1	MUTED-TXNDC5,TXNDC5		TXNDC5	9	1
4_MACS_peak_4807_lociStitched	chr11	65263563	65276239	4	12058	64735.0644	10	1	MALAT1	SCYL1,LTBP3	MALAT1	10	1
6_MACS_peak_29644_lociStitched	chr9	134543324	134555240	6	11092	28481.6232	11	1	RAPGEF1		RAPGEF1	11	1
1_MACS_peak_14056_lociStitched	chr19	39891502	39902342	1	10841	57801.048	12	1	ZFP36	MED29,PLEKHG2,SUPT5H,PAF1,RPS16	ZFP36	12	1
2_MACS_peak_8972_lociStitched	chr14	106157305	106168486	2	10811	25785.6222	13	1			TMEM121	13	1
2_MACS_peak_15068_lociStitched	chr2	43445025	43455796	2	10748	30137.258	14	1	LOC100129726,ZFP36L2		ZFP36L2	14	1
4_MACS_peak_19129_lociStitched	chr3	13050077	13061578	4	10622	26841.0338	15	1	IQSEC1	IQSEC1	IQSEC1	15	1
13_MACS_peak_15672_lociStitched	chr2	89135225	89147410	13	10257	18327.4585	16	1			ANKRD36BP2	16	1
7_MACS_peak_1606_lociStitched	chr1	118147613	118158148	7	10236	24762.5175	17	1	FAM46C		FAM46C	17	1
3_MACS_peak_23655_lociStitched	chr5	150457065	150467189	3	9889	32621.5528	18	1	TNIP1		TNIP1	18	1
3_MACS_peak_25167_lociStitched	chr6	106531205	106541197	3	9790	29017.7672	19	1	PRDM1	PRDM1	PRDM1	19	1
1_MACS_peak_28206_lociStitched	chr8	126441077	126450796	1	9720	46313.9507	20	1	TRIB1		TRIB1	20	1
1_MACS_peak_19744_lociStitched	chr3	55514855	55524322	1	9468	28305.3833	21	1	WNT5A		WNT5A	21	1
2_MACS_peak_13220_lociStitched	chr19	2082078	2091524	2	9432	30435.9566	22	1	MOBKL2A	IZUMO4,MKNK2	MOBKL2A	22	1
4_MACS_peak_7279_lociStitched	chr12	125397040	125406471	4	9312	32319.0939	23	1	UBC	SCARB1	UBC	23	1
1_MACS_peak_18386_lociStitched	chr22	23269631	23278884	1	9254	25731.6677	24	1		IGLL5	IGLL5	24	1
7_MACS_peak_19723_lociStitched	chr3	53199711	53209518	7	9197	15113.5677	25	1	PRKCD	RFT1	PRKCD	25	1
9_MACS_peak_8730_lociStitched	chr14	91875173	91885557	9	9178	17863.5952	26	1	CCDC88C		CCDC88C	26	1
10_MACS_peak_8962_lociStitched	chr14	106145993	106156443	10	9134	16601.915	27	1			TMEM121	27	1
1_MACS_peak_4354_lociStitched	chr11	10323553	10332641	1	9089	31858.8928	28	1	ADM	SBF2	ADM	28	1
7_MACS_peak_12475_lociStitched	chr17	75449673	75458995	7	8931	15043.8436	29	1	SEPT9	SEPT9	SEPT9	29	1
