REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM12.jin.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
4_MACS_peak_4793_lociStitched	chr11	65183589	65198970	4	14260	95134.5612	1	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	1	1
4_MACS_peak_4807_lociStitched	chr11	65263563	65276239	4	12058	64735.0644	2	1	MALAT1	SCYL1,LTBP3	MALAT1	2	1
1_MACS_peak_24005_lociStitched	chr6	388942	405813	1	16872	61815.344	3	1	IRF4		IRF4	3	1
11_MACS_peak_8943_lociStitched	chr14	106025287	106049423	11	22683	58710.82	4	1		TMEM121	TMEM121	4	1
1_MACS_peak_14056_lociStitched	chr19	39891502	39902342	1	10841	57801.048	5	1	ZFP36	MED29,PLEKHG2,SUPT5H,PAF1,RPS16	ZFP36	5	1
1_MACS_peak_22982_lociStitched	chr5	90674632	90680731	1	6100	50883.957	6	1	LOC100129716,ARRDC3		ARRDC3	6	1
4_MACS_peak_23992_lociStitched	chr6	315982	331032	4	14982	48417.355	7	1	DUSP22		DUSP22	7	1
1_MACS_peak_28206_lociStitched	chr8	126441077	126450796	1	9720	46313.9507	8	1	TRIB1		TRIB1	8	1
3_MACS_peak_8709_lociStitched	chr14	91829926	91844764	3	14467	40311.8784	9	1	CCDC88C		CCDC88C	9	1
1_MACS_peak_28897_lociStitched	chr9	66454645	66459581	1	4937	40201.7456	10	1		LOC442421	LOC442421	10	1
1_MACS_peak_14282_lociStitched	chr19	47286392	47291997	1	5606	39625.108	11	1	SLC1A5	FKRP,STRN4,SNAR-E	SLC1A5	11	1
1_MACS_peak_14299_lociStitched	chr19	47728676	47735404	1	6729	39477.2128	12	1	MIR3190,BBC3,MIR3191	CCDC9,PRR24	MIR3191	12	1
3_MACS_peak_18154_lociStitched	chr21	45572826	45581474	3	8570	38035.6336	13	1		PWP2,C21orf33	C21orf33	13	1
4_MACS_peak_20473_lociStitched	chr3	141097354	141112438	4	14134	38034.306	14	1	ZBTB38		ZBTB38	14	1
1_MACS_peak_9632_lociStitched	chr15	72765302	72768264	1	2963	37997.4246	15	1	ARIH1		ARIH1	15	1
8_MACS_peak_24140_lociStitched	chr6	7905276	7918676	8	12437	37171.6	16	1	MUTED-TXNDC5,TXNDC5		TXNDC5	16	1
1_MACS_peak_9058_lociStitched	chr15	31616536	31622055	1	5520	36988.8899	17	1	KLF13		KLF13	17	1
1_MACS_peak_13683_lociStitched	chr19	16434127	16440355	1	6229	36922.0752	18	1	KLF2		KLF2	18	1
4_MACS_peak_30420_lociStitched	chrX	106953583	106962662	4	8751	36784.4764	19	1	TSC22D3		TSC22D3	19	1
1_MACS_peak_24605_lociStitched	chr6	32935671	32941757	1	6087	36427.753	20	1	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	20	1
8_MACS_peak_18370_lociStitched	chr22	23222747	23238838	8	14570	36290.0323	21	1	IGLL5		IGLL5	21	1
1_MACS_peak_18508_lociStitched	chr22	29193943	29199050	1	5108	36203.0123	22	1	XBP1	CCDC117	XBP1	22	1
1_MACS_peak_19413_lociStitched	chr3	39191925	39195775	1	3851	34546.82	23	1	CSRNP1	TTC21A,GORASP1,XIRP1	CSRNP1	23	1
1_MACS_peak_13571_lociStitched	chr19	12899020	12905553	1	6534	33413.6818	24	1	JUNB	BEST2,RNASEH2A,MAST1,HOOK2,PRDX2,RTBDN	JUNB	24	1
3_MACS_peak_23655_lociStitched	chr5	150457065	150467189	3	9889	32621.5528	25	1	TNIP1		TNIP1	25	1
4_MACS_peak_7279_lociStitched	chr12	125397040	125406471	4	9312	32319.0939	26	1	UBC	SCARB1	UBC	26	1
4_MACS_peak_19056_lociStitched	chr3	5226194	5234382	4	7645	32304.9352	27	1	EDEM1		EDEM1	27	1
1_MACS_peak_25579_lociStitched	chr6	143264708	143269656	1	4949	32276.2988	28	1	HIVEP2		HIVEP2	28	1
1_MACS_peak_4354_lociStitched	chr11	10323553	10332641	1	9089	31858.8928	29	1	ADM	SBF2	ADM	29	1
4_MACS_peak_4325_lociStitched	chr11	7531857	7538481	4	6024	31645.4976	30	1	OLFML1,PPFIBP2		PPFIBP2	30	1
1_MACS_peak_26869_lociStitched	chr7	104651099	104656540	1	5442	31549.0944	31	1	MLL5,LOC100216545		LOC100216545	31	1
1_MACS_peak_14358_lociStitched	chr19	49375292	49379969	1	4678	31429.44	32	1	PPP1R15A	NUCB1,HSD17B14,PLEKHA4,TULP2	PPP1R15A	32	1
1_MACS_peak_22304_lociStitched	chr5	9990	11806	1	1817	31365.2256	33	1			PLEKHG4B	33	1
2_MACS_peak_23439_lociStitched	chr5	138723266	138730314	2	7035	30709.5456	34	1	MZB1,LOC389333	PAIP2,SLC23A1,SPATA24,DNAJC18	MZB1	34	1
8_MACS_peak_9811_lociStitched	chr15	81583689	81598334	8	14044	30498.2125	35	1	IL16	STARD5	IL16	35	1
2_MACS_peak_4628_lociStitched	chr11	58340317	58347871	2	7122	30458.4834	36	1	ZFP91-CNTF,ZFP91,LPXN	CNTF	LPXN	36	1
2_MACS_peak_18101_lociStitched	chr21	44772059	44777111	2	4975	30450.93	37	1			SIK1	37	1
2_MACS_peak_13220_lociStitched	chr19	2082078	2091524	2	9432	30435.9566	38	1	MOBKL2A	IZUMO4,MKNK2	MOBKL2A	38	1
1_MACS_peak_29208_lociStitched	chr9	101983064	101986326	1	3263	30318.3328	39	1	SEC61B,ALG2		SEC61B	39	1
3_MACS_peak_9473_lociStitched	chr15	63793135	63798953	3	5440	30261.1634	40	1	USP3		USP3	40	1
