REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM12.jin.bam
11_MACS_peak_8943_lociStitched	chr14	106025287	106049423	11	22683	58710.82
1_MACS_peak_24005_lociStitched	chr6	388942	405813	1	16872	61815.344000000005
8_MACS_peak_18370_lociStitched	chr22	23222747	23238838	8	14570	36290.0323
4_MACS_peak_4793_lociStitched	chr11	65183589	65198970	4	14260	95134.5612
4_MACS_peak_20473_lociStitched	chr3	141097354	141112438	4	14134	38034.306000000004
4_MACS_peak_23992_lociStitched	chr6	315982	331032	4	14982	48417.354999999996
3_MACS_peak_8709_lociStitched	chr14	91829926	91844764	3	14467	40311.8784
8_MACS_peak_9811_lociStitched	chr15	81583689	81598334	8	14044	30498.2125
8_MACS_peak_24140_lociStitched	chr6	7905276	7918676	8	12437	37171.6
4_MACS_peak_4807_lociStitched	chr11	65263563	65276239	4	12058	64735.0644
13_MACS_peak_15672_lociStitched	chr2	89135225	89147410	13	10257	18327.4585
6_MACS_peak_29644_lociStitched	chr9	134543324	134555240	6	11092	28481.6232
4_MACS_peak_19129_lociStitched	chr3	13050077	13061578	4	10622	26841.0338
2_MACS_peak_8972_lociStitched	chr14	106157305	106168486	2	10811	25785.6222
1_MACS_peak_14056_lociStitched	chr19	39891502	39902342	1	10841	57801.048
2_MACS_peak_15068_lociStitched	chr2	43445025	43455796	2	10748	30137.258
7_MACS_peak_1606_lociStitched	chr1	118147613	118158148	7	10236	24762.517499999998
10_MACS_peak_8962_lociStitched	chr14	106145993	106156443	10	9134	16601.915
9_MACS_peak_8730_lociStitched	chr14	91875173	91885557	9	9178	17863.5952
3_MACS_peak_23655_lociStitched	chr5	150457065	150467189	3	9889	32621.5528
3_MACS_peak_25167_lociStitched	chr6	106531205	106541197	3	9790	29017.767200000002
7_MACS_peak_19723_lociStitched	chr3	53199711	53209518	7	9197	15113.5677
1_MACS_peak_28206_lociStitched	chr8	126441077	126450796	1	9720	46313.9507
1_MACS_peak_19744_lociStitched	chr3	55514855	55524322	1	9468	28305.3833
2_MACS_peak_13220_lociStitched	chr19	2082078	2091524	2	9432	30435.9566
4_MACS_peak_7279_lociStitched	chr12	125397040	125406471	4	9312	32319.0939
7_MACS_peak_12475_lociStitched	chr17	75449673	75458995	7	8931	15043.843599999998
1_MACS_peak_18386_lociStitched	chr22	23269631	23278884	1	9254	25731.667699999998
6_MACS_peak_4818_lociStitched	chr11	65336338	65345555	6	8331	22590.867000000002
5_MACS_peak_20479_lociStitched	chr3	141125394	141134599	5	8296	21110.747
2_MACS_peak_14501_lociStitched	chr19	55762456	55771552	2	8901	26203.7568
1_MACS_peak_4354_lociStitched	chr11	10323553	10332641	1	9089	31858.892799999998
4_MACS_peak_30420_lociStitched	chrX	106953583	106962662	4	8751	36784.4764
4_MACS_peak_14781_lociStitched	chr2	20417010	20425950	4	8815	14948.573999999999
2_MACS_peak_3755_lociStitched	chr10	81001656	81010586	2	8821	18696.741
3_MACS_peak_18154_lociStitched	chr21	45572826	45581474	3	8570	38035.6336
3_MACS_peak_17518_lociStitched	chr20	46384265	46392850	3	8526	17610.410499999998
2_MACS_peak_13055_lociStitched	chr18	60822098	60830568	2	8406	21182.623
3_MACS_peak_27114_lociStitched	chr7	137664504	137672848	3	8165	22632.265600000002
3_MACS_peak_23571_lociStitched	chr5	142430715	142439045	3	8138	23673.027
12_MACS_peak_1198_lociStitched	chr1	81771334	81779596	12	6728	8989.8822
7_MACS_peak_11415_lociStitched	chr17	16872461	16880665	7	7268	15553.9636
4_MACS_peak_19056_lociStitched	chr3	5226194	5234382	4	7645	32304.9352
5_MACS_peak_14954_lociStitched	chr2	33717553	33725699	5	7602	15650.0952
7_MACS_peak_23126_lociStitched	chr5	109024142	109032259	7	7691	26103.4603
6_MACS_peak_25981_lociStitched	chr7	8007017	8015000	6	7560	14004.5769
5_MACS_peak_19093_lociStitched	chr3	10230762	10238710	5	6827	17953.7372
4_MACS_peak_9948_lociStitched	chr15	90638822	90646733	4	7735	25334.9775
3_MACS_peak_9914_lociStitched	chr15	89177685	89185588	3	7873	29831.454100000003
2_MACS_peak_14277_lociStitched	chr19	47216832	47224735	2	7550	21854.9562
6_MACS_peak_30712_lociStitched	chrX	153231270	153239173	6	7739	26840.9589
5_MACS_peak_6245_lociStitched	chr12	48200779	48208663	5	7259	16837.0704
7_MACS_peak_12313_lociStitched	chr17	66451271	66459086	7	7272	19775.8575
3_MACS_peak_23462_lociStitched	chr5	139037351	139045143	3	7255	15759.32
10_MACS_peak_18387_lociStitched	chr22	23280407	23288029	10	6014	9161.644
4_MACS_peak_23005_lociStitched	chr5	95152819	95160407	4	6856	19727.2824
1_MACS_peak_5987_lociStitched	chr12	26272722	26280298	1	7577	22365.8672
2_MACS_peak_4628_lociStitched	chr11	58340317	58347871	2	7122	30458.483399999997
3_MACS_peak_11829_lociStitched	chr17	38476053	38483513	3	7331	25035.014
6_MACS_peak_27142_lociStitched	chr7	139466723	139474179	6	6644	17611.072
5_MACS_peak_17725_lociStitched	chr20	57463348	57470794	5	6921	18398.3214
4_MACS_peak_9701_lociStitched	chr15	75334641	75341954	4	7028	21487.0566
1_MACS_peak_25788_lociStitched	chr6	159458857	159466137	1	7281	18475.183999999997
2_MACS_peak_15870_lociStitched	chr2	111874024	111881281	2	6955	23458.9782
3_MACS_peak_5889_lociStitched	chr12	12866622	12873878	3	7061	23265.6384
8_MACS_peak_3270_lociStitched	chr10	22608034	22615275	8	5825	10147.5374
2_MACS_peak_2661_lociStitched	chr1	207993759	208000973	2	6776	29549.2654
5_MACS_peak_11948_lociStitched	chr17	43302113	43309316	5	6769	24472.1925
3_MACS_peak_29016_lociStitched	chr9	82182089	82189276	3	6478	24633.4425
4_MACS_peak_3075_lociStitched	chr10	6794469	6801616	4	6454	13474.9538
3_MACS_peak_10713_lociStitched	chr16	56963985	56971097	3	7017	30189.7288
2_MACS_peak_23439_lociStitched	chr5	138723266	138730314	2	7035	30709.545599999998
2_MACS_peak_3569_lociStitched	chr10	63805112	63812157	2	7018	16357.785499999998
2_MACS_peak_22364_lociStitched	chr5	6480188	6487210	2	6966	21957.793999999998
5_MACS_peak_12416_lociStitched	chr17	74257755	74264770	5	6259	15596.4495
4_MACS_peak_11357_lociStitched	chr17	8053884	8060875	4	6215	17800.4842
1_MACS_peak_4270_lociStitched	chr11	1871241	1878228	1	6988	25322.984099999998
4_MACS_peak_2926_lociStitched	chr1	234742294	234749278	4	6643	23966.9928
6_MACS_peak_3667_lociStitched	chr10	73526884	73533867	6	5957	15635.6353
2_MACS_peak_15228_lociStitched	chr2	60776132	60783101	2	6876	11811.0612
2_MACS_peak_13259_lociStitched	chr19	2618227	2625123	2	6821	28076.374399999997
2_MACS_peak_19060_lociStitched	chr3	5235528	5242408	2	6615	27927.984000000004
8_MACS_peak_24711_lociStitched	chr6	36720063	36726906	8	5604	10071.5274
2_MACS_peak_24227_lociStitched	chr6	13301969	13308790	2	6429	18443.984
1_MACS_peak_27079_lociStitched	chr7	130789880	130796641	1	6762	27678.8579
3_MACS_peak_3552_lociStitched	chr10	63658556	63665295	3	6310	16113.622899999998
1_MACS_peak_25215_lociStitched	chr6	108878458	108885195	1	6738	24961.2587
4_MACS_peak_23465_lociStitched	chr5	139045644	139052377	4	5838	20467.646699999998
1_MACS_peak_14299_lociStitched	chr19	47728676	47735404	1	6729	39477.2128
2_MACS_peak_9155_lociStitched	chr15	40387576	40394283	2	6592	19294.0269
5_MACS_peak_388_lociStitched	chr1	25069492	25076196	5	6274	15765.7968
5_MACS_peak_10315_lociStitched	chr16	11831174	11837865	5	6247	17762.597700000002
3_MACS_peak_28326_lociStitched	chr8	142125467	142132135	3	6320	13659.398000000001
3_MACS_peak_12922_lociStitched	chr18	46473290	46479943	3	6316	17860.6438
2_MACS_peak_22048_lociStitched	chr4	153452422	153459074	2	6562	19218.958400000003
4_MACS_peak_23084_lociStitched	chr5	100234826	100241469	4	6289	13883.2057
2_MACS_peak_4994_lociStitched	chr11	68605502	68612134	2	6145	23976.6696
1_MACS_peak_16085_lociStitched	chr2	136888907	136895539	1	6633	14321.140800000001
2_MACS_peak_29585_lociStitched	chr9	132749127	132755755	2	6608	17699.4112
4_MACS_peak_4325_lociStitched	chr11	7531857	7538481	4	6024	31645.497600000002
3_MACS_peak_9282_lociStitched	chr15	45016473	45023051	3	6188	21877.1124
7_MACS_peak_25185_lociStitched	chr6	106610697	106617274	7	5734	12836.3309
5_MACS_peak_20404_lociStitched	chr3	133290710	133297266	5	5828	21626.2772
2_MACS_peak_18087_lociStitched	chr21	44579874	44586420	2	6165	17172.1218
3_MACS_peak_5793_lociStitched	chr12	7059988	7066526	3	6496	10477.7988
1_MACS_peak_13571_lociStitched	chr19	12899020	12905553	1	6534	33413.6818
2_MACS_peak_649_lociStitched	chr1	37939507	37946033	2	6280	14738.971000000001
3_MACS_peak_13590_lociStitched	chr19	13260407	13266885	3	6315	21654.6584
2_MACS_peak_20477_lociStitched	chr3	141117998	141124402	2	6264	17704.4984
2_MACS_peak_9716_lociStitched	chr15	75742563	75748942	2	6210	20121.2797
2_MACS_peak_5280_lociStitched	chr11	98890012	98896389	2	6313	10867.6834
4_MACS_peak_24564_lociStitched	chr6	31702071	31708426	4	5813	10897.554
1_MACS_peak_13700_lociStitched	chr19	16694233	16700576	1	6344	22528.4331
2_MACS_peak_504_lociStitched	chr1	28570634	28576946	2	6308	17948.8032
4_MACS_peak_6457_lociStitched	chr12	57076905	57083199	4	6014	17546.4132
2_MACS_peak_23459_lociStitched	chr5	139027282	139033562	2	6249	21577.452
1_MACS_peak_13683_lociStitched	chr19	16434127	16440355	1	6229	36922.0752
1_MACS_peak_22163_lociStitched	chr4	170906888	170913072	1	6185	18401.728799999997
3_MACS_peak_23028_lociStitched	chr5	95292798	95298944	3	5976	28306.0176
1_MACS_peak_17994_lociStitched	chr21	36257360	36263479	1	6120	29434.2257
6_MACS_peak_8604_lociStitched	chr14	81421224	81427323	6	4791	9171.0663
1_MACS_peak_22982_lociStitched	chr5	90674632	90680731	1	6100	50883.957
3_MACS_peak_28610_lociStitched	chr9	20353006	20359093	3	6031	23369.2104
1_MACS_peak_24605_lociStitched	chr6	32935671	32941757	1	6087	36427.753
3_MACS_peak_13609_lociStitched	chr19	13949236	13955320	3	5947	20879.6796
2_MACS_peak_553_lociStitched	chr1	31225206	31231287	2	5627	14262.985499999999
2_MACS_peak_29463_lociStitched	chr9	127630467	127636534	2	5946	21085.8585
3_MACS_peak_22464_lociStitched	chr5	32582429	32588489	3	5529	21789.942
2_MACS_peak_8664_lociStitched	chr14	90082346	90088395	2	5922	17494.9178
6_MACS_peak_8795_lociStitched	chr14	95980916	95986962	6	5614	9591.979
2_MACS_peak_1102_lociStitched	chr1	66797333	66803362	2	5862	14072.2889
2_MACS_peak_2521_lociStitched	chr1	203255089	203261103	2	5960	22831.549600000002
3_MACS_peak_13164_lociStitched	chr19	1247846	1253850	3	5471	18811.132400000002
