GENE_ID	locusLine	bin_1_MM24.jin.bam
1_MACS_peak_1_lociStitched	chr1(.):9754-10715	1.2668
1_MACS_peak_2_lociStitched	chr1(.):27858-30454	2.1891
1_MACS_peak_3_lociStitched	chr1(.):95937-97423	0.3411
1_MACS_peak_4_lociStitched	chr1(.):242034-243979	0.3631
1_MACS_peak_5_lociStitched	chr1(.):712866-715822	1.6372
1_MACS_peak_6_lociStitched	chr1(.):761595-763643	0.8442
2_MACS_peak_7_lociStitched	chr1(.):877115-880946	0.463
2_MACS_peak_9_lociStitched	chr1(.):893550-902972	0.5038
1_MACS_peak_11_lociStitched	chr1(.):910990-912642	0.4293
1_MACS_peak_12_lociStitched	chr1(.):947602-951009	1.0452
1_MACS_peak_13_lociStitched	chr1(.):967300-969576	0.645
2_MACS_peak_14_lociStitched	chr1(.):997894-1004651	0.2978
1_MACS_peak_16_lociStitched	chr1(.):1014087-1016653	0.5019
2_MACS_peak_17_lociStitched	chr1(.):1050564-1058591	0.2149
5_MACS_peak_19_lociStitched	chr1(.):1070446-1094333	0.729
3_MACS_peak_24_lociStitched	chr1(.):1135721-1150037	0.5427
1_MACS_peak_27_lociStitched	chr1(.):1165593-1168529	1.0232
1_MACS_peak_28_lociStitched	chr1(.):1207291-1210543	1.0885
1_MACS_peak_29_lociStitched	chr1(.):1239780-1245505	0.7712
2_MACS_peak_30_lociStitched	chr1(.):1258786-1267034	0.3879
1_MACS_peak_32_lociStitched	chr1(.):1283154-1286084	0.7766
1_MACS_peak_33_lociStitched	chr1(.):1309078-1311958	1.5205
3_MACS_peak_34_lociStitched	chr1(.):1333253-1348971	0.4985
1_MACS_peak_37_lociStitched	chr1(.):1396906-1399094	0.497
1_MACS_peak_38_lociStitched	chr1(.):1405860-1408735	0.5965
2_MACS_peak_39_lociStitched	chr1(.):1439945-1448835	0.6445
1_MACS_peak_41_lociStitched	chr1(.):1508659-1511543	2.2209
1_MACS_peak_42_lociStitched	chr1(.):1549578-1552507	1.1835
1_MACS_peak_43_lociStitched	chr1(.):1589130-1591838	1.9225
2_MACS_peak_44_lociStitched	chr1(.):1605860-1610886	0.7246
1_MACS_peak_46_lociStitched	chr1(.):1622287-1625713	2.6208
1_MACS_peak_47_lociStitched	chr1(.):1654355-1657210	1.4737
2_MACS_peak_48_lociStitched	chr1(.):1668571-1679104	1.3146
1_MACS_peak_50_lociStitched	chr1(.):1705621-1715364	2.6394
1_MACS_peak_51_lociStitched	chr1(.):1770974-1774756	0.602
1_MACS_peak_52_lociStitched	chr1(.):1820380-1824591	2.0178
1_MACS_peak_53_lociStitched	chr1(.):1837337-1842365	1.0345
1_MACS_peak_54_lociStitched	chr1(.):1980554-1983090	0.4891
1_MACS_peak_55_lociStitched	chr1(.):2063740-2065714	0.3365
2_MACS_peak_56_lociStitched	chr1(.):2120463-2128441	0.6406
1_MACS_peak_58_lociStitched	chr1(.):2143692-2145133	0.4226
3_MACS_peak_59_lociStitched	chr1(.):2158024-2167413	0.5479
1_MACS_peak_62_lociStitched	chr1(.):2185665-2188805	1.5008
1_MACS_peak_63_lociStitched	chr1(.):2220910-2223687	0.5854
1_MACS_peak_64_lociStitched	chr1(.):2230527-2234241	1.5127
1_MACS_peak_65_lociStitched	chr1(.):2242234-2247604	1.2249
1_MACS_peak_66_lociStitched	chr1(.):2321855-2325027	0.7721
1_MACS_peak_67_lociStitched	chr1(.):2342702-2348334	0.7015
5_MACS_peak_68_lociStitched	chr1(.):2456323-2489939	1.3331
2_MACS_peak_73_lociStitched	chr1(.):2507153-2519439	1.3734
1_MACS_peak_75_lociStitched	chr1(.):2573170-2575302	0.8913
1_MACS_peak_76_lociStitched	chr1(.):3369001-3372409	0.7345
1_MACS_peak_77_lociStitched	chr1(.):3539456-3542769	0.8299
1_MACS_peak_78_lociStitched	chr1(.):3565583-3566848	0.385
1_MACS_peak_79_lociStitched	chr1(.):3588836-3590884	0.6566
1_MACS_peak_80_lociStitched	chr1(.):3663146-3664456	0.4634
1_MACS_peak_81_lociStitched	chr1(.):3711787-3713683	0.5879
