GENE_ID	locusLine	bin_1_32_0EX8_0229Kronos_MM1S-No-Treatment-2_IRF4_hs_i48.bam
NM_001145277	chr1(.):16762166-16791584	0.1729
NM_013943	chr1(.):25066759-25175815	0.137
NM_032236	chr1(.):21999791-22114688	0.1393
NM_021642	chr1(.):161470204-161494360	0.1694
NM_002585	chr1(.):164523801-164826045	0.1747
NM_201569	chr1(.):183436505-183528328	0.2348
NM_133494	chr1(.):198121107-198296548	0.1605
NM_001122834	chr1(.):210496595-210854638	0.1335
NM_001170587	chr1(.):210497249-210854638	0.1334
NM_001170580	chr1(.):210497639-210854638	0.1332
NM_018664	chr1(.):212854758-212878327	0.1886
NM_004446	chr1(.):220136941-220225000	0.1836
NR_026567	chr1(.):17012712-17051652	0.2364
NM_001113348	chr1(.):21538739-21677034	0.1454
NM_001013693	chr1(.):22133757-22156714	0.106
NM_004091	chr1(.):23827921-23862713	0.2624
NM_173065	chr1(.):24475646-24518751	0.2354
NM_001135218	chr1(.):28924608-28974604	0.2138
NM_002379	chr1(.):31179123-31201432	0.171
NR_034182	chr1(.):31186618-31204593	0.1858
NM_032017	chr1(.):36800224-36856485	0.1689
NM_001127714	chr1(.):41970683-42389496	0.148
NM_001101662	chr1(.):52249865-52349609	0.1649
NM_002600	chr1(.):66253855-66845262	0.1311
NM_001037341	chr1(.):66253192-66845262	0.1312
NM_001037340	chr1(.):66453389-66845262	0.1484
NM_024763	chr1(.):67273571-67395570	0.1162
NM_207014	chr1(.):67298281-67395570	0.1242
NM_001100910	chr1(.):120834004-120860681	0.2194
NR_024584	chr1(.):144295516-144346755	0.1376
NR_034178	chr1(.):143910747-144099477	0.2453
NM_203458	chr1(.):145204110-145290912	0.4772
NM_001195260	chr1(.):144946760-145002111	0.421
NM_004892	chr1(.):145091406-145121922	0.3746
NM_153713	chr1(.):145472084-145504091	0.2599
NM_022359	chr1(.):144946760-145081186	0.3964
NM_001002812	chr1(.):144885590-145000022	0.3559
NM_014644	chr1(.):144846426-145000022	0.3115
NM_001195261	chr1(.):144946760-145000082	0.4209
NM_001198834	chr1(.):144846423-145000033	0.3115
NM_001002810	chr1(.):144946760-145000033	0.4209
NM_001198832	chr1(.):144846423-145044992	0.337
NR_027002	chr1(.):149274475-149296742	0.337
NM_207168	chr1(.):150594521-150607098	0.3408
NM_015203	chr1(.):150331989-150454041	0.1783
NM_020699	chr1(.):153772202-153900451	0.2298
NM_020524	chr1(.):154911558-154933567	0.6047
NM_181359	chr1(.):154372668-154445188	0.3134
NM_002249	chr1(.):154674914-154847754	0.2571
NM_170782	chr1(.):154674914-154837338	0.2598
NM_005572	chr1(.):156079460-156112657	0.2483
NM_018489	chr1(.):155300051-155537324	0.1803
NM_018116	chr1(.):155575006-155589758	0.2323
NM_031282	chr1(.):157538538-157572870	0.2819
NM_005531	chr1(.):158974681-159029945	0.2438
NM_012394	chr1(.):161065345-161092866	0.3277
NR_026744	chr1(.):165441078-165556341	0.1234
NM_012474	chr1(.):165791889-165882339	0.2274
NM_145034	chr1(.):179804101-179851941	0.2318
NM_022347	chr1(.):179823164-179851941	0.3067
NM_015149	chr1(.):183600207-183902666	0.2224
NM_144977	chr1(.):197516384-197749623	0.1829
NM_001195215	chr1(.):197468878-197749623	0.179
NM_014875	chr1(.):200515624-200594862	0.1672
NM_001193570	chr1(.):201447657-201481387	0.1993
NM_001193571	chr1(.):201447657-201480967	0.1915
NM_001193572	chr1(.):201447657-201470701	0.1635
NM_001684	chr1(.):203590927-203718209	0.2022
NM_015375	chr1(.):205106630-205185727	0.168
NM_182663	chr1(.):206675878-206767616	0.2928
NM_001193338	chr1(.):207071630-207100235	0.2704
NM_005449	chr1(.):207071630-207100378	0.2693
NM_006147	chr1(.):209956261-209984479	0.2297
NM_015434	chr1(.):212109697-212213884	0.2133
NM_001143962	chr1(.):223709971-223858436	0.072
NM_002221	chr1(.):226814390-226931876	0.2786
NM_004481	chr1(.):230197955-230422875	0.2176
NM_152490	chr1(.):235605532-235672781	0.1969
NM_032328	chr1(.):245128170-245256148	0.1451
NR_026588	chr1(.):245128630-245256148	0.1451
NR_026587	chr1(.):245128630-245293530	0.1344
NR_026586	chr1(.):245128283-245293530	0.1343
NM_003431	chr1(.):247314202-247340318	0.1761
NM_198546	chr1(.):16720137-16768919	0.1533
NR_023386	chr1(.):16788930-16824196	0.1291
NR_002729	chr1(.):17076400-17095975	0.2552
NM_014675	chr1(.):17243444-17304474	0.128
NM_001397	chr1(.):21538739-21621982	0.151
NM_001113347	chr1(.):21538739-21611183	0.0927
NM_001113349	chr1(.):21538739-21621766	0.1492
NM_001032730	chr1(.):22049338-22114688	0.1537
NM_017707	chr1(.):23750055-23815750	0.0968
NM_002167	chr1(.):23879408-23891322	0.2886
NM_021258	chr1(.):24441260-24474611	0.0986
NR_027087	chr1(.):24521729-24543180	0.2637
NM_014280	chr1(.):28521789-28564542	0.1518
NM_016311	chr1(.):28557610-28569611	0.2564
NM_031459	chr1(.):28581005-28614002	0.1564
NR_024127	chr1(.):28900049-28913366	0.4145
NM_152304	chr1(.):28913711-28926088	0.2862
NM_001193532	chr1(.):28914006-28926088	0.2671
NR_003035	chr1(.):28902431-28912565	0.4841
NR_002987	chr1(.):28901275-28911405	0.4902
NR_003109	chr1(.):28874528-28910057	0.2776
NR_002976	chr1(.):28901892-28912024	0.4869
NR_003077	chr1(.):28900254-28910334	0.5011
NM_024482	chr1(.):28990243-29046387	0.1072
NR_004407	chr1(.):28970111-28980246	0.321
NM_006762	chr1(.):31200314-31235683	0.4111
NM_032881	chr1(.):36854030-36868493	0.2155
NM_001198979	chr1(.):40854016-40893998	0.1508
NM_001198978	chr1(.):40835304-40893998	0.2237
NM_001198980	chr1(.):40857471-40893998	0.1279
NM_022733	chr1(.):40834377-40893998	0.2217
NR_031580	chr1(.):52297015-52307074	0.087
NM_002228	chr1(.):59241462-59254785	0.4258
NR_034015	chr1(.):59245822-59370384	0.1993
NM_001037339	chr1(.):66792792-66845262	0.2448
NM_001077702	chr1(.):67385577-67459302	0.1714
NM_001077704	chr1(.):67390925-67459302	0.1639
NM_001127215	chr1(.):92935317-92954356	0.2573
NM_005263	chr1(.):92935317-92957433	0.2332
NM_001127216	chr1(.):92935317-92956628	0.237
NM_004974	chr1(.):111140775-111153345	0.0691
NM_002232	chr1(.):111209309-111222655	0.2037
NM_017709	chr1(.):118143603-118176011	0.4201
NM_001123068	chr1(.):143762143-143772881	0.1239
NR_027469	chr1(.):143713512-143749587	0.3111
NR_027468	chr1(.):143713512-143749457	0.3118
NM_207418	chr1(.):143891451-143918143	0.2895
NR_024584	chr1(.):144475745-144526969	0.1794
NM_001002811	chr1(.):144885590-144937032	0.321
NM_032305	chr1(.):145451235-145475387	0.4708
NM_202004	chr1(.):145408190-145422545	0.1653
NM_006472	chr1(.):145433461-145447628	0.4655
NM_001039888	chr1(.):145465507-145480647	0.2777
NM_003846	chr1(.):145511164-145528732	0.2792
NM_005105	chr1(.):145502637-145516444	0.45
NM_001184795	chr1(.):145511559-145528732	0.2797
NM_003637	chr1(.):145519989-145548868	0.147
NM_144698	chr1(.):145544208-145573526	0.1633
NR_002328	chr1(.):145504819-145521076	0.4281
NR_027468	chr1(.):147901021-147936980	0.2273
NM_173638	chr1(.):148555846-148601267	0.2094
NM_001102663	chr1(.):148572356-148601267	0.1672
NM_001170755	chr1(.):148553187-148601267	0.2179
NM_001102663	chr1(.):148734441-148763311	0.1634
NM_001161334	chr1(.):149749244-149788928	0.2049
NM_001034077	chr1(.):149799220-149809616	0.5175
NM_001005464	chr1(.):149807258-149817765	0.7087
NM_001040874	chr1(.):149808784-149819318	0.7263
NM_001123375	chr1(.):149779779-149790236	0.3989
NM_005850	chr1(.):149890210-149904702	0.297
NM_016074	chr1(.):149866154-149877348	0.2524
NM_003528	chr1(.):149851009-149863232	0.7047
NM_003517	chr1(.):149853524-149863961	0.795
NM_175065	chr1(.):149854018-149864466	0.7848
NM_014849	chr1(.):149869871-149894434	0.1801
NM_181873	chr1(.):149895542-149913266	0.357
NM_001145862	chr1(.):149895542-149913791	0.3506
NR_036461	chr1(.):149816758-149827340	0.7284
NM_001040874	chr1(.):149817627-149828161	0.7227
NM_001005464	chr1(.):149819180-149829687	0.6957
NM_001034077	chr1(.):149827329-149837725	0.5222
NM_016274	chr1(.):150117169-150136825	0.4009
NM_004698	chr1(.):150288927-150330704	0.1676
NM_019032	chr1(.):150516897-150538412	0.4658
NM_207046	chr1(.):150589598-150606609	0.3294
NR_036211	chr1(.):150519404-150529490	0.1668
NM_001197320	chr1(.):150542026-150557214	0.5293
NM_001178062	chr1(.):151099162-151124140	0.1673
NM_024575	chr1(.):151124104-151137225	0.1584
NM_001136543	chr1(.):151127223-151143424	0.3219
NM_001135636	chr1(.):151166020-151227007	0.2067
NM_013353	chr1(.):151137462-151153547	0.3015
NM_212551	chr1(.):151127223-151143370	0.3228
NM_024041	chr1(.):151133516-151146614	0.3432
NM_005997	chr1(.):151143933-151167640	0.2287
NM_005620	chr1(.):151999981-152014511	0.5317
NM_002966	chr1(.):151950385-151971714	0.2074
NM_001008536	chr1(.):152051619-152066540	0.1099
NM_014437	chr1(.):153926587-153945188	0.4029
NM_130898	chr1(.):153935396-153951832	0.4454
NM_181715	chr1(.):153915151-153936043	0.3481
NM_006694	chr1(.):153941744-153955451	0.2505
NM_002870	chr1(.):153949127-153963806	0.3982
NM_014856	chr1(.):153896976-153924154	0.2339
NM_001030	chr1(.):153958238-153969631	0.4129
NM_020452	chr1(.):154295275-154328780	0.3315
NM_001005855	chr1(.):154293035-154315322	0.3623
NM_080429	chr1(.):154288591-154302801	0.4524
NM_017582	chr1(.):154516050-154536120	0.2674
NM_001193495	chr1(.):154549533-154583776	0.2764
NM_001111	chr1(.):154549533-154585724	0.269
NM_001025107	chr1(.):154549533-154605456	0.26
NM_000748	chr1(.):154535256-154557353	0.198
NM_006556	chr1(.):154892207-154914484	0.3615
NM_001130041	chr1(.):154929773-154951959	0.4701
NM_001130040	chr1(.):154929773-154948223	0.4716
NM_201398	chr1(.):154950769-154970587	0.2717
NM_015872	chr1(.):154970111-154995999	0.4293
NM_207196	chr1(.):155018761-155040252	0.308
NM_018655	chr1(.):154961061-154971791	0.2606
NM_001143687	chr1(.):155001281-155028406	0.2472
NR_024163	chr1(.):154942117-154956725	0.5961
NM_144622	chr1(.):154986002-155011257	0.2398
NM_138300	chr1(.):154924501-154939258	0.5586
NR_036212	chr1(.):154943168-154953259	0.6406
NM_001018017	chr1(.):155153299-155167700	0.2544
NM_018973	chr1(.):155107366-155117883	0.4031
NM_153741	chr1(.):155107366-155117996	0.4008
NM_173852	chr1(.):155136883-155150804	0.3094
NM_004428	chr1(.):155095348-155112386	0.2672
NM_001122837	chr1(.):155103287-155116334	0.3634
NM_025058	chr1(.):155141359-155162445	0.2752
NR_027023	chr1(.):155526771-155538735	0.3981
NM_001162384	chr1(.):155911629-155953336	0.4422
NM_181885	chr1(.):155906479-155917625	0.714
NM_004723	chr1(.):155911629-155952966	0.4446
NM_014949	chr1(.):155877835-155909188	0.301
NR_003005	chr1(.):155890748-155900877	0.1649
NM_003145	chr1(.):155973838-155995758	0.3541
NM_198406	chr1(.):156208208-156222792	0.1723
NM_014655	chr1(.):156158729-156187587	0.3249
NM_007221	chr1(.):156177783-156214833	0.3929
NM_022367	chr1(.):156118321-156152542	0.5287
