REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X03_0EWP_0229Kronos_MM1S.KB.1hr.1_H3K18Ac_hs.dm_i05.bam	X37_0EXP_0229Kronos_MM1S.KB.1hr.1_Input_hs_i80.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
7_MACS_peak_15375_lociStitched	chr22	23221520	23287495	7	53502	250309.15	10470.2325	1	IGLL5		IGLL5	1	1
5_MACS_peak_16971_lociStitched	chr3	141079181	141132904	5	41166	225459.3141	10239.6038	2	ZBTB38		ZBTB38	2	1
6_MACS_peak_11190_lociStitched	chr19	2594345	2638097	6	27269	177493.1136	9918.5784	3	GNG7		GNG7	3	1
5_MACS_peak_1198_lociStitched	chr1	118148299	118219144	5	59649	166939.158	8019.654	4	FAM46C		FAM46C	4	1
2_MACS_peak_19988_lociStitched	chr6	7888850	7921060	2	30417	160628.049	6841.404	5	MUTED-TXNDC5,TXNDC5		TXNDC5	5	1
1_MACS_peak_18607_lociStitched	chr5	1311229	1320700	1	9472	121033.6974	2424.576	6	CLPTM1L	TERT	TERT	6	1
3_MACS_peak_7286_lociStitched	chr14	106024595	106057724	3	31550	121878.2781	4952.7855	7		TMEM121	TMEM121	7	1
1_MACS_peak_6622_lociStitched	chr13	114828946	114835184	1	6239	113633.9032	1634.9798	8	RASA3		RASA3	8	1
3_MACS_peak_9492_lociStitched	chr17	16869305	16895634	3	20885	109249.5526	4799.7767	9	TNFRSF13B		TNFRSF13B	9	1
2_MACS_peak_22722_lociStitched	chr8	2027431	2050984	2	19000	107102.5569	4093.5114	10	MYOM2		MYOM2	10	1
5_MACS_peak_19885_lociStitched	chr6	290241	338076	5	35360	115999.875	15264.1485	11	DUSP22		DUSP22	11	1
1_MACS_peak_24948_lociStitched	chrX	19469856	19470839	1	984	98192.1649	57.4072	12	MAP3K15		MAP3K15	12	1
5_MACS_peak_13077_lociStitched	chr2	99060507	99107693	5	39613	106838.5412	9668.4114	13	INPP4A		INPP4A	13	1
