REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X03_0EWP_0229Kronos_MM1S.KB.1hr.1_H3K18Ac_hs.dm_i05.bam	X37_0EXP_0229Kronos_MM1S.KB.1hr.1_Input_hs_i80.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
7_MACS_peak_15375_lociStitched	chr22	23221520	23287495	7	53502	250309.15	10470.2325	1	IGLL5		IGLL5	IGLL5	5.7857	1	1
5_MACS_peak_16971_lociStitched	chr3	141079181	141132904	5	41166	225459.3141	10239.6038	2	ZBTB38		ZBTB38	ZBTB38	1.6222	2	1
6_MACS_peak_11190_lociStitched	chr19	2594345	2638097	6	27269	177493.1136	9918.5784	3	GNG7		GNG7	GNG7	0.8997999999999999	3	1
5_MACS_peak_1198_lociStitched	chr1	118148299	118219144	5	59649	166939.158	8019.654	4	FAM46C		FAM46C	FAM46C	2.1588	4	1
2_MACS_peak_19988_lociStitched	chr6	7888850	7921060	2	30417	160628.049	6841.404	5	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	3.3833	5	1
1_MACS_peak_18607_lociStitched	chr5	1311229	1320700	1	9472	121033.6974	2424.576	6	CLPTM1L	TERT	TERT	TERT	0.030700000000000005	6	1
3_MACS_peak_7286_lociStitched	chr14	106024595	106057724	3	31550	121878.2781	4952.7855	7		TMEM121	TMEM121	TMEM121	0.1108	7	1
1_MACS_peak_6622_lociStitched	chr13	114828946	114835184	1	6239	113633.9032	1634.9798	8	RASA3		RASA3	RASA3	1.0796999999999999	8	1
3_MACS_peak_9492_lociStitched	chr17	16869305	16895634	3	20885	109249.5526	4799.7767	9	TNFRSF13B		TNFRSF13B	TNFRSF13B	1.1198000000000001	9	1
2_MACS_peak_22722_lociStitched	chr8	2027431	2050984	2	19000	107102.5569	4093.5114	10	MYOM2		MYOM2	MYOM2	1.2764	10	1
5_MACS_peak_19885_lociStitched	chr6	290241	338076	5	35360	115999.875	15264.1485	11	DUSP22		DUSP22	DUSP22	1.4583	11	1
1_MACS_peak_24948_lociStitched	chrX	19469856	19470839	1	984	98192.1649	57.4072	12	MAP3K15		MAP3K15	MAP3K15	0.5767	12	1
5_MACS_peak_13077_lociStitched	chr2	99060507	99107693	5	39613	106838.5412	9668.4114	13	INPP4A		INPP4A	INPP4A	0.66	13	1
7_MACS_peak_1447_lociStitched	chr1	154907792	154957618	7	28518	100484.0942	13378.281	14	CKS1B,MIR4258,FLAD1,PMVK,PBXIP1,PYGO2,SHC1	LENEP,ZBTB7B,DCST1,DCST2	PYGO2	PYGO2	1.2554999999999998	14	1
1_MACS_peak_4191_lociStitched	chr11	65183442	65199719	1	16278	90898.9065	4285.7341	15	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	5.9219	15	1
3_MACS_peak_15398_lociStitched	chr22	24178950	24200907	3	15626	89975.3946	4178.4171	16	SLC2A11,DERL3	SMARCB1,MIF	DERL3	DERL3	1.1921	16	1
5_MACS_peak_9748_lociStitched	chr17	34596581	34642034	5	38128	95651.2932	10081.4754	17	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	TBC1D3C	0.012699999999999989	17	1
5_MACS_peak_15219_lociStitched	chr21	45552624	45581063	5	20870	91348.9119	6515.3749	18	C21orf33	PWP2	C21orf33	C21orf33	1.2622	18	1
1_MACS_peak_2561_lociStitched	chr10	11202743	11223587	1	20845	89024.724	4814.964	19	CELF2		CELF2	CELF2	0.3584	19	1
7_MACS_peak_12496_lociStitched	chr2	37531922	37586446	7	38929	91191.39	8511.1964	20	QPCT,PRKD3		QPCT	QPCT	1.4152999999999998	20	1
8_MACS_peak_7291_lociStitched	chr14	106145123	106177156	8	28214	85063.6315	3155.2505	21			TMEM121	TMEM121	0.1108	21	1
3_MACS_peak_9745_lociStitched	chr17	34508261	34540731	3	29569	89172.361	7610.968	22	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	CCL3L1	3.0753	22	1
3_MACS_peak_223_lociStitched	chr1	17221389	17241676	3	8906	86442.907	5459.2317	23		CROCC	CROCC	NONE	NONE	23	1
1_MACS_peak_5421_lociStitched	chr12	53587386	53603817	1	16432	82268.3739	3524.4495	24	ITGB7	ZNF740,MFSD5,CSAD,RARG	ITGB7	ITGB7	3.0726	24	1
4_MACS_peak_3410_lociStitched	chr10	112103932	112128837	4	12127	82203.9335	4475.4285	25		SMNDC1	SMNDC1	SMNDC1	0.11629999999999999	25	1
5_MACS_peak_14447_lociStitched	chr20	25261622	25301516	5	21389	83278.725	6829.8528	26	PYGB,ABHD12		PYGB	PYGB	0.7634	26	1
