REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X03_0EWP_0229Kronos_MM1S.KB.1hr.1_H3K18Ac_hs.dm_i05.bam	X37_0EXP_0229Kronos_MM1S.KB.1hr.1_Input_hs_i80.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
7_MACS_peak_15375_lociStitched	chr22	23221520	23287495	7	53502	250309.15	10470.2325	1	IGLL5		IGLL5	1	1
5_MACS_peak_1198_lociStitched	chr1	118148299	118219144	5	59649	166939.158	8019.654	2	FAM46C		FAM46C	2	1
5_MACS_peak_16971_lociStitched	chr3	141079181	141132904	5	41166	225459.3141	10239.6038	3	ZBTB38		ZBTB38	3	1
6_MACS_peak_11190_lociStitched	chr19	2594345	2638097	6	27269	177493.1136	9918.5784	4	GNG7		GNG7	4	1
2_MACS_peak_19988_lociStitched	chr6	7888850	7921060	2	30417	160628.049	6841.404	5	MUTED-TXNDC5,TXNDC5		TXNDC5	5	1
5_MACS_peak_13077_lociStitched	chr2	99060507	99107693	5	39613	106838.5412	9668.4114	6	INPP4A		INPP4A	6	1
7_MACS_peak_12496_lociStitched	chr2	37531922	37586446	7	38929	91191.39	8511.1964	7	QPCT,PRKD3		QPCT	7	1
5_MACS_peak_9748_lociStitched	chr17	34596581	34642034	5	38128	95651.2932	10081.4754	8	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	8	1
5_MACS_peak_19885_lociStitched	chr6	290241	338076	5	35360	115999.875	15264.1485	9	DUSP22		DUSP22	9	1
3_MACS_peak_7286_lociStitched	chr14	106024595	106057724	3	31550	121878.2781	4952.7855	10		TMEM121	TMEM121	10	1
5_MACS_peak_14466_lociStitched	chr20	30262465	30312235	5	33734	79403.058	9496.116	11	BCL2L1	COX4I2,TPX2	BCL2L1	11	1
7_MACS_peak_10884_lociStitched	chr18	46439386	46482911	7	34644	55102.65	7508.0625	12	SMAD7		SMAD7	12	1
8_MACS_peak_14508_lociStitched	chr20	32398409	32452425	8	34039	61243.3408	9350.1696	13	CHMP4B		CHMP4B	13	1
3_MACS_peak_9745_lociStitched	chr17	34508261	34540731	3	29569	89172.361	7610.968	14	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	14	1
