REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X03_0EWP_0229Kronos_MM1S.KB.1hr.1_H3K18Ac_hs.dm_i05.bam	X37_0EXP_0229Kronos_MM1S.KB.1hr.1_Input_hs_i80.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
5_MACS_peak_1198_lociStitched	chr1	118148299	118219144	5	59649	166939.158	8019.654	1	FAM46C		FAM46C	FAM46C	2.1588	1	1
7_MACS_peak_15375_lociStitched	chr22	23221520	23287495	7	53502	250309.15	10470.2325	2	IGLL5		IGLL5	IGLL5	5.7857	2	1
5_MACS_peak_16971_lociStitched	chr3	141079181	141132904	5	41166	225459.3141	10239.6038	3	ZBTB38		ZBTB38	ZBTB38	1.6222	3	1
5_MACS_peak_13077_lociStitched	chr2	99060507	99107693	5	39613	106838.5412	9668.4114	4	INPP4A		INPP4A	INPP4A	0.66	4	1
7_MACS_peak_12496_lociStitched	chr2	37531922	37586446	7	38929	91191.39	8511.1964	5	QPCT,PRKD3		QPCT	QPCT	1.4152999999999998	5	1
5_MACS_peak_9748_lociStitched	chr17	34596581	34642034	5	38128	95651.2932	10081.4754	6	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	TBC1D3C	0.012699999999999989	6	1
5_MACS_peak_19885_lociStitched	chr6	290241	338076	5	35360	115999.875	15264.1485	7	DUSP22		DUSP22	DUSP22	1.4583	7	1
7_MACS_peak_10884_lociStitched	chr18	46439386	46482911	7	34644	55102.65	7508.0625	8	SMAD7		SMAD7	SMAD7	1.1058999999999999	8	1
8_MACS_peak_14508_lociStitched	chr20	32398409	32452425	8	34039	61243.3408	9350.1696	9	CHMP4B		CHMP4B	CHMP4B	0.8024	9	1
5_MACS_peak_14466_lociStitched	chr20	30262465	30312235	5	33734	79403.058	9496.116	10	BCL2L1	COX4I2,TPX2	BCL2L1	BCL2L1	1.0326	10	1
3_MACS_peak_7286_lociStitched	chr14	106024595	106057724	3	31550	121878.2781	4952.7855	11		TMEM121	TMEM121	TMEM121	0.1108	11	1
2_MACS_peak_19988_lociStitched	chr6	7888850	7921060	2	30417	160628.049	6841.404	12	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	3.3833	12	1
3_MACS_peak_9745_lociStitched	chr17	34508261	34540731	3	29569	89172.361	7610.968	13	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	CCL3L1	3.0753	13	1
6_MACS_peak_9699_lociStitched	chr17	32688398	32726773	6	29137	55217.7875	7310.4375	14	CCL1	CCL8,CCL13	CCL1	CCL1	0.6938	14	1
7_MACS_peak_1447_lociStitched	chr1	154907792	154957618	7	28518	100484.0942	13378.281	15	CKS1B,MIR4258,FLAD1,PMVK,PBXIP1,PYGO2,SHC1	LENEP,ZBTB7B,DCST1,DCST2	PYGO2	PYGO2	1.2554999999999998	15	1
8_MACS_peak_7291_lociStitched	chr14	106145123	106177156	8	28214	85063.6315	3155.2505	16			TMEM121	TMEM121	0.1108	16	1
2_MACS_peak_14092_lociStitched	chr2	232687128	232715019	2	27558	34378.4466	3355.2873	17		COPS7B,PDE6D,MIR1471	COPS7B	COPS7B	0.017	17	1
6_MACS_peak_11190_lociStitched	chr19	2594345	2638097	6	27269	177493.1136	9918.5784	18	GNG7		GNG7	GNG7	0.8997999999999999	18	1
3_MACS_peak_18062_lociStitched	chr4	90209074	90246762	3	26128	59686.4856	6606.7064	19	GPRIN3		GPRIN3	GPRIN3	0.6522	19	1
6_MACS_peak_1954_lociStitched	chr1	203236250	203278399	6	25587	88049.261	11666.8432	20	BTG2,LOC730227	CHIT1,FMOD	LOC730227	LOC730227	2.0378	20	1
8_MACS_peak_20573_lociStitched	chr6	52392442	52442903	8	25310	53125.3408	9057.7495	21	TRAM2		TRAM2	TRAM2	0.5965	21	1
8_MACS_peak_8998_lociStitched	chr16	68269818	68320752	8	25059	37171.6332	8327.709	22	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	SLC7A6	0.2693	22	1
6_MACS_peak_3414_lociStitched	chr10	112146698	112186679	6	24739	40200.8955	6037.131	23			DUSP5	DUSP5	0.684	23	1
1_MACS_peak_20858_lociStitched	chr6	106531161	106555891	1	24731	61703.823	5354.045	24	PRDM1		PRDM1	PRDM1	1.6933	24	1
4_MACS_peak_7130_lociStitched	chr14	91812919	91846576	4	24492	54524.34	3547.4478	25	CCDC88C		CCDC88C	CCDC88C	0.47829999999999995	25	1
5_MACS_peak_3527_lociStitched	chr10	125822153	125854652	5	24235	45440.1018	5901.8184	26	CHST15		CHST15	CHST15	0.4377	26	1
8_MACS_peak_11835_lociStitched	chr19	42027260	42070268	8	24052	36900.864	6765.1584	27		CEACAM21	CEACAM21	NONE	NONE	27	1
6_MACS_peak_2017_lociStitched	chr1	206271423	206311257	6	23386	70745.184	9157.8366	28	C1orf186	AVPR1B,CTSE	C1orf186	C1orf186	0.8806	28	1
5_MACS_peak_17288_lociStitched	chr3	183228304	183260748	5	23227	53068.6508	8042.8676	29	KLHL6		KLHL6	KLHL6	0.7807000000000002	29	1
