GENE_ID	locusLine	bin_1_01_0EWN_0229Kronos_MM1S-No-Treatment-1_H3K18Ac_hs-dm_i02.bam
1_MACS_peak_1_lociStitched	chr1(.):28301-30436	1.8395
1_MACS_peak_2_lociStitched	chr1(.):712915-715388	2.1626
1_MACS_peak_3_lociStitched	chr1(.):761731-763856	1.6312
1_MACS_peak_4_lociStitched	chr1(.):878909-880745	0.8894
3_MACS_peak_5_lociStitched	chr1(.):893679-903098	0.4175
2_MACS_peak_8_lociStitched	chr1(.):947944-955390	0.4802
1_MACS_peak_10_lociStitched	chr1(.):998749-1000271	0.6526
2_MACS_peak_11_lociStitched	chr1(.):1071433-1080671	0.3892
1_MACS_peak_13_lociStitched	chr1(.):1092807-1094328	0.95
1_MACS_peak_14_lociStitched	chr1(.):1165876-1168243	0.9147
1_MACS_peak_15_lociStitched	chr1(.):1185010-1186115	0.6587
1_MACS_peak_16_lociStitched	chr1(.):1207743-1210247	1.0314
1_MACS_peak_17_lociStitched	chr1(.):1242456-1245031	1.3139
1_MACS_peak_18_lociStitched	chr1(.):1259360-1261513	1.1978
2_MACS_peak_19_lociStitched	chr1(.):1283585-1285557	0.8597
1_MACS_peak_21_lociStitched	chr1(.):1309586-1311863	1.7922
2_MACS_peak_22_lociStitched	chr1(.):1333489-1343688	0.5618
1_MACS_peak_24_lociStitched	chr1(.):1352620-1354009	0.4823
1_MACS_peak_25_lociStitched	chr1(.):1396491-1399213	2.0928
1_MACS_peak_26_lociStitched	chr1(.):1405847-1408597	0.9567
2_MACS_peak_27_lociStitched	chr1(.):1439468-1448959	0.9661
1_MACS_peak_29_lociStitched	chr1(.):1509008-1511298	2.7124
3_MACS_peak_30_lociStitched	chr1(.):1537351-1552440	0.7036
1_MACS_peak_33_lociStitched	chr1(.):1565620-1566755	0.7114
1_MACS_peak_34_lociStitched	chr1(.):1589539-1591834	2.0115
2_MACS_peak_35_lociStitched	chr1(.):1606257-1611108	1.7759
1_MACS_peak_37_lociStitched	chr1(.):1622540-1625712	2.8766
1_MACS_peak_38_lociStitched	chr1(.):1654884-1656983	1.5057
2_MACS_peak_39_lociStitched	chr1(.):1668702-1679069	1.4184
1_MACS_peak_41_lociStitched	chr1(.):1708747-1715116	3.1858
1_MACS_peak_42_lociStitched	chr1(.):1772125-1775505	0.7473
2_MACS_peak_43_lociStitched	chr1(.):1821080-1829573	0.6299
1_MACS_peak_45_lociStitched	chr1(.):1837514-1841621	1.1775
1_MACS_peak_46_lociStitched	chr1(.):1850049-1851698	0.7337
1_MACS_peak_47_lociStitched	chr1(.):2125805-2127454	0.7681
1_MACS_peak_48_lociStitched	chr1(.):2158333-2159444	0.9278
1_MACS_peak_49_lociStitched	chr1(.):2186199-2188455	1.5326
2_MACS_peak_50_lociStitched	chr1(.):2220988-2233926	1.07
1_MACS_peak_52_lociStitched	chr1(.):2322140-2324314	0.8929
2_MACS_peak_53_lociStitched	chr1(.):2342992-2348071	1.0307
1_MACS_peak_55_lociStitched	chr1(.):2456723-2458112	0.7031
2_MACS_peak_56_lociStitched	chr1(.):2476700-2489345	1.6285
2_MACS_peak_58_lociStitched	chr1(.):2508623-2518638	0.6156
1_MACS_peak_60_lociStitched	chr1(.):2573489-2575160	1.8733
2_MACS_peak_61_lociStitched	chr1(.):3540229-3547648	0.3762
1_MACS_peak_63_lociStitched	chr1(.):3568232-3570040	0.759
1_MACS_peak_64_lociStitched	chr1(.):3589133-3590478	0.6318
2_MACS_peak_65_lociStitched	chr1(.):3688361-3689945	0.473
1_MACS_peak_67_lociStitched	chr1(.):3711987-3713728	0.645
1_MACS_peak_68_lociStitched	chr1(.):3773098-3774984	0.6697
1_MACS_peak_69_lociStitched	chr1(.):3815775-3818600	3.0622
1_MACS_peak_70_lociStitched	chr1(.):3838109-3840004	0.6224
1_MACS_peak_71_lociStitched	chr1(.):4403715-4404481	0.4794
1_MACS_peak_72_lociStitched	chr1(.):4438858-4440705	0.6024
1_MACS_peak_73_lociStitched	chr1(.):4855544-4857618	0.5653
1_MACS_peak_74_lociStitched	chr1(.):4997820-4999316	0.4571
1_MACS_peak_75_lociStitched	chr1(.):6051233-6055791	1.5298
1_MACS_peak_76_lociStitched	chr1(.):6083631-6087622	1.603
2_MACS_peak_77_lociStitched	chr1(.):6258449-6266813	0.5953
1_MACS_peak_79_lociStitched	chr1(.):6294640-6296852	1.0393
1_MACS_peak_80_lociStitched	chr1(.):6418355-6420754	0.905
1_MACS_peak_81_lociStitched	chr1(.):6452458-6454980	1.1084
1_MACS_peak_82_lociStitched	chr1(.):6531896-6533001	0.4837
1_MACS_peak_83_lociStitched	chr1(.):6549894-6551774	1.1375
1_MACS_peak_84_lociStitched	chr1(.):6613748-6615508	1.078
1_MACS_peak_85_lociStitched	chr1(.):6639037-6641242	1.3063
1_MACS_peak_86_lociStitched	chr1(.):6660087-6664879	2.3167
1_MACS_peak_87_lociStitched	chr1(.):6672416-6674818	0.9942
1_MACS_peak_88_lociStitched	chr1(.):6684447-6686733	1.1313
1_MACS_peak_89_lociStitched	chr1(.):6733178-6735384	0.8001
1_MACS_peak_90_lociStitched	chr1(.):6760673-6762702	1.1942
1_MACS_peak_91_lociStitched	chr1(.):6843632-6845525	2.501
1_MACS_peak_92_lociStitched	chr1(.):6960572-6963364	0.568
1_MACS_peak_93_lociStitched	chr1(.):6977730-6980803	0.9819
1_MACS_peak_94_lociStitched	chr1(.):7830890-7832355	0.861
2_MACS_peak_95_lociStitched	chr1(.):8013628-8022685	0.3889
1_MACS_peak_97_lociStitched	chr1(.):8085737-8086838	0.5257
2_MACS_peak_98_lociStitched	chr1(.):8455054-8458304	0.5189
3_MACS_peak_100_lociStitched	chr1(.):8650211-8665015	0.4067
1_MACS_peak_103_lociStitched	chr1(.):8702723-8704783	0.4405
2_MACS_peak_104_lociStitched	chr1(.):8760438-8774144	0.655
1_MACS_peak_106_lociStitched	chr1(.):8875985-8878808	1.4872
1_MACS_peak_107_lociStitched	chr1(.):8936982-8939898	2.4759
3_MACS_peak_108_lociStitched	chr1(.):9128959-9141956	0.5652
1_MACS_peak_111_lociStitched	chr1(.):9188456-9189334	0.4157
1_MACS_peak_112_lociStitched	chr1(.):9222036-9226152	2.7951
1_MACS_peak_113_lociStitched	chr1(.):9240809-9243323	1.0037
1_MACS_peak_114_lociStitched	chr1(.):9294434-9295770	0.795
2_MACS_peak_115_lociStitched	chr1(.):9335088-9341923	0.2938
1_MACS_peak_117_lociStitched	chr1(.):9473070-9474292	0.5212
2_MACS_peak_118_lociStitched	chr1(.):9485142-9489875	0.815
1_MACS_peak_120_lociStitched	chr1(.):9598740-9600591	0.7523
1_MACS_peak_121_lociStitched	chr1(.):9614984-9616043	0.4641
1_MACS_peak_122_lociStitched	chr1(.):9648738-9650298	0.8111
2_MACS_peak_123_lociStitched	chr1(.):9776435-9782377	1.1704
1_MACS_peak_125_lociStitched	chr1(.):9846148-9848979	1.9215
1_MACS_peak_126_lociStitched	chr1(.):9882722-9884497	1.1054
1_MACS_peak_127_lociStitched	chr1(.):9895851-9896943	0.4425
1_MACS_peak_128_lociStitched	chr1(.):9968980-9971778	0.915
2_MACS_peak_129_lociStitched	chr1(.):10002238-10011625	0.4957
1_MACS_peak_131_lociStitched	chr1(.):10049714-10052016	0.9057
1_MACS_peak_132_lociStitched	chr1(.):10078339-10080077	0.707
1_MACS_peak_133_lociStitched	chr1(.):10092606-10094263	1.8513
1_MACS_peak_134_lociStitched	chr1(.):10228166-10232080	1.4117
4_MACS_peak_135_lociStitched	chr1(.):10248991-10262122	0.6324
1_MACS_peak_139_lociStitched	chr1(.):10269390-10272023	1.4715
1_MACS_peak_140_lociStitched	chr1(.):10310330-10315678	2.0954
1_MACS_peak_141_lociStitched	chr1(.):10458147-10460255	1.0478
1_MACS_peak_142_lociStitched	chr1(.):10489742-10491859	1.0423
1_MACS_peak_143_lociStitched	chr1(.):10504098-10505923	0.8969
1_MACS_peak_144_lociStitched	chr1(.):10516535-10518118	0.9519
2_MACS_peak_145_lociStitched	chr1(.):10531732-10535968	0.5963
1_MACS_peak_147_lociStitched	chr1(.):10554598-10556248	0.7266
1_MACS_peak_148_lociStitched	chr1(.):10998969-11001561	1.4422
1_MACS_peak_149_lociStitched	chr1(.):11071323-11073884	2.6146
1_MACS_peak_150_lociStitched	chr1(.):11118760-11121392	0.8189
1_MACS_peak_151_lociStitched	chr1(.):11158839-11160592	1.4873
2_MACS_peak_152_lociStitched	chr1(.):11286313-11288453	0.6127
1_MACS_peak_154_lociStitched	chr1(.):11321839-11323313	0.7933
1_MACS_peak_155_lociStitched	chr1(.):11332798-11334555	2.1011
1_MACS_peak_156_lociStitched	chr1(.):11538451-11539934	1.928
1_MACS_peak_157_lociStitched	chr1(.):11622698-11632929	2.1458
1_MACS_peak_158_lociStitched	chr1(.):11713779-11715224	0.7505
1_MACS_peak_159_lociStitched	chr1(.):11723938-11725243	0.5637
1_MACS_peak_160_lociStitched	chr1(.):11740365-11742318	1.1309
1_MACS_peak_161_lociStitched	chr1(.):11795348-11798871	1.6549
1_MACS_peak_162_lociStitched	chr1(.):11843051-11845772	1.4052
1_MACS_peak_163_lociStitched	chr1(.):11863552-11867564	1.5403
1_MACS_peak_164_lociStitched	chr1(.):11967477-11970841	3.2187
2_MACS_peak_165_lociStitched	chr1(.):11984237-11995468	0.4538
1_MACS_peak_167_lociStitched	chr1(.):12039489-12041397	2.1418
1_MACS_peak_168_lociStitched	chr1(.):12079163-12080450	0.6152
3_MACS_peak_169_lociStitched	chr1(.):12099758-12113413	0.6529
1_MACS_peak_172_lociStitched	chr1(.):12138835-12140203	0.5724
2_MACS_peak_173_lociStitched	chr1(.):12220769-12227953	1.396
1_MACS_peak_175_lociStitched	chr1(.):12270040-12271628	0.5896
1_MACS_peak_176_lociStitched	chr1(.):12289703-12291123	0.6201
1_MACS_peak_177_lociStitched	chr1(.):12404199-12406094	0.5539
1_MACS_peak_178_lociStitched	chr1(.):12494393-12497043	0.6738
1_MACS_peak_179_lociStitched	chr1(.):12806089-12807079	0.5493
1_MACS_peak_180_lociStitched	chr1(.):12896741-12898499	0.5474
1_MACS_peak_181_lociStitched	chr1(.):13824331-13826653	0.6563
1_MACS_peak_182_lociStitched	chr1(.):13968470-13970373	0.485
1_MACS_peak_183_lociStitched	chr1(.):13985519-13986291	0.3491
1_MACS_peak_184_lociStitched	chr1(.):14025799-14027541	0.9428
1_MACS_peak_185_lociStitched	chr1(.):14056401-14058420	1.4573
1_MACS_peak_186_lociStitched	chr1(.):14074825-14076973	1.1597
1_MACS_peak_187_lociStitched	chr1(.):14155193-14156558	0.7955
1_MACS_peak_188_lociStitched	chr1(.):14237465-14239555	0.6605
2_MACS_peak_189_lociStitched	chr1(.):14246546-14254904	0.6518
1_MACS_peak_191_lociStitched	chr1(.):14271854-14273611	0.5002
1_MACS_peak_192_lociStitched	chr1(.):14293331-14295366	0.8008
2_MACS_peak_193_lociStitched	chr1(.):14335839-14345215	1.0598
1_MACS_peak_195_lociStitched	chr1(.):14361507-14367937	1.7754
1_MACS_peak_196_lociStitched	chr1(.):14439931-14441282	0.465
1_MACS_peak_197_lociStitched	chr1(.):14463442-14465402	0.5261
3_MACS_peak_198_lociStitched	chr1(.):14500801-14510102	0.7671
1_MACS_peak_201_lociStitched	chr1(.):14658878-14659831	0.4757
2_MACS_peak_202_lociStitched	chr1(.):14687076-14697585	0.5312
1_MACS_peak_204_lociStitched	chr1(.):15104896-15106324	0.6235
1_MACS_peak_205_lociStitched	chr1(.):15150041-15152030	0.7172
1_MACS_peak_206_lociStitched	chr1(.):15160738-15165631	2.2144
2_MACS_peak_207_lociStitched	chr1(.):15202430-15209642	0.5873
1_MACS_peak_209_lociStitched	chr1(.):15416352-15417855	0.6192
1_MACS_peak_210_lociStitched	chr1(.):15482145-15483841	0.5983
2_MACS_peak_211_lociStitched	chr1(.):15500071-15506795	0.9973
1_MACS_peak_213_lociStitched	chr1(.):15545069-15547522	0.5678
1_MACS_peak_214_lociStitched	chr1(.):15557362-15559228	0.7156
1_MACS_peak_215_lociStitched	chr1(.):15573261-15576054	1.1264
2_MACS_peak_216_lociStitched	chr1(.):15583954-15588782	0.5748
1_MACS_peak_218_lociStitched	chr1(.):15623434-15624582	0.65
1_MACS_peak_219_lociStitched	chr1(.):15687730-15690082	0.7927
1_MACS_peak_220_lociStitched	chr1(.):15710398-15711581	0.5068
1_MACS_peak_221_lociStitched	chr1(.):15735037-15737674	1.1669
1_MACS_peak_222_lociStitched	chr1(.):15782162-15782950	0.5126
1_MACS_peak_223_lociStitched	chr1(.):15849929-15854423	1.0584
3_MACS_peak_224_lociStitched	chr1(.):15896863-15912259	0.9486
1_MACS_peak_227_lociStitched	chr1(.):15942614-15945652	1.3897
1_MACS_peak_228_lociStitched	chr1(.):16009676-16012163	1.634
1_MACS_peak_229_lociStitched	chr1(.):16022679-16025105	1.2865
1_MACS_peak_230_lociStitched	chr1(.):16160147-16163610	2.8852
2_MACS_peak_231_lociStitched	chr1(.):16173021-16179667	1.3104
1_MACS_peak_233_lociStitched	chr1(.):16301641-16303440	0.918
1_MACS_peak_234_lociStitched	chr1(.):16399827-16401105	0.6259
1_MACS_peak_235_lociStitched	chr1(.):16532514-16534367	0.8337
1_MACS_peak_236_lociStitched	chr1(.):16562463-16564617	0.9748
1_MACS_peak_237_lociStitched	chr1(.):16677502-16679899	1.0745
1_MACS_peak_238_lociStitched	chr1(.):16692729-16695468	2.4083
1_MACS_peak_239_lociStitched	chr1(.):16766460-16771446	1.2691
3_MACS_peak_240_lociStitched	chr1(.):16821366-16833373	0.2924
1_MACS_peak_244_lociStitched	chr1(.):16969379-16972637	4.2354
1_MACS_peak_245_lociStitched	chr1(.):16991290-16995029	5.2357
1_MACS_peak_246_lociStitched	chr1(.):17010033-17013295	0.6844
2_MACS_peak_247_lociStitched	chr1(.):17065541-17075538	2.1019
3_MACS_peak_249_lociStitched	chr1(.):17220643-17241612	2.1225
1_MACS_peak_252_lociStitched	chr1(.):17286777-17288071	0.6506
1_MACS_peak_253_lociStitched	chr1(.):17379482-17381000	1.0708
1_MACS_peak_254_lociStitched	chr1(.):17763527-17769348	1.1512
1_MACS_peak_255_lociStitched	chr1(.):17786841-17788414	0.5591
1_MACS_peak_256_lociStitched	chr1(.):19228217-19230187	1.6789
2_MACS_peak_257_lociStitched	chr1(.):19252125-19257974	1.9074
2_MACS_peak_259_lociStitched	chr1(.):19276248-19284121	1.4069
1_MACS_peak_261_lociStitched	chr1(.):19389120-19390175	0.4261
1_MACS_peak_262_lociStitched	chr1(.):19535498-19538281	1.6695
1_MACS_peak_263_lociStitched	chr1(.):19577287-19579511	3.0901
1_MACS_peak_264_lociStitched	chr1(.):19637405-19639800	1.3707
1_MACS_peak_265_lociStitched	chr1(.):19810364-19813549	1.1821
1_MACS_peak_266_lociStitched	chr1(.):19821534-19823004	0.7193
1_MACS_peak_267_lociStitched	chr1(.):19922180-19924907	2.8806
2_MACS_peak_268_lociStitched	chr1(.):20084483-20092306	0.4768
1_MACS_peak_270_lociStitched	chr1(.):20115958-20118220	0.6516
1_MACS_peak_271_lociStitched	chr1(.):20125130-20127632	1.5421
1_MACS_peak_272_lociStitched	chr1(.):20141108-20143638	0.8425
1_MACS_peak_273_lociStitched	chr1(.):20208415-20209956	1.0054
1_MACS_peak_274_lociStitched	chr1(.):20404160-20409064	0.94
1_MACS_peak_275_lociStitched	chr1(.):20415634-20417422	0.799
3_MACS_peak_276_lociStitched	chr1(.):20435566-20447009	0.3164
2_MACS_peak_279_lociStitched	chr1(.):20833522-20839749	0.577
1_MACS_peak_281_lociStitched	chr1(.):20959601-20961261	0.7929
