REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM6_jia.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
15_MACS_peak_14917_lociStitched	chr3	141117905	141161167	15	33662	42353.498	1	1	ZBTB38	RASA2	RASA2	RASA2	0.1947	1	1
5_MACS_peak_1198_lociStitched	chr1	150532540	150553181	5	19238	45395.7513	2	1	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	1.4934	2	1
7_MACS_peak_1304_lociStitched	chr1	154908154	154935570	7	19692	44775.8112	3	1	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	PBXIP1	1.3485	3	1
2_MACS_peak_6423_lociStitched	chr15	31636616	31660979	2	23583	31662.1548	4	1	KLF13		KLF13	KLF13	0.9327	4	1
6_MACS_peak_10008_lociStitched	chr19	13944113	13961829	6	10376	40461.5724	5	1	LOC284454,MIR24-2,MIR23A,MIR27A	ZSWIM4,MIR181C,MIR181D,NANOS3	MIR23A	MIR23A	0.7656	5	1
2_MACS_peak_3632_lociStitched	chr11	65183686	65199550	2	15774	36915.528	6	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	2.5343	6	1
14_MACS_peak_7999_lociStitched	chr16	81840858	81876396	14	20507	29283.312	7	1	PLCG2		PLCG2	PLCG2	0.3199	7	1
18_MACS_peak_1010_lociStitched	chr1	118147754	118181616	18	22667	24224.8748	8	1	FAM46C		FAM46C	FAM46C	0.6725	8	1
11_MACS_peak_3134_lociStitched	chr10	125822051	125855161	11	21825	24037.86	9	1	CHST15		CHST15	CHST15	0.427	9	1
2_MACS_peak_2155_lociStitched	chr1	234734103	234749311	2	14431	31669.1392	10	1	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	2.036	10	1
4_MACS_peak_10380_lociStitched	chr19	39888486	39903816	4	13332	32243.589	11	1	MED29,ZFP36,PLEKHG2	SUPT5H,PAF1,RPS16	ZFP36	ZFP36	2.3719	11	1
3_MACS_peak_9679_lociStitched	chr19	2081699	2097979	3	14253	29644.252	12	1	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	0.969	12	1
3_MACS_peak_17398_lociStitched	chr5	172191517	172205335	3	10172	31647.3654	13	1	DUSP1		DUSP1	DUSP1	2.299	13	1
