#MM6_jia_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/MM6_jia_ROSE/MM6_jia_peaks_4KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by MM6_jia.bam
#Using cutoff of 6154.1034 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM6_jia.bam	enhancerRank	isStretch
15_MACS_peak_14917_lociStitched	chr3	141117905	141161167	15	33662	42353.498	1	1
2_MACS_peak_6423_lociStitched	chr15	31636616	31660979	2	23583	31662.1548	2	1
18_MACS_peak_1010_lociStitched	chr1	118147754	118181616	18	22667	24224.8748	3	1
11_MACS_peak_3134_lociStitched	chr10	125822051	125855161	11	21825	24037.86	4	1
14_MACS_peak_7999_lociStitched	chr16	81840858	81876396	14	20507	29283.312	5	1
7_MACS_peak_1304_lociStitched	chr1	154908154	154935570	7	19692	44775.8112	6	1
5_MACS_peak_1198_lociStitched	chr1	150532540	150553181	5	19238	45395.7513	7	1
6_MACS_peak_5520_lociStitched	chr13	83031350	83052216	6	18972	18278.616	8	1
10_MACS_peak_10928_lociStitched	chr2	20405379	20425810	10	18808	14683.7597	9	1
17_MACS_peak_7429_lociStitched	chr16	11771809	11800780	17	18116	17130.5523	10	1
2_MACS_peak_16726_lociStitched	chr5	88168010	88186115	2	18058	20237.769	11	1
17_MACS_peak_6329_lociStitched	chr14	106025049	106057587	17	17427	23938.2066	12	1
8_MACS_peak_18360_lociStitched	chr6	106531895	106555020	8	16819	16485.8125	13	1
2_MACS_peak_689_lociStitched	chr1	51432401	51449025	2	16601	22221.3008	14	1
10_MACS_peak_1384_lociStitched	chr1	156457453	156478911	10	16521	21726.225	15	1
7_MACS_peak_21361_lociStitched	chr9	112904580	112924867	7	16517	15947.6107	16	1
2_MACS_peak_3632_lociStitched	chr11	65183686	65199550	2	15774	36915.528	17	1
14_MACS_peak_17614_lociStitched	chr6	7884591	7912141	14	15629	18808.385	18	1
7_MACS_peak_17002_lociStitched	chr5	131745732	131767355	7	15547	19519.0821	19	1
5_MACS_peak_7096_lociStitched	chr15	89164154	89184145	5	15312	23069.614	20	1
11_MACS_peak_6350_lociStitched	chr14	106145511	106177310	11	15223	21022.3189	21	1
9_MACS_peak_18277_lociStitched	chr6	90049926	90068949	9	15072	22376.7549	22	1
5_MACS_peak_15821_lociStitched	chr4	90211665	90229251	5	14962	13477.9104	23	1
7_MACS_peak_17539_lociStitched	chr6	312109	338144	7	14798	17136.237	24	1
7_MACS_peak_15675_lociStitched	chr4	64472102	64491954	7	14538	16155.5576	25	1
2_MACS_peak_2155_lociStitched	chr1	234734103	234749311	2	14431	31669.1392	26	1
14_MACS_peak_3973_lociStitched	chr11	111229490	111250585	14	14297	13462.829	27	1
3_MACS_peak_9679_lociStitched	chr19	2081699	2097979	3	14253	29644.252	28	1
15_MACS_peak_4125_lociStitched	chr11	128585803	128609725	15	13979	13669.0308	29	1
3_MACS_peak_15071_lociStitched	chr3	165975994	165990654	3	13870	15080.742	30	1
7_MACS_peak_3540_lociStitched	chr11	62306557	62325559	7	13854	22378.6554	31	1
13_MACS_peak_9130_lociStitched	chr17	75435659	75463673	13	13814	14858.6256	32	1
5_MACS_peak_16764_lociStitched	chr5	95143519	95160523	5	13705	14434.6956	33	1
