REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM6_jia.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
15_MACS_peak_14917_lociStitched	chr3	141117905	141161167	15	33662	42353.498	1	1	ZBTB38	RASA2	RASA2	1	1
2_MACS_peak_6423_lociStitched	chr15	31636616	31660979	2	23583	31662.1548	2	1	KLF13		KLF13	2	1
18_MACS_peak_1010_lociStitched	chr1	118147754	118181616	18	22667	24224.8748	3	1	FAM46C		FAM46C	3	1
11_MACS_peak_3134_lociStitched	chr10	125822051	125855161	11	21825	24037.86	4	1	CHST15		CHST15	4	1
14_MACS_peak_7999_lociStitched	chr16	81840858	81876396	14	20507	29283.312	5	1	PLCG2		PLCG2	5	1
7_MACS_peak_1304_lociStitched	chr1	154908154	154935570	7	19692	44775.8112	6	1	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	6	1
5_MACS_peak_1198_lociStitched	chr1	150532540	150553181	5	19238	45395.7513	7	1	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	7	1
6_MACS_peak_5520_lociStitched	chr13	83031350	83052216	6	18972	18278.616	8	1				8	1
10_MACS_peak_10928_lociStitched	chr2	20405379	20425810	10	18808	14683.7597	9	1	SDC1		SDC1	9	1
17_MACS_peak_7429_lociStitched	chr16	11771809	11800780	17	18116	17130.5523	10	1	SNN,TXNDC11		SNN	10	1
2_MACS_peak_16726_lociStitched	chr5	88168010	88186115	2	18058	20237.769	11	1	MEF2C	MEF2C	MEF2C	11	1
17_MACS_peak_6329_lociStitched	chr14	106025049	106057587	17	17427	23938.2066	12	1		TMEM121	TMEM121	12	1
8_MACS_peak_18360_lociStitched	chr6	106531895	106555020	8	16819	16485.8125	13	1	PRDM1		PRDM1	13	1
2_MACS_peak_689_lociStitched	chr1	51432401	51449025	2	16601	22221.3008	14	1	CDKN2C	FAF1	CDKN2C	14	1
10_MACS_peak_1384_lociStitched	chr1	156457453	156478911	10	16521	21726.225	15	1	MEF2D		MEF2D	15	1
7_MACS_peak_21361_lociStitched	chr9	112904580	112924867	7	16517	15947.6107	16	1	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	16	1
2_MACS_peak_3632_lociStitched	chr11	65183686	65199550	2	15774	36915.528	17	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	17	1
14_MACS_peak_17614_lociStitched	chr6	7884591	7912141	14	15629	18808.385	18	1	MUTED-TXNDC5,TXNDC5		TXNDC5	18	1
7_MACS_peak_17002_lociStitched	chr5	131745732	131767355	7	15547	19519.0821	19	1	C5orf56	SLC22A5,MIR3936	C5orf56	19	1
5_MACS_peak_7096_lociStitched	chr15	89164154	89184145	5	15312	23069.614	20	1	AEN,ISG20	MIR1179,MIR7-2	ISG20	20	1
11_MACS_peak_6350_lociStitched	chr14	106145511	106177310	11	15223	21022.3189	21	1			TMEM121	21	1
9_MACS_peak_18277_lociStitched	chr6	90049926	90068949	9	15072	22376.7549	22	1	UBE2J1	GABRR2	UBE2J1	22	1
5_MACS_peak_15821_lociStitched	chr4	90211665	90229251	5	14962	13477.9104	23	1	GPRIN3		GPRIN3	23	1
7_MACS_peak_17539_lociStitched	chr6	312109	338144	7	14798	17136.237	24	1	DUSP22		DUSP22	24	1
7_MACS_peak_15675_lociStitched	chr4	64472102	64491954	7	14538	16155.5576	25	1			TECRL	25	1
2_MACS_peak_2155_lociStitched	chr1	234734103	234749311	2	14431	31669.1392	26	1	IRF2BP2	NCRNA00184	IRF2BP2	26	1
14_MACS_peak_3973_lociStitched	chr11	111229490	111250585	14	14297	13462.829	27	1	POU2AF1		POU2AF1	27	1
3_MACS_peak_9679_lociStitched	chr19	2081699	2097979	3	14253	29644.252	28	1	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	28	1
15_MACS_peak_4125_lociStitched	chr11	128585803	128609725	15	13979	13669.0308	29	1	FLI1		FLI1	29	1
3_MACS_peak_15071_lociStitched	chr3	165975994	165990654	3	13870	15080.742	30	1			BCHE	30	1
7_MACS_peak_3540_lociStitched	chr11	62306557	62325559	7	13854	22378.6554	31	1	AHNAK	EEF1G,TUT1,MTA2	AHNAK	31	1
13_MACS_peak_9130_lociStitched	chr17	75435659	75463673	13	13814	14858.6256	32	1	SEPT9	SEPT9,MIR4316	SEPT9	32	1
5_MACS_peak_16764_lociStitched	chr5	95143519	95160523	5	13705	14434.6956	33	1	GLRX	C5orf27	GLRX	33	1
5_MACS_peak_6181_lociStitched	chr14	91829876	91844155	5	13494	16230.9393	34	1	CCDC88C		CCDC88C	34	1
4_MACS_peak_12157_lociStitched	chr2	201980399	201994576	4	13404	18688.1214	35	1	CFLAR	NDUFB3,FAM126B	CFLAR	35	1
7_MACS_peak_13410_lociStitched	chr22	23269064	23286133	7	13353	19231.6423	36	1		IGLL5	IGLL5	36	1
4_MACS_peak_10380_lociStitched	chr19	39888486	39903816	4	13332	32243.589	37	1	MED29,ZFP36,PLEKHG2	SUPT5H,PAF1,RPS16	ZFP36	37	1
7_MACS_peak_6926_lociStitched	chr15	75068966	75086003	7	13290	15527.5218	38	1	CSK	CYP1A2,LMAN1L,CPLX3,ULK3	CSK	38	1
1_MACS_peak_4315_lociStitched	chr12	12866833	12879918	1	13086	23784.6045	39	1	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	39	1
9_MACS_peak_4205_lociStitched	chr12	4377550	4403292	9	12898	19399.1712	40	1	CCND2	C12orf5	CCND2	40	1
3_MACS_peak_14914_lociStitched	chr3	141097475	141111319	3	12873	20491.8888	41	1	ZBTB38		ZBTB38	41	1
4_MACS_peak_5213_lociStitched	chr12	123371109	123387062	4	12810	21295.6597	42	1	VPS37B		VPS37B	42	1
6_MACS_peak_16720_lociStitched	chr5	88113351	88132893	6	12764	12788.2848	43	1	MEF2C		MEF2C	43	1
12_MACS_peak_20133_lociStitched	chr8	27232901	27254983	12	12733	12670.6516	44	1	PTK2B		PTK2B	44	1
3_MACS_peak_17423_lociStitched	chr5	173310686	173324320	3	12701	13894.4094	45	1	CPEB4		CPEB4	45	1
6_MACS_peak_14568_lociStitched	chr3	98240440	98259885	6	12618	15159.322	46	1	GPR15,CLDND1	OR5K2	GPR15	46	1
2_MACS_peak_1740_lociStitched	chr1	189119190	189135056	2	12576	14958.4648	47	1				47	1
8_MACS_peak_14389_lociStitched	chr3	53194388	53215253	8	12388	13772.9865	48	1	PRKCD	RFT1	PRKCD	48	1
2_MACS_peak_19179_lociStitched	chr7	50343636	50358283	2	12122	12810.2662	49	1	IKZF1		IKZF1	49	1
2_MACS_peak_3640_lociStitched	chr11	65263819	65278365	2	12073	26370.4434	50	1	MALAT1	SCYL1,LTBP3	MALAT1	50	1
5_MACS_peak_19679_lociStitched	chr7	115303155	115317357	5	11624	11309.0526	51	1			TFEC	51	1
5_MACS_peak_9115_lociStitched	chr17	75135751	75148616	5	11570	14758.728	52	1	SEC14L1	SEC14L1	SEC14L1	52	1
5_MACS_peak_13264_lociStitched	chr21	44835060	44851506	5	11553	20792.6778	53	1	SIK1	C21orf125,C21orf84	SIK1	53	1
9_MACS_peak_15586_lociStitched	chr4	40194230	40210403	9	11320	11368.0017	54	1	RHOH		RHOH	54	1
8_MACS_peak_1353_lociStitched	chr1	155936304	155954211	8	11287	14123.2509	55	1	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	55	1
6_MACS_peak_13484_lociStitched	chr22	29183475	29199050	6	11148	19339.4775	56	1	CCDC117,XBP1	HSCB,CHEK2	XBP1	56	1
4_MACS_peak_19376_lociStitched	chr7	83930853	83947113	4	11126	14544.57	57	1			SEMA3A	57	1
6_MACS_peak_12434_lociStitched	chr2	238596495	238612896	6	11040	12381.1149	58	1	LRRFIP1		LRRFIP1	58	1
5_MACS_peak_14496_lociStitched	chr3	69128705	69147100	5	10877	12780.846	59	1	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	59	1
9_MACS_peak_11561_lociStitched	chr2	99089252	99107334	9	10867	11304.8664	60	1	INPP4A		INPP4A	60	1
9_MACS_peak_11278_lociStitched	chr2	64870048	64885693	9	10716	11957.4735	61	1	SERTAD2	LOC339807	SERTAD2	61	1
4_MACS_peak_1860_lociStitched	chr1	204474968	204492026	4	10705	23108.4726	62	1	MDM4	PIK3C2B	MDM4	62	1
3_MACS_peak_19847_lociStitched	chr7	139466672	139478450	3	10659	12927.5328	63	1	TBXAS1,HIPK2		HIPK2	63	1
3_MACS_peak_13873_lociStitched	chr3	3138055	3153249	3	10621	25645.9526	64	1	IL5RA	TRNT1	IL5RA	64	1
4_MACS_peak_17204_lociStitched	chr5	148204979	148215621	4	10466	11828.583	65	1	ADRB2		ADRB2	65	1
11_MACS_peak_7450_lociStitched	chr16	11821403	11837575	11	10404	11577.5348	66	1	TXNDC11		TXNDC11	66	1
6_MACS_peak_10008_lociStitched	chr19	13944113	13961829	6	10376	40461.5724	67	1	LOC284454,MIR24-2,MIR23A,MIR27A	ZSWIM4,MIR181C,MIR181D,NANOS3	MIR23A	67	1
4_MACS_peak_9639_lociStitched	chr19	1258408	1277214	4	10374	25151.1444	68	1	MIDN,CIRBP,C19orf24,C19orf23	ATP5D,EFNA2,C19orf26	CIRBP	68	1
2_MACS_peak_17174_lociStitched	chr5	142774832	142785694	2	10320	14979.7842	69	1	NR3C1		NR3C1	69	1
7_MACS_peak_15118_lociStitched	chr3	171811888	171825974	7	10186	13581.7212	70	1	FNDC3B		FNDC3B	70	1
3_MACS_peak_17398_lociStitched	chr5	172191517	172205335	3	10172	31647.3654	71	1	DUSP1		DUSP1	71	1
7_MACS_peak_5179_lociStitched	chr12	122227422	122244717	7	10152	16501.1595	72	1	SETD1B,RHOF,LOC338799		RHOF	72	1
8_MACS_peak_4257_lociStitched	chr12	7058214	7074355	8	10115	9944.4701	73	1	PTPN6,MIR200C,MIR141	LRRC23,ENO2,ATN1,C12orf57,EMG1,SCARNA12,PHB2	PTPN6	73	1
4_MACS_peak_14973_lociStitched	chr3	150314971	150325951	4	10068	11768.364	74	1	SELT		SELT	74	1
2_MACS_peak_8476_lociStitched	chr17	29636289	29648990	2	9944	11143.8574	75	1	NF1,EVI2B,EVI2A	OMG	EVI2B	75	1
6_MACS_peak_13851_lociStitched	chr22	50963251	50978811	6	9905	16706.772	76	1	SCO2,TYMP,ODF3B	ADM2,MIOX,NCAPH2,KLHDC7B,LOC100144603,SBF1,LMF2,C22orf41,CPT1B,CHKB	ODF3B	76	1
7_MACS_peak_2702_lociStitched	chr10	74006749	74024121	7	9879	12850.0684	77	1		ANAPC16,DDIT4,ASCC1	DDIT4	77	1
5_MACS_peak_1828_lociStitched	chr1	203267820	203280747	5	9868	16245.3609	78	1	BTG2,LOC730227	FMOD	LOC730227	78	1
3_MACS_peak_4997_lociStitched	chr12	109020578	109031369	3	9809	10778.0508	79	1	SELPLG	TMEM119	SELPLG	79	1
3_MACS_peak_18880_lociStitched	chr7	14019379	14031640	3	9808	13744.581	80	1	ETV1		ETV1	80	1
