GENE_ID	locusLine	bin_1_KMS-12-BM.jin.bam
1_MACS_peak_1_lociStitched	chr1(.):9946-10520	4.6722
1_MACS_peak_2_lociStitched	chr1(.):28665-30188	4.2155
1_MACS_peak_3_lociStitched	chr1(.):712830-715621	4.7178
1_MACS_peak_4_lociStitched	chr1(.):761880-763595	5.223
1_MACS_peak_5_lociStitched	chr1(.):793723-794302	1.1995
1_MACS_peak_6_lociStitched	chr1(.):893928-894640	2.0763
1_MACS_peak_7_lociStitched	chr1(.):895333-896085	1.5146
1_MACS_peak_8_lociStitched	chr1(.):901388-902943	1.397
1_MACS_peak_9_lociStitched	chr1(.):948425-950499	1.9145
1_MACS_peak_10_lociStitched	chr1(.):955470-955945	1.2793
2_MACS_peak_11_lociStitched	chr1(.):967900-969598	1.342
1_MACS_peak_13_lociStitched	chr1(.):998012-1000424	2.0504
2_MACS_peak_14_lociStitched	chr1(.):1003556-1004734	1.7949
1_MACS_peak_16_lociStitched	chr1(.):1051065-1051638	2.0666
1_MACS_peak_17_lociStitched	chr1(.):1057670-1058123	1.2367
3_MACS_peak_18_lociStitched	chr1(.):1070111-1076508	4.2934
1_MACS_peak_21_lociStitched	chr1(.):1077065-1081837	6.8761
1_MACS_peak_22_lociStitched	chr1(.):1084602-1086256	1.9068
1_MACS_peak_23_lociStitched	chr1(.):1092820-1094092	1.8828
1_MACS_peak_24_lociStitched	chr1(.):1101488-1103991	2.0327
1_MACS_peak_25_lociStitched	chr1(.):1106485-1108117	1.7382
1_MACS_peak_26_lociStitched	chr1(.):1110792-1112023	1.446
2_MACS_peak_27_lociStitched	chr1(.):1136321-1137833	1.6869
1_MACS_peak_29_lociStitched	chr1(.):1141227-1142265	1.5567
2_MACS_peak_30_lociStitched	chr1(.):1166436-1168649	2.678
3_MACS_peak_32_lociStitched	chr1(.):1185165-1187103	1.435
1_MACS_peak_35_lociStitched	chr1(.):1207810-1210026	2.4277
3_MACS_peak_36_lociStitched	chr1(.):1242424-1245098	2.614
2_MACS_peak_39_lociStitched	chr1(.):1259401-1261673	2.9962
1_MACS_peak_41_lociStitched	chr1(.):1265873-1267345	1.4231
2_MACS_peak_42_lociStitched	chr1(.):1283157-1285504	1.4921
1_MACS_peak_44_lociStitched	chr1(.):1309775-1311900	3.7662
1_MACS_peak_45_lociStitched	chr1(.):1333647-1336032	3.3725
1_MACS_peak_46_lociStitched	chr1(.):1341606-1343691	5.2354
1_MACS_peak_47_lociStitched	chr1(.):1354168-1354607	1.0556
1_MACS_peak_48_lociStitched	chr1(.):1373140-1373433	0.8334
1_MACS_peak_49_lociStitched	chr1(.):1396199-1398903	2.6717
2_MACS_peak_50_lociStitched	chr1(.):1405479-1408520	2.7643
2_MACS_peak_52_lociStitched	chr1(.):1439927-1441644	2.2666
1_MACS_peak_54_lociStitched	chr1(.):1446054-1448593	4.8576
1_MACS_peak_55_lociStitched	chr1(.):1508864-1511617	7.3033
1_MACS_peak_56_lociStitched	chr1(.):1542094-1542687	1.2809
2_MACS_peak_57_lociStitched	chr1(.):1549762-1552019	4.1764
1_MACS_peak_59_lociStitched	chr1(.):1565857-1566404	0.8986
1_MACS_peak_60_lociStitched	chr1(.):1589498-1591605	4.8472
2_MACS_peak_61_lociStitched	chr1(.):1606137-1611036	2.5158
1_MACS_peak_63_lociStitched	chr1(.):1622741-1625679	4.1344
1_MACS_peak_64_lociStitched	chr1(.):1654681-1656880	4.6072
1_MACS_peak_65_lociStitched	chr1(.):1668951-1671240	2.323
1_MACS_peak_66_lociStitched	chr1(.):1675568-1678826	4.6187
1_MACS_peak_67_lociStitched	chr1(.):1706921-1707933	1.2988
1_MACS_peak_68_lociStitched	chr1(.):1708847-1714768	4.9046
1_MACS_peak_69_lociStitched	chr1(.):1821120-1824449	3.9271
1_MACS_peak_70_lociStitched	chr1(.):1825838-1826401	1.077
2_MACS_peak_71_lociStitched	chr1(.):1827873-1829609	1.6684
1_MACS_peak_73_lociStitched	chr1(.):1830626-1831669	1.4357
2_MACS_peak_74_lociStitched	chr1(.):1837703-1842872	3.8762
2_MACS_peak_76_lociStitched	chr1(.):1849611-1851628	2.0936
1_MACS_peak_78_lociStitched	chr1(.):1956757-1957333	1.0145
1_MACS_peak_79_lociStitched	chr1(.):1975770-1976984	1.8987
2_MACS_peak_80_lociStitched	chr1(.):1980578-1982522	1.5477
1_MACS_peak_82_lociStitched	chr1(.):2044280-2044777	0.8333
