REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MOLP-8.jin.bam
3_MACS_peak_7595_lociStitched	chr14	106024801	106050944	3	26105	200407.0094
6_MACS_peak_1744_lociStitched	chr1	156455897	156472906	6	15900	58604.5095
5_MACS_peak_7604_lociStitched	chr14	106156358	106171204	5	14529	104889.9592
5_MACS_peak_20560_lociStitched	chr6	7904698	7919315	5	14034	53211.726800000004
6_MACS_peak_12845_lociStitched	chr19	48448483	48462583	6	13547	57657.72
8_MACS_peak_6134_lociStitched	chr12	123411149	123424018	8	11312	37695.8748
2_MACS_peak_7602_lociStitched	chr14	106144165	106155319	2	11083	53033.9238
9_MACS_peak_10948_lociStitched	chr17	74257786	74268824	9	9650	32470.4846
8_MACS_peak_17799_lociStitched	chr3	141097484	141108388	8	10127	31653.221599999997
10_MACS_peak_11391_lociStitched	chr18	42287821	42298590	10	9528	21672.612500000003
4_MACS_peak_16243_lociStitched	chr22	23268930	23279605	4	10496	58877.9625
9_MACS_peak_4272_lociStitched	chr11	65259178	65269260	9	8808	30297.4182
6_MACS_peak_20468_lociStitched	chr6	291125	301198	6	9424	41478.5994
10_MACS_peak_18636_lociStitched	chr4	71538501	71548306	10	8101	18958.948
6_MACS_peak_10456_lociStitched	chr17	43298616	43307847	6	8519	23593.512899999998
1_MACS_peak_4262_lociStitched	chr11	65183942	65193155	1	9214	57881.5938
7_MACS_peak_12838_lociStitched	chr19	48438222	48447357	7	8307	26085.906
8_MACS_peak_18534_lociStitched	chr4	40193908	40202531	8	7574	21779.9734
3_MACS_peak_2189_lociStitched	chr1	203288816	203297395	3	8403	30740.272800000002
6_MACS_peak_6085_lociStitched	chr12	122235188	122243487	6	7659	21824.710199999998
4_MACS_peak_1532_lociStitched	chr1	150533468	150541749	4	8175	37098.880000000005
8_MACS_peak_12829_lociStitched	chr19	48427241	48435286	8	7482	28768.920000000002
7_MACS_peak_3792_lociStitched	chr11	10323976	10331991	7	6912	15742.2615
5_MACS_peak_19243_lociStitched	chr5	1312298	1320172	5	7540	31618.8344
6_MACS_peak_5351_lociStitched	chr12	48200833	48208664	6	7109	22676.226700000003
4_MACS_peak_211_lociStitched	chr1	11022696	11030515	4	7571	17332.3773
4_MACS_peak_1714_lociStitched	chr1	155944061	155951807	4	7227	24785.650800000003
7_MACS_peak_4460_lociStitched	chr11	69453000	69460670	7	6825	15540.187
4_MACS_peak_20043_lociStitched	chr5	138723351	138730946	4	7368	20199.662
6_MACS_peak_16362_lociStitched	chr22	29213365	29220858	6	6775	18630.5952
4_MACS_peak_18226_lociStitched	chr3	197379714	197387048	4	7013	30682.5224
4_MACS_peak_6793_lociStitched	chr13	114828050	114835321	4	6450	31817.896
4_MACS_peak_16044_lociStitched	chr21	44580562	44587802	4	6543	21090.12
9_MACS_peak_14081_lociStitched	chr2	99076532	99083722	9	6267	14472.032
4_MACS_peak_1707_lociStitched	chr1	155910373	155917517	4	6745	19936.7608
6_MACS_peak_18005_lociStitched	chr3	171814834	171821932	6	6116	14443.7202
9_MACS_peak_2396_lociStitched	chr1	226105981	226113003	9	5254	16727.1062
5_MACS_peak_19481_lociStitched	chr5	43036639	43043600	5	6344	18681.931800000002
5_MACS_peak_14098_lociStitched	chr2	99099847	99106747	5	5909	14899.17
8_MACS_peak_25018_lociStitched	chr9	98268219	98275025	8	6166	15766.779600000002
4_MACS_peak_9464_lociStitched	chr16	81684944	81691696	4	6283	19293.84
4_MACS_peak_24249_lociStitched	chr8	126441215	126447926	4	6316	23591.1783
3_MACS_peak_5159_lociStitched	chr12	12866587	12873280	3	6392	21003.9726
