#MOLP-8 Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/MOLP-8.H3K27ac_ROSE/MOLP-8_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by MOLP.8.jin.bam
#Using cutoff of 10796.7896 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MOLP.8.jin.bam	enhancerRank	isSuperStretch
3_MACS_peak_7595_lociStitched	chr14	106024801	106050944	3	26105	200407.0094	1	1
5_MACS_peak_7604_lociStitched	chr14	106156358	106171204	5	14529	104889.9592	2	1
6_MACS_peak_1744_lociStitched	chr1	156455897	156472906	6	15900	58604.5095	3	1
5_MACS_peak_20560_lociStitched	chr6	7904698	7919315	5	14034	53211.7268	4	1
6_MACS_peak_12845_lociStitched	chr19	48448483	48462583	6	13547	57657.72	5	1
2_MACS_peak_7602_lociStitched	chr14	106144165	106155319	2	11083	53033.9238	6	1
4_MACS_peak_16243_lociStitched	chr22	23268930	23279605	4	10496	58877.9625	7	1
8_MACS_peak_6134_lociStitched	chr12	123411149	123424018	8	11312	37695.8748	8	1
1_MACS_peak_4262_lociStitched	chr11	65183942	65193155	1	9214	57881.5938	9	1
8_MACS_peak_17799_lociStitched	chr3	141097484	141108388	8	10127	31653.2216	10	1
6_MACS_peak_20468_lociStitched	chr6	291125	301198	6	9424	41478.5994	11	1
9_MACS_peak_10948_lociStitched	chr17	74257786	74268824	9	9650	32470.4846	12	1
10_MACS_peak_11391_lociStitched	chr18	42287821	42298590	10	9528	21672.6125	13	1
9_MACS_peak_4272_lociStitched	chr11	65259178	65269260	9	8808	30297.4182	14	1
4_MACS_peak_1532_lociStitched	chr1	150533468	150541749	4	8175	37098.88	15	1
3_MACS_peak_2189_lociStitched	chr1	203288816	203297395	3	8403	30740.2728	16	1
6_MACS_peak_10456_lociStitched	chr17	43298616	43307847	6	8519	23593.5129	17	1
7_MACS_peak_12838_lociStitched	chr19	48438222	48447357	7	8307	26085.906	18	1
5_MACS_peak_19243_lociStitched	chr5	1312298	1320172	5	7540	31618.8344	19	1
10_MACS_peak_18636_lociStitched	chr4	71538501	71548306	10	8101	18958.948	20	1
8_MACS_peak_12829_lociStitched	chr19	48427241	48435286	8	7482	28768.92	21	1
6_MACS_peak_6085_lociStitched	chr12	122235188	122243487	6	7659	21824.7102	22	1
8_MACS_peak_18534_lociStitched	chr4	40193908	40202531	8	7574	21779.9734	23	1
4_MACS_peak_18226_lociStitched	chr3	197379714	197387048	4	7013	30682.5224	24	1
4_MACS_peak_1714_lociStitched	chr1	155944061	155951807	4	7227	24785.6508	25	1
4_MACS_peak_211_lociStitched	chr1	11022696	11030515	4	7571	17332.3773	26	1
1_MACS_peak_18167_lociStitched	chr3	195356874	195362973	1	6100	37750.3704	27	1
4_MACS_peak_20043_lociStitched	chr5	138723351	138730946	4	7368	20199.662	28	1
6_MACS_peak_5351_lociStitched	chr12	48200833	48208664	6	7109	22676.2267	29	1
4_MACS_peak_6793_lociStitched	chr13	114828050	114835321	4	6450	31817.896	30	1
4_MACS_peak_1707_lociStitched	chr1	155910373	155917517	4	6745	19936.7608	31	1
7_MACS_peak_3792_lociStitched	chr11	10323976	10331991	7	6912	15742.2615	32	1
6_MACS_peak_16362_lociStitched	chr22	29213365	29220858	6	6775	18630.5952	33	1
7_MACS_peak_4460_lociStitched	chr11	69453000	69460670	7	6825	15540.187	34	1
