REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MOLP.8.jin.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
3_MACS_peak_7595_lociStitched	chr14	106024801	106050944	3	26105	200407.0094	1	1		TMEM121	TMEM121	TMEM121	0.4337	1	1
5_MACS_peak_7604_lociStitched	chr14	106156358	106171204	5	14529	104889.9592	2	1			TMEM121	TMEM121	0.4337	2	1
4_MACS_peak_16243_lociStitched	chr22	23268930	23279605	4	10496	58877.9625	3	1		IGLL5	IGLL5	IGLL5	1.4577	3	1
6_MACS_peak_1744_lociStitched	chr1	156455897	156472906	6	15900	58604.5095	4	1	MEF2D		MEF2D	MEF2D	1.6847	4	1
1_MACS_peak_4262_lociStitched	chr11	65183942	65193155	1	9214	57881.5938	5	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	4.4784	5	1
6_MACS_peak_12845_lociStitched	chr19	48448483	48462583	6	13547	57657.72	6	1	SNAR-C3,SNAR-C2	SNAR-A12,SNAR-C5,SNAR-A2,SNAR-A7,SNAR-C4,SNAR-A13,SNAR-C1,ELSPBP1,BSPH1	SNAR-C3	SNAR-C3	4.3417	6	1
5_MACS_peak_20560_lociStitched	chr6	7904698	7919315	5	14034	53211.7268	7	1	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	1.3115	7	1
2_MACS_peak_7602_lociStitched	chr14	106144165	106155319	2	11083	53033.9238	8	1			TMEM121	TMEM121	0.4337	8	1
6_MACS_peak_20468_lociStitched	chr6	291125	301198	6	9424	41478.5994	9	1	DUSP22		DUSP22	DUSP22	1.767	9	1
1_MACS_peak_18167_lociStitched	chr3	195356874	195362973	1	6100	37750.3704	10	1		SDHAP2,APOD	SDHAP2	SDHAP2	0.4673	10	1
8_MACS_peak_6134_lociStitched	chr12	123411149	123424018	8	11312	37695.8748	11	1	ABCB9	OGFOD2,ARL6IP4,VPS37B	ABCB9	VPS37B	1.8172	11	1
4_MACS_peak_1532_lociStitched	chr1	150533468	150541749	4	8175	37098.88	12	1		ADAMTSL4,MIR4257,MCL1	MIR4257	ADAMTSL4	1.3192	12	1
3_MACS_peak_1501_lociStitched	chr1	149820843	149826350	3	5404	34366.4335	13	1	HIST2H2AA4,HIST2H3A,HIST2H2BC	HIST2H4B,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2BC	3.5819	13	1
4_MACS_peak_1496_lociStitched	chr1	149810596	149815558	4	4782	34186.1952	14	1	HIST2H3A,HIST2H2AA4	HIST2H4B,HIST2H2AC,HIST2H2BF,HIST2H3D,HIST2H2BC,HIST2H2BE,HIST2H2AB	HIST2H3A	HIST2H3A	3.6187	14	1
9_MACS_peak_10948_lociStitched	chr17	74257786	74268824	9	9650	32470.4846	15	1	FAM100B	RNF157,QRICH2	FAM100B	FAM100B	2.146	15	1
4_MACS_peak_6793_lociStitched	chr13	114828050	114835321	4	6450	31817.896	16	1	RASA3		RASA3	RASA3	0.6267	16	1
8_MACS_peak_17799_lociStitched	chr3	141097484	141108388	8	10127	31653.2216	17	1	ZBTB38		ZBTB38	ZBTB38	0.4167	17	1
5_MACS_peak_19243_lociStitched	chr5	1312298	1320172	5	7540	31618.8344	18	1	CLPTM1L	TERT	TERT	TERT	0.3362	18	1
2_MACS_peak_1507_lociStitched	chr1	149856008	149861023	2	4878	31073.943	19	1	HIST2H2AC,HIST2H2BE,HIST2H2AB	BOLA1,HIST2H3A,HIST2H2AA4,HIST2H2BC,SV2A,SF3B4,MTMR11	HIST2H2AC	HIST2H3A	3.6187	19	1
3_MACS_peak_2189_lociStitched	chr1	203288816	203297395	3	8403	30740.2728	20	1		BTG2,LOC730227,FMOD	BTG2	LOC730227	1.5106	20	1
4_MACS_peak_18226_lociStitched	chr3	197379714	197387048	4	7013	30682.5224	21	1		LOC220729,MIR922	MIR922	LOC220729	0.3522	21	1
9_MACS_peak_4272_lociStitched	chr11	65259178	65269260	9	8808	30297.4182	22	1	MALAT1	MIR612,SCYL1	MALAT1	MALAT1	2.1897	22	1
3_MACS_peak_14905_lociStitched	chr2	232570041	232576173	3	5839	30272.4576	23	1	PTMA	MIR1244-1	PTMA	PTMA	2.2331	23	1
3_MACS_peak_4317_lociStitched	chr11	65624554	65629633	3	4884	29415.5364	24	1	MUS81,CFL1	SNX32,CTSW,CCDC85B,EFEMP2,FIBP,FOSL1	MUS81	MUS81	2.0258	24	1
8_MACS_peak_12829_lociStitched	chr19	48427241	48435286	8	7482	28768.92	25	1	SNAR-C2	SNAR-A12,SNAR-C5,SNAR-A2,SNAR-A7,SNAR-C4,SNAR-A13,SNAR-C3,SNAR-C1,SULT2A1	SNAR-C2	SNAR-C3	4.3417	25	1
2_MACS_peak_1784_lociStitched	chr1	159889732	159895884	2	6111	26255.5056	26	1	TAGLN2	CCDC19,IGSF9,SLAMF9	TAGLN2	TAGLN2	1.8814	26	1
