#MOLP-8 Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/MOLP-8.H3K27ac_ROSE/MOLP-8_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by MOLP.8.jin.bam
#Using cutoff of 10796.7896 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MOLP.8.jin.bam	enhancerRank	isStretch
3_MACS_peak_7595_lociStitched	chr14	106024801	106050944	3	26105	200407.0094	1	1
6_MACS_peak_1744_lociStitched	chr1	156455897	156472906	6	15900	58604.5095	2	1
5_MACS_peak_7604_lociStitched	chr14	106156358	106171204	5	14529	104889.9592	3	1
5_MACS_peak_20560_lociStitched	chr6	7904698	7919315	5	14034	53211.7268	4	1
6_MACS_peak_12845_lociStitched	chr19	48448483	48462583	6	13547	57657.72	5	1
8_MACS_peak_6134_lociStitched	chr12	123411149	123424018	8	11312	37695.8748	6	1
2_MACS_peak_7602_lociStitched	chr14	106144165	106155319	2	11083	53033.9238	7	1
4_MACS_peak_16243_lociStitched	chr22	23268930	23279605	4	10496	58877.9625	8	1
8_MACS_peak_17799_lociStitched	chr3	141097484	141108388	8	10127	31653.2216	9	1
9_MACS_peak_10948_lociStitched	chr17	74257786	74268824	9	9650	32470.4846	10	1
10_MACS_peak_11391_lociStitched	chr18	42287821	42298590	10	9528	21672.6125	11	1
6_MACS_peak_20468_lociStitched	chr6	291125	301198	6	9424	41478.5994	12	1
1_MACS_peak_4262_lociStitched	chr11	65183942	65193155	1	9214	57881.5938	13	1
9_MACS_peak_4272_lociStitched	chr11	65259178	65269260	9	8808	30297.4182	14	1
6_MACS_peak_10456_lociStitched	chr17	43298616	43307847	6	8519	23593.5129	15	1
3_MACS_peak_2189_lociStitched	chr1	203288816	203297395	3	8403	30740.2728	16	1
7_MACS_peak_12838_lociStitched	chr19	48438222	48447357	7	8307	26085.906	17	1
4_MACS_peak_1532_lociStitched	chr1	150533468	150541749	4	8175	37098.88	18	1
10_MACS_peak_18636_lociStitched	chr4	71538501	71548306	10	8101	18958.948	19	1
6_MACS_peak_6085_lociStitched	chr12	122235188	122243487	6	7659	21824.7102	20	1
8_MACS_peak_18534_lociStitched	chr4	40193908	40202531	8	7574	21779.9734	21	1
4_MACS_peak_211_lociStitched	chr1	11022696	11030515	4	7571	17332.3773	22	1
5_MACS_peak_19243_lociStitched	chr5	1312298	1320172	5	7540	31618.8344	23	1
8_MACS_peak_12829_lociStitched	chr19	48427241	48435286	8	7482	28768.92	24	1
4_MACS_peak_20043_lociStitched	chr5	138723351	138730946	4	7368	20199.662	25	1
4_MACS_peak_1714_lociStitched	chr1	155944061	155951807	4	7227	24785.6508	26	1
6_MACS_peak_5351_lociStitched	chr12	48200833	48208664	6	7109	22676.2267	27	1
4_MACS_peak_18226_lociStitched	chr3	197379714	197387048	4	7013	30682.5224	28	1
7_MACS_peak_3792_lociStitched	chr11	10323976	10331991	7	6912	15742.2615	29	1
7_MACS_peak_4460_lociStitched	chr11	69453000	69460670	7	6825	15540.187	30	1
6_MACS_peak_16362_lociStitched	chr22	29213365	29220858	6	6775	18630.5952	31	1
4_MACS_peak_1707_lociStitched	chr1	155910373	155917517	4	6745	19936.7608	32	1
4_MACS_peak_16044_lociStitched	chr21	44580562	44587802	4	6543	21090.12	33	1
4_MACS_peak_6793_lociStitched	chr13	114828050	114835321	4	6450	31817.896	34	1
3_MACS_peak_5159_lociStitched	chr12	12866587	12873280	3	6392	21003.9726	35	1
4_MACS_peak_11482_lociStitched	chr18	49918062	49924473	4	6372	17377.0155	36	1
5_MACS_peak_19481_lociStitched	chr5	43036639	43043600	5	6344	18681.9318	37	1
4_MACS_peak_24249_lociStitched	chr8	126441215	126447926	4	6316	23591.1783	38	1
4_MACS_peak_9464_lociStitched	chr16	81684944	81691696	4	6283	19293.84	39	1
9_MACS_peak_14081_lociStitched	chr2	99076532	99083722	9	6267	14472.032	40	1
7_MACS_peak_7451_lociStitched	chr14	95980383	95986991	7	6226	16360.7472	41	1
5_MACS_peak_9964_lociStitched	chr17	16888736	16895304	5	6209	24126.2344	42	1
8_MACS_peak_25018_lociStitched	chr9	98268219	98275025	8	6166	15766.7796	43	1
3_MACS_peak_1665_lociStitched	chr1	154971156	154977388	3	6147	20860.3736	44	1
6_MACS_peak_18005_lociStitched	chr3	171814834	171821932	6	6116	14443.7202	45	1
2_MACS_peak_1784_lociStitched	chr1	159889732	159895884	2	6111	26255.5056	46	1
1_MACS_peak_18167_lociStitched	chr3	195356874	195362973	1	6100	37750.3704	47	1
3_MACS_peak_1648_lociStitched	chr1	154828311	154834519	3	6029	21493.9584	48	1
3_MACS_peak_7693_lociStitched	chr15	29210827	29216971	3	5981	16139.6736	49	1
4_MACS_peak_12205_lociStitched	chr19	16473400	16479935	4	5973	18753.4895	50	1
2_MACS_peak_1760_lociStitched	chr1	156716530	156722495	2	5950	24118.2845	51	1
3_MACS_peak_7409_lociStitched	chr14	91837649	91843754	3	5924	18351.63	52	1
5_MACS_peak_14098_lociStitched	chr2	99099847	99106747	5	5909	14899.17	53	1
3_MACS_peak_14905_lociStitched	chr2	232570041	232576173	3	5839	30272.4576	54	1
4_MACS_peak_7344_lociStitched	chr14	81421285	81427879	4	5832	17785.9962	55	1
4_MACS_peak_4299_lociStitched	chr11	65353606	65359532	4	5787	22387.2428	56	1
1_MACS_peak_740_lociStitched	chr1	44297255	44303005	1	5751	22611.875	57	1
6_MACS_peak_5828_lociStitched	chr12	104318636	104325276	6	5708	15996.424	58	1
2_MACS_peak_25099_lociStitched	chr9	108018192	108023922	2	5684	20202.261	59	1
9_MACS_peak_24033_lociStitched	chr8	98639650	98646040	9	5681	14227.974	60	1
1_MACS_peak_10680_lociStitched	chr17	56411986	56417625	1	5640	23101.2913	61	1
4_MACS_peak_24404_lociStitched	chr8	142425869	142431866	4	5624	14396.9979	62	1
6_MACS_peak_4719_lociStitched	chr11	111237542	111243825	6	5619	12878.2651	63	1
4_MACS_peak_22168_lociStitched	chr7	22481555	22487512	4	5609	18590.6056	64	1
5_MACS_peak_14878_lociStitched	chr2	231732517	231738951	5	5592	12512.8432	65	1
4_MACS_peak_22479_lociStitched	chr7	55599860	55605837	4	5574	18067.2756	66	1
3_MACS_peak_20479_lociStitched	chr6	315682	321467	3	5550	20283.367	67	1
6_MACS_peak_6075_lociStitched	chr12	122145442	122151829	6	5513	13033.9509	68	1
4_MACS_peak_2562_lociStitched	chr1	234742970	234748827	4	5490	22848.7427	69	1
4_MACS_peak_21481_lociStitched	chr6	106611240	106617320	4	5478	13701.28	70	1
5_MACS_peak_13815_lociStitched	chr2	65212010	65218011	5	5457	14571.6282	71	1
7_MACS_peak_12074_lociStitched	chr19	12899409	12905016	7	5409	14106.0906	72	1
3_MACS_peak_1501_lociStitched	chr1	149820843	149826350	3	5404	34366.4335	73	1
2_MACS_peak_226_lociStitched	chr1	11626236	11631726	2	5395	20200.455	74	1
4_MACS_peak_14949_lociStitched	chr2	236407277	236413194	4	5354	18586.4804	75	1
3_MACS_peak_15529_lociStitched	chr20	45984605	45990281	3	5278	17315.7732	76	1
2_MACS_peak_10810_lociStitched	chr17	65643796	65649184	2	5270	15172.608	77	1
4_MACS_peak_20485_lociStitched	chr6	325435	331065	4	5259	17500.855	78	1
9_MACS_peak_2759_lociStitched	chr10	5943109	5949256	9	5257	10998.8271	79	1
9_MACS_peak_2396_lociStitched	chr1	226105981	226113003	9	5254	16727.1062	80	1
4_MACS_peak_1754_lociStitched	chr1	156629971	156635729	4	5253	14208.4408	81	1
5_MACS_peak_9587_lociStitched	chr16	88846629	88852456	5	5237	11695.9544	82	1
5_MACS_peak_21605_lociStitched	chr6	119762175	119768298	5	5237	10674.2259	83	1
2_MACS_peak_1913_lociStitched	chr1	167596624	167601856	2	5222	16095.2016	84	1
3_MACS_peak_1315_lociStitched	chr1	118172671	118178125	3	5202	14220.7596	85	1
4_MACS_peak_22795_lociStitched	chr7	92461452	92466821	4	5197	12719.161	86	1
5_MACS_peak_22657_lociStitched	chr7	73241220	73246942	5	5183	13704.19	87	1
2_MACS_peak_2222_lociStitched	chr1	205252934	205258312	2	5180	17177.332	88	1
3_MACS_peak_6197_lociStitched	chr12	125400914	125406344	3	5155	22213.044	89	1
5_MACS_peak_21504_lociStitched	chr6	108878582	108884089	5	5153	19749.7541	90	1
3_MACS_peak_6179_lociStitched	chr12	124937039	124942776	3	5150	14637.9555	91	1
2_MACS_peak_20489_lociStitched	chr6	389099	394298	2	5122	16233.3576	92	1
7_MACS_peak_13506_lociStitched	chr2	31474697	31480789	7	5109	11434.0748	93	1
5_MACS_peak_11780_lociStitched	chr19	2697210	2702677	5	5098	12220.3851	94	1
3_MACS_peak_3644_lociStitched	chr11	267528	272897	3	5055	20024.7593	95	1
6_MACS_peak_4962_lociStitched	chr11	132225611	132231340	6	5028	14015.9985	96	1
4_MACS_peak_25685_lociStitched	chrX	40030653	40036502	4	5020	12292.2584	97	1
3_MACS_peak_1326_lociStitched	chr1	118194834	118200001	3	5004	17505.2793	98	1
5_MACS_peak_21871_lociStitched	chr6	158181315	158186446	5	4998	14146.167	99	1
4_MACS_peak_19291_lociStitched	chr5	6478807	6484802	4	4956	12820.907	100	1
6_MACS_peak_4293_lociStitched	chr11	65339397	65345310	6	4935	11951.9469	101	1
2_MACS_peak_16237_lociStitched	chr22	23234496	23239781	2	4915	13194.531	102	1
4_MACS_peak_21188_lociStitched	chr6	45387165	45392575	4	4892	15132.311	103	1
3_MACS_peak_4322_lociStitched	chr11	65655173	65660217	3	4891	16802.5728	104	1
3_MACS_peak_4317_lociStitched	chr11	65624554	65629633	3	4884	29415.5364	105	1
4_MACS_peak_16909_lociStitched	chr3	13053360	13058612	4	4883	13345.8572	106	1
2_MACS_peak_1507_lociStitched	chr1	149856008	149861023	2	4878	31073.943	107	1
7_MACS_peak_20651_lociStitched	chr6	16728187	16734197	7	4838	10711.623	108	1
5_MACS_peak_8084_lociStitched	chr15	65183390	65188510	5	4817	13349.888	109	1
3_MACS_peak_12101_lociStitched	chr19	13260583	13265535	3	4812	17757.3768	110	1
1_MACS_peak_1963_lociStitched	chr1	174125027	174129833	1	4807	18686.2086	111	1
2_MACS_peak_19150_lociStitched	chr4	185302429	185307261	2	4785	14144.2304	112	1
