#MOLP-8 Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/MOLP-8.H3K27ac_ROSE/MOLP-8_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by MOLP.8.jin.bam
#Using cutoff of 10796.7896 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MOLP.8.jin.bam	enhancerRank	isSuper
3_MACS_peak_7595_lociStitched	chr14	106024801	106050944	3	26105	200407.0094	1	1
5_MACS_peak_7604_lociStitched	chr14	106156358	106171204	5	14529	104889.9592	2	1
4_MACS_peak_16243_lociStitched	chr22	23268930	23279605	4	10496	58877.9625	3	1
6_MACS_peak_1744_lociStitched	chr1	156455897	156472906	6	15900	58604.5095	4	1
1_MACS_peak_4262_lociStitched	chr11	65183942	65193155	1	9214	57881.5938	5	1
6_MACS_peak_12845_lociStitched	chr19	48448483	48462583	6	13547	57657.72	6	1
5_MACS_peak_20560_lociStitched	chr6	7904698	7919315	5	14034	53211.7268	7	1
2_MACS_peak_7602_lociStitched	chr14	106144165	106155319	2	11083	53033.9238	8	1
6_MACS_peak_20468_lociStitched	chr6	291125	301198	6	9424	41478.5994	9	1
1_MACS_peak_18167_lociStitched	chr3	195356874	195362973	1	6100	37750.3704	10	1
8_MACS_peak_6134_lociStitched	chr12	123411149	123424018	8	11312	37695.8748	11	1
4_MACS_peak_1532_lociStitched	chr1	150533468	150541749	4	8175	37098.88	12	1
3_MACS_peak_1501_lociStitched	chr1	149820843	149826350	3	5404	34366.4335	13	1
4_MACS_peak_1496_lociStitched	chr1	149810596	149815558	4	4782	34186.1952	14	1
9_MACS_peak_10948_lociStitched	chr17	74257786	74268824	9	9650	32470.4846	15	1
4_MACS_peak_6793_lociStitched	chr13	114828050	114835321	4	6450	31817.896	16	1
8_MACS_peak_17799_lociStitched	chr3	141097484	141108388	8	10127	31653.2216	17	1
5_MACS_peak_19243_lociStitched	chr5	1312298	1320172	5	7540	31618.8344	18	1
2_MACS_peak_1507_lociStitched	chr1	149856008	149861023	2	4878	31073.943	19	1
3_MACS_peak_2189_lociStitched	chr1	203288816	203297395	3	8403	30740.2728	20	1
4_MACS_peak_18226_lociStitched	chr3	197379714	197387048	4	7013	30682.5224	21	1
9_MACS_peak_4272_lociStitched	chr11	65259178	65269260	9	8808	30297.4182	22	1
3_MACS_peak_14905_lociStitched	chr2	232570041	232576173	3	5839	30272.4576	23	1
3_MACS_peak_4317_lociStitched	chr11	65624554	65629633	3	4884	29415.5364	24	1
8_MACS_peak_12829_lociStitched	chr19	48427241	48435286	8	7482	28768.92	25	1
2_MACS_peak_1784_lociStitched	chr1	159889732	159895884	2	6111	26255.5056	26	1
7_MACS_peak_12838_lociStitched	chr19	48438222	48447357	7	8307	26085.906	27	1
1_MACS_peak_14333_lociStitched	chr2	133024755	133027288	1	2534	25221.5876	28	1
4_MACS_peak_1714_lociStitched	chr1	155944061	155951807	4	7227	24785.6508	29	1
5_MACS_peak_9964_lociStitched	chr17	16888736	16895304	5	6209	24126.2344	30	1
2_MACS_peak_1760_lociStitched	chr1	156716530	156722495	2	5950	24118.2845	31	1
2_MACS_peak_1624_lociStitched	chr1	154297267	154301822	2	4546	24046.756	32	1
6_MACS_peak_10456_lociStitched	chr17	43298616	43307847	6	8519	23593.5129	33	1
4_MACS_peak_24249_lociStitched	chr8	126441215	126447926	4	6316	23591.1783	34	1
