#KMS28BM_H3K27ac_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/KMS28BM_H3K27ac_ROSE/KMS28BM_H3K27ac_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by KMS28BM_jia.bam
#Using cutoff of 17368.6331 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	KMS28BM_jia.bam	enhancerRank	isSuper
3_MACS_peak_24961_lociStitched	chr6	290139	338430	3	45112	211026.8409	1	1
6_MACS_peak_12903_lociStitched	chr17	62133815	62210728	6	71293	186506.3337	2	1
3_MACS_peak_27839_lociStitched	chr7	90329699	90368260	3	32491	163864.9695	3	1
7_MACS_peak_20996_lociStitched	chr3	151982113	152055269	7	66559	162764.7844	4	1
3_MACS_peak_5292_lociStitched	chr11	65183008	65223433	3	35518	162310.4175	5	1
3_MACS_peak_1727_lociStitched	chr1	149800313	149836551	3	33024	162070.8312	6	1
5_MACS_peak_5295_lociStitched	chr11	65236054	65278901	5	36207	142701.9335	7	1
4_MACS_peak_9384_lociStitched	chr14	106143610	106178975	4	34147	141290.248	8	1
5_MACS_peak_9379_lociStitched	chr14	106023633	106057774	5	33659	139564.9939	9	1
3_MACS_peak_16480_lociStitched	chr2	99054574	99108304	3	45079	136630.017	10	1
2_MACS_peak_23931_lociStitched	chr5	88162739	88202491	2	39405	128247.9024	11	1
3_MACS_peak_29824_lociStitched	chr8	120912539	120950308	3	35967	126832.0789	12	1
1_MACS_peak_1752_lociStitched	chr1	150531748	150553405	1	21658	123488.214	13	1
3_MACS_peak_17191_lociStitched	chr2	197014830	197049391	3	32801	120676.6437	14	1
4_MACS_peak_20888_lociStitched	chr3	141088404	141131859	4	38598	117637.0305	15	1
1_MACS_peak_22349_lociStitched	chr4	90205256	90230235	1	24980	116661.9216	16	1
2_MACS_peak_973_lociStitched	chr1	51423416	51451758	2	27229	112157.7966	17	1
3_MACS_peak_23942_lociStitched	chr5	88727978	88754946	3	26313	110452.8376	18	1
3_MACS_peak_22146_lociStitched	chr4	71515753	71556342	3	33723	109736.4204	19	1
2_MACS_peak_5306_lociStitched	chr11	65335366	65359585	2	22720	109733.8671	20	1
4_MACS_peak_29906_lociStitched	chr8	126285028	126322779	4	31172	107556.3741	21	1
1_MACS_peak_12853_lociStitched	chr17	57901482	57928249	1	26768	105858.1316	22	1
2_MACS_peak_23922_lociStitched	chr5	87948599	87977071	2	26669	101963.9264	23	1
4_MACS_peak_16409_lociStitched	chr2	89130729	89171199	4	36542	101668.734	24	1
1_MACS_peak_26281_lociStitched	chr6	106530229	106556289	1	26061	101628.788	25	1
6_MACS_peak_2022_lociStitched	chr1	161122667	161158663	6	22829	101411.5308	26	1
5_MACS_peak_25380_lociStitched	chr6	27772631	27808606	5	28704	100676.0375	27	1
5_MACS_peak_9528_lociStitched	chr15	31615442	31660747	5	35230	100305.27	28	1
11_MACS_peak_9138_lociStitched	chr14	91781492	91867125	11	53566	100190.61	29	1
3_MACS_peak_24325_lociStitched	chr5	131744631	131774004	3	21253	100153.1181	30	1
1_MACS_peak_18668_lociStitched	chr21	19151603	19173399	1	21797	98923.3256	31	1
2_MACS_peak_29558_lociStitched	chr8	95953724	95977811	2	21213	97930.5159	32	1
1_MACS_peak_15589_lociStitched	chr2	20404135	20425773	1	21639	97816.7428	33	1
3_MACS_peak_28479_lociStitched	chr7	137661653	137694244	3	27135	97528.5675	34	1
2_MACS_peak_15786_lociStitched	chr2	37533544	37578605	2	41150	93411.453	35	1
2_MACS_peak_21747_lociStitched	chr4	15002111	15031777	2	24549	92554.9534	36	1
5_MACS_peak_5259_lociStitched	chr11	64614599	64648780	5	27821	90466.8527	37	1
1_MACS_peak_21185_lociStitched	chr3	171800094	171828019	1	27926	89516.38	38	1
3_MACS_peak_9042_lociStitched	chr14	81930553	81959364	3	26499	89319.8622	39	1
8_MACS_peak_10459_lociStitched	chr15	93340528	93389664	8	25353	87393.2896	40	1
4_MACS_peak_27872_lociStitched	chr7	92392959	92429804	4	30898	87234.222	41	1
4_MACS_peak_814_lociStitched	chr1	40838869	40871121	4	30973	87231.9844	42	1
3_MACS_peak_3833_lociStitched	chr10	74075184	74097518	3	20785	87053.4652	43	1
6_MACS_peak_26154_lociStitched	chr6	90048587	90086586	6	27139	87048.1092	44	1
2_MACS_peak_9524_lociStitched	chr15	31545317	31562239	2	16883	86906.3154	45	1
1_MACS_peak_24848_lociStitched	chr5	173309922	173356904	1	46983	85775.0374	46	1
2_MACS_peak_27128_lociStitched	chr7	23028266	23055073	2	26786	85251.6214	47	1
3_MACS_peak_1931_lociStitched	chr1	156456908	156479650	3	20340	85111.935	48	1
2_MACS_peak_18467_lociStitched	chr20	52191492	52215889	2	24101	84596.5975	49	1
7_MACS_peak_25347_lociStitched	chr6	27088407	27130298	7	27444	84594.6854	50	1
4_MACS_peak_28040_lociStitched	chr7	101921088	101955398	4	26076	83905.105	51	1
1_MACS_peak_2945_lociStitched	chr1	234733414	234750837	1	17424	83736.6803	52	1
4_MACS_peak_11675_lociStitched	chr16	87880416	87905796	4	23917	82979.91	53	1
4_MACS_peak_13671_lociStitched	chr18	46448217	46480230	4	26982	82904.0661	54	1
2_MACS_peak_10829_lociStitched	chr16	11817823	11838157	2	20274	82486.9044	55	1
1_MACS_peak_17267_lociStitched	chr2	201979330	201997923	1	18594	82119.7031	56	1
7_MACS_peak_25301_lociStitched	chr6	26169206	26207992	7	25889	81000.6824	57	1
3_MACS_peak_5881_lociStitched	chr11	115088106	115111207	3	17881	80876.601	58	1
4_MACS_peak_25064_lociStitched	chr6	7887739	7920180	4	30719	80512.0738	59	1
9_MACS_peak_2563_lociStitched	chr1	206845748	206900639	9	37563	80289.0657	60	1
3_MACS_peak_29227_lociStitched	chr8	61806469	61830786	3	20331	79664.9237	61	1
3_MACS_peak_26049_lociStitched	chr6	79764626	79794933	3	25312	79631.6425	62	1
3_MACS_peak_23936_lociStitched	chr5	88595584	88621231	3	22297	79244.1006	63	1
2_MACS_peak_12590_lociStitched	chr17	43296510	43313764	2	13459	78954.304	64	1
1_MACS_peak_29910_lociStitched	chr8	126338438	126357134	1	18697	78493.2864	65	1
8_MACS_peak_2484_lociStitched	chr1	203236364	203279085	8	25664	76709.8276	66	1
4_MACS_peak_6592_lociStitched	chr12	48193455	48220981	4	21847	76569.0742	67	1
4_MACS_peak_27215_lociStitched	chr7	29694639	29735930	4	35787	76157.1204	68	1
2_MACS_peak_341_lociStitched	chr1	17754073	17770716	2	11786	76133.4035	69	1
3_MACS_peak_329_lociStitched	chr1	17215373	17233396	3	13441	76051.6531	70	1
3_MACS_peak_122_lociStitched	chr1	6656566	6675977	3	16379	75491.3201	71	1
9_MACS_peak_10467_lociStitched	chr15	93423358	93470180	9	29861	75055.666	72	1
2_MACS_peak_29433_lociStitched	chr8	81044920	81062806	2	17660	74779.5774	73	1
4_MACS_peak_7457_lociStitched	chr12	122227267	122251504	4	18892	74664.5022	74	1
2_MACS_peak_8371_lociStitched	chr14	23018241	23040678	2	20550	73990.4949	75	1
2_MACS_peak_1911_lociStitched	chr1	155938845	155953915	2	15025	73356.239	76	1
4_MACS_peak_3204_lociStitched	chr10	11203457	11229119	4	21866	73069.9788	77	1
4_MACS_peak_12411_lociStitched	chr17	37908976	37937851	4	23457	72915.15	78	1
2_MACS_peak_22211_lociStitched	chr4	77110605	77138778	2	23405	72751.1379	79	1
7_MACS_peak_3823_lociStitched	chr10	74004200	74038374	7	22657	72667.5936	80	1
5_MACS_peak_13825_lociStitched	chr18	60842317	60865381	5	21175	71809.764	81	1
3_MACS_peak_9202_lociStitched	chr14	94420188	94447234	3	26013	71769.2656	82	1
1_MACS_peak_24200_lociStitched	chr5	118667373	118682570	1	15198	71608.264	83	1
3_MACS_peak_9521_lociStitched	chr15	31506221	31531964	3	25242	70710.8724	84	1
4_MACS_peak_6269_lociStitched	chr12	9869495	9903599	4	29521	70636.2048	85	1
9_MACS_peak_13158_lociStitched	chr17	76108186	76144658	9	26969	70562.3784	86	1
3_MACS_peak_27876_lociStitched	chr7	92436937	92466909	3	21604	70257.3652	87	1
1_MACS_peak_380_lociStitched	chr1	21614906	21624193	1	9288	69694.2915	88	1
4_MACS_peak_4728_lociStitched	chr11	10314678	10344848	4	21046	69638.394	89	1
2_MACS_peak_29676_lociStitched	chr8	103809623	103828874	2	14373	68712.5943	90	1
4_MACS_peak_9169_lociStitched	chr14	93029359	93056235	4	19089	68649.3668	91	1
3_MACS_peak_2394_lociStitched	chr1	197730280	197749086	3	14307	68201.8396	92	1
4_MACS_peak_12817_lociStitched	chr17	56405957	56430717	4	17298	67324.916	93	1
1_MACS_peak_27137_lociStitched	chr7	23502502	23519517	1	17016	66823.0095	94	1
2_MACS_peak_2300_lociStitched	chr1	184704079	184725752	2	20742	66735.5016	95	1
2_MACS_peak_9003_lociStitched	chr14	77487225	77511096	2	22525	66444.9285	96	1
4_MACS_peak_29344_lociStitched	chr8	71500075	71530793	4	25371	66098.9924	97	1
1_MACS_peak_21946_lociStitched	chr4	40190702	40211432	1	20731	65581.428	98	1
1_MACS_peak_23601_lociStitched	chr5	53813348	53830853	1	17506	64808.7615	99	1
2_MACS_peak_12669_lociStitched	chr17	46123386	46142801	2	19309	64671.365	100	1
2_MACS_peak_14569_lociStitched	chr19	19045939	19062715	2	14740	64597.6656	101	1
4_MACS_peak_29586_lociStitched	chr8	98639114	98666418	4	23257	64543.9256	102	1
3_MACS_peak_3175_lociStitched	chr10	7510650	7535865	3	21408	64245.2985	103	1
3_MACS_peak_30067_lociStitched	chr8	142411354	142434425	3	13656	64098.1593	104	1
2_MACS_peak_4320_lociStitched	chr10	111639870	111665279	2	21795	63956.9939	105	1
3_MACS_peak_22638_lociStitched	chr4	124317234	124344090	3	22469	63702.432	106	1
2_MACS_peak_28091_lociStitched	chr7	104649802	104665734	2	13797	63600.544	107	1
1_MACS_peak_1863_lociStitched	chr1	154969968	154979264	1	9297	63591.1472	108	1
1_MACS_peak_1730_lociStitched	chr1	149854590	149861807	1	7218	63219.4766	109	1
2_MACS_peak_12061_lociStitched	chr17	17720763	17744766	2	23985	62847.0549	110	1
4_MACS_peak_7490_lociStitched	chr12	123355189	123387275	4	27320	62817.9708	111	1
2_MACS_peak_8332_lociStitched	chr14	20952093	20969808	2	15673	62748.3015	112	1
4_MACS_peak_28050_lociStitched	chr7	102062480	102086812	4	19821	62623.2684	113	1
1_MACS_peak_20993_lociStitched	chr3	151909589	151924462	1	14874	62184.013	114	1
7_MACS_peak_14349_lociStitched	chr19	12885720	12918088	7	20283	61340.5968	115	1
2_MACS_peak_1840_lociStitched	chr1	154373676	154394607	2	15388	61175.0337	116	1
6_MACS_peak_10769_lociStitched	chr16	9141381	9176170	6	19154	61159.062	117	1
2_MACS_peak_28105_lociStitched	chr7	104935697	104952401	2	15858	61081.5168	118	1
5_MACS_peak_11100_lociStitched	chr16	29815074	29837767	5	19429	60744.6224	119	1
4_MACS_peak_5375_lociStitched	chr11	67029870	67058381	4	14984	60477.5332	120	1
2_MACS_peak_5830_lociStitched	chr11	111230710	111251274	2	14632	60357.3964	121	1
3_MACS_peak_13719_lociStitched	chr18	49915634	49937321	3	17317	60352.7523	122	1
3_MACS_peak_22525_lociStitched	chr4	113191607	113220355	3	19175	60347.8016	123	1
1_MACS_peak_4009_lociStitched	chr10	89619621	89640543	1	20923	60270.0054	124	1
2_MACS_peak_13823_lociStitched	chr18	60817233	60832982	2	14957	60241.4999	125	1
9_MACS_peak_4340_lociStitched	chr10	112146300	112184382	9	22855	59685.9186	126	1
3_MACS_peak_129_lociStitched	chr1	6878399	6902855	3	16686	59423.1888	127	1
4_MACS_peak_5492_lociStitched	chr11	72850115	72869402	4	15383	59087.6532	128	1
3_MACS_peak_787_lociStitched	chr1	40238311	40256466	3	14706	58894.82	129	1
2_MACS_peak_3365_lociStitched	chr10	24735140	24756660	2	19311	58848.592	130	1
1_MACS_peak_29435_lociStitched	chr8	81071476	81085178	1	13703	58677.4448	131	1
2_MACS_peak_14951_lociStitched	chr19	45244492	45261312	2	13640	58338.488	132	1
3_MACS_peak_21572_lociStitched	chr4	1856554	1879893	3	22004	58268.1474	133	1
1_MACS_peak_12260_lociStitched	chr17	29634295	29649690	1	15396	57229.373	134	1
4_MACS_peak_5385_lociStitched	chr11	67187547	67213014	4	13811	56304.9903	135	1
3_MACS_peak_23432_lociStitched	chr5	32567452	32593576	3	26003	56289.3828	136	1
3_MACS_peak_17277_lociStitched	chr2	202109907	202133103	3	18461	56213.1864	137	1
1_MACS_peak_18370_lociStitched	chr20	45978229	45991375	1	13147	55624.6698	138	1
3_MACS_peak_31269_lociStitched	chr9	127614689	127638392	3	14253	55047.8472	139	1
2_MACS_peak_5954_lociStitched	chr11	119229452	119242479	2	12881	54675.6217	140	1
1_MACS_peak_30623_lociStitched	chr9	66454581	66460481	1	5901	54455.23	141	1
3_MACS_peak_30053_lociStitched	chr8	141582066	141610509	3	23991	54400.0818	142	1
4_MACS_peak_13119_lociStitched	chr17	74706150	74735666	4	17310	54368.472	143	1
3_MACS_peak_9628_lociStitched	chr15	40387148	40408973	3	19270	54217.665	144	1
3_MACS_peak_10547_lociStitched	chr15	101660314	101681513	3	15830	54142.246	145	1
1_MACS_peak_6841_lociStitched	chr12	57844891	57857117	1	12227	54111.0534	146	1
2_MACS_peak_32212_lociStitched	chrX	81333241	81359695	2	22216	53934.4152	147	1
1_MACS_peak_2492_lociStitched	chr1	203288432	203299190	1	10759	53643.6912	148	1
1_MACS_peak_23388_lociStitched	chr5	26869397	26891217	1	21821	53581.192	149	1
5_MACS_peak_1858_lociStitched	chr1	154927087	154957122	5	16756	53426.258	150	1
1_MACS_peak_24328_lociStitched	chr5	131791234	131804331	1	13098	53300.8609	151	1
3_MACS_peak_14802_lociStitched	chr19	39880643	39904247	3	17460	52931.97	152	1
2_MACS_peak_66_lociStitched	chr1	2219927	2234766	2	9593	52596.8355	153	1
1_MACS_peak_23233_lociStitched	chr5	1310842	1320496	1	9655	52336.2648	154	1
3_MACS_peak_23021_lociStitched	chr4	170904126	170931293	3	17648	52274.7414	155	1
2_MACS_peak_6834_lociStitched	chr12	57620294	57639166	2	14501	52184.8544	156	1
2_MACS_peak_3692_lociStitched	chr10	63796010	63815553	2	17956	51843.6704	157	1
1_MACS_peak_7_lociStitched	chr1	874656	882078	1	7423	51828.5682	158	1
1_MACS_peak_23116_lociStitched	chr4	185200548	185211346	1	10799	51798.006	159	1
3_MACS_peak_2443_lociStitched	chr1	200979543	200995694	3	14654	51789.7966	160	1
1_MACS_peak_25561_lociStitched	chr6	32934328	32943739	1	9412	51073.497	161	1
1_MACS_peak_31105_lociStitched	chr9	112903468	112920922	1	17455	51007.5696	162	1
2_MACS_peak_1943_lociStitched	chr1	156709024	156723274	2	10914	50958	163	1
7_MACS_peak_18814_lociStitched	chr21	36575186	36609096	7	24880	50756.488	164	1
1_MACS_peak_55_lociStitched	chr1	1706188	1714260	1	8073	50668.7512	165	1
1_MACS_peak_29808_lociStitched	chr8	119572476	119582254	1	9779	50622.6616	166	1
1_MACS_peak_24544_lociStitched	chr5	142770564	142786965	1	16402	50556.0825	167	1
7_MACS_peak_7800_lociStitched	chr13	41547782	41595224	7	34846	50298.0084	168	1
3_MACS_peak_28567_lociStitched	chr7	148394473	148424035	3	24605	50276.0934	169	1
2_MACS_peak_8348_lociStitched	chr14	21565789	21580663	2	13972	50030.1864	170	1
6_MACS_peak_8928_lociStitched	chr14	74206864	74243219	6	27248	49980.854	171	1
3_MACS_peak_5967_lociStitched	chr11	120195098	120216840	3	16764	49806.5736	172	1
1_MACS_peak_11305_lociStitched	chr16	56964593	56982021	1	17429	49748.226	173	1
1_MACS_peak_23431_lociStitched	chr5	32529777	32544971	1	15195	49492.9356	174	1
1_MACS_peak_24111_lociStitched	chr5	109023929	109041434	1	17506	49420.116	175	1
3_MACS_peak_28452_lociStitched	chr7	134830618	134856719	3	15625	49320.4496	176	1
