REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	KMS28BM_jia.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
6_MACS_peak_12903_lociStitched	chr17	62133815	62210728	6	71293	186506.3337	1	1	ERN1	SNORD104,SNORA76,ICAM2	ERN1	1	1
7_MACS_peak_20996_lociStitched	chr3	151982113	152055269	7	66559	162764.7844	2	1	MBNL1,LOC401093	TMEM14E	MBNL1	2	1
11_MACS_peak_9138_lociStitched	chr14	91781492	91867125	11	53566	100190.61	3	1	CCDC88C		CCDC88C	3	1
1_MACS_peak_24848_lociStitched	chr5	173309922	173356904	1	46983	85775.0374	4	1	CPEB4		CPEB4	4	1
3_MACS_peak_24961_lociStitched	chr6	290139	338430	3	45112	211026.8409	5	1	DUSP22		DUSP22	5	1
3_MACS_peak_16480_lociStitched	chr2	99054574	99108304	3	45079	136630.017	6	1	INPP4A		INPP4A	6	1
2_MACS_peak_15786_lociStitched	chr2	37533544	37578605	2	41150	93411.453	7	1	QPCT,PRKD3		PRKD3	7	1
2_MACS_peak_23931_lociStitched	chr5	88162739	88202491	2	39405	128247.9024	8	1	MEF2C	MEF2C	MEF2C	8	1
13_MACS_peak_2857_lociStitched	chr1	228744033	228784394	13	39045	42395.1944	9	1	DUSP5P		DUSP5P	9	1
4_MACS_peak_20888_lociStitched	chr3	141088404	141131859	4	38598	117637.0305	10	1	ZBTB38		ZBTB38	10	1
9_MACS_peak_2563_lociStitched	chr1	206845748	206900639	9	37563	80289.0657	11	1	MAPKAPK2	DYRK3,IL10	MAPKAPK2	11	1
4_MACS_peak_16409_lociStitched	chr2	89130729	89171199	4	36542	101668.734	12	1			ANKRD36BP2	12	1
5_MACS_peak_5295_lociStitched	chr11	65236054	65278901	5	36207	142701.9335	13	1	MALAT1	NEAT1,MIR612,SCYL1,LTBP3	MALAT1	13	1
3_MACS_peak_29824_lociStitched	chr8	120912539	120950308	3	35967	126832.0789	14	1	DEPDC6	DSCC1	DEPDC6	14	1
4_MACS_peak_27215_lociStitched	chr7	29694639	29735930	4	35787	76157.1204	15	1	DPY19L2P3,LOC646762,LOC100271874		LOC646762	15	1
3_MACS_peak_5292_lociStitched	chr11	65183008	65223433	3	35518	162310.4175	16	1	NEAT1,MIR612	FRMD8,MALAT1,SLC25A45	MIR612	16	1
5_MACS_peak_9528_lociStitched	chr15	31615442	31660747	5	35230	100305.27	17	1	KLF13		KLF13	17	1
7_MACS_peak_7800_lociStitched	chr13	41547782	41595224	7	34846	50298.0084	18	1	ELF1	WBP4	ELF1	18	1
4_MACS_peak_9384_lociStitched	chr14	106143610	106178975	4	34147	141290.248	19	1			TMEM121	19	1
3_MACS_peak_22146_lociStitched	chr4	71515753	71556342	3	33723	109736.4204	20	1	UTP3,IGJ	ENAM,RUFY3	IGJ	20	1
5_MACS_peak_9379_lociStitched	chr14	106023633	106057774	5	33659	139564.9939	21	1		TMEM121	TMEM121	21	1
3_MACS_peak_1727_lociStitched	chr1	149800313	149836551	3	33024	162070.8312	22	1	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	22	1
3_MACS_peak_17191_lociStitched	chr2	197014830	197049391	3	32801	120676.6437	23	1	STK17B		STK17B	23	1
3_MACS_peak_27839_lociStitched	chr7	90329699	90368260	3	32491	163864.9695	24	1	CDK14		CDK14	24	1
4_MACS_peak_29906_lociStitched	chr8	126285028	126322779	4	31172	107556.3741	25	1	NSMCE2		TRIB1	25	1
4_MACS_peak_814_lociStitched	chr1	40838869	40871121	4	30973	87231.9844	26	1	SMAP2	ZNF643	SMAP2	26	1
4_MACS_peak_27872_lociStitched	chr7	92392959	92429804	4	30898	87234.222	27	1	CDK6		CDK6	27	1
4_MACS_peak_25064_lociStitched	chr6	7887739	7920180	4	30719	80512.0738	28	1	MUTED-TXNDC5,TXNDC5		TXNDC5	28	1
9_MACS_peak_10467_lociStitched	chr15	93423358	93470180	9	29861	75055.666	29	1	LOC100507217,CHD2,MIR3175		MIR3175	29	1
4_MACS_peak_6269_lociStitched	chr12	9869495	9903599	4	29521	70636.2048	30	1	CLECL1	CLEC2D,CD69	CLECL1	30	1
5_MACS_peak_25380_lociStitched	chr6	27772631	27808606	5	28704	100676.0375	31	1	HIST1H2AI,HIST1H3H,HIST1H2BM,HIST1H4J,HIST1H2BN,HIST1H2BL,HIST1H2AJ,HIST1H4K,HIST1H2AK	HIST1H2AL,HIST1H1B,HIST1H3I,HIST1H4L,HIST1H3J	HIST1H4J	31	1
1_MACS_peak_21185_lociStitched	chr3	171800094	171828019	1	27926	89516.38	32	1	FNDC3B		FNDC3B	32	1
5_MACS_peak_5259_lociStitched	chr11	64614599	64648780	5	27821	90466.8527	33	1	EHD1	PPP2R5B,MAP4K2,MEN1,CDC42BPG,MIR192,MIR194-2,ATG2A	EHD1	33	1
7_MACS_peak_25347_lociStitched	chr6	27088407	27130298	7	27444	84594.6854	34	1	HIST1H2AG,HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BJ,HIST1H2BK		HIST1H4I	34	1
4_MACS_peak_7490_lociStitched	chr12	123355189	123387275	4	27320	62817.9708	35	1	VPS37B	HIP1R	VPS37B	35	1
6_MACS_peak_16400_lociStitched	chr2	88898940	88928721	6	27265	36026.0757	36	1	EIF2AK3		EIF2AK3	36	1
6_MACS_peak_8928_lociStitched	chr14	74206864	74243219	6	27248	49980.854	37	1	C14orf43	PNMA1	C14orf43	37	1
2_MACS_peak_973_lociStitched	chr1	51423416	51451758	2	27229	112157.7966	38	1	CDKN2C,FAF1		CDKN2C	38	1
6_MACS_peak_26154_lociStitched	chr6	90048587	90086586	6	27139	87048.1092	39	1	UBE2J1,RRAGD	GABRR2	UBE2J1	39	1
3_MACS_peak_28479_lociStitched	chr7	137661653	137694244	3	27135	97528.5675	40	1	CREB3L2		CREB3L2	40	1
4_MACS_peak_13671_lociStitched	chr18	46448217	46480230	4	26982	82904.0661	41	1	SMAD7		SMAD7	41	1
9_MACS_peak_13158_lociStitched	chr17	76108186	76144658	9	26969	70562.3784	42	1	TMC8,C17orf99,TMC6	SYNGR2,AFMID,TK1	TMC8	42	1
2_MACS_peak_27128_lociStitched	chr7	23028266	23055073	2	26786	85251.6214	43	1	FAM126A		FAM126A	43	1
1_MACS_peak_12853_lociStitched	chr17	57901482	57928249	1	26768	105858.1316	44	1	TMEM49,MIR21	RPS6KB1,TUBD1	MIR21	44	1
2_MACS_peak_23922_lociStitched	chr5	87948599	87977071	2	26669	101963.9264	45	1	LOC645323,MIR9-2		MIR9-2	45	1
3_MACS_peak_9042_lociStitched	chr14	81930553	81959364	3	26499	89319.8622	46	1	SEL1L		SEL1L	46	1
3_MACS_peak_23942_lociStitched	chr5	88727978	88754946	3	26313	110452.8376	47	1			MEF2C	47	1
4_MACS_peak_28040_lociStitched	chr7	101921088	101955398	4	26076	83905.105	48	1	CUX1,SH2B2,MIR4285	SPDYE6	MIR4285	48	1
1_MACS_peak_26281_lociStitched	chr6	106530229	106556289	1	26061	101628.788	49	1	PRDM1		PRDM1	49	1
3_MACS_peak_9202_lociStitched	chr14	94420188	94447234	3	26013	71769.2656	50	1	ASB2	FAM181A,C14orf48,OTUB2,C14orf86	ASB2	50	1
3_MACS_peak_23432_lociStitched	chr5	32567452	32593576	3	26003	56289.3828	51	1	SUB1		SUB1	51	1
7_MACS_peak_25301_lociStitched	chr6	26169206	26207992	7	25889	81000.6824	52	1	HIST1H2BD,HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H2AC,HIST1H1E,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BC,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H4D	52	1
8_MACS_peak_2484_lociStitched	chr1	203236364	203279085	8	25664	76709.8276	53	1	BTG2,LOC730227	CHIT1,FMOD	LOC730227	53	1
4_MACS_peak_29344_lociStitched	chr8	71500075	71530793	4	25371	66098.9924	54	1	TRAM1		TRAM1	54	1
8_MACS_peak_10459_lociStitched	chr15	93340528	93389664	8	25353	87393.2896	55	1		ASB9P1,LOC100507217	ASB9P1	55	1
3_MACS_peak_26049_lociStitched	chr6	79764626	79794933	3	25312	79631.6425	56	1	PHIP		PHIP	56	1
3_MACS_peak_9521_lociStitched	chr15	31506221	31531964	3	25242	70710.8724	57	1			KLF13	57	1
5_MACS_peak_16378_lociStitched	chr2	87754258	87787949	5	25232	47915.3402	58	1	NCRNA00152		NCRNA00152	58	1
1_MACS_peak_22349_lociStitched	chr4	90205256	90230235	1	24980	116661.9216	59	1	GPRIN3		GPRIN3	59	1
7_MACS_peak_18814_lociStitched	chr21	36575186	36609096	7	24880	50756.488	60	1			RUNX1	60	1
3_MACS_peak_28567_lociStitched	chr7	148394473	148424035	3	24605	50276.0934	61	1	CUL1		CUL1	61	1
2_MACS_peak_21747_lociStitched	chr4	15002111	15031777	2	24549	92554.9534	62	1	CPEB2		CPEB2	62	1
6_MACS_peak_16890_lociStitched	chr2	161195321	161227922	6	24236	37132.539	63	1	RBMS1		RBMS1	63	1
2_MACS_peak_18467_lociStitched	chr20	52191492	52215889	2	24101	84596.5975	64	1	ZNF217		ZNF217	64	1
3_MACS_peak_30053_lociStitched	chr8	141582066	141610509	3	23991	54400.0818	65	1	EIF2C2		EIF2C2	65	1
2_MACS_peak_12061_lociStitched	chr17	17720763	17744766	2	23985	62847.0549	66	1	SREBF1	SMCR5,MIR33B	SREBF1	66	1
4_MACS_peak_11675_lociStitched	chr16	87880416	87905796	4	23917	82979.91	67	1	SLC7A5		SLC7A5	67	1
4_MACS_peak_12411_lociStitched	chr17	37908976	37937851	4	23457	72915.15	68	1	IKZF3	GRB7,C17orf37	GRB7	68	1
2_MACS_peak_22211_lociStitched	chr4	77110605	77138778	2	23405	72751.1379	69	1	SCARB2	FAM47E,NUP54	SCARB2	69	1
4_MACS_peak_29586_lociStitched	chr8	98639114	98666418	4	23257	64543.9256	70	1	MTDH		MTDH	70	1
5_MACS_peak_26322_lociStitched	chr6	108897107	108932862	5	22885	35919.473	71	1	FOXO3		FOXO3	71	1
9_MACS_peak_4340_lociStitched	chr10	112146300	112184382	9	22855	59685.9186	72	1			DUSP5	72	1
6_MACS_peak_2022_lociStitched	chr1	161122667	161158663	6	22829	101411.5308	73	1	UFC1,USP21,PPOX,B4GALT3	NIT1,NDUFS2,FCER1G,TOMM40L,PFDN2,DEDD,ADAMTS4,APOA2,NR1I3	PPOX	73	1
2_MACS_peak_5306_lociStitched	chr11	65335366	65359585	2	22720	109733.8671	74	1	SSSCA1,FAM89B,EHBP1L1	SCYL1,PCNXL3,SIPA1,LTBP3,KCNK7,MAP3K11	EHBP1L1	74	1
7_MACS_peak_3823_lociStitched	chr10	74004200	74038374	7	22657	72667.5936	75	1	DDIT4	ANAPC16,ASCC1	DDIT4	75	1
2_MACS_peak_9003_lociStitched	chr14	77487225	77511096	2	22525	66444.9285	76	1	C14orf4		C14orf4	76	1
4_MACS_peak_1907_lociStitched	chr1	155899901	155932381	4	22474	42366.912	77	1	RXFP4,KIAA0907,ARHGEF2	RIT1,SNORA42,SCARNA4	RXFP4	77	1
3_MACS_peak_22638_lociStitched	chr4	124317234	124344090	3	22469	63702.432	78	1	SPRY1		SPRY1	78	1
3_MACS_peak_23936_lociStitched	chr5	88595584	88621231	3	22297	79244.1006	79	1			MEF2C	79	1
4_MACS_peak_24329_lociStitched	chr5	131810834	131837471	4	22232	46601.4315	80	1	IRF1	IL5	IRF1	80	1
2_MACS_peak_32212_lociStitched	chrX	81333241	81359695	2	22216	53934.4152	81	1			HMGN5	81	1
3_MACS_peak_21572_lociStitched	chr4	1856554	1879893	3	22004	58268.1474	82	1	WHSC1,LETM1	WHSC1	WHSC1	82	1
4_MACS_peak_3204_lociStitched	chr10	11203457	11229119	4	21866	73069.9788	83	1	CELF2		CELF2	83	1
4_MACS_peak_6592_lociStitched	chr12	48193455	48220981	4	21847	76569.0742	84	1	HDAC7	SLC48A1,RAPGEF3	HDAC7	84	1
1_MACS_peak_23388_lociStitched	chr5	26869397	26891217	1	21821	53581.192	85	1	CDH9		CDH9	85	1
5_MACS_peak_7200_lociStitched	chr12	104849808	104877195	5	21806	47437.0227	86	1	CHST11		CHST11	86	1
1_MACS_peak_18668_lociStitched	chr21	19151603	19173399	1	21797	98923.3256	87	1	C21orf91		C21orf91	87	1
2_MACS_peak_4320_lociStitched	chr10	111639870	111665279	2	21795	63956.9939	88	1	XPNPEP1		XPNPEP1	88	1
7_MACS_peak_27503_lociStitched	chr7	55574498	55606592	7	21773	45172.305	89	1	VOPP1		VOPP1	89	1
1_MACS_peak_1752_lociStitched	chr1	150531748	150553405	1	21658	123488.214	90	1	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	90	1
1_MACS_peak_15589_lociStitched	chr2	20404135	20425773	1	21639	97816.7428	91	1	SDC1		SDC1	91	1
3_MACS_peak_27876_lociStitched	chr7	92436937	92466909	3	21604	70257.3652	92	1	CDK6		CDK6	92	1
3_MACS_peak_3175_lociStitched	chr10	7510650	7535865	3	21408	64245.2985	93	1			SFMBT2	93	1
3_MACS_peak_24325_lociStitched	chr5	131744631	131774004	3	21253	100153.1181	94	1	C5orf56	SLC22A5,MIR3936	C5orf56	94	1
4_MACS_peak_12046_lociStitched	chr17	17375209	17400975	4	21227	42434.0254	95	1	MED9,RASD1		MED9	95	1
2_MACS_peak_29558_lociStitched	chr8	95953724	95977811	2	21213	97930.5159	96	1	TP53INP1	CCNE2	TP53INP1	96	1
5_MACS_peak_13825_lociStitched	chr18	60842317	60865381	5	21175	71809.764	97	1	BCL2		BCL2	97	1
4_MACS_peak_4728_lociStitched	chr11	10314678	10344848	4	21046	69638.394	98	1	ADM,SBF2		ADM	98	1
5_MACS_peak_19318_lociStitched	chr22	37605292	37628911	5	20977	34568.7684	99	1	SSTR3,RAC2	CYTH4,C1QTNF6	SSTR3	99	1
1_MACS_peak_4009_lociStitched	chr10	89619621	89640543	1	20923	60270.0054	100	1	PTEN,KILLIN	CFLP1,ATAD1	PTEN	100	1
3_MACS_peak_3833_lociStitched	chr10	74075184	74097518	3	20785	87053.4652	101	1	DNAJB12	DDIT4	DNAJB12	101	1
2_MACS_peak_2300_lociStitched	chr1	184704079	184725752	2	20742	66735.5016	102	1	EDEM3		EDEM3	102	1
1_MACS_peak_21946_lociStitched	chr4	40190702	40211432	1	20731	65581.428	103	1	RHOH		RHOH	103	1
2_MACS_peak_8371_lociStitched	chr14	23018241	23040678	2	20550	73990.4949	104	1	DAD1	ABHD4	DAD1	104	1
2_MACS_peak_9449_lociStitched	chr15	23658996	23685289	2	20355	44103.8782	105	1			MKRN3	105	1
6_MACS_peak_20503_lociStitched	chr3	111827544	111856621	6	20350	33389.1191	106	1	C3orf52,MIR567,GCET2		GCET2	106	1
3_MACS_peak_1931_lociStitched	chr1	156456908	156479650	3	20340	85111.935	107	1	MEF2D		MEF2D	107	1
3_MACS_peak_29227_lociStitched	chr8	61806469	61830786	3	20331	79664.9237	108	1		LOC100130298	LOC100130298	108	1
7_MACS_peak_14349_lociStitched	chr19	12885720	12918088	7	20283	61340.5968	109	1	JUNB,RNASEH2A,HOOK2,PRDX2	ASNA1,BEST2,MAST1,C19orf43,RTBDN	JUNB	109	1
2_MACS_peak_10829_lociStitched	chr16	11817823	11838157	2	20274	82486.9044	110	1	TXNDC11		TXNDC11	110	1
11_MACS_peak_17620_lociStitched	chr2	232687904	232714067	11	20244	11660.8491	111	1		COPS7B,PDE6D,MIR1471	COPS7B	111	1
1_MACS_peak_28414_lociStitched	chr7	130629707	130649535	1	19829	40998.3556	112	1	FLJ43663	LOC646329	LOC646329	112	1
1_MACS_peak_2410_lociStitched	chr1	198887743	198907568	1	19826	46650.2075	113	1			MIR181A1	113	1
4_MACS_peak_28050_lociStitched	chr7	102062480	102086812	4	19821	62623.2684	114	1	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	114	1
4_MACS_peak_19637_lociStitched	chr3	5223034	5244995	4	19680	33442.2108	115	1	EDEM1		EDEM1	115	1
7_MACS_peak_6226_lociStitched	chr12	7046035	7081192	7	19652	34879.2597	116	1	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12	LRRC23,ENO2,LPCAT3	PTPN6	116	1
