#KMS28BM_H3K27ac_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/KMS28BM_H3K27ac_ROSE/KMS28BM_H3K27ac_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by KMS28BM_jia.bam
#Using cutoff of 17368.6331 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	KMS28BM_jia.bam	enhancerRank	isSuperStretch
6_MACS_peak_12903_lociStitched	chr17	62133815	62210728	6	71293	186506.3337	1	1
7_MACS_peak_20996_lociStitched	chr3	151982113	152055269	7	66559	162764.7844	2	1
3_MACS_peak_24961_lociStitched	chr6	290139	338430	3	45112	211026.8409	3	1
3_MACS_peak_5292_lociStitched	chr11	65183008	65223433	3	35518	162310.4175	4	1
3_MACS_peak_16480_lociStitched	chr2	99054574	99108304	3	45079	136630.017	5	1
3_MACS_peak_27839_lociStitched	chr7	90329699	90368260	3	32491	163864.9695	6	1
3_MACS_peak_1727_lociStitched	chr1	149800313	149836551	3	33024	162070.8312	7	1
11_MACS_peak_9138_lociStitched	chr14	91781492	91867125	11	53566	100190.61	8	1
5_MACS_peak_5295_lociStitched	chr11	65236054	65278901	5	36207	142701.9335	9	1
4_MACS_peak_9384_lociStitched	chr14	106143610	106178975	4	34147	141290.248	10	1
2_MACS_peak_23931_lociStitched	chr5	88162739	88202491	2	39405	128247.9024	11	1
5_MACS_peak_9379_lociStitched	chr14	106023633	106057774	5	33659	139564.9939	12	1
3_MACS_peak_29824_lociStitched	chr8	120912539	120950308	3	35967	126832.0789	13	1
4_MACS_peak_20888_lociStitched	chr3	141088404	141131859	4	38598	117637.0305	14	1
1_MACS_peak_24848_lociStitched	chr5	173309922	173356904	1	46983	85775.0374	15	1
3_MACS_peak_17191_lociStitched	chr2	197014830	197049391	3	32801	120676.6437	16	1
2_MACS_peak_15786_lociStitched	chr2	37533544	37578605	2	41150	93411.453	17	1
4_MACS_peak_16409_lociStitched	chr2	89130729	89171199	4	36542	101668.734	18	1
3_MACS_peak_22146_lociStitched	chr4	71515753	71556342	3	33723	109736.4204	19	1
5_MACS_peak_9528_lociStitched	chr15	31615442	31660747	5	35230	100305.27	20	1
4_MACS_peak_29906_lociStitched	chr8	126285028	126322779	4	31172	107556.3741	21	1
