REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM14.jin.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
8_MACS_peak_22513_lociStitched	chr5	139027264	139079549	8	43073	193632.269	1	1	CXXC5		CXXC5	CXXC5	3.575	1	1
23_MACS_peak_17345_lociStitched	chr22	23235896	23298130	23	34932	85584.1968	2	1	IGLL5		IGLL5	IGLL5	0.8757	2	1
4_MACS_peak_12936_lociStitched	chr19	13943928	13959250	4	13645	81785.7716	3	1	LOC284454,MIR24-2,MIR23A,MIR27A	ZSWIM4,MIR181C,MIR181D,NANOS3	MIR23A	MIR23A	3.5161	3	1
4_MACS_peak_13362_lociStitched	chr19	39888390	39904416	4	14132	81663.6882	4	1	MED29,ZFP36,PLEKHG2	SUPT5H,PAF1,RPS16	ZFP36	ZFP36	6.067	4	1
10_MACS_peak_8480_lociStitched	chr15	31629071	31661049	10	27216	81419.1858	5	1	KLF13		KLF13	KLF13	2.383	5	1
14_MACS_peak_23183_lociStitched	chr6	7881732	7921572	14	32872	80672.016	6	1	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	1.8002	6	1
12_MACS_peak_22344_lociStitched	chr5	131744696	131775701	12	19960	78659.685	7	1	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	1.7919	7	1
12_MACS_peak_22697_lociStitched	chr5	150438060	150467720	12	20686	77626.152	8	1	TNIP1	GPX3	TNIP1	TNIP1	1.2297	8	1
10_MACS_peak_28462_lociStitched	chr9	134517693	134555419	10	26702	73810.919	9	1	RAPGEF1		RAPGEF1	RAPGEF1	0.9849	9	1
3_MACS_peak_4541_lociStitched	chr11	65183793	65198050	3	13584	72267.3073	10	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	5.0384	10	1
7_MACS_peak_4549_lociStitched	chr11	65254414	65278329	7	16772	70224.006	11	1	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	MALAT1	3.0	11	1
1_MACS_peak_13666_lociStitched	chr19	49375222	49380351	1	5130	67655.1003	12	1	PPP1R15A	NUCB1,HSD17B14,PLEKHA4,TULP2	PPP1R15A	PPP1R15A	5.1079	12	1
11_MACS_peak_9505_lociStitched	chr15	90615160	90646835	11	19625	66954.615	13	1	ZNF710,IDH2		IDH2	IDH2	1.9741	13	1
4_MACS_peak_13452_lociStitched	chr19	42431664	42451709	4	14399	63237.966	14	1		ARHGEF1,RABAC1,ATP1A3	RABAC1	RABAC1	2.0618	14	1
5_MACS_peak_12901_lociStitched	chr19	12885742	12905927	5	12416	61501.6765	15	1	JUNB,HOOK2	ASNA1,BEST2,RNASEH2A,MAST1,C19orf43,PRDX2,RTBDN	JUNB	JUNB	3.2367	15	1
2_MACS_peak_8585_lociStitched	chr15	40384518	40402035	2	16997	61232.4252	16	1	BMF		BMF	BMF	2.2876	16	1
2_MACS_peak_22511_lociStitched	chr5	139013003	139019984	2	6505	60081.9765	17	1		CXXC5	CXXC5	CXXC5	3.575	17	1
7_MACS_peak_4495_lociStitched	chr11	63992756	64019672	7	15450	59032.1712	18	1	NUDT22,DNAJC4,VEGFB,FKBP2,PLCB3,TRPT1,PPP1R14B	STIP1,FERMT3,GPR137,KCNK4,C11orf20,BAD	FKBP2	FKBP2	2.5427	18	1
1_MACS_peak_9136_lociStitched	chr15	72765267	72768539	1	3273	59009.5384	19	1	ARIH1		ARIH1	ARIH1	0.6068	19	1
2_MACS_peak_10802_lociStitched	chr17	7737070	7748907	2	8592	58621.5588	20	1	KDM6B	TMEM88,CYB5D1,CHD3,LSMD1	KDM6B	KDM6B	2.2224	20	1
7_MACS_peak_8343_lociStitched	chr14	106025233	106049472	7	23602	56796.8248	21	1		TMEM121	TMEM121	TMEM121	0.0995	21	1
1_MACS_peak_13611_lociStitched	chr19	47728695	47735441	1	6747	56679.2174	22	1	MIR3190,BBC3,MIR3191	CCDC9,PRR24	MIR3191	MIR3191	5.6579	22	1
1_MACS_peak_8479_lociStitched	chr15	31615644	31622492	1	6849	56511.7504	23	1	KLF13		KLF13	KLF13	2.383	23	1
2_MACS_peak_23034_lociStitched	chr5	179245035	179250319	2	5266	55496.2668	24	1	SQSTM1	LTC4S,MIR1229,MGAT4B,C5orf45	SQSTM1	SQSTM1	1.716	24	1
3_MACS_peak_8579_lociStitched	chr15	40329917	40348332	3	11953	53764.434	25	1	SRP14	BMF	SRP14	BMF	2.2876	25	1
4_MACS_peak_12548_lociStitched	chr19	2081707	2098312	4	14340	52005.1995	26	1	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	1.5855	26	1
2_MACS_peak_18383_lociStitched	chr3	39187438	39195816	2	7883	52003.9216	27	1	CSRNP1	TTC21A,GORASP1,XIRP1	CSRNP1	CSRNP1	2.4912	27	1
7_MACS_peak_22359_lociStitched	chr5	131812971	131837014	7	14729	51776.6005	28	1	IRF1	IL5	IRF1	IRF1	1.9807	28	1
6_MACS_peak_11243_lociStitched	chr17	38468615	38487006	6	11653	51279.6253	29	1	RARA	CDC6,RARA,GJD3	RARA	RARA	1.0193	29	1
5_MACS_peak_12502_lociStitched	chr19	1258875	1276988	5	10043	51225.3753	30	1	MIDN,CIRBP,C19orf24,C19orf23	ATP5D,EFNA2,C19orf26	CIRBP	ATP5D	2.6086	30	1
11_MACS_peak_9188_lociStitched	chr15	75063335	75093006	11	24030	50859.0611	31	1	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	CSK	1.4308	31	1
2_MACS_peak_12461_lociStitched	chr19	657670	665473	2	6508	50611.0383	32	1	RNF126	FGF22,FSTL3,PALM,POLRMT,PRSSL1	RNF126	RNF126	2.1143	32	1
2_MACS_peak_22631_lociStitched	chr5	142774668	142785682	2	10870	50484.8718	33	1	NR3C1		NR3C1	NR3C1	0.6219	33	1
